player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Rolf Landerl,28,Attacking Midfield,FC Groningen,0.0,in,Summer,2004,2004/2005
Sidney Moraes,27,Defensive Midfield,Guarani,0.0,in,Summer,2004,2004/2005
Fernando Aguiar,32,Defensive Midfield,Landskrona,0.0,in,Summer,2004,2004/2005
Américo,23,attack,Sanjoanense,0.0,in,Summer,2004,2004/2005
Pascal,23,Centre-Forward,Vitória Setúbal,0.0,in,Summer,2004,2004/2005
Artur Jorge,32,Centre-Back,SC Braga,0.0,in,Summer,2004,2004/2005
Ljubinko Drulovic,35,Left Winger,Partizan,0.0,in,Summer,2004,2004/2005
Edgar Marcelino,19,Right Winger,Sporting CP,0.0,in,Summer,2004,2004/2005
Carlos Oliveira,24,Attacking Midfield,Leça,0.0,in,Summer,2004,2004/2005
Jean Batista,22,Left-Back,Uberaba,0.0,in,Summer,2004,2004/2005
Nílton,25,Central Midfield,Salgueiros,0.0,in,Summer,2004,2004/2005
Nuno Silva,28,Centre-Back,Leixões,0.0,in,Summer,2004,2004/2005
Nuno Diogo,23,Centre-Back,Salgueiros,0.0,in,Summer,2004,2004/2005
Marquinhos,29,midfield,FC Marco,0.0,in,Summer,2004,2004/2005
Clayton,28,Left Winger,Sporting CP,0.0,in,Summer,2004,2004/2005
Pedro Santos,28,Central Midfield,Boavista,0.0,in,Summer,2004,2004/2005
Vítor Silva,20,Attacking Midfield,Lus. Lourosa,0.0,in,Summer,2004,2004/2005
Mauro Silva,20,Centre-Back,Paredes,0.0,out,Summer,2004,2004/2005
Quim Ferraz,30,Centre-Forward,QD Jonoon,0.0,out,Summer,2004,2004/2005
Nuno Morais,20,Defensive Midfield,Chelsea,0.0,out,Summer,2004,2004/2005
Vítor Silva,20,Attacking Midfield,AD Lousada,0.0,out,Summer,2004,2004/2005
Evaldo,31,defence,Aliados Lordelo,0.0,out,Summer,2004,2004/2005
Serginho,27,attack,Chaves,0.0,out,Summer,2004,2004/2005
Ginho,24,Right Winger,Espinho,0.0,out,Summer,2004,2004/2005
Hélder Ferreira,24,Central Midfield,FC Marco,0.0,out,Summer,2004,2004/2005
Vítor Vieira,31,Right Winger,Without Club,0.0,out,Summer,2004,2004/2005
Júnior Bahia,27,Centre-Forward,Marítimo,0.0,out,Summer,2004,2004/2005
Pedro Moutinho,24,Centre-Forward,Marítimo,0.0,out,Summer,2004,2004/2005
Pedro Santos,28,Central Midfield,Boavista,0.0,out,Summer,2004,2004/2005
Adriano,22,Centre-Back,Comercial-SP,0.0,out,Summer,2004,2004/2005
Ousmane N'Doye,26,Defensive Midfield,Estoril Praia,0.0,in,Winter,2004,2004/2005
Kelly Berville,26,Left-Back,FC Gueugnon,0.0,in,Winter,2004,2004/2005
Cassiano,29,Right Winger,Botafogo,0.0,in,Winter,2004,2004/2005
Américo,24,attack,Imortal,0.0,out,Winter,2004,2004/2005
Marquinhos,30,midfield,Ribeira Brava,0.0,out,Winter,2004,2004/2005
Carlos Oliveira,25,Attacking Midfield,Ovarense,0.0,out,Winter,2004,2004/2005
Jean Batista,23,Left-Back,Vasco da Gama,0.0,out,Winter,2004,2004/2005
Messias,20,Defensive Midfield,Desportivo Aves,0.0,out,Winter,2004,2004/2005
Artur Jorge,33,Centre-Back,Retired,0.0,out,Winter,2004,2004/2005
Ljubinko Drulovic,36,Left Winger,Retired,0.0,out,Winter,2004,2004/2005
Dill,31,Right Winger,Brasiliense FC,300000.0,in,Summer,2005,2005/2006
Cristóvão Ramos,22,Right Winger,FC Porto B,0.0,in,Summer,2005,2005/2006
Guillaume Boronad,26,Attacking Midfield,FC Rouen 1899,0.0,in,Summer,2005,2005/2006
Sanibal Orahovac,26,Centre-Forward,Vit. Guimarães,0.0,in,Summer,2005,2005/2006
Carlos Germano,34,Goalkeeper,Madureira-RJ,0.0,in,Summer,2005,2005/2006
Jacques,26,Left Winger,Rio Ave FC,0.0,in,Summer,2005,2005/2006
Sérgio Lomba,31,Centre-Back,Moreirense,0.0,in,Summer,2005,2005/2006
Marco Ferreira,27,Right Winger,FC Porto,0.0,in,Summer,2005,2005/2006
Mallo Diallo,25,Centre-Forward,FC Rouen 1899,0.0,in,Summer,2005,2005/2006
Vinícius,25,Goalkeeper,Camacha,0.0,in,Summer,2005,2005/2006
Pedro Araújo,20,Left-Back,Olivais,0.0,in,Summer,2005,2005/2006
Carlos Barrionuevo,27,Attacking Midfield,Gimnasia,0.0,in,Summer,2005,2005/2006
Jorginho,30,Defensive Midfield,Brasiliense FC,0.0,in,Summer,2005,2005/2006
Zé Rui,22,Left Winger,Benfica,0.0,in,Summer,2005,2005/2006
Krum Bibishkov,22,Centre-Forward,Marítimo,0.0,in,Summer,2005,2005/2006
Romeu,19,Defensive Midfield,Penafiel U19,0.0,in,Summer,2005,2005/2006
Messias,21,Defensive Midfield,Desportivo Aves,0.0,in,Summer,2005,2005/2006
Vítor Silva,21,Attacking Midfield,AD Lousada,0.0,in,Summer,2005,2005/2006
Wesley,24,Second Striker,Alavés,1400000.0,out,Summer,2005,2005/2006
Sidney Moraes,28,Defensive Midfield,SC Braga,0.0,out,Summer,2005,2005/2006
Cassiano,29,Right Winger,Dep. Cuenca,0.0,out,Summer,2005,2005/2006
Pascal,24,Centre-Forward,Bnei Sakhnin,0.0,out,Summer,2005,2005/2006
Nuno Silva,29,Centre-Back,Leixões,0.0,out,Summer,2005,2005/2006
Messias,21,Defensive Midfield,Mirandela,0.0,out,Summer,2005,2005/2006
Rolf Landerl,29,Attacking Midfield,FC Sopron,0.0,out,Summer,2005,2005/2006
Mariano,29,Left-Back,Santa Clara,0.0,out,Summer,2005,2005/2006
Fernando Aguiar,33,Defensive Midfield,Gondomar,0.0,out,Summer,2005,2005/2006
Vítor Silva,21,Attacking Midfield,Paredes,0.0,out,Summer,2005,2005/2006
João Viva,34,Goalkeeper,Retired,0.0,out,Summer,2005,2005/2006
António Folha,34,Left Winger,Retired,0.0,out,Summer,2005,2005/2006
Edgar Marcelino,20,Right Winger,Sporting CP,0.0,out,Summer,2005,2005/2006
Clayton,29,Left Winger,Sporting CP,0.0,out,Summer,2005,2005/2006
Juninho Petrolina,31,Attacking Midfield,Náutico,0.0,in,Winter,2005,2005/2006
Yan,30,midfield,Avaí FC,0.0,in,Winter,2005,2005/2006
Hélder Guedes,18,Centre-Forward,Penafiel U19,0.0,in,Winter,2005,2005/2006
Luís Dias,18,Right-Back,Penafiel U19,0.0,in,Winter,2005,2005/2006
Ousmane N'Doye,27,Defensive Midfield,Coimbra,500000.0,out,Winter,2005,2005/2006
Cristóvão Ramos,22,Right Winger,Leixões,0.0,out,Winter,2005,2005/2006
Carlos Germano,35,Goalkeeper,Retired,0.0,out,Winter,2005,2005/2006
Marco Ferreira,27,Right Winger,FC Porto,0.0,out,Winter,2005,2005/2006
Rui Miguel,30,Centre-Forward,Moreirense,0.0,in,Summer,2014,2014/2015
Bura,25,Centre-Back,Chaves,0.0,in,Summer,2014,2014/2015
Nélson Lenho,30,Left-Back,Chaves,0.0,in,Summer,2014,2014/2015
Capela,28,Defensive Midfield,Académico Viseu,0.0,in,Summer,2014,2014/2015
Paulo Grilo,22,Defensive Midfield,Coimbra,0.0,in,Summer,2014,2014/2015
João Pedro,26,Centre-Back,Estoril Praia,0.0,in,Summer,2014,2014/2015
Rabiola,24,Centre-Forward,SC Braga,0.0,in,Summer,2014,2014/2015
Rafa Sousa,25,Defensive Midfield,Nacional,0.0,in,Summer,2014,2014/2015
João Martins,26,Attacking Midfield,Académico Viseu,0.0,in,Summer,2014,2014/2015
Bruninho,25,Second Striker,Vitória Setúbal,0.0,in,Summer,2014,2014/2015
Héctor Quiñónes,22,Left-Back,FC Porto,0.0,in,Summer,2014,2014/2015
Alireza Haghighi,26,Goalkeeper,Rubin Kazan,0.0,in,Summer,2014,2014/2015
Nélson Sampaio,22,Centre-Back,Académico Viseu,0.0,in,Summer,2014,2014/2015
Tony,33,Right-Back,Paços Ferreira,0.0,in,Summer,2014,2014/2015
Nuno Henrique,27,Centre-Back,Without Club,0.0,in,Summer,2014,2014/2015
Paulo Roberto,28,Centre-Forward,Académico Viseu,0.0,out,Summer,2014,2014/2015
Nando,21,Right-Back,Tirsense,0.0,out,Summer,2014,2014/2015
Pedro Santos,30,Centre-Back,Académico Viseu,0.0,out,Summer,2014,2014/2015
Ivan Santos,25,Left Winger,Oliveirense,0.0,out,Summer,2014,2014/2015
Mota,22,Attacking Midfield,Sobrado,0.0,out,Summer,2014,2014/2015
João Pedro,33,Left-Back,Famalicão,0.0,out,Summer,2014,2014/2015
José Coelho,24,Attacking Midfield,Felgueiras,0.0,out,Summer,2014,2014/2015
Gabi,33,Attacking Midfield,Nea Salamis,0.0,out,Summer,2014,2014/2015
Elísio,25,Right Midfield,Varzim,0.0,out,Summer,2014,2014/2015
Nélson Sampaio,22,Centre-Back,Felgueiras,0.0,out,Summer,2014,2014/2015
Nélson Sampaio,22,Centre-Back,Académico Viseu,0.0,out,Summer,2014,2014/2015
Alex Silva,20,Attacking Midfield,Cinfães,0.0,out,Summer,2014,2014/2015
Ari,20,Centre-Back,Cinfães,0.0,out,Summer,2014,2014/2015
Nuno Santos,35,Goalkeeper,GD Ribeirão,0.0,out,Summer,2014,2014/2015
Fábio Ervões,27,Centre-Back,Boavista,0.0,out,Summer,2014,2014/2015
Tony,34,Right-Back,Retired,0.0,out,Summer,2014,2014/2015
Mauro Caballero,19,Centre-Forward,FC Porto B,0.0,out,Summer,2014,2014/2015
Ustaritz,31,Centre-Back,Arouca,0.0,in,Winter,2014,2014/2015
Braga,31,Right Midfield,Benfica Luanda,0.0,in,Winter,2014,2014/2015
Tiago Valente,29,Centre-Back,Lechia Gdansk,0.0,in,Winter,2014,2014/2015
Ezequiel Calvente,24,Right Winger,Recr. Huelva,0.0,in,Winter,2014,2014/2015
Michel,28,Centre-Forward,Without Club,0.0,in,Winter,2014,2014/2015
Nuno Henrique,28,Centre-Back,Feirense,0.0,out,Winter,2014,2014/2015
João Pedro,27,Centre-Back,Moreirense,0.0,out,Winter,2014,2014/2015
Paulo Grilo,23,Defensive Midfield,Feirense,0.0,out,Winter,2014,2014/2015
Capela,28,Defensive Midfield,Bravos do Maqui,0.0,out,Winter,2014,2014/2015
