player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Rui Jorge,19,Left-Back,Rio Ave FC,0.0,in,Summer,1992,1992/1993
Paulinho Santos,21,Defensive Midfield,Rio Ave FC,0.0,in,Summer,1992,1992/1993
Antônio Carlos,28,Central Midfield,América,0.0,in,Summer,1992,1992/1993
Paulinho McLaren,22,attack,Santos FC,0.0,in,Summer,1992,1992/1993
Jorge Costa,20,Centre-Back,Marítimo,0.0,in,Summer,1992,1992/1993
Bino,19,Defensive Midfield,Rio Ave FC,0.0,in,Summer,1992,1992/1993
Jorge Silva,20,Goalkeeper,Rio Ave FC,0.0,in,Summer,1992,1992/1993
António Folha,21,Left Winger,SC Braga,0.0,out,Summer,1992,1992/1993
Paulo Pereira,26,Right-Back,Vit. Guimarães,0.0,out,Summer,1992,1992/1993
Kiki,30,Attacking Midfield,SC Braga,0.0,out,Summer,1992,1992/1993
Jorge Andrade,29,Second Striker,Marítimo,0.0,out,Summer,1992,1992/1993
Carlos Padrão,32,Goalkeeper,Paços Ferreira,0.0,out,Summer,1992,1992/1993
Petar Mihtarski,25,Centre-Forward,Famalicão,0.0,out,Summer,1992,1992/1993
Cândido Rego,22,Goalkeeper,Lousanense,0.0,in,Summer,1993,1993/1994
António Folha,22,Left Winger,SC Braga,0.0,in,Summer,1993,1993/1994
Secretário,23,Right-Back,SC Braga,0.0,in,Summer,1993,1993/1994
Vítor Nóvoa,30,Goalkeeper,Chaves,0.0,in,Summer,1993,1993/1994
Paulo Pereira,27,Right-Back,Vit. Guimarães,0.0,in,Summer,1993,1993/1994
Vinha,26,Centre-Forward,Salgueiros,0.0,in,Summer,1993,1993/1994
Sérgio Conceição,18,Right Winger,FC Porto U19,0.0,in,Summer,1993,1993/1994
Petar Mihtarski,27,Centre-Forward,Famalicão,0.0,in,Summer,1993,1993/1994
Bino,20,Defensive Midfield,Salgueiros,0.0,out,Summer,1993,1993/1994
Neves,22,Right-Back,SC Braga,0.0,out,Summer,1993,1993/1994
Valente,28,Goalkeeper,Boavista,0.0,out,Summer,1993,1993/1994
Antônio Carlos,29,Central Midfield,América,0.0,out,Summer,1993,1993/1994
Lubomir Vlk,28,Left-Back,TJ Vitkovice,0.0,out,Summer,1993,1993/1994
Paulinho McLaren,23,attack,Internacional,0.0,out,Summer,1993,1993/1994
Sérgio Conceição,18,Right Winger,Penafiel,0.0,out,Summer,1993,1993/1994
Jorge Silva,21,Goalkeeper,Rio Ave FC,0.0,out,Summer,1993,1993/1994
Ljubinko Drulovic,25,Left Winger,Gil Vicente,0.0,in,Winter,1993,1993/1994
Petar Mihtarski,27,Centre-Forward,Pirin,0.0,out,Winter,1993,1993/1994
Tozé,28,attack,Gil Vicente,0.0,out,Winter,1993,1993/1994
Toni,21,Centre-Forward,SC Braga,0.0,out,Winter,1993,1993/1994
Russell Latapy,25,Attacking Midfield,Coimbra,0.0,in,Summer,1994,1994/1995
Ronald Baroni,26,Centre-Forward,Universitario,0.0,in,Summer,1994,1994/1995
Mandla Zwane,21,attack,Orlando Pirates,0.0,in,Summer,1994,1994/1995
Rui Barros,28,Attacking Midfield,Marseille,0.0,in,Summer,1994,1994/1995
Sergey Yuran,25,Centre-Forward,Benfica,0.0,in,Summer,1994,1994/1995
Vasiliy Kulkov,28,Centre-Back,Benfica,0.0,in,Summer,1994,1994/1995
Émerson,22,Defensive Midfield,Belenenses,0.0,in,Summer,1994,1994/1995
Henrique Hilário,18,Goalkeeper,FC Porto U19,0.0,in,Summer,1994,1994/1995
Bock,18,Centre-Forward,FC Porto U19,0.0,in,Summer,1994,1994/1995
Sérgio Conceição,19,Right Winger,Penafiel,0.0,in,Summer,1994,1994/1995
Fernando Couto,24,Centre-Back,AC Parma,2700000.0,out,Summer,1994,1994/1995
Vinha,27,Centre-Forward,Salgueiros,0.0,out,Summer,1994,1994/1995
Paulo Pereira,28,Right-Back,Benfica,0.0,out,Summer,1994,1994/1995
Ion Timofte,26,Left Midfield,Boavista,0.0,out,Summer,1994,1994/1995
Emil Kostadinov,26,Centre-Forward,Dep. La Coruña,0.0,out,Summer,1994,1994/1995
Sérgio Conceição,19,Right Winger,Leça,0.0,out,Summer,1994,1994/1995
Henrique Hilário,18,Goalkeeper,Naval,0.0,out,Summer,1994,1994/1995
Bock,19,Centre-Forward,Maia,0.0,out,Winter,1994,1994/1995
Mandla Zwane,21,attack,Penafiel,0.0,out,Winter,1994,1994/1995
Bino,22,Defensive Midfield,Belenenses,0.0,in,Summer,1995,1995/1996
Quinzinho,21,Centre-Forward,AS Aviação,0.0,in,Summer,1995,1995/1996
Edmílson,23,Second Striker,Salgueiros,0.0,in,Summer,1995,1995/1996
Grzegorz Mielcarski,24,Centre-Forward,Widzew Lodz,0.0,in,Summer,1995,1995/1996
Silvino Louro,36,Goalkeeper,Vitória Setúbal,0.0,in,Summer,1995,1995/1996
João Manuel Pinto,22,Centre-Back,Belenenses,0.0,in,Summer,1995,1995/1996
Péter Lipcsei,23,Central Midfield,Ferencváros,0.0,in,Summer,1995,1995/1996
Henrique Hilário,19,Goalkeeper,Naval,0.0,in,Summer,1995,1995/1996
Jorge Silva,23,Goalkeeper,Rio Ave FC,0.0,in,Summer,1995,1995/1996
Mandla Zwane,22,attack,Penafiel,0.0,in,Summer,1995,1995/1996
Sérgio Conceição,20,Right Winger,Leça,0.0,in,Summer,1995,1995/1996
Henrique Hilário,19,Goalkeeper,Coimbra,0.0,out,Summer,1995,1995/1996
Mandla Zwane,22,attack,Gil Vicente,0.0,out,Summer,1995,1995/1996
Semedo,30,Central Midfield,Unknown,0.0,out,Summer,1995,1995/1996
Jaime Magalhães,32,Right Midfield,Leça,0.0,out,Summer,1995,1995/1996
Cândido Rego,24,Goalkeeper,Vitória Setúbal,0.0,out,Summer,1995,1995/1996
Sergey Yuran,26,Centre-Forward,Spartak Moscow,0.0,out,Summer,1995,1995/1996
Vasiliy Kulkov,29,Centre-Back,Spartak Moscow,0.0,out,Summer,1995,1995/1996
Jorge Silva,23,Goalkeeper,Salgueiros,0.0,out,Summer,1995,1995/1996
Sérgio Conceição,20,Right Winger,CA Felgueiras,0.0,out,Summer,1995,1995/1996
Antonio André,37,Defensive Midfield,Retired,0.0,out,Summer,1995,1995/1996
Lars Eriksson,30,Goalkeeper,RSC Charleroi,0.0,in,Winter,1995,1995/1996
Matias,31,Centre-Back,Leça,0.0,in,Winter,1995,1995/1996
Jorge Silva,24,Goalkeeper,Salgueiros,0.0,in,Winter,1995,1995/1996
Ronald Baroni,27,Centre-Forward,Felgueiras-2015,0.0,out,Winter,1995,1995/1996
Jardel,22,Centre-Forward,Grêmio,4000000.0,in,Summer,1996,1996/1997
Barroso,25,Central Midfield,SC Braga,500000.0,in,Summer,1996,1996/1997
Arnold Wetl,26,Central Midfield,Sturm Graz,0.0,in,Summer,1996,1996/1997
Romeu,21,Centre-Forward,Infesta,0.0,in,Summer,1996,1996/1997
Andrzej Wozniak,30,Goalkeeper,Widzew Lodz,0.0,in,Summer,1996,1996/1997
Lula,30,Centre-Back,Belenenses,0.0,in,Summer,1996,1996/1997
Artur Oliveira,26,Second Striker,Boavista,0.0,in,Summer,1996,1996/1997
Darko Butorovic,25,Right-Back,Hajduk Split,0.0,in,Summer,1996,1996/1997
João Costa,22,Defensive Midfield,CA Felgueiras,0.0,in,Summer,1996,1996/1997
Fernando Mendes,29,Left-Back,Belenenses,0.0,in,Summer,1996,1996/1997
Rui Óscar,20,Right-Back,Leça,0.0,in,Summer,1996,1996/1997
Zlatko Zahovic,25,Attacking Midfield,Vit. Guimarães,0.0,in,Summer,1996,1996/1997
Sérgio Conceição,21,Right Winger,CA Felgueiras,0.0,in,Summer,1996,1996/1997
Henrique Hilário,20,Goalkeeper,Coimbra,0.0,in,Summer,1996,1996/1997
Ronald Baroni,28,Centre-Forward,Felgueiras-2015,0.0,in,Summer,1996,1996/1997
Vítor Baía,26,Goalkeeper,Barcelona,6500000.0,out,Summer,1996,1996/1997
Secretário,26,Right-Back,Real Madrid,1500000.0,out,Summer,1996,1996/1997
Jorge Silva,24,Goalkeeper,Salgueiros,0.0,out,Summer,1996,1996/1997
Romeu,21,Centre-Forward,CA Felgueiras,0.0,out,Summer,1996,1996/1997
Matias,32,Centre-Back,Vitória Setúbal,0.0,out,Summer,1996,1996/1997
Ronald Baroni,28,Centre-Forward,Ankaragücü,0.0,out,Summer,1996,1996/1997
Zé Carlos,31,Centre-Back,Marítimo,0.0,out,Summer,1996,1996/1997
Vítor Nóvoa,33,Goalkeeper,Vit. Guimarães,0.0,out,Summer,1996,1996/1997
Bandeirinha,33,Right-Back,CA Felgueiras,0.0,out,Summer,1996,1996/1997
Jorge Couto,26,Right Midfield,Boavista,0.0,out,Summer,1996,1996/1997
Russell Latapy,27,Attacking Midfield,Boavista,0.0,out,Summer,1996,1996/1997
Quinzinho,22,Centre-Forward,Leiria,0.0,out,Summer,1996,1996/1997
Bino,24,Defensive Midfield,Marítimo,0.0,out,Winter,1996,1996/1997
Péter Lipcsei,24,Central Midfield,Espinho,0.0,out,Winter,1996,1996/1997
Doriva,25,Right Midfield,Atlético-MG,700000.0,in,Summer,1997,1997/1998
Kenedy,23,Left-Back,Paris SG,0.0,in,Summer,1997,1997/1998
Nuno Capucho,25,Right Winger,Vit. Guimarães,0.0,in,Summer,1997,1997/1998
Emilio Peixe,24,Defensive Midfield,Sporting CP,0.0,in,Summer,1997,1997/1998
Youssef Chippo,24,Central Midfield,Al-Arabi SC,0.0,in,Summer,1997,1997/1998
Pedro Taborda,19,Goalkeeper,Freamunde,0.0,in,Summer,1997,1997/1998
Neves,26,Right-Back,Marítimo,0.0,in,Summer,1997,1997/1998
Gaspar,22,Centre-Back,Vitória Setúbal,0.0,in,Summer,1997,1997/1998
Rui Correia,29,Goalkeeper,SC Braga,0.0,in,Summer,1997,1997/1998
Pedro Henriques,22,Left-Back,Benfica,0.0,in,Summer,1997,1997/1998
Costinha,23,Goalkeeper,Sporting CP,0.0,in,Summer,1997,1997/1998
Ricardo Carvalho,19,Centre-Back,FC Porto U19,0.0,in,Summer,1997,1997/1998
Péter Lipcsei,25,Central Midfield,Espinho,0.0,in,Summer,1997,1997/1998
Quinzinho,23,Centre-Forward,Leiria,0.0,in,Summer,1997,1997/1998
Romeu,22,Centre-Forward,CA Felgueiras,0.0,in,Summer,1997,1997/1998
Domingos Paciência,28,Centre-Forward,CD Tenerife,7500000.0,out,Summer,1997,1997/1998
Émerson,25,Defensive Midfield,Middlesbrough,4000000.0,out,Summer,1997,1997/1998
Arnold Wetl,27,Central Midfield,Rapid Vienna,400000.0,out,Summer,1997,1997/1998
Ricardo Carvalho,19,Centre-Back,Leça,0.0,out,Summer,1997,1997/1998
Edmílson,25,Second Striker,Paris SG,0.0,out,Summer,1997,1997/1998
Andrzej Wozniak,31,Goalkeeper,SC Braga,0.0,out,Summer,1997,1997/1998
Silvino Louro,38,Goalkeeper,Salgueiros,0.0,out,Summer,1997,1997/1998
Rui Óscar,21,Right-Back,Marítimo,0.0,out,Summer,1997,1997/1998
Péter Lipcsei,25,Central Midfield,Ferencváros,0.0,out,Summer,1997,1997/1998
Romeu,22,Centre-Forward,Marítimo,0.0,out,Summer,1997,1997/1998
Quinzinho,23,Centre-Forward,Rio Ave FC,0.0,out,Summer,1997,1997/1998
