player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Claudemir,33,Defensive Midfield,Sivasspor,0.0,in,Summer,2021,2021/2022
Tomás Silva,21,Central Midfield,Sporting B,0.0,in,Summer,2021,2021/2022
Ivanildo Fernandes,25,Centre-Back,Sporting CP,0.0,in,Summer,2021,2021/2022
Kévin Zohi,24,Centre-Forward,R. Strasbourg,0.0,in,Summer,2021,2021/2022
Igor Julião,26,Right-Back,Fluminense,0.0,in,Summer,2021,2021/2022
Charles,27,Goalkeeper,Marítimo,0.0,in,Summer,2021,2021/2022
Bruno Wilson,24,Centre-Back,SC Braga,0.0,in,Summer,2021,2021/2022
Alex Méndez,20,Attacking Midfield,Ajax U21,0.0,in,Summer,2021,2021/2022
Nuno Moreira,22,Right Winger,Sporting B,0.0,in,Summer,2021,2021/2022
Guilherme Schettine,25,Centre-Forward,SC Braga,0.0,in,Summer,2021,2021/2022
Richard Opoku,20,Defensive Midfield,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Zé Luís,19,Left-Back,Bragança,0.0,in,Summer,2021,2021/2022
Isah Musa,22,Right-Back,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Abduljabar Sani,22,Central Midfield,Sernache,0.0,in,Summer,2021,2021/2022
João Ricardo,19,Right Winger,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Kuku Fidelis,22,Right Winger,Boavista U23,0.0,in,Summer,2021,2021/2022
João Pais,22,attack,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
David Martins,21,Centre-Back,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Kiko,21,Centre-Back,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Francis Okoli,23,Central Midfield,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Junxian Liu,20,Centre-Forward,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Didi,22,Centre-Forward,Pedras Salgadas,0.0,in,Summer,2021,2021/2022
Junxian Liu,20,Centre-Forward,WH Yangtze,131000.0,out,Summer,2021,2021/2022
Tavinho,27,Right Winger,Varzim,0.0,out,Summer,2021,2021/2022
Matheus Costa,26,Centre-Back,Marítimo,0.0,out,Summer,2021,2021/2022
Diogo Ribeiro,30,Centre-Forward,Alverca,0.0,out,Summer,2021,2021/2022
Musa Yahaya,23,Right-Back,Académico Viseu,0.0,out,Summer,2021,2021/2022
Richard Opoku,20,Defensive Midfield,Câmara Lobos,0.0,out,Summer,2021,2021/2022
Ericson,33,Defensive Midfield,Académico Viseu,0.0,out,Summer,2021,2021/2022
Zé Luís,19,Left-Back,Torcatense,0.0,out,Summer,2021,2021/2022
André Soares,31,Right Winger,Länk FCV,0.0,out,Summer,2021,2021/2022
Kiko,21,Centre-Back,Valadares Gaia,0.0,out,Summer,2021,2021/2022
Marcelo,22,Centre-Back,Oliv. Hospital,0.0,out,Summer,2021,2021/2022
João Pais,23,attack,Oliv. Hospital,0.0,out,Summer,2021,2021/2022
Didi,22,Centre-Forward,Sanjoanense,0.0,out,Summer,2021,2021/2022
David Martins,21,Centre-Back,FC Vizela U23,0.0,out,Summer,2021,2021/2022
Emmanuel Maviram,20,Left-Back,FC Vizela U23,0.0,out,Summer,2021,2021/2022
João Pedro,31,Right-Back,Retired,0.0,out,Summer,2021,2021/2022
Manuel Baldé,18,Goalkeeper,FC Vizela U23,0.0,out,Summer,2021,2021/2022
João Ricardo,19,Right Winger,FC Vizela U23,0.0,out,Summer,2021,2021/2022
Isah Musa,22,Right-Back,Without Club,0.0,out,Summer,2021,2021/2022
Francis Okoli,23,Central Midfield,Without Club,0.0,out,Summer,2021,2021/2022
Kuku Fidelis,22,Right Winger,FC Vizela U23,0.0,out,Summer,2021,2021/2022
Abduljabar Sani,22,Central Midfield,Without Club,0.0,out,Summer,2021,2021/2022
Marcelinho,24,Left Winger,Marítimo,0.0,out,Summer,2021,2021/2022
Fernando Cardozo,20,Left Midfield,Olimpia,0.0,out,Summer,2021,2021/2022
Leonel Mosevich,24,Centre-Back,Argentinos Jrs.,0.0,out,Summer,2021,2021/2022
Anderson,26,Centre-Back,América-MG,0.0,in,Winter,2021,2021/2022
Andrés Sarmiento,24,Left Winger,A. Bucaramanga,0.0,in,Winter,2021,2021/2022
Osama Rashid,30,Central Midfield,Khor Fakkan,0.0,in,Winter,2021,2021/2022
Tianyu Guo,22,Centre-Forward,SD Taishan,0.0,in,Winter,2021,2021/2022
Francis Cann,24,Left Winger,Mafra,0.0,in,Winter,2021,2021/2022
Evrard Zag,31,Central Midfield,Leixões,0.0,out,Winter,2021,2021/2022
Francis Cann,23,Left Winger,Mafra,0.0,out,Winter,2021,2021/2022
Tomás Silva,22,Central Midfield,Varzim,0.0,out,Winter,2021,2021/2022
Luiz Felipe,25,Goalkeeper,B SAD,0.0,in,Summer,2022,2022/2023
Carlos Isaac,24,Right-Back,Alavés,0.0,in,Summer,2022,2022/2023
Fabijan Buntic,25,Goalkeeper,FC Ingolstadt,0.0,in,Summer,2022,2022/2023
Matheus Pereira,21,Left-Back,Cruzeiro,0.0,in,Summer,2022,2022/2023
Alexander Schmidt,24,Centre-Forward,LASK,0.0,in,Summer,2022,2022/2023
Diego Rosa,19,Central Midfield,Man City,0.0,in,Summer,2022,2022/2023
Milutin Osmajic,23,Centre-Forward,Cádiz CF,0.0,in,Summer,2022,2022/2023
Etim,20,Centre-Forward,FC Vizela U23,0.0,in,Summer,2022,2022/2023
Manuel Baldé,19,Goalkeeper,FC Vizela U23,0.0,in,Summer,2022,2022/2023
Hugo Oliveira,20,Right-Back,FC Vizela U23,0.0,in,Summer,2022,2022/2023
Monsuru Opeyemi,18,Attacking Midfield,Vizela Y19,0.0,in,Summer,2022,2022/2023
Tomás Silva,22,Central Midfield,Varzim,0.0,in,Summer,2022,2022/2023
Marcelo Vilela,23,Centre-Back,Oliv. Hospital,0.0,in,Summer,2022,2022/2023
João Pais,23,Left Winger,Oliv. Hospital,0.0,in,Summer,2022,2022/2023
Didi,23,Centre-Forward,Sanjoanense,0.0,in,Summer,2022,2022/2023
Koffi Kouao,24,Right-Back,FC Metz,600000.0,out,Summer,2022,2022/2023
Cassiano,33,Centre-Forward,Al-Faisaly FC,300000.0,out,Summer,2022,2022/2023
Pedro Silva,25,Goalkeeper,Estoril Praia,0.0,out,Summer,2022,2022/2023
Marcos Paulo,33,Central Midfield,Farense,0.0,out,Summer,2022,2022/2023
Richard Ofori,29,Left-Back,Nea Salamis,0.0,out,Summer,2022,2022/2023
João Pais,23,Left Winger,Coimbra,0.0,out,Summer,2022,2022/2023
Didi,23,Centre-Forward,Montalegre,0.0,out,Summer,2022,2022/2023
Charles,28,Goalkeeper,Olympiakos N.,0.0,out,Summer,2022,2022/2023
Ivo Gonçalves,38,Goalkeeper,Länk FCV,0.0,out,Summer,2022,2022/2023
Marcelo Vilela,23,Centre-Back,Montalegre,0.0,out,Summer,2022,2022/2023
Tianyu Guo,23,Centre-Forward,SD Taishan,0.0,out,Summer,2022,2022/2023
Guilherme Schettine,26,Centre-Forward,SC Braga,0.0,out,Summer,2022,2022/2023
Matías Lacava,20,Right Winger,Puerto Cabello,0.0,in,Winter,2022,2022/2023
Pedro Ortiz,22,Central Midfield,Sevilla Atl.,0.0,in,Winter,2022,2022/2023
Andrés Sarmiento,24,Left Winger,CD América,0.0,out,Winter,2022,2022/2023
Carlos Isaac,24,Right-Back,Albacete,0.0,out,Winter,2022,2022/2023
Francis Cann,24,Left Winger,Al-Hazem,0.0,out,Winter,2022,2022/2023
Diego Rosa,20,Central Midfield,Man City,0.0,out,Winter,2022,2022/2023
