player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ljubinko Drulovic,23,Left Winger,Rad,0.0,in,Summer,1992,1992/1993
Nando,29,defence,SC Braga,0.0,in,Summer,1992,1992/1993
Peter Hinds,30,attack,Marítimo,0.0,in,Summer,1992,1992/1993
Menayane Tueba,29,Defensive Midfield,Farense,0.0,in,Summer,1992,1992/1993
Marcelo,22,Centre-Forward,Feirense,0.0,in,Summer,1992,1992/1993
Hugo Costa,18,Centre-Back,Benfica,0.0,in,Summer,1992,1992/1993
Luís Manuel,26,Central Midfield,Ovarense,0.0,out,Summer,1992,1992/1993
Remco Boere,30,Centre-Forward,FC Zwolle,0.0,out,Summer,1992,1992/1993
Rui Carlos,23,Central Midfield,Vitória Setúbal,0.0,out,Summer,1992,1992/1993
Camberra,21,Central Midfield,Rio Ave FC,0.0,out,Summer,1992,1992/1993
Armando dos Santos,27,attack,Farense,0.0,out,Summer,1992,1992/1993
Eliseu,23,Centre-Back,Beira-Mar,0.0,out,Summer,1992,1992/1993
Luís Miguel,19,midfield,União Lamas,0.0,out,Summer,1992,1992/1993
Zé Nuno,22,Right-Back,SC Braga,0.0,out,Summer,1992,1992/1993
Nuno Capucho,20,Right Winger,Sporting CP,0.0,out,Summer,1992,1992/1993
Raudnei,26,attack,Guarani,0.0,out,Summer,1992,1992/1993
Zé Nando,23,Left-Back,Famalicão,0.0,out,Summer,1992,1992/1993
Jaime Cerqueira,25,Central Midfield,Boavista,0.0,in,Winter,1992,1992/1993
Rui Neves,23,Right-Back,CF Estrela,0.0,in,Summer,1993,1993/1994
António Sousa,36,Left Midfield,Beira-Mar,0.0,in,Summer,1993,1993/1994
Jorge Vital,31,Goalkeeper,Tirsense,0.0,in,Summer,1993,1993/1994
Dito,31,Centre-Back,Espinho,0.0,in,Summer,1993,1993/1994
Pedro Roma,22,Goalkeeper,Benfica,0.0,in,Summer,1993,1993/1994
Hugo Costa,19,Centre-Back,Beira-Mar,0.0,out,Summer,1993,1993/1994
Marcelo,23,Centre-Forward,Tirsense,0.0,out,Summer,1993,1993/1994
Nando,30,defence,Famalicão,0.0,out,Summer,1993,1993/1994
Peter Hinds,31,attack,Unknown,0.0,out,Summer,1993,1993/1994
Fernando Brassard,21,Goalkeeper,Vit. Guimarães,0.0,out,Summer,1993,1993/1994
Menayane Tueba,30,Defensive Midfield,Retired,0.0,out,Summer,1993,1993/1994
Tozé,28,attack,FC Porto,0.0,in,Winter,1993,1993/1994
Ljubinko Drulovic,25,Left Winger,FC Porto,0.0,out,Winter,1993,1993/1994
Wilson,25,Centre-Back,Caldas,0.0,in,Summer,1994,1994/1995
José Lemos,22,Centre-Back,Esposende,0.0,in,Summer,1994,1994/1995
Neves,23,Right-Back,SC Braga,0.0,in,Summer,1994,1994/1995
Fernando Brassard,22,Goalkeeper,Vit. Guimarães,0.0,in,Summer,1994,1994/1995
João Oliveira Pinto,22,Right Winger,Estoril Praia,0.0,in,Summer,1994,1994/1995
César Gomes,18,Goalkeeper,Santa Maria,0.0,in,Summer,1994,1994/1995
Rui Neves,24,Right-Back,CF Estrela,0.0,out,Summer,1994,1994/1995
António Sousa,37,Left Midfield,Ovarense,0.0,out,Summer,1994,1994/1995
Morato,29,Centre-Back,Unknown,0.0,out,Summer,1994,1994/1995
Dito,32,Centre-Back,Torreense,0.0,out,Summer,1994,1994/1995
Laureta,32,Left-Back,Coimbra,0.0,out,Summer,1994,1994/1995
Tozé,28,attack,Farense,0.0,out,Summer,1994,1994/1995
Jaime Cerqueira,26,Central Midfield,Chaves,0.0,out,Summer,1994,1994/1995
Pedro Roma,23,Goalkeeper,Benfica,0.0,out,Summer,1994,1994/1995
Miguel Bruno,23,Centre-Forward,Belenenses,0.0,in,Winter,1994,1994/1995
Mandla Zwane,22,attack,FC Porto,0.0,in,Summer,1995,1995/1996
Luciano,26,Centre-Forward,Boavista,0.0,in,Summer,1995,1995/1996
Vatroslav Mihačić,27,Goalkeeper,Hajduk Split,0.0,in,Summer,1995,1995/1996
Jaime Cerqueira,27,Central Midfield,Chaves,0.0,in,Summer,1995,1995/1996
Madureira,19,Central Midfield,Leça,0.0,in,Summer,1995,1995/1996
Pedrosa,23,Central Midfield,Sporting CP,0.0,in,Summer,1995,1995/1996
Carlitos,18,Right Winger,Gil Vicente Y19,0.0,in,Summer,1995,1995/1996
Pedro Maciel,18,Centre-Back,Gil Vicente Y19,0.0,in,Summer,1995,1995/1996
Neves,24,Right-Back,Belenenses,0.0,out,Summer,1995,1995/1996
Fernando Brassard,23,Goalkeeper,Benfica,0.0,out,Summer,1995,1995/1996
César Gomes,19,Goalkeeper,FC Marinhas,0.0,out,Summer,1995,1995/1996
Miguel Bruno,23,Centre-Forward,Salgueiros,0.0,out,Summer,1995,1995/1996
Alexandre Margarido,26,Right-Back,Marítimo,0.0,in,Summer,1996,1996/1997
Formoso,22,Left Winger,Infesta,0.0,in,Summer,1996,1996/1997
Carlos Filipe,20,Defensive Midfield,União Lamas,0.0,in,Summer,1996,1996/1997
Pedro Caravana,17,Left Winger,Gil Vicente Y19,0.0,in,Summer,1996,1996/1997
Madureira,20,Central Midfield,Desportivo Aves,0.0,out,Summer,1996,1996/1997
Mandla Zwane,23,attack,Selangor FC,0.0,out,Summer,1996,1996/1997
João Oliveira Pinto,24,Right Winger,SC Braga,0.0,out,Summer,1996,1996/1997
Jaime Cerqueira,28,Central Midfield,Paços Ferreira,0.0,out,Summer,1996,1996/1997
Pedrosa,24,Central Midfield,Sporting CP,0.0,out,Summer,1996,1996/1997
Paulo Vida,25,Centre-Forward,LB Châteauroux,0.0,in,Winter,1996,1996/1997
Matias,32,Centre-Back,Vitória Setúbal,0.0,in,Winter,1996,1996/1997
Luciano,27,Centre-Forward,Americano,0.0,out,Winter,1996,1996/1997
Fangueiro,22,Right Winger,Vit. Guimarães,0.0,in,Summer,1999,1999/2000
Rondinha,26,attack,Lajeadense,0.0,in,Summer,1999,1999/2000
Marquinhos,24,midfield,Nacional,0.0,in,Summer,1999,1999/2000
Auri,25,Centre-Back,Vit. Guimarães,0.0,in,Summer,1999,1999/2000
Peter Rufai,35,Goalkeeper,Dep. La Coruña,0.0,in,Summer,1999,1999/2000
Ovidiu Lucian Cuc,26,Centre-Forward,Santa Clara,0.0,in,Summer,1999,1999/2000
Rui Guerreiro,24,Right-Back,SC Braga,0.0,in,Summer,1999,1999/2000
Xandy,19,attack,Lajeadense,0.0,in,Summer,1999,1999/2000
Paulo Lopes,21,Goalkeeper,Benfica,0.0,in,Summer,1999,1999/2000
Ricardo Nascimento,25,Attacking Midfield,Desportivo Aves,0.0,in,Summer,1999,1999/2000
Carlos,26,Centre-Back,Leça,0.0,in,Summer,1999,1999/2000
Petit,22,Defensive Midfield,Esposende,0.0,in,Summer,1999,1999/2000
Zé Nando,23,Left-Back,Leça,0.0,in,Summer,1999,1999/2000
Wilson,30,Centre-Back,Belenenses,0.0,out,Summer,1999,1999/2000
Dinis,32,Centre-Back,Maia,0.0,out,Summer,1999,1999/2000
Ricardo Silva,22,Right Winger,Boavista,0.0,out,Summer,1999,1999/2000
Rui Ferreira,26,Defensive Midfield,Salgueiros,0.0,out,Summer,1999,1999/2000
Almami Moreira,21,Attacking Midfield,Boavista,0.0,out,Summer,1999,1999/2000
Carlitos,22,Right Winger,CF Estrela,0.0,in,Winter,1999,1999/2000
Carlos André,28,Central Midfield,Penafiel,0.0,in,Winter,1999,1999/2000
Masena Moke,19,Centre-Forward,Esperance,0.0,out,Winter,1999,1999/2000
Eduardo Oliveira,24,Left-Back,Esposende,0.0,out,Winter,1999,1999/2000
Jaiminho,28,midfield,Freamunde,0.0,out,Winter,1999,1999/2000
Vítor Vieira,27,Right Winger,CF Estrela,0.0,in,Summer,2000,2000/2001
Clayton Maranhense,27,Attacking Midfield,Fortaleza,0.0,in,Summer,2000,2000/2001
Nuno Sampaio,25,Goalkeeper,Espinho,0.0,in,Summer,2000,2000/2001
Miguel Simao,27,attack,Sanf. Hiroshima,0.0,in,Summer,2000,2000/2001
Vargas,22,Left Winger,Sporting Praia,0.0,in,Summer,2000,2000/2001
Ivo Afonso,24,Centre-Back,Canelas 2010,0.0,in,Summer,2000,2000/2001
Sérgio Gameiro,24,Attacking Midfield,Santa Clara,0.0,in,Summer,2000,2000/2001
Paulo César,20,Right Winger,Villa Nova AC,0.0,in,Summer,2000,2000/2001
Pinheiro,23,Attacking Midfield,Dragões,0.0,in,Summer,2000,2000/2001
Adriano,22,Goalkeeper,Leixões,0.0,in,Summer,2000,2000/2001
Nuno Amaro,24,Left-Back,FC Marco,0.0,in,Summer,2000,2000/2001
Nuno Assis,22,Attacking Midfield,Sporting CP,0.0,in,Summer,2000,2000/2001
Guga,23,Right Winger,Belenenses,0.0,out,Summer,2000,2000/2001
Auri,26,Centre-Back,Vit. Guimarães,0.0,out,Summer,2000,2000/2001
Rondinha,27,attack,Lajeadense,0.0,out,Summer,2000,2000/2001
Xandy,20,attack,GDRC Os Sandinenses,0.0,out,Summer,2000,2000/2001
Ovidiu Lucian Cuc,27,Centre-Forward,FC Ashdod,0.0,out,Summer,2000,2000/2001
Paulo Lopes,22,Goalkeeper,Barreirense,0.0,out,Summer,2000,2000/2001
Carlitos,23,Right Winger,Benfica,0.0,out,Summer,2000,2000/2001
Ricardo Nascimento,26,Attacking Midfield,Montpellier,0.0,out,Summer,2000,2000/2001
Pedro Santos,24,Central Midfield,Boavista,0.0,out,Summer,2000,2000/2001
Petit,23,Defensive Midfield,Boavista,0.0,out,Summer,2000,2000/2001
Zé Nando,24,Left-Back,Paços Ferreira,0.0,out,Summer,2000,2000/2001
Peter Rufai,36,Goalkeeper,Retired,0.0,out,Summer,2000,2000/2001
Fangueiro,23,Right Winger,Vit. Guimarães,0.0,out,Summer,2000,2000/2001
Dário,21,Centre-Back,Sporting Praia,0.0,in,Winter,2000,2000/2001
Marquinhos,26,midfield,Chaves,0.0,out,Winter,2000,2000/2001
Tavares,24,attack,Penafiel,0.0,out,Winter,2000,2000/2001
Ali El Omari,23,Left Midfield,Espinho,0.0,in,Summer,2001,2001/2002
Maki,23,Centre-Forward,Vitória Setúbal,0.0,in,Summer,2001,2001/2002
Joca,21,Defensive Midfield,Famalicão,0.0,in,Summer,2001,2001/2002
Ricardo Fernandes,23,Attacking Midfield,Santa Clara,0.0,in,Summer,2001,2001/2002
Luís Loureiro,24,Defensive Midfield,Nacional,0.0,in,Summer,2001,2001/2002
Marco Nuno,26,Right Midfield,Farense,0.0,in,Summer,2001,2001/2002
Ricardo Nascimento,27,Attacking Midfield,Montpellier,0.0,in,Summer,2001,2001/2002
Manoel,23,Centre-Forward,Vit. Guimarães,0.0,in,Summer,2001,2001/2002
Nílton,22,Central Midfield,Desportivo Aves,0.0,in,Summer,2001,2001/2002
Paulo Alves,31,Centre-Forward,Leiria,0.0,in,Summer,2001,2001/2002
Bruno Aguiar,20,Central Midfield,Benfica,0.0,in,Summer,2001,2001/2002
Roudolphe Douala,22,Left Winger,Boavista,0.0,in,Summer,2001,2001/2002
Vítor Oliveira,19,Goalkeeper,Gil Vicente Y19,0.0,in,Summer,2001,2001/2002
Nuno Sampaio,26,Goalkeeper,Leça,0.0,out,Summer,2001,2001/2002
Carlos André,29,Central Midfield,Vit. Guimarães,0.0,out,Summer,2001,2001/2002
Vítor Vieira,28,Right Winger,Santa Clara,0.0,out,Summer,2001,2001/2002
Clayton Maranhense,28,Attacking Midfield,Fortaleza,0.0,out,Summer,2001,2001/2002
Miguel Simao,28,attack,Moreirense,0.0,out,Summer,2001,2001/2002
Pedro Caravana,22,Left Winger,Bragança,0.0,out,Summer,2001,2001/2002
Vargas,23,Left Winger,Lus. Lourosa,0.0,out,Summer,2001,2001/2002
Paulo César,21,Right Winger,Vit. Guimarães,0.0,out,Summer,2001,2001/2002
Pinheiro,24,Attacking Midfield,Ovarense,0.0,out,Summer,2001,2001/2002
Pedro Bessa,24,Right-Back,Vit. Guimarães,0.0,out,Summer,2001,2001/2002
Dário,22,Centre-Back,Ovarense,0.0,out,Summer,2001,2001/2002
Nuno Assis,23,Attacking Midfield,Sporting CP,0.0,out,Summer,2001,2001/2002
Ricardo Nascimento,27,Attacking Midfield,SC Braga,0.0,out,Winter,2001,2001/2002
Larry,19,Centre-Forward,FC 105 Libreville,0.0,in,Summer,2002,2002/2003
Geraldo Alves,21,Centre-Back,Benfica,0.0,in,Summer,2002,2002/2003
Braíma Injai,26,Defensive Midfield,Leça,0.0,in,Summer,2002,2002/2003
Rodri,25,Central Midfield,Farense,0.0,in,Summer,2002,2002/2003
Étienne Bito'o,22,Right Winger,FC 105 Libreville,0.0,in,Summer,2002,2002/2003
