player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Rui Óscar,19,Right-Back,União Lamas,0.0,in,Summer,1995,1995/1996
Milan Djurdjevic,27,attack,RCD Mallorca,0.0,in,Summer,1995,1995/1996
Paulo Fonseca,22,Centre-Back,Barreirense,0.0,in,Summer,1995,1995/1996
Luciano,28,Goalkeeper,SC Covilhã,0.0,in,Summer,1995,1995/1996
Jaime Magalhães,32,Right Midfield,FC Porto,0.0,in,Summer,1995,1995/1996
Best,26,Goalkeeper,Salgueiros,0.0,in,Summer,1995,1995/1996
Matias,31,Centre-Back,Vit. Guimarães,0.0,in,Summer,1995,1995/1996
Jordão,23,Defensive Midfield,CF Estrela,0.0,out,Summer,1995,1995/1996
Earl Jean,23,Centre-Forward,CA Felgueiras,0.0,out,Summer,1995,1995/1996
António Caldas,36,Goalkeeper,Leixões,0.0,out,Summer,1995,1995/1996
Madureira,19,Central Midfield,Gil Vicente,0.0,out,Summer,1995,1995/1996
Sérgio Conceição,20,Right Winger,FC Porto,0.0,out,Summer,1995,1995/1996
Milan Djurdjevic,28,attack,Perpignan,0.0,out,Winter,1995,1995/1996
Matias,31,Centre-Back,FC Porto,0.0,out,Winter,1995,1995/1996
Miguel Reisinho,20,Right Winger,Penafiel,0.0,out,Winter,1995,1995/1996
Pedro Franco,22,Centre-Back,Nacional,0.0,in,Summer,1996,1996/1997
Tozé,26,midfield,Tirsense,0.0,in,Summer,1996,1996/1997
Milic Jovanovic,30,Goalkeeper,Nacional,0.0,in,Summer,1996,1996/1997
Valeriano de Oliveira,21,attack,Unknown,0.0,in,Summer,1996,1996/1997
Walter,28,Right-Back,Vit. Guimarães,0.0,in,Summer,1996,1996/1997
Pedro Mesquita,28,Right-Back,Rio Ave FC,0.0,in,Summer,1996,1996/1997
Rui Óscar,20,Right-Back,FC Porto,0.0,out,Summer,1996,1996/1997
Paulo Fonseca,23,Centre-Back,Belenenses,0.0,out,Summer,1996,1996/1997
Luciano,29,Goalkeeper,Castelo Branco,0.0,out,Summer,1996,1996/1997
Isaias,28,Centre-Back,Boavista,0.0,out,Summer,1996,1996/1997
Best,27,Goalkeeper,Tirsense,0.0,out,Summer,1996,1996/1997
Jaime Magalhães,33,Right Midfield,Retired,0.0,out,Summer,1996,1996/1997
Paulinho,23,Second Striker,América-MG,0.0,out,Winter,1996,1996/1997
Ricardo Carvalho,19,Centre-Back,FC Porto,0.0,in,Summer,1997,1997/1998
Carlos,24,Centre-Back,Freamunde,0.0,in,Summer,1997,1997/1998
Cao,28,Defensive Midfield,Salgueiros,0.0,out,Summer,1997,1997/1998
Walter,29,Right-Back,Gil Vicente,0.0,out,Summer,1997,1997/1998
Valeriano de Oliveira,22,attack,Retired,0.0,out,Summer,1997,1997/1998
Nuno Rocha,20,Central Midfield,Paços Ferreira,0.0,in,Winter,1997,1997/1998
Pedro Franco,23,Centre-Back,Maia,0.0,out,Winter,1997,1997/1998
