player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sérgio Lomba,28,Centre-Back,Gil Vicente,0.0,in,Summer,2002,2002/2003
Roberto Volpato,23,Goalkeeper,Criciúma EC,0.0,in,Summer,2002,2002/2003
Demétrios,31,Centre-Forward,Beira-Mar,0.0,in,Summer,2002,2002/2003
Anderson,24,Centre-Forward,Benfica,0.0,in,Summer,2002,2002/2003
Jorge Duarte,27,Defensive Midfield,Vit. Guimarães,0.0,in,Summer,2002,2002/2003
Mauro César,28,Right Winger,Santa Cruz,0.0,in,Summer,2002,2002/2003
Flávio Cordeiro,27,Centre-Forward,Clube Malutrom (PR),0.0,in,Summer,2002,2002/2003
Afonso Martins,29,Left Midfield,Sporting CP,0.0,in,Summer,2002,2002/2003
Lima,29,Centre-Back,Náutico,0.0,in,Summer,2002,2002/2003
Cristiano Grotto,29,Centre-Back,Marília,0.0,in,Summer,2002,2002/2003
Rufino Lekué,27,Goalkeeper,Freamunde,0.0,in,Summer,2002,2002/2003
Vitor Pereira,23,Defensive Midfield,CF Extremadura,0.0,in,Summer,2002,2002/2003
Nuno Cavaleiro,26,Right Winger,CF Estrela,0.0,in,Summer,2002,2002/2003
Agostinho,26,Left Winger,Paris SG,0.0,in,Summer,2002,2002/2003
Rui César,24,Attacking Midfield,Camacha,0.0,out,Summer,2002,2002/2003
César Marques,20,Defensive Midfield,Fafe,0.0,out,Summer,2002,2002/2003
Miguel Simao,29,attack,Fafe,0.0,out,Summer,2002,2002/2003
Ido,26,midfield,União Lamas,0.0,out,Summer,2002,2002/2003
Artur Jorge,31,Centre-Forward,Espinho,0.0,out,Summer,2002,2002/2003
Roberto,23,Centre-Forward,Coimbra,0.0,out,Summer,2002,2002/2003
Zacarias,30,attack,Espinho,0.0,out,Summer,2002,2002/2003
Kipulo,20,Centre-Back,FC Marco,0.0,out,Summer,2002,2002/2003
Nuno Mendes,24,Centre-Back,SC Braga,0.0,in,Winter,2002,2002/2003
Ido,26,midfield,União Lamas,0.0,in,Winter,2002,2002/2003
Víctor Quintana,26,Defensive Midfield,Cruzeiro,0.0,in,Winter,2002,2002/2003
César Marques,21,Defensive Midfield,Fafe,0.0,in,Winter,2002,2002/2003
Cristiano Grotto,29,Centre-Back,Unknown,0.0,out,Winter,2002,2002/2003
Lima,30,Centre-Back,Paysandu SC,0.0,out,Winter,2002,2002/2003
Flávio Cordeiro,27,Centre-Forward,Avaí FC,0.0,out,Winter,2002,2002/2003
Anderson,24,Centre-Forward,Benfica,0.0,out,Winter,2002,2002/2003
Carlos Lima,25,Attacking Midfield,SC Braga,0.0,in,Summer,2003,2003/2004
Bruno Mestre,21,Right Winger,Farense,0.0,in,Summer,2003,2003/2004
João Carlos,23,Goalkeeper,Caçadores,0.0,in,Summer,2003,2003/2004
Rêgo,24,Attacking Midfield,Unknown,0.0,in,Summer,2003,2003/2004
Laelson,27,Right Winger,Vit. Guimarães,0.0,in,Summer,2003,2003/2004
Lito,28,Right Winger,Maia,0.0,in,Summer,2003,2003/2004
Sena,25,Right-Back,Penafiel,0.0,in,Summer,2003,2003/2004
Tito,31,Left-Back,SC Braga,0.0,in,Summer,2003,2003/2004
Castro,24,Defensive Midfield,Fafe,0.0,in,Summer,2003,2003/2004
Nuno Claro,26,Goalkeeper,Gondomar,0.0,in,Summer,2003,2003/2004
Manoel,25,Centre-Forward,Gil Vicente,0.0,in,Summer,2003,2003/2004
Ricardo Fernandes,25,Centre-Back,Salgueiros,0.0,in,Summer,2003,2003/2004
Cristian Uribe,27,Central Midfield,Without Club,0.0,in,Summer,2003,2003/2004
Kipulo,21,Centre-Back,FC Marco,0.0,in,Summer,2003,2003/2004
Rufino Lekué,28,Goalkeeper,FC Marco,0.0,out,Summer,2003,2003/2004
Manuel Altino,36,Centre-Back,Lixa,0.0,out,Summer,2003,2003/2004
Alex,23,Right-Back,Benfica,0.0,out,Summer,2003,2003/2004
César Marques,21,Defensive Midfield,Famalicão,0.0,out,Summer,2003,2003/2004
Roberto Volpato,24,Goalkeeper,Criciúma EC,0.0,out,Summer,2003,2003/2004
Mauro César,29,Right Winger,União Madeira,0.0,out,Summer,2003,2003/2004
Sérgio Gomes,23,Goalkeeper,CA Felgueiras,0.0,out,Summer,2003,2003/2004
Armando Evangelista,29,Defensive Midfield,Lixa,0.0,out,Summer,2003,2003/2004
Víctor Quintana,27,Defensive Midfield,Olimpia,0.0,out,Summer,2003,2003/2004
Nuno Cavaleiro,27,Right Winger,Vizela,0.0,out,Summer,2003,2003/2004
Ido,27,midfield,SC Covilhã,0.0,out,Summer,2003,2003/2004
Serafim,29,Left-Back,Santa Clara,0.0,out,Summer,2003,2003/2004
João Duarte,27,Centre-Back,Santa Clara,0.0,out,Summer,2003,2003/2004
Flávio Meireles,26,Defensive Midfield,Vit. Guimarães,0.0,out,Summer,2003,2003/2004
Afonso Martins,30,Left Midfield,Vit. Guimarães,0.0,out,Summer,2003,2003/2004
Agostinho,27,Left Winger,Poli Ejido,0.0,out,Summer,2003,2003/2004
Laelson,27,Right Winger,Varzim,0.0,out,Summer,2003,2003/2004
Luís Vouzela,29,Central Midfield,Santa Clara,0.0,in,Winter,2003,2003/2004
Jorge Brítez,22,Defensive Midfield,Maccabi Haifa,0.0,in,Winter,2003,2003/2004
Bruno,29,Central Midfield,Marítimo,0.0,in,Winter,2003,2003/2004
Afonso Martins,31,Left Midfield,Vit. Guimarães,0.0,in,Summer,2004,2004/2005
Fernando,23,Left Midfield,Varzim,0.0,in,Summer,2004,2004/2005
João Manuel,NA,Central Midfield,Leiria,0.0,in,Summer,2004,2004/2005
Filipe Anunciacão,25,Defensive Midfield,Boavista,0.0,in,Summer,2004,2004/2005
Luís Carlos,18,Centre-Forward,Moreirense U19,0.0,in,Summer,2004,2004/2005
