player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Wilson Júnior,28,Goalkeeper,Sorocaba (SP),0.0,in,Summer,2005,2005/2006
Ivo Neto,20,attack,UD Tocha,0.0,in,Summer,2005,2005/2006
João Paulo,22,Centre-Back,Goiás EC,0.0,in,Summer,2005,2005/2006
Bruno Fogaça,23,Centre-Forward,Avaí FC,0.0,in,Summer,2005,2005/2006
Lito,30,Right Winger,Moreirense,0.0,in,Summer,2005,2005/2006
Pedro Bessa,28,Right-Back,Vit. Guimarães,0.0,in,Summer,2005,2005/2006
China,23,defence,Maia,0.0,in,Summer,2005,2005/2006
Saulo,23,Right Winger,Rio Ave FC,0.0,in,Summer,2005,2005/2006
Gilmar,31,Defensive Midfield,Varzim,0.0,in,Summer,2005,2005/2006
Léo Guerra,28,Centre-Forward,Fluminense,0.0,in,Summer,2005,2005/2006
Renato Benatti,23,Centre-Back,Brasiliense FC,0.0,in,Summer,2005,2005/2006
João Mendes,18,Defensive Midfield,Naval U19,0.0,in,Summer,2005,2005/2006
Pesquina,21,Centre-Forward,SC Covilhã,0.0,in,Summer,2005,2005/2006
Diogo Luís,24,Left-Back,Estoril Praia,0.0,out,Summer,2005,2005/2006
Lucien Pina Cruz,20,Goalkeeper,RFCU Luxembourg,0.0,out,Summer,2005,2005/2006
Hamid Rhanem,24,Left Winger,Clermont FA,0.0,out,Summer,2005,2005/2006
Marcinho,23,Attacking Midfield,Atlético-GO,0.0,out,Summer,2005,2005/2006
Zé Roberto,27,Attacking Midfield,Beira-Mar,0.0,out,Summer,2005,2005/2006
Ivo Afonso,29,Centre-Back,Moreirense,0.0,out,Summer,2005,2005/2006
Leonardo,27,Centre-Back,Camacha,0.0,out,Summer,2005,2005/2006
Basílio Almeida,33,Second Striker,Santa Clara,0.0,out,Summer,2005,2005/2006
Pedro Cervantes,23,Attacking Midfield,Leixões,0.0,out,Summer,2005,2005/2006
Pesquina,21,Centre-Forward,Pombal,0.0,out,Summer,2005,2005/2006
José Carlos,34,defence,Retired,0.0,out,Summer,2005,2005/2006
Leandro Tatu,23,Second Striker,Internacional,0.0,out,Summer,2005,2005/2006
Pedro Franco,31,Centre-Back,FC Seoul,0.0,in,Winter,2005,2005/2006
Tiago Fraga,24,Attacking Midfield,Goiás EC,0.0,in,Winter,2005,2005/2006
Pedro Santos,29,Central Midfield,Without Club,0.0,in,Winter,2005,2005/2006
Glauber,30,midfield,Leixões,0.0,out,Winter,2005,2005/2006
Ivo Neto,20,attack,Atoladinhos,0.0,out,Winter,2005,2005/2006
Renato Benatti,24,Centre-Back,Bento Gonçalves,0.0,out,Winter,2005,2005/2006
Miguel Afonso,20,Centre-Back,Marialvas,0.0,out,Winter,2005,2005/2006
Pimenta,20,Left Winger,SC Covilhã,0.0,in,Summer,2006,2006/2007
Dudu,24,Attacking Midfield,GE Juventus-SC,0.0,in,Summer,2006,2006/2007
Gaúcho,25,Centre-Back,Portuguesa,0.0,in,Summer,2006,2006/2007
Paulão,23,Centre-Back,SE Gama,0.0,in,Summer,2006,2006/2007
Valdir,22,Left-Back,Sporting CP,0.0,in,Summer,2006,2006/2007
Orestes,25,Centre-Back,Santa Clara,0.0,in,Summer,2006,2006/2007
Banjai,24,Centre-Back,SC Covilhã,0.0,in,Summer,2006,2006/2007
Mário Sérgio,25,Right-Back,Sporting CP,0.0,in,Summer,2006,2006/2007
Nei,26,Centre-Forward,Moreirense,0.0,in,Summer,2006,2006/2007
Tony,22,Defensive Midfield,Avaí FC,0.0,in,Summer,2006,2006/2007
Elivélton,23,Centre-Forward,GE Juventus-SC,0.0,in,Summer,2006,2006/2007
João Ribeiro,18,Left Winger,FC Porto B,0.0,in,Summer,2006,2006/2007
André Martins,19,Centre-Forward,Naval U19,0.0,in,Summer,2006,2006/2007
Pesquina,22,Centre-Forward,Pombal,0.0,in,Summer,2006,2006/2007
Miguel Afonso,21,Centre-Back,Marialvas,0.0,in,Summer,2006,2006/2007
Bruno Fogaça,24,Centre-Forward,Skoda Xanthi,100000.0,out,Summer,2006,2006/2007
João Paulo,23,Centre-Back,Ponte Preta,0.0,out,Summer,2006,2006/2007
Rui Miguel,22,Attacking Midfield,SL Nelas,0.0,out,Summer,2006,2006/2007
Aurélio Sousa Teixeira,23,Centre-Back,CS Chênois,0.0,out,Summer,2006,2006/2007
Nélson Veiga,28,Centre-Back,Omonia Nikosia,0.0,out,Summer,2006,2006/2007
Pedro Franco,32,Centre-Back,Vit. Guimarães,0.0,out,Summer,2006,2006/2007
Pedro Bessa,29,Right-Back,Boavista,0.0,out,Summer,2006,2006/2007
Jérémy Sopalski,25,Goalkeeper,Rodez AF,0.0,out,Summer,2006,2006/2007
Banjai,25,Centre-Back,SC Covilhã,0.0,out,Summer,2006,2006/2007
Pesquina,22,Centre-Forward,SC Covilhã,0.0,out,Summer,2006,2006/2007
João Mendes,19,Defensive Midfield,FC Pampilhosa,0.0,out,Summer,2006,2006/2007
Miguel Afonso,21,Centre-Back,Mirandense,0.0,out,Summer,2006,2006/2007
Éder Richartz,24,Attacking Midfield,Without Club,0.0,out,Summer,2006,2006/2007
Osvaldo,22,Centre-Forward,Vihren,0.0,in,Winter,2006,2006/2007
Delfim,29,Defensive Midfield,Without Club,0.0,in,Winter,2006,2006/2007
Léo Guerra,30,Centre-Forward,Volta Redonda,0.0,out,Winter,2006,2006/2007
Sufrim,25,Defensive Midfield,SC Covilhã,0.0,out,Winter,2006,2006/2007
Marcelinho,22,Centre-Forward,Avaí FC,380000.0,in,Summer,2007,2007/2008
Bruno Cazarine,24,Centre-Forward,Terrassa FC,0.0,in,Summer,2007,2007/2008
Fabricio Lopes,23,Centre-Back,Al-Ain FC,0.0,in,Summer,2007,2007/2008
Diego Ângelo,21,Centre-Back,Ituano,0.0,in,Summer,2007,2007/2008
Nicolas Godemeche,23,Central Midfield,Montpellier,0.0,in,Summer,2007,2007/2008
Davide Dias,24,Right Winger,SC Braga,0.0,in,Summer,2007,2007/2008
Eanes,26,midfield,Coritiba FC,0.0,in,Summer,2007,2007/2008
Tiago Freitas,26,attack,CRB,0.0,in,Summer,2007,2007/2008
Wandeir,27,Second Striker,Vardar,0.0,in,Summer,2007,2007/2008
Dani,33,Goalkeeper,Algeciras CF,0.0,in,Summer,2007,2007/2008
Bruno Lazaroni,26,Central Midfield,Vasco da Gama,0.0,in,Summer,2007,2007/2008
Igor Rocha,23,Left-Back,Boavista,0.0,in,Summer,2007,2007/2008
Felipe,22,Central Midfield,Palmeiras,0.0,in,Summer,2007,2007/2008
Café,22,Goalkeeper,Coritiba FC,0.0,in,Summer,2007,2007/2008
Hugo Santos,24,Left Winger,Operário Lagoa,0.0,in,Summer,2007,2007/2008
Wilson Júnior,30,Goalkeeper,Without Club,0.0,in,Summer,2007,2007/2008
Banjai,25,Centre-Back,SC Covilhã,0.0,in,Summer,2007,2007/2008
Miguel Afonso,22,Centre-Back,Mirandense,0.0,in,Summer,2007,2007/2008
João Mendes,20,Defensive Midfield,FC Pampilhosa,0.0,in,Summer,2007,2007/2008
Nei,27,Centre-Forward,CSKA Sofia,600000.0,out,Summer,2007,2007/2008
Orestes,26,Centre-Back,Hansa Rostock,250000.0,out,Summer,2007,2007/2008
Lito,32,Right Winger,Coimbra,0.0,out,Summer,2007,2007/2008
André Martins,20,Centre-Forward,Fulham Res.,0.0,out,Summer,2007,2007/2008
Valdir,23,Left-Back,Paços Ferreira,0.0,out,Summer,2007,2007/2008
Fajardo,28,Attacking Midfield,Vit. Guimarães,0.0,out,Summer,2007,2007/2008
Tony,23,Defensive Midfield,Beira-Mar,0.0,out,Summer,2007,2007/2008
Osvaldo,23,Centre-Forward,Portimonense,0.0,out,Summer,2007,2007/2008
Fernando,33,Centre-Back,Beira-Mar,0.0,out,Summer,2007,2007/2008
Pimenta,21,Left Winger,Portimonense,0.0,out,Summer,2007,2007/2008
Miguel Afonso,22,Centre-Back,Anadia FC,0.0,out,Summer,2007,2007/2008
João Mendes,20,Defensive Midfield,GD Tourizense,0.0,out,Summer,2007,2007/2008
Tiago Fraga,26,Attacking Midfield,Without Club,0.0,out,Summer,2007,2007/2008
Wilson Júnior,30,Goalkeeper,Without Club,0.0,out,Summer,2007,2007/2008
Pedro Santos,31,Central Midfield,Without Club,0.0,out,Summer,2007,2007/2008
Marinho,24,Right Winger,CD Fátima,100000.0,in,Winter,2007,2007/2008
Bruno Cazarine,24,Centre-Forward,Bragantino,0.0,out,Winter,2007,2007/2008
Banjai,26,Centre-Back,Louletano,0.0,out,Winter,2007,2007/2008
Felipe,22,Central Midfield,Louletano,0.0,out,Winter,2007,2007/2008
Solimar,32,Attacking Midfield,Portimonense,0.0,out,Winter,2007,2007/2008
Wandeir,27,Second Striker,Pandurii,0.0,out,Winter,2007,2007/2008
João Real,25,Centre-Back,SC Covilhã,0.0,in,Summer,2008,2008/2009
Bruno Jorge,23,Goalkeeper,Estoril Praia,0.0,in,Summer,2008,2008/2009
Alexandre Hauw,26,Left Midfield,FC Gueugnon,0.0,in,Summer,2008,2008/2009
Sekou Baradji,24,Defensive Midfield,FC Martigues,0.0,in,Summer,2008,2008/2009
Romuald Peiser,28,Goalkeeper,FC Gueugnon,0.0,in,Summer,2008,2008/2009
Daniel Cruz,26,Left-Back,Paraná,0.0,in,Summer,2008,2008/2009
