player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marco Aurélio,26,Goalkeeper,Santa Cruz,0.0,in,Summer,1996,1996/1997
Aziz El Ouali,25,Attacking Midfield,Le Mans UC 72,0.0,in,Summer,1996,1996/1997
Sob Evariste Dibo,27,Attacking Midfield,Vejle BK,0.0,in,Summer,1996,1996/1997
Nenad Divac,27,Right-Back,Radnicki Nis,0.0,in,Summer,1996,1996/1997
Luís Coentrão,19,Attacking Midfield,Rio Ave FC U19,0.0,in,Summer,1996,1996/1997
Tiago Oliveira,17,Goalkeeper,Rio Ave FC U19,0.0,in,Summer,1996,1996/1997
Rifa,29,Left Winger,Famalicão,0.0,out,Summer,1996,1996/1997
Mirsad Omerhodzic,29,Attacking Midfield,Beira-Mar,0.0,out,Summer,1996,1996/1997
António Resende,26,midfield,Beja,0.0,out,Summer,1996,1996/1997
Pedro Mesquita,28,Right-Back,Leça,0.0,out,Summer,1996,1996/1997
Carlos Brito,32,Centre-Back,Retired,0.0,out,Summer,1996,1996/1997
Marco Aurélio,26,Goalkeeper,Farense,0.0,out,Winter,1996,1996/1997
Gamboa,23,Right Winger,SC Braga,0.0,out,Winter,1996,1996/1997
Niquinha,25,Central Midfield,Santa Cruz,0.0,in,Summer,1997,1997/1998
Nelo,29,Central Midfield,Boavista,0.0,in,Summer,1997,1997/1998
Tó Luis,29,Goalkeeper,Boavista,0.0,in,Summer,1997,1997/1998
Quinzinho,23,Centre-Forward,FC Porto,0.0,in,Summer,1997,1997/1998
Nélson,29,Goalkeeper,Marítimo,0.0,out,Summer,1997,1997/1998
Aziz El Ouali,26,Attacking Midfield,Tours FC,0.0,out,Summer,1997,1997/1998
João Pedro Sousa,25,Centre-Forward,Vila Real,0.0,out,Summer,1997,1997/1998
Armando Sá,22,Right-Back,Vila Real,100000.0,in,Summer,1998,1998/1999
To Zé,27,Goalkeeper,Nacional,0.0,in,Summer,1998,1998/1999
Pedro Mesquita,28,Right-Back,Leça,0.0,in,Summer,1998,1998/1999
Jorge Humberto,18,Centre-Back,Rio Ave FC U19,0.0,in,Summer,1998,1998/1999
Quinzinho,24,Centre-Forward,FC Porto,0.0,out,Summer,1998,1998/1999
Duda,24,Right Winger,Kashiwa Reysol,0.0,in,Winter,1998,1998/1999
Marcos,23,Centre-Back,PSV Eindhoven,0.0,out,Winter,1998,1998/1999
Camberra,27,Central Midfield,Leça,0.0,out,Winter,1998,1998/1999
Hugo Henrique,24,Centre-Forward,CS Sergipe-SE,0.0,in,Summer,1999,1999/2000
Artur Jorge Vicente,26,attack,Leiria,0.0,in,Summer,1999,1999/2000
Jader,21,Central Midfield,Vera Cruz-PE,0.0,in,Summer,1999,1999/2000
Fábio Ramos,19,Attacking Midfield,Rio Ave FC U19,0.0,in,Summer,1999,1999/2000
Miguelito,18,Left-Back,Rio Ave FC U19,0.0,in,Summer,1999,1999/2000
Emanuel,23,Central Midfield,Boavista,0.0,out,Summer,1999,1999/2000
Nelo,31,Central Midfield,Moreirense,0.0,out,Summer,1999,1999/2000
Sob Evariste Dibo,30,Attacking Midfield,SC Braga,0.0,out,Summer,1999,1999/2000
Nenad Divac,30,Right-Back,Desportivo Aves,0.0,out,Summer,1999,1999/2000
Duda,25,Right Winger,FC Porto,0.0,out,Summer,1999,1999/2000
Pedro Mesquita,29,Right-Back,Leça,0.0,out,Summer,1999,1999/2000
Rochinha,24,Centre-Back,Canelas 2010,0.0,in,Winter,1999,1999/2000
Danielson,22,Centre-Back,SE Gama,0.0,in,Summer,2003,2003/2004
Cuco,21,Central Midfield,Santa Clara,0.0,in,Summer,2003,2003/2004
Jaime Júnior,24,Attacking Midfield,Vit. Guimarães,0.0,in,Summer,2003,2003/2004
Paulo César,23,Right Winger,Anápolis-GO,0.0,in,Summer,2003,2003/2004
Idalécio,29,Centre-Back,Nacional,0.0,in,Summer,2003,2003/2004
Miguel Mora,29,Goalkeeper,União Madeira,0.0,in,Summer,2003,2003/2004
Junas Naciri,30,Attacking Midfield,União Madeira,0.0,in,Summer,2003,2003/2004
Tiago Carneiro,19,Left Winger,GD Joane,0.0,in,Summer,2003,2003/2004
Zé Gomes,26,Right-Back,Ovarense,0.0,in,Summer,2003,2003/2004
Nuno Sousa,30,Centre-Forward,Gondomar,0.0,in,Summer,2003,2003/2004
Rui Manuel,26,Central Midfield,Nogueirense,0.0,out,Summer,2003,2003/2004
Mércio,23,Central Midfield,Desportivo Aves,0.0,out,Summer,2003,2003/2004
António Carvalho,21,Centre-Back,Oliveirense,0.0,out,Summer,2003,2003/2004
Romano Sion,32,Centre-Forward,Uni. Las Palmas,0.0,out,Summer,2003,2003/2004
André Vilas Boas,20,Centre-Back,FC Porto,0.0,out,Summer,2003,2003/2004
Nuno Sousa,29,Centre-Forward,Gondomar,0.0,out,Summer,2003,2003/2004
Delson,23,Defensive Midfield,Salgueiros,0.0,in,Summer,2004,2004/2005
Gaúcho,31,Centre-Forward,Busan I'Park,0.0,in,Summer,2004,2004/2005
Saulo,22,Right Winger,Maia,0.0,in,Summer,2004,2004/2005
Marquinhos,21,Central Midfield,Oliveira Bairro,0.0,in,Summer,2004,2004/2005
Ricardo Nascimento,30,Attacking Midfield,Maia,0.0,in,Summer,2004,2004/2005
Adriano,21,Goalkeeper,Valenciano,0.0,in,Summer,2004,2004/2005
Amaobi,22,attack,Nam Dinh FC,0.0,in,Summer,2004,2004/2005
Flávio,19,Attacking Midfield,Rio Ave FC U19,0.0,in,Summer,2004,2004/2005
Vandinho,26,Central Midfield,SC Braga,0.0,out,Summer,2004,2004/2005
Ronny van Es,26,Centre-Forward,Stormv. Telstar,0.0,out,Summer,2004,2004/2005
Jaime Júnior,25,Attacking Midfield,SC Braga,0.0,out,Summer,2004,2004/2005
Cuco,22,Central Midfield,Ovarense,0.0,out,Summer,2004,2004/2005
Ruben,21,Central Midfield,Unknown,0.0,out,Summer,2004,2004/2005
Toni,37,Centre-Forward,SC Braga,0.0,out,Summer,2004,2004/2005
Mário Neves,31,Goalkeeper,Retired,0.0,out,Summer,2004,2004/2005
Cuco,22,Central Midfield,Ovarense,0.0,in,Winter,2004,2004/2005
Ricardo Nascimento,30,Attacking Midfield,FC Seoul,250000.0,out,Winter,2004,2004/2005
Nuno Sousa,30,Centre-Forward,Paços Ferreira,0.0,out,Winter,2004,2004/2005
Pedro Franco,30,Centre-Back,FC Seoul,0.0,out,Winter,2004,2004/2005
Amaobi,23,attack,Da Nang FC,0.0,out,Winter,2004,2004/2005
Tiago Carneiro,21,Left Winger,FC Marco,0.0,out,Winter,2004,2004/2005
Cuco,22,Central Midfield,Rio Tinto,0.0,out,Winter,2004,2004/2005
Diogo Furlan,22,Left-Back,Anápolis-GO,0.0,in,Summer,2005,2005/2006
Agostinho,29,Left Winger,CA Felgueiras,0.0,in,Summer,2005,2005/2006
Milhazes,24,Left-Back,Boavista,0.0,in,Summer,2005,2005/2006
Ladji Keita,22,Centre-Forward,Alverca,0.0,in,Summer,2005,2005/2006
António Carvalho,23,Centre-Back,CA Valdevez,0.0,in,Summer,2005,2005/2006
Ricardo Jorge,24,Right Winger,Dragões,0.0,in,Summer,2005,2005/2006
Diego,18,Attacking Midfield,Náutico,0.0,in,Summer,2005,2005/2006
Philip Chidi Onyemah,21,Centre-Forward,Famalicão,0.0,in,Summer,2005,2005/2006
Cleiton,25,Attacking Midfield,Anápolis-GO,0.0,in,Summer,2005,2005/2006
André Serrão,19,Central Midfield,Rio Ave FC U19,0.0,in,Summer,2005,2005/2006
Tiago Carneiro,21,Left Winger,FC Marco,0.0,in,Summer,2005,2005/2006
