player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dacroce,24,midfield,Internacional,0.0,in,Summer,1992,1992/1993
Carlos André,20,Central Midfield,Estoril Praia,0.0,in,Summer,1992,1992/1993
Aleksandar Krstic,30,Centre-Forward,Rodez AF,0.0,in,Summer,1992,1992/1993
Acácio,33,Goalkeeper,Tirsense,0.0,in,Summer,1992,1992/1993
Helcinho,22,Attacking Midfield,Internacional,0.0,in,Summer,1992,1992/1993
Manuel Cabral,NA,Left-Back,Portimonense,0.0,in,Summer,1992,1992/1993
Marko Nenezic,28,midfield,Rodez AF,0.0,in,Summer,1992,1992/1993
Marquinhos,28,midfield,Famalicão,0.0,in,Summer,1992,1992/1993
Eliseu,23,Centre-Back,Gil Vicente,0.0,in,Summer,1992,1992/1993
Júlio,23,attack,Unknown,0.0,in,Summer,1992,1992/1993
Vlado Bozinoski,28,Central Midfield,Ipswich,0.0,out,Summer,1992,1992/1993
Hélder Catalão,37,Goalkeeper,Nacional,0.0,out,Summer,1992,1992/1993
Antonio Miranda,26,Attacking Midfield,Paços Ferreira,0.0,out,Summer,1992,1992/1993
Jarbas,31,Left Winger,Náutico,0.0,out,Summer,1992,1992/1993
China,32,midfield,Leixões,0.0,out,Summer,1992,1992/1993
Miguel Bruno,21,Centre-Forward,Paços Ferreira,0.0,in,Summer,1993,1993/1994
Hugo Costa,19,Centre-Back,Gil Vicente,0.0,in,Summer,1993,1993/1994
Carlos Costa,26,Defensive Midfield,Feirense,0.0,in,Summer,1993,1993/1994
Dragan Punisic,27,Attacking Midfield,CD Castellón,0.0,in,Summer,1993,1993/1994
Nuno Sampaio,18,Goalkeeper,Benfica,0.0,in,Summer,1993,1993/1994
Jorge Vinagre,18,Left-Back,Beira-Mar U19,0.0,in,Summer,1993,1993/1994
Petar Petrov,32,Left-Back,Beroe,0.0,out,Summer,1993,1993/1994
Dacroce,25,midfield,Belenenses,0.0,out,Summer,1993,1993/1994
Marquinhos,29,midfield,Unknown,0.0,out,Summer,1993,1993/1994
Serrinha,28,midfield,Chaves,0.0,out,Summer,1993,1993/1994
Tó Manel,31,attack,Unknown,0.0,out,Summer,1993,1993/1994
Mito,27,Central Midfield,Coimbra,0.0,out,Summer,1993,1993/1994
Redondo,31,Centre-Back,Tirsense,0.0,out,Summer,1993,1993/1994
Vitor Duarte,33,Centre-Back,Coimbra,0.0,out,Summer,1993,1993/1994
Torres,20,Goalkeeper,Unknown,0.0,out,Summer,1993,1993/1994
Marko Nenezic,29,midfield,ESA Brive,0.0,out,Summer,1993,1993/1994
Paulino Silva,35,Goalkeeper,Maia,0.0,out,Summer,1993,1993/1994
Helcinho,23,Attacking Midfield,Paços Ferreira,0.0,out,Summer,1993,1993/1994
António Sousa,36,Left Midfield,Gil Vicente,0.0,out,Summer,1993,1993/1994
Piguita,23,Centre-Back,Famalicão,0.0,in,Summer,1994,1994/1995
Tó Ferreira,22,Goalkeeper,Amora FC,0.0,in,Summer,1994,1994/1995
Pedro Miguel,26,defence,Oliveirense,0.0,in,Summer,1994,1994/1995
Morgado,24,Left-Back,Famalicão,0.0,in,Summer,1994,1994/1995
Toni,21,Centre-Forward,SC Braga,0.0,in,Summer,1994,1994/1995
Nando,31,defence,Famalicão,0.0,in,Summer,1994,1994/1995
Bira,25,Attacking Midfield,Atlético-MG,0.0,in,Summer,1994,1994/1995
Rui Marcos,19,Goalkeeper,Beira-Mar U19,0.0,in,Summer,1994,1994/1995
Aleksandar Krstic,32,Centre-Forward,Felgueiras-2015,0.0,out,Summer,1994,1994/1995
Dino,33,attack,Vitória Setúbal,0.0,out,Summer,1994,1994/1995
Júlio,25,attack,Unknown,0.0,out,Summer,1994,1994/1995
Carlos Miguel,23,Central Midfield,Ovarense,0.0,out,Summer,1994,1994/1995
Jorge Vinagre,19,Left-Back,Ovarense,0.0,out,Summer,1994,1994/1995
Miguel Bruno,22,Centre-Forward,Belenenses,0.0,out,Summer,1994,1994/1995
Ribeiro,30,midfield,Retired,0.0,out,Summer,1994,1994/1995
Oliveira,36,Centre-Back,Retired,0.0,out,Summer,1994,1994/1995
Acácio,36,Goalkeeper,Madureira-RJ,0.0,out,Winter,1994,1994/1995
