player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Luíz Fernando,20,Attacking Midfield,Internacional,0.0,in,Summer,1992,1992/1993
Armando,21,Centre-Forward,Sintrense,0.0,in,Summer,1992,1992/1993
Toni,25,Centre-Forward,Rio Ave FC,0.0,in,Summer,1992,1992/1993
Zé Nuno,22,Right-Back,Gil Vicente,0.0,in,Summer,1992,1992/1993
Eugénio,25,Right-Back,Farense,0.0,in,Summer,1992,1992/1993
Jorge Ferreira,26,Right-Back,Vitória Setúbal,0.0,in,Summer,1992,1992/1993
Artur Jorge,20,Centre-Back,Unknown,0.0,in,Summer,1992,1992/1993
Kiki,30,Attacking Midfield,FC Porto,0.0,in,Summer,1992,1992/1993
Secretário,22,Right-Back,Famalicão,0.0,in,Summer,1992,1992/1993
António Folha,21,Left Winger,FC Porto,0.0,in,Summer,1992,1992/1993
Rui Correia,24,Goalkeeper,Chaves,0.0,in,Summer,1992,1992/1993
Chiquinho Conde,26,Centre-Forward,Vitória Setúbal,0.0,out,Summer,1992,1992/1993
Nando,29,defence,Gil Vicente,0.0,out,Summer,1992,1992/1993
Abel Campos,30,attack,Castelo Branco,0.0,out,Summer,1992,1992/1993
Carlos Carvalhal,26,Centre-Back,Tirsense,0.0,out,Summer,1992,1992/1993
Augusto Gama,22,Right Winger,Rio Ave FC,0.0,out,Summer,1992,1992/1993
Barroso,21,Central Midfield,Rio Ave FC,0.0,out,Summer,1992,1992/1993
Luíz Fernando,21,Attacking Midfield,Real Madrid B,0.0,out,Winter,1992,1992/1993
Neves,22,Right-Back,FC Porto,0.0,in,Summer,1993,1993/1994
Jaime Pacheco,35,Central Midfield,Paços Ferreira,0.0,in,Summer,1993,1993/1994
Mladen Karoglan,29,Centre-Forward,Chaves,0.0,in,Summer,1993,1993/1994
Gil,20,Left Winger,Tours FC,0.0,in,Summer,1993,1993/1994
Paulo Alves,23,Centre-Forward,Marítimo,0.0,in,Summer,1993,1993/1994
Paulo Monteiro,29,Central Midfield,Salgueiros,0.0,in,Summer,1993,1993/1994
Rui Miguel,18,Centre-Forward,Braga U19,0.0,in,Summer,1993,1993/1994
Barroso,22,Central Midfield,Rio Ave FC,0.0,in,Summer,1993,1993/1994
Armando,22,Centre-Forward,União Coimbra,0.0,out,Summer,1993,1993/1994
António Folha,22,Left Winger,FC Porto,0.0,out,Summer,1993,1993/1994
Secretário,23,Right-Back,FC Porto,0.0,out,Summer,1993,1993/1994
Kiki,31,Attacking Midfield,Paços Ferreira,0.0,out,Summer,1993,1993/1994
Chiquinho Carlos,30,Attacking Midfield,Vitória Setúbal,0.0,out,Summer,1993,1993/1994
Toni,26,Centre-Forward,Rio Ave FC,0.0,out,Summer,1993,1993/1994
Orlando Silva,23,Goalkeeper,Chaves,0.0,out,Summer,1993,1993/1994
Toni,21,Centre-Forward,FC Porto,0.0,in,Winter,1993,1993/1994
Rui Gama,18,midfield,Braga U19,0.0,in,Winter,1993,1993/1994
