player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Paulo Sérgio,24,Goalkeeper,Vitória Setúbal,0.0,in,Summer,1995,1995/1996
Vítor Manuel,24,Attacking Midfield,Belenenses,0.0,in,Summer,1995,1995/1996
Nuno Afonso,20,Centre-Back,Belenenses,0.0,in,Summer,1995,1995/1996
Portela,30,Right-Back,Farense,0.0,in,Summer,1995,1995/1996
Álvaro,34,Goalkeeper,Leiria,0.0,in,Summer,1995,1995/1996
Jimmy Floyd Hasselbaink,23,Centre-Forward,Neerlandia/SLTO,0.0,in,Summer,1995,1995/1996
Paulo Torres,23,Left-Back,Sporting CP,0.0,in,Summer,1995,1995/1996
Stanimir Stoilov,28,Centre-Forward,Levski Sofia,0.0,in,Summer,1995,1995/1996
Michael Brundin,29,Centre-Back,Vitória Setúbal,0.0,in,Summer,1995,1995/1996
Beto,19,Centre-Back,Sporting CP,0.0,in,Summer,1995,1995/1996
Aurélio,27,Centre-Back,South China,0.0,out,Summer,1995,1995/1996
Dú,26,Goalkeeper,Feirense,0.0,out,Summer,1995,1995/1996
Emmanuel Blanchard,24,attack,Coimbra,0.0,out,Summer,1995,1995/1996
Lito Vidigal,25,Right-Back,Belenenses,0.0,out,Summer,1995,1995/1996
Jorge Neves,25,Right-Back,Beira-Mar,0.0,out,Summer,1995,1995/1996
Goran Stevanovic,29,midfield,Vitória Setúbal,0.0,in,Winter,1995,1995/1996
Jovo Bosancic,25,Attacking Midfield,União Madeira,0.0,in,Winter,1995,1995/1996
Quim,30,Left Midfield,Paços Ferreira,0.0,out,Winter,1995,1995/1996
Demétrios,26,Centre-Forward,EC Bahia,0.0,in,Summer,1997,1997/1998
Emilio Viqueira,22,Central Midfield,Deportivo B,0.0,in,Summer,1997,1997/1998
István Vincze,30,Left Winger,Germinal Ekeren,0.0,in,Summer,1997,1997/1998
Laelson,21,Right Winger,CA Porto,0.0,in,Summer,1997,1997/1998
Madureira,32,Goalkeeper,Vit. Guimarães,0.0,in,Summer,1997,1997/1998
Renê Rivas,28,Centre-Back,Rochester Rhinos,0.0,in,Summer,1997,1997/1998
Welington,22,Centre-Forward,Ferroviário-CE,0.0,in,Summer,1997,1997/1998
Crespo,27,Centre-Back,Leiria,0.0,in,Summer,1997,1997/1998
Isaias,33,Second Striker,Coventry,0.0,in,Summer,1997,1997/1998
Mario Marinho,26,Right-Back,Benfica,0.0,in,Summer,1997,1997/1998
Basílio Marques,31,Left-Back,Vit. Guimarães,0.0,in,Summer,1997,1997/1998
Branquinho,20,Left-Back,O Elvas,0.0,in,Summer,1997,1997/1998
Bruno Silva,21,attack,UP Plasencia,0.0,out,Summer,1997,1997/1998
Álvaro,36,Goalkeeper,Lusitânia,0.0,out,Summer,1997,1997/1998
Abel Silva,27,Right-Back,Estoril Praia,0.0,out,Summer,1997,1997/1998
Serginho,22,midfield,Estoril Praia,0.0,out,Summer,1997,1997/1998
António Valente,27,Left-Back,Alverca,0.0,out,Summer,1997,1997/1998
Portela,32,Right-Back,Retired,0.0,out,Summer,1997,1997/1998
Telmo,22,Left-Back,Madureira-RJ,0.0,in,Winter,1997,1997/1998
Nélson Costa,19,Centre-Back,Stockport,0.0,in,Winter,1997,1997/1998
Nuno Campos,22,Right-Back,Atlético CP,0.0,in,Winter,1997,1997/1998
Branquinho,20,Left-Back,Alverca,0.0,out,Winter,1997,1997/1998
Mario Marinho,27,Right-Back,Alverca,0.0,out,Winter,1997,1997/1998
Rogério Matias,23,Left-Back,Maia,0.0,in,Summer,1998,1998/1999
Bruno Mendes,22,Centre-Back,Vilafranquense,0.0,in,Summer,1998,1998/1999
Dragoslav Poleksic,27,Goalkeeper,Chaves,0.0,in,Summer,1998,1998/1999
Marco Almeida,21,Centre-Back,Sporting CP,0.0,in,Summer,1998,1998/1999
Quim Machado,31,midfield,Varzim,0.0,in,Summer,1998,1998/1999
Mauro Soares,29,Defensive Midfield,Farense,0.0,in,Summer,1998,1998/1999
Sabugo,21,Central Midfield,Lourinhanense,0.0,in,Summer,1998,1998/1999
Carlos Fernandes,20,Left-Back,Sporting CP,0.0,in,Summer,1998,1998/1999
Nuno Luís,23,Right-Back,UD Salamanca,0.0,out,Summer,1998,1998/1999
Telmo,23,Left-Back,Santa Clara,0.0,out,Summer,1998,1998/1999
Eurico Santos,31,Centre-Back,Santa Clara,0.0,out,Summer,1998,1998/1999
Gonçalves,30,Left Midfield,Torreense,0.0,out,Summer,1998,1998/1999
Nélson Costa,19,Centre-Back,Nacional,0.0,out,Summer,1998,1998/1999
Madureira,33,Goalkeeper,Santa Clara,0.0,out,Summer,1998,1998/1999
Emilio Viqueira,23,Central Midfield,Deportivo B,0.0,out,Summer,1998,1998/1999
Mário Jorge,29,Central Midfield,CD Leganés,0.0,in,Summer,1999,1999/2000
Arley,27,defence,Vit. Guimarães,0.0,in,Summer,1999,1999/2000
Jorge Ribeiro,23,defence,União Lamas,0.0,in,Summer,1999,1999/2000
Mickey,27,Central Midfield,Coimbra,0.0,in,Summer,1999,1999/2000
Abilio,32,Attacking Midfield,Salgueiros,0.0,in,Summer,1999,1999/2000
Cao,30,Defensive Midfield,Salgueiros,0.0,in,Summer,1999,1999/2000
Torrão,22,Defensive Midfield,União Lamas,0.0,in,Summer,1999,1999/2000
Marco Silva,21,Right-Back,Trofense,0.0,in,Summer,1999,1999/2000
Hugo Cunha,22,Attacking Midfield,Barreirense,0.0,in,Summer,1999,1999/2000
Poejo,25,Defensive Midfield,Desportivo Aves,0.0,in,Summer,1999,1999/2000
Vítor Manuel,28,Attacking Midfield,Farense,0.0,out,Summer,1999,1999/2000
Nuno Campos,24,Right-Back,Farense,0.0,out,Summer,1999,1999/2000
Welington,24,Centre-Forward,Albacete,0.0,out,Summer,1999,1999/2000
Sabugo,22,Central Midfield,Nacional,0.0,out,Summer,1999,1999/2000
Quim Machado,32,midfield,Maia,0.0,out,Summer,1999,1999/2000
Marco Almeida,22,Centre-Back,Sporting CP,0.0,out,Summer,1999,1999/2000
Jorge Ferreira,33,Right-Back,União Madeira,0.0,out,Summer,1999,1999/2000
István Vincze,32,Left Winger,Santa Clara,0.0,out,Summer,1999,1999/2000
Isaias,35,Second Striker,Cabofriense,0.0,out,Summer,1999,1999/2000
Basílio Marques,33,Left-Back,Famalicão,0.0,out,Summer,1999,1999/2000
Mauro Soares,30,Defensive Midfield,Retired,0.0,out,Summer,1999,1999/2000
Carlos Fernandes,21,Left-Back,Sporting CP,0.0,out,Summer,1999,1999/2000
José Soares,23,Centre-Back,Benfica,0.0,in,Winter,1999,1999/2000
César Cáceres,22,Left Winger,Luqueño,0.0,in,Winter,1999,1999/2000
Constantino,32,Second Striker,Levante,0.0,in,Winter,1999,1999/2000
Demétrios,28,Centre-Forward,Boavista,0.0,out,Winter,1999,1999/2000
Renê Rivas,31,Centre-Back,Santa Clara,0.0,out,Winter,1999,1999/2000
Sreto Ristic,24,Centre-Forward,VfB Stuttgart,0.0,in,Summer,2000,2000/2001
Srgjan Zaharievski,26,Central Midfield,VfB Stuttgart,0.0,in,Summer,2000,2000/2001
Julián Palacios,29,Left-Back,CP Mérida,0.0,in,Summer,2000,2000/2001
Philippe Azevedo,25,Centre-Forward,Loko Moscow,0.0,in,Summer,2000,2000/2001
Welington,25,Centre-Forward,Albacete,0.0,in,Summer,2000,2000/2001
Zé Luís Araque,25,Central Midfield,Fafe,0.0,in,Summer,2000,2000/2001
Carlos Miguel Semedo,20,defence,Vitória Setúbal,0.0,in,Summer,2000,2000/2001
Miguel Vaz,27,Defensive Midfield,SC Covilhã,0.0,in,Summer,2000,2000/2001
Duka,27,Centre-Back,Espinho,0.0,in,Summer,2000,2000/2001
Detinho,26,Centre-Forward,FC Marco,0.0,in,Summer,2000,2000/2001
Marco Almeida,23,Centre-Back,Southampton,0.0,in,Summer,2000,2000/2001
Patacas,22,Right-Back,Sporting CP,0.0,in,Summer,2000,2000/2001
Sandro Pacheco,17,Central Midfield,Campomaior. U19,0.0,in,Summer,2000,2000/2001
Mickey,28,Central Midfield,Espinho,0.0,out,Summer,2000,2000/2001
