player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Barrigana,20,Defensive Midfield,Amarante,0.0,in,Summer,1992,1992/1993
Hassan Nader,26,Centre-Forward,RCD Mallorca,0.0,in,Summer,1992,1992/1993
Hélder Baptista,20,Defensive Midfield,Torreense,0.0,in,Summer,1992,1992/1993
Armando dos Santos,27,attack,Gil Vicente,0.0,in,Summer,1992,1992/1993
Zé Carlos,30,Goalkeeper,Cruzeiro,0.0,in,Summer,1992,1992/1993
Quim,32,Defensive Midfield,Rio Ave FC,0.0,out,Summer,1992,1992/1993
Menayane Tueba,29,Defensive Midfield,Gil Vicente,0.0,out,Summer,1992,1992/1993
Eugénio,25,Right-Back,SC Braga,0.0,out,Summer,1992,1992/1993
Zoran Lemajic,31,Goalkeeper,Boavista,0.0,out,Summer,1992,1992/1993
Goran Stevanovic,26,midfield,CA Osasuna,0.0,in,Summer,1993,1993/1994
Floris Schaap,28,Centre-Back,Torreense,0.0,in,Summer,1993,1993/1994
Hélder Baptista,21,Defensive Midfield,Torreense,0.0,out,Summer,1993,1993/1994
Ademar,34,Defensive Midfield,Retired,0.0,out,Summer,1993,1993/1994
King,24,Centre-Back,SC Braga,0.0,in,Summer,1994,1994/1995
Christian,19,Centre-Forward,CF Estrela,0.0,in,Summer,1994,1994/1995
Peter Rufai,30,Goalkeeper,Go Ahead Eagles,0.0,in,Summer,1994,1994/1995
Tozé,28,attack,Gil Vicente,0.0,in,Summer,1994,1994/1995
Helcinho,24,Attacking Midfield,Paços Ferreira,0.0,in,Summer,1994,1994/1995
Miroslav Curcic,32,attack,Estoril Praia,0.0,in,Summer,1994,1994/1995
Moussa N'Daw,25,Centre-Forward,Al-Hilal SFC,0.0,in,Summer,1994,1994/1995
Raul Barbosa,22,Right-Back,Padernense,0.0,in,Summer,1994,1994/1995
Paulo Pilar,22,Central Midfield,Sporting CP,0.0,in,Summer,1994,1994/1995
Nuno Amaro,18,Left-Back,Farense U19,0.0,in,Summer,1994,1994/1995
Goran Stevanovic,27,midfield,Vitória Setúbal,0.0,out,Summer,1994,1994/1995
Armando dos Santos,29,attack,Amora FC,0.0,out,Summer,1994,1994/1995
Zé Carlos,32,Goalkeeper,Vit. Guimarães,0.0,out,Summer,1994,1994/1995
Paiva,22,Defensive Midfield,Famalicão,0.0,in,Summer,1995,1995/1996
Idalécio,21,Centre-Back,Louletano,0.0,in,Summer,1995,1995/1996
Carlos Costa,28,Defensive Midfield,Beira-Mar,0.0,in,Summer,1995,1995/1996
Monteiro,27,Left Winger,União Lamas,0.0,in,Summer,1995,1995/1996
Camilo,25,Centre-Back,União Coimbra,0.0,in,Summer,1995,1995/1996
Marco Nuno,20,Right Midfield,Lusitano VRSA,0.0,in,Summer,1995,1995/1996
Romicha,20,Right Winger,Lusitano Évora,0.0,in,Summer,1995,1995/1996
Eugénio,28,Right-Back,SC Braga,0.0,in,Summer,1995,1995/1996
Uche Okafor,27,Centre-Back,Ironi Ashdod,0.0,in,Summer,1995,1995/1996
Dragan Punisic,29,Attacking Midfield,Beira-Mar,0.0,in,Summer,1995,1995/1996
Pedro Miguel,27,defence,Beira-Mar,0.0,in,Summer,1995,1995/1996
