player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ricardo Ferreira,19,Goalkeeper,SC Braga,0.0,in,Summer,2009,2009/2010
Greg Nwokolo,23,Left Winger,Persija Jakarta,0.0,in,Summer,2009,2009/2010
Carlos Fernandes,31,Left-Back,Marítimo,0.0,in,Summer,2009,2009/2010
Paulo Sérgio,25,Attacking Midfield,UD Salamanca,0.0,in,Summer,2009,2009/2010
Stéphane Dasse,19,Left-Back,FC Porto,0.0,in,Summer,2009,2009/2010
Zequinha,22,Second Striker,FC Porto,0.0,in,Summer,2009,2009/2010
Hugo Ventura,21,Goalkeeper,FC Porto,0.0,in,Summer,2009,2009/2010
Rabiola,19,Centre-Forward,FC Porto,0.0,in,Summer,2009,2009/2010
Lucas D'Alegre,23,defence,RCD Mallorca B,0.0,in,Summer,2009,2009/2010
Sandro Silva,26,Centre-Back,Leixões,0.0,in,Summer,2009,2009/2010
Tengarrinha,20,Defensive Midfield,FC Porto,0.0,in,Summer,2009,2009/2010
Éder Baiano,25,Centre-Back,Rio Preto EC,0.0,in,Summer,2009,2009/2010
Miguel Garcia,26,Right-Back,Without Club,0.0,in,Summer,2009,2009/2010
Juan Pietravallo,27,Defensive Midfield,Without Club,0.0,in,Summer,2009,2009/2010
Marcel Gomis,21,Centre-Forward,Without Club,0.0,in,Summer,2009,2009/2010
Moses Sakyi,28,Centre-Forward,HZ Greentown,0.0,in,Summer,2009,2009/2010
Diogo,19,midfield,Lagoa,0.0,in,Summer,2009,2009/2010
Jaime Pacheco,23,Central Midfield,Louletano,0.0,in,Summer,2009,2009/2010
Rodrigo Lamardo,21,Attacking Midfield,CD Fátima,0.0,in,Summer,2009,2009/2010
Fábio Marques,21,Right Winger,Mafra,0.0,in,Summer,2009,2009/2010
Bruno Mestre,27,Right Winger,Louletano,0.0,out,Summer,2009,2009/2010
Branquinho,32,Left-Back,CD Fátima,0.0,out,Summer,2009,2009/2010
Javier Cohene,22,Centre-Back,River Plate,0.0,out,Summer,2009,2009/2010
Joshua Silva,18,Centre-Back,Quarteirense,0.0,out,Summer,2009,2009/2010
Dani,25,Central Midfield,Oriental,0.0,out,Summer,2009,2009/2010
Moses Sakyi,28,Centre-Forward,Gondomar,0.0,out,Summer,2009,2009/2010
Diogo,19,midfield,Quarteirense,0.0,out,Summer,2009,2009/2010
Jaime Pacheco,23,Central Midfield,CF Estrela,0.0,out,Summer,2009,2009/2010
Marco Couto,34,Centre-Back,Retired,0.0,out,Summer,2009,2009/2010
Stéphane Dasse,19,Left-Back,FC Porto,0.0,out,Summer,2009,2009/2010
André Carvalhas,20,Attacking Midfield,Benfica,0.0,out,Summer,2009,2009/2010
Ricardo Ferreira,19,Goalkeeper,SC Braga,0.0,out,Summer,2009,2009/2010
Steven Vitória,22,Centre-Back,FC Porto,0.0,out,Summer,2009,2009/2010
João Paulo,24,Centre-Forward,Belenenses,0.0,out,Summer,2009,2009/2010
Paulo Renato,22,Centre-Back,Sporting CP,0.0,out,Summer,2009,2009/2010
Karr,21,Defensive Midfield,FC Porto U19,0.0,out,Summer,2009,2009/2010
Delson,29,Defensive Midfield,AE Larisa,0.0,in,Winter,2009,2009/2010
Yazalde,21,Centre-Forward,SC Braga,0.0,in,Winter,2009,2009/2010
Lionn,20,Right-Back,Vit. Guimarães,0.0,in,Winter,2009,2009/2010
Miguel Ângelo,25,Centre-Back,Marítimo,0.0,in,Winter,2009,2009/2010
Miguel Garcia,26,Right-Back,SC Braga,50000.0,out,Winter,2009,2009/2010
Georges Messi,29,Attacking Midfield,GD Interclube,0.0,out,Winter,2009,2009/2010
Lucas D'Alegre,23,defence,Granada 74 CF,0.0,out,Winter,2009,2009/2010
Marcel Gomis,22,Centre-Forward,Vizela,0.0,out,Winter,2009,2009/2010
Rodrigo Lamardo,22,Attacking Midfield,Louletano,0.0,out,Winter,2009,2009/2010
Maurício,33,Centre-Back,Feirense,0.0,in,Summer,2010,2010/2011
Moretto,32,Goalkeeper,Brasiliense FC,0.0,in,Summer,2010,2010/2011
Delson,30,Defensive Midfield,AE Larisa,0.0,in,Summer,2010,2010/2011
Paulo Renato,23,Centre-Back,Sporting CP,0.0,in,Summer,2010,2010/2011
Jean-Paul Yontcha,27,Centre-Forward,Belenenses,0.0,in,Summer,2010,2010/2011
Jorge Gonçalves,26,Right Winger,Racing,0.0,in,Summer,2010,2010/2011
Nuno Piloto,28,Central Midfield,Iraklis,0.0,in,Summer,2010,2010/2011
Cadu,28,Attacking Midfield,Bnei Sakhnin,0.0,in,Summer,2010,2010/2011
Lulinha,20,Attacking Midfield,Corinthians,0.0,in,Summer,2010,2010/2011
Fernando Alexandre,24,Defensive Midfield,SC Braga,0.0,in,Summer,2010,2010/2011
Clécio,22,Defensive Midfield,Morrinhos-GO,0.0,in,Summer,2010,2010/2011
Apollon Lemondzhava,19,Centre-Forward,Feyenoord U18,0.0,in,Summer,2010,2010/2011
Ismaily,20,Left-Back,Desp. Brasil,0.0,in,Summer,2010,2010/2011
Kelvin Maynard,23,Centre-Back,FC Volendam,0.0,in,Summer,2010,2010/2011
Vinicius,24,Central Midfield,Desportivo Aves,0.0,in,Summer,2010,2010/2011
Jardel,24,Centre-Back,Desp. Brasil,0.0,in,Summer,2010,2010/2011
Mexer,21,Centre-Back,Sporting CP,0.0,in,Summer,2010,2010/2011
Ricardo Batista,23,Goalkeeper,Sporting CP,0.0,in,Summer,2010,2010/2011
Adilson,28,Centre-Forward,Marítimo,0.0,in,Summer,2010,2010/2011
Joshua Silva,19,Centre-Back,Quarteirense,0.0,in,Summer,2010,2010/2011
André Matias,22,Left Winger,Louletano,0.0,in,Summer,2010,2010/2011
Rodrigo Lamardo,22,Attacking Midfield,Louletano,0.0,in,Summer,2010,2010/2011
Jaime Pacheco,24,Central Midfield,CF Estrela,0.0,in,Summer,2010,2010/2011
Diogo,20,midfield,Quarteirense,0.0,in,Summer,2010,2010/2011
Rui Baião,29,Attacking Midfield,CD Fátima,0.0,out,Summer,2010,2010/2011
Sandro Silva,27,Centre-Back,Penafiel,0.0,out,Summer,2010,2010/2011
Rodrigo Lamardo,22,Attacking Midfield,Unknown,0.0,out,Summer,2010,2010/2011
Jaime Pacheco,24,Central Midfield,Portosantense,0.0,out,Summer,2010,2010/2011
Ricardo Ferreira,20,Goalkeeper,Marítimo B,0.0,out,Summer,2010,2010/2011
Joshua Silva,19,Centre-Back,Farense,0.0,out,Summer,2010,2010/2011
Éder Baiano,26,Centre-Back,Rio Preto EC,0.0,out,Summer,2010,2010/2011
Diogo,20,midfield,Quarteirense,0.0,out,Summer,2010,2010/2011
Ricardo Campos,24,Goalkeeper,Caldas,0.0,out,Summer,2010,2010/2011
Juan Pietravallo,28,Defensive Midfield,Rafaela,0.0,out,Summer,2010,2010/2011
Stéphane Dasse,20,Left-Back,Penafiel,0.0,out,Summer,2010,2010/2011
Fábio Marques,22,Right Winger,Louletano,0.0,out,Summer,2010,2010/2011
Greg Nwokolo,24,Left Winger,Without Club,0.0,out,Summer,2010,2010/2011
Guga,33,Right Winger,Retired,0.0,out,Summer,2010,2010/2011
Rabiola,20,Centre-Forward,FC Porto,0.0,out,Summer,2010,2010/2011
André Castro,22,Central Midfield,FC Porto,0.0,out,Summer,2010,2010/2011
Ukra,22,Right Midfield,FC Porto,0.0,out,Summer,2010,2010/2011
Tengarrinha,21,Defensive Midfield,FC Porto,0.0,out,Summer,2010,2010/2011
Hugo Ventura,22,Goalkeeper,FC Porto,0.0,out,Summer,2010,2010/2011
Delson,29,Defensive Midfield,AE Larisa,0.0,out,Summer,2010,2010/2011
Yazalde,21,Centre-Forward,SC Braga,0.0,out,Summer,2010,2010/2011
Miguel Ângelo,25,Centre-Back,Marítimo,0.0,out,Summer,2010,2010/2011
Lionn,21,Right-Back,Vit. Guimarães,0.0,out,Summer,2010,2010/2011
André Micael,21,Centre-Back,Moreirense,200000.0,in,Winter,2010,2010/2011
William Kwabena Tiero,30,Attacking Midfield,CSKA Sofia,50000.0,in,Winter,2010,2010/2011
Dady,29,Centre-Forward,Bucaspor,0.0,in,Winter,2010,2010/2011
Cristian Suárez,23,Centre-Back,San Felipe,0.0,in,Winter,2010,2010/2011
Esteban Carvajal,22,Defensive Midfield,San Felipe,0.0,in,Winter,2010,2010/2011
Jan Oblak,17,Goalkeeper,Benfica,0.0,in,Winter,2010,2010/2011
Vinicius,24,Central Midfield,SC Braga,200000.0,out,Winter,2010,2010/2011
Moretto,32,Goalkeeper,Arka Gdynia,0.0,out,Winter,2010,2010/2011
Clécio,22,Defensive Midfield,Trindade-GO,0.0,out,Winter,2010,2010/2011
Zequinha,23,Second Striker,CD Fátima,0.0,out,Winter,2010,2010/2011
Paulo Renato,23,Centre-Back,Mafra,0.0,out,Winter,2010,2010/2011
André Matias,23,Left Winger,CD Fátima,0.0,out,Winter,2010,2010/2011
Jardel,24,Centre-Back,Desp. Brasil,0.0,out,Winter,2010,2010/2011
Lulinha,20,Attacking Midfield,Corinthians,0.0,out,Winter,2010,2010/2011
Cauê,22,Defensive Midfield,Leixões,100000.0,in,Summer,2011,2011/2012
Fabiano,23,Goalkeeper,São Paulo,0.0,in,Summer,2011,2011/2012
Vítor Vinha,24,Left-Back,Desportivo Aves,0.0,in,Summer,2011,2011/2012
Ivanildo,25,Right Winger,Portimonense,0.0,in,Summer,2011,2011/2012
Luis Pedro Figueroa,28,Right Winger,Union Española,0.0,in,Summer,2011,2011/2012
Luís Filipe,32,Right-Back,Benfica,0.0,in,Summer,2011,2011/2012
Salvador Agra,19,Left Winger,Varzim,0.0,in,Summer,2011,2011/2012
Paulo Regula,21,Attacking Midfield,Vitória Setúbal,0.0,in,Summer,2011,2011/2012
