player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Paulo Monteiro,28,Central Midfield,Belenenses,0.0,in,Summer,1992,1992/1993
Ricardo Sá Pinto,19,Second Striker,Salgueiros U19,0.0,in,Summer,1992,1992/1993
Jorge Plácido,28,attack,US Créteil,0.0,out,Summer,1992,1992/1993
Edel,26,attack,Nacional,0.0,out,Summer,1992,1992/1993
Bino,20,Defensive Midfield,FC Porto,0.0,in,Summer,1993,1993/1994
Tulipa,20,Attacking Midfield,Paços Ferreira,0.0,in,Summer,1993,1993/1994
Luís Manuel,22,Defensive Midfield,Sporting CP,0.0,in,Summer,1993,1993/1994
Joni,23,midfield,Tondela,0.0,in,Summer,1993,1993/1994
Miguel Simao,20,attack,Feirense,0.0,in,Summer,1993,1993/1994
Tozé,24,Centre-Forward,Boavista,0.0,in,Summer,1993,1993/1994
Chico Faria,28,Centre-Forward,Espinho,0.0,in,Summer,1993,1993/1994
Paulinho,18,Left Winger,Salgueiros U19,0.0,in,Summer,1993,1993/1994
Paulo Duarte,24,Centre-Back,Marítimo,0.0,out,Summer,1993,1993/1994
Vinha,26,Centre-Forward,FC Porto,0.0,out,Summer,1993,1993/1994
Álvaro Gregório,20,Left-Back,Paços Ferreira,0.0,out,Summer,1993,1993/1994
Paulo Monteiro,29,Central Midfield,SC Braga,0.0,out,Summer,1993,1993/1994
Jovica Nikolic,33,midfield,Retired,0.0,out,Summer,1993,1993/1994
Chico Faria,29,Centre-Forward,Coimbra,0.0,out,Winter,1993,1993/1994
Edmílson,22,Second Striker,Nacional,0.0,in,Summer,1994,1994/1995
Fernando Almeida,27,Centre-Forward,Atlético-GO,0.0,in,Summer,1994,1994/1995
Basílio Almeida,22,Second Striker,Lus. Lourosa,0.0,in,Summer,1994,1994/1995
Luis Carlos,25,midfield,Brasil-RS,0.0,in,Summer,1994,1994/1995
Vinha,27,Centre-Forward,FC Porto,0.0,in,Summer,1994,1994/1995
Paulo Sérgio,26,Centre-Forward,Paços Ferreira,0.0,in,Summer,1994,1994/1995
Nandinho,21,Right Winger,Castêlo Maia,0.0,in,Summer,1994,1994/1995
Pedro Espinha,28,Goalkeeper,Belenenses,0.0,in,Summer,1994,1994/1995
Cedomir Djoincevic,33,defence,Rad Belgrade,0.0,out,Summer,1994,1994/1995
Abilio,27,Attacking Midfield,Belenenses,0.0,out,Summer,1994,1994/1995
Tozé,25,Centre-Forward,Penafiel,0.0,out,Summer,1994,1994/1995
Parente,33,Defensive Midfield,FC Marco,0.0,out,Summer,1994,1994/1995
Bino,21,Defensive Midfield,Belenenses,0.0,out,Summer,1994,1994/1995
Tulipa,21,Attacking Midfield,Belenenses,0.0,out,Summer,1994,1994/1995
Basílio Almeida,23,Second Striker,Feirense,0.0,out,Summer,1994,1994/1995
Ricardo Sá Pinto,21,Second Striker,Sporting CP,0.0,out,Summer,1994,1994/1995
Pedrosa,22,Central Midfield,Sporting CP,0.0,out,Summer,1994,1994/1995
Tulipa,22,Attacking Midfield,Belenenses,0.0,in,Winter,1994,1994/1995
Mariano,19,Left-Back,Espinho,0.0,in,Summer,1995,1995/1996
Toni,22,Centre-Forward,Beira-Mar,0.0,in,Summer,1995,1995/1996
Basílio Almeida,23,Second Striker,Feirense,0.0,in,Summer,1995,1995/1996
Miguel Teixeira,21,Centre-Back,Olhanense,0.0,in,Summer,1995,1995/1996
Abilio,28,Attacking Midfield,Belenenses,0.0,in,Summer,1995,1995/1996
Miguel Bruno,23,Centre-Forward,Gil Vicente,0.0,in,Summer,1995,1995/1996
Nilton,19,midfield,Ovarense,0.0,in,Summer,1995,1995/1996
Jorge Silva,23,Goalkeeper,FC Porto,0.0,in,Summer,1995,1995/1996
Albertino,23,Right-Back,Coimbra,0.0,out,Summer,1995,1995/1996
Paulo Sérgio,27,Centre-Forward,Vitória Setúbal,0.0,out,Summer,1995,1995/1996
Edmílson,23,Second Striker,FC Porto,0.0,out,Summer,1995,1995/1996
Miguel Simao,22,attack,Coimbra,0.0,out,Summer,1995,1995/1996
Best,26,Goalkeeper,Leça,0.0,out,Summer,1995,1995/1996
Tulipa,22,Attacking Midfield,Belenenses,0.0,out,Summer,1995,1995/1996
Jorge Silva,24,Goalkeeper,FC Porto,0.0,out,Winter,1995,1995/1996
Jorge Silva,24,Goalkeeper,FC Porto,0.0,in,Summer,1996,1996/1997
Miguel Simao,23,attack,Nacional,0.0,in,Summer,1996,1996/1997
Marcos Severo,31,attack,Unknown,0.0,in,Summer,1996,1996/1997
Semedo,31,Central Midfield,Unknown,0.0,in,Summer,1996,1996/1997
Basílio Almeida,24,Second Striker,Vit. Guimarães,0.0,out,Summer,1996,1996/1997
Miguel Bruno,24,Centre-Forward,Coimbra,0.0,out,Summer,1996,1996/1997
Jorge Madureira,37,Goalkeeper,Retired,0.0,out,Summer,1996,1996/1997
Marcos Severo,31,attack,Varzim,0.0,out,Winter,1996,1996/1997
Nilton,21,midfield,Tirsense,0.0,out,Winter,1996,1996/1997
Stevan Milovac,34,midfield,Retired,0.0,out,Winter,1996,1996/1997
Silvino Louro,38,Goalkeeper,FC Porto,0.0,in,Summer,1997,1997/1998
Artur Jorge Vicente,24,attack,Espinho,0.0,in,Summer,1997,1997/1998
Paulinho,31,Centre-Back,CF Estrela,0.0,in,Summer,1997,1997/1998
Popó,18,Centre-Forward,Wanderers,0.0,in,Summer,1997,1997/1998
Cao,28,Defensive Midfield,Leça,0.0,in,Summer,1997,1997/1998
Zé Luís Araque,22,Central Midfield,Unknown,0.0,in,Summer,1997,1997/1998
Mariano,21,Left-Back,Varzim,0.0,out,Summer,1997,1997/1998
Pedro Espinha,31,Goalkeeper,Vit. Guimarães,0.0,out,Summer,1997,1997/1998
Luís Manuel,26,Defensive Midfield,Boavista,0.0,out,Summer,1997,1997/1998
Joni,27,midfield,Académico Viseu,0.0,out,Summer,1997,1997/1998
Miguel Simao,24,attack,Desportivo Aves,0.0,out,Summer,1997,1997/1998
Luis Carlos,28,midfield,Boavista,0.0,out,Summer,1997,1997/1998
Paulinho,22,Left Winger,FC Marco,0.0,out,Summer,1997,1997/1998
Marco Caneira,18,Centre-Back,Sporting CP,0.0,in,Winter,1997,1997/1998
Torrão,20,Defensive Midfield,Lourinhanense,0.0,in,Winter,1997,1997/1998
Tulipa,25,Attacking Midfield,UD Salamanca,0.0,in,Winter,1997,1997/1998
Marcos Severo,32,attack,Varzim,0.0,in,Winter,1997,1997/1998
Schuster,19,Attacking Midfield,Vila Real,0.0,in,Winter,1997,1997/1998
João Pedro,23,Centre-Forward,GD Ribeirão,0.0,in,Winter,1997,1997/1998
Luís Carlos,25,Attacking Midfield,Benfica,0.0,in,Winter,1997,1997/1998
Renato,25,Centre-Back,Sporting CP,0.0,out,Winter,1997,1997/1998
Leão,26,Defensive Midfield,Sporting CP,0.0,out,Winter,1997,1997/1998
Deco,20,Attacking Midfield,Benfica,0.0,in,Summer,1998,1998/1999
Ademir,26,defence,EC Vitória,0.0,in,Summer,1998,1998/1999
Nélson,22,Left-Back,Esposende,0.0,in,Summer,1998,1998/1999
Carlos Ferreira,27,Defensive Midfield,Oriental,0.0,in,Summer,1998,1998/1999
Filipe Cândido,18,Right Winger,Vitória Setúbal,0.0,in,Summer,1998,1998/1999
Toninho Cruz,29,Defensive Midfield,Chaves,0.0,in,Summer,1998,1998/1999
Carlos Pinto,25,Attacking Midfield,Paredes,0.0,in,Summer,1998,1998/1999
João Ricardo,28,Goalkeeper,Académico Viseu,0.0,in,Summer,1998,1998/1999
Popó,19,Centre-Forward,América,0.0,out,Summer,1998,1998/1999
Toni,25,Centre-Forward,Marítimo,0.0,out,Summer,1998,1998/1999
Torrão,21,Defensive Midfield,União Lamas,0.0,out,Summer,1998,1998/1999
Vinha,31,Centre-Forward,Paços Ferreira,0.0,out,Summer,1998,1998/1999
Tulipa,25,Attacking Midfield,Marítimo,0.0,out,Summer,1998,1998/1999
Artur Jorge Vicente,25,attack,Boavista,0.0,out,Summer,1998,1998/1999
Nandinho,25,Right Winger,Benfica,0.0,out,Summer,1998,1998/1999
Luís Carlos,25,Attacking Midfield,Benfica,0.0,out,Summer,1998,1998/1999
Marco Caneira,19,Centre-Back,Sporting CP,0.0,out,Summer,1998,1998/1999
Edu Brasil,21,Right Winger,JMalucelli,0.0,in,Winter,1998,1998/1999
Marcos Severo,33,attack,Rio Branco,0.0,out,Winter,1998,1998/1999
Deco,21,Attacking Midfield,Benfica,0.0,out,Winter,1998,1998/1999
Pedrosa,27,Central Midfield,Sporting CP,0.0,in,Summer,1999,1999/2000
André Macanga,21,Defensive Midfield,Vila FC,0.0,in,Summer,1999,1999/2000
Neves,28,Right-Back,Chaves,0.0,in,Summer,1999,1999/2000
Miklós Fehér,19,Centre-Forward,FC Porto,0.0,in,Summer,1999,1999/2000
Manuel Ramos,21,Right Winger,Farense,0.0,in,Summer,1999,1999/2000
Ricardo Fernandes,21,Centre-Back,Fafe,0.0,in,Summer,1999,1999/2000
Paquito,24,attack,Internacional,0.0,in,Summer,1999,1999/2000
Renato,24,Right Midfield,Boavista,0.0,in,Summer,1999,1999/2000
Renato,24,Central Midfield,Boavista,0.0,in,Summer,1999,1999/2000
Basarab Panduru,28,Attacking Midfield,FC Porto,0.0,in,Summer,1999,1999/2000
Marco Cláudio,20,Right Winger,Montemor,0.0,in,Summer,1999,1999/2000
Basílio Almeida,27,Second Striker,Vit. Guimarães,0.0,in,Summer,1999,1999/2000
Candido Costa,18,Right Midfield,Benfica U19,0.0,in,Summer,1999,1999/2000
Rui Ferreira,26,Defensive Midfield,Gil Vicente,0.0,in,Summer,1999,1999/2000
Zé Luís Araque,24,Central Midfield,Fafe,0.0,out,Summer,1999,1999/2000
Schuster,21,Attacking Midfield,Naval,0.0,out,Summer,1999,1999/2000
Abilio,32,Attacking Midfield,Campomaiorense,0.0,out,Summer,1999,1999/2000
Cao,30,Defensive Midfield,Campomaiorense,0.0,out,Summer,1999,1999/2000
Miguel Teixeira,25,Centre-Back,CA Felgueiras,0.0,out,Summer,1999,1999/2000
Carlos Pinto,26,Attacking Midfield,Naval,0.0,out,Summer,1999,1999/2000
Semedo,34,Central Midfield,Retired,0.0,out,Summer,1999,1999/2000
Marcelo Verón,21,attack,Platense,0.0,in,Winter,1999,1999/2000
Candido Costa,18,Right Midfield,FC Porto B,0.0,out,Winter,1999,1999/2000
Bodunha,25,Right-Back,Espinho,0.0,in,Summer,2000,2000/2001
Carlos Andrade,24,Centre-Back,Pombal,0.0,in,Summer,2000,2000/2001
Edú,23,Left Winger,Vila FC,0.0,in,Summer,2000,2000/2001
Schuster,22,Attacking Midfield,Naval,0.0,in,Summer,2000,2000/2001
Ivan Litera,24,Defensive Midfield,Velbazhd,0.0,in,Summer,2000,2000/2001
Ahmed Ouattara,30,Centre-Forward,CF Extremadura,0.0,in,Summer,2000,2000/2001
Nandinho,24,Left-Back,Maia,0.0,in,Summer,2000,2000/2001
Maia,19,Right-Back,Salgueiros U19,0.0,in,Summer,2000,2000/2001
Paulinho,34,Centre-Back,Estoril Praia,0.0,out,Summer,2000,2000/2001
Marcelo Verón,22,attack,Platense,0.0,out,Summer,2000,2000/2001
Renato,25,Central Midfield,América-MG,0.0,out,Summer,2000,2000/2001
Filipe Cândido,20,Right Winger,CA Felgueiras,0.0,out,Summer,2000,2000/2001
Nélson,24,Left-Back,Penafiel,0.0,out,Summer,2000,2000/2001
Ademir,28,defence,Grêmio Maringá,0.0,out,Summer,2000,2000/2001
Fernando Almeida,33,Centre-Forward,Maia,0.0,out,Summer,2000,2000/2001
André Macanga,22,Defensive Midfield,FC Porto,0.0,out,Summer,2000,2000/2001
Edu Brasil,22,Right Winger,Chaves,0.0,out,Summer,2000,2000/2001
Pedro Reis,33,Centre-Back,Retired,0.0,out,Summer,2000,2000/2001
Silvino Louro,41,Goalkeeper,Retired,0.0,out,Summer,2000,2000/2001
Basarab Panduru,29,Attacking Midfield,Retired,0.0,out,Summer,2000,2000/2001
Miklós Fehér,20,Centre-Forward,FC Porto,0.0,out,Summer,2000,2000/2001
Delson,20,Defensive Midfield,Anápolis-GO,0.0,in,Summer,2001,2001/2002
Émerson,23,Centre-Back,Fluminense,0.0,in,Summer,2001,2001/2002
Ivo Oliveira,20,Goalkeeper,União Lamas,0.0,in,Summer,2001,2001/2002
Djamal,18,Defensive Midfield,Almahalla Tripoli,0.0,in,Summer,2001,2001/2002
Nélson,25,Left-Back,Penafiel,0.0,in,Summer,2001,2001/2002
Djamal Mohamed,18,Defensive Midfield,Unknown,0.0,in,Summer,2001,2001/2002
Petit,19,Left Winger,Teramo,0.0,in,Summer,2001,2001/2002
Aristides Masi,24,attack,Luqueño,0.0,in,Summer,2001,2001/2002
Tó Ferreira,29,Goalkeeper,Penafiel,0.0,in,Summer,2001,2001/2002
Ernesto,21,Left Winger,Gondomar,0.0,in,Summer,2001,2001/2002
Toy,24,Centre-Forward,Benfica,0.0,in,Summer,2001,2001/2002
