player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
João Pinto,20,Second Striker,Boavista,2500000.0,in,Summer,1992,1992/1993
Luis Mariano,23,Central Midfield,Estoril Praia,0.0,in,Summer,1992,1992/1993
Carlos Mozer,31,Centre-Back,Marseille,0.0,in,Summer,1992,1992/1993
Sergey Yuran,23,Centre-Forward,Dynamo Kyiv,0.0,in,Summer,1992,1992/1993
Mário Jorge,22,Central Midfield,Estoril Praia,0.0,in,Summer,1992,1992/1993
Fernando Mendes,25,Left-Back,Boavista,0.0,in,Summer,1992,1992/1993
Hélder Cristóvão,21,Centre-Back,Estoril Praia,0.0,in,Summer,1992,1992/1993
Pedro Roma,21,Goalkeeper,Coimbra,0.0,in,Summer,1992,1992/1993
Kenedy,18,Left-Back,Benfica U19,0.0,in,Summer,1992,1992/1993
Jose Quitongo,17,Right Winger,Benfica U19,0.0,in,Summer,1992,1992/1993
José Dominguez,18,Left Winger,Benfica U19,0.0,in,Summer,1992,1992/1993
Paulo Santos,19,Goalkeeper,Mirense,0.0,in,Summer,1992,1992/1993
Erwin Sánchez,22,Attacking Midfield,Estoril Praia,0.0,in,Summer,1992,1992/1993
Samuel,25,Centre-Back,Boavista,0.0,in,Summer,1992,1992/1993
Abel Silva,22,Right-Back,Marítimo,0.0,in,Summer,1992,1992/1993
João Pires,21,attack,Estoril Praia,0.0,out,Summer,1992,1992/1993
Pedro Valido,22,Centre-Back,Marítimo,0.0,out,Summer,1992,1992/1993
Mats Magnusson,28,Centre-Forward,Helsingborg,0.0,out,Summer,1992,1992/1993
Jonas Thern,25,Central Midfield,Napoli,0.0,out,Summer,1992,1992/1993
Erwin Sánchez,22,Attacking Midfield,Boavista,0.0,out,Summer,1992,1992/1993
Rui Bento,20,Defensive Midfield,Boavista,0.0,out,Summer,1992,1992/1993
Hugo Costa,18,Centre-Back,Gil Vicente,0.0,out,Summer,1992,1992/1993
José Dominguez,18,Left Winger,Sintrense,0.0,out,Summer,1992,1992/1993
Paulo Santos,19,Goalkeeper,Olivais,0.0,out,Summer,1992,1992/1993
Manuel Bento,44,Goalkeeper,Retired,0.0,out,Summer,1992,1992/1993
Samuel,26,Centre-Back,Odivelas,0.0,out,Winter,1992,1992/1993
Paulo Futre,27,Left Winger,Atlético Madrid,1000000.0,in,Summer,1993,1993/1994
Abel Xavier,20,Right-Back,CF Estrela,0.0,in,Summer,1993,1993/1994
Aílton,24,Centre-Forward,Atlético-MG,0.0,in,Summer,1993,1993/1994
Eduard Abazaj,29,Left-Back,Grazer AK,0.0,in,Summer,1993,1993/1994
Jovica Simanic,27,Centre-Back,Stuttgart II,0.0,in,Summer,1993,1993/1994
Pedro Henriques,18,Left-Back,Benfica U19,0.0,in,Summer,1993,1993/1994
Nuno Afonso,18,Centre-Back,Benfica U19,0.0,in,Summer,1993,1993/1994
José Figueiredo,18,midfield,Benfica U19,0.0,in,Summer,1993,1993/1994
Nuno Sampaio,18,Goalkeeper,Benfica U19,0.0,in,Summer,1993,1993/1994
Samuel,26,Centre-Back,Odivelas,0.0,in,Summer,1993,1993/1994
José Dominguez,19,Left Winger,Sintrense,0.0,in,Summer,1993,1993/1994
Paulo Santos,20,Goalkeeper,Olivais,0.0,in,Summer,1993,1993/1994
José Carlos,26,Right-Back,CF Estrela,0.0,out,Summer,1993,1993/1994
Mário Jorge,23,Central Midfield,Estoril Praia,0.0,out,Summer,1993,1993/1994
Luis Mariano,24,Central Midfield,Ovarense,0.0,out,Summer,1993,1993/1994
Pacheco,26,Left Winger,Sporting CP,0.0,out,Summer,1993,1993/1994
Samuel,26,Centre-Back,Vit. Guimarães,0.0,out,Summer,1993,1993/1994
Fernando Mendes,26,Left-Back,CF Estrela,0.0,out,Summer,1993,1993/1994
Paulo Sousa,22,Central Midfield,Sporting CP,0.0,out,Summer,1993,1993/1994
José Dominguez,19,Left Winger,Fafe,0.0,out,Summer,1993,1993/1994
Pedro Roma,22,Goalkeeper,Gil Vicente,0.0,out,Summer,1993,1993/1994
Eduard Abazaj,29,Left-Back,HNK Sibenik,0.0,out,Summer,1993,1993/1994
Paulo Madeira,22,Centre-Back,Marítimo,0.0,out,Summer,1993,1993/1994
Nuno Sampaio,18,Goalkeeper,Beira-Mar,0.0,out,Summer,1993,1993/1994
Paulo Futre,27,Left Winger,Marseille,4500000.0,out,Winter,1993,1993/1994
José Figueiredo,18,midfield,União SC,0.0,out,Winter,1993,1993/1994
Aleksandr Mostovoy,25,Attacking Midfield,SM Caen,0.0,out,Winter,1993,1993/1994
Edílson,22,Centre-Forward,Palmeiras,0.0,in,Summer,1994,1994/1995
Amaral,24,Right Winger,Sporting CP,0.0,in,Summer,1994,1994/1995
