player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andrzej Juskowiak,21,Centre-Forward,Lech Poznan,0.0,in,Summer,1992,1992/1993
Carlos Jorge,25,Centre-Back,Marítimo,0.0,in,Summer,1992,1992/1993
Stan Valckx,28,Centre-Back,PSV Eindhoven,0.0,in,Summer,1992,1992/1993
Luís Manuel,21,Defensive Midfield,Ovarense,0.0,in,Summer,1992,1992/1993
Pedro Barny,25,Centre-Back,Boavista,0.0,in,Summer,1992,1992/1993
Bilro,21,Right-Back,Olhanense,0.0,in,Summer,1992,1992/1993
Nuno Capucho,20,Right Winger,Gil Vicente,0.0,in,Summer,1992,1992/1993
Porfírio,18,Centre-Forward,Sporting U19,0.0,in,Summer,1992,1992/1993
Poejo,18,Defensive Midfield,Sporting U19,0.0,in,Summer,1992,1992/1993
Paulo Pilar,20,Central Midfield,Académico Viseu,0.0,in,Summer,1992,1992/1993
Douglas,29,Central Midfield,Cruzeiro,0.0,out,Summer,1992,1992/1993
José Lima,25,Left Winger,Vit. Guimarães,0.0,out,Summer,1992,1992/1993
Pedro Venâncio,28,Centre-Back,Boavista,0.0,out,Summer,1992,1992/1993
João Luís,30,Right-Back,Palmeiras,0.0,out,Summer,1992,1992/1993
João Oliveira Pinto,20,Right Winger,Vit. Guimarães,0.0,out,Summer,1992,1992/1993
Litos,25,Attacking Midfield,Boavista,0.0,out,Summer,1992,1992/1993
Jorginho,30,Centre-Back,Famalicão,0.0,out,Summer,1992,1992/1993
Tozé,23,Centre-Forward,Boavista,0.0,out,Summer,1992,1992/1993
Paulo Santos,26,Goalkeeper,Sanjoanense,0.0,out,Summer,1992,1992/1993
Careca,23,Attacking Midfield,Famalicão,0.0,out,Summer,1992,1992/1993
Paulo Pilar,20,Central Midfield,Louletano,0.0,out,Summer,1992,1992/1993
Sergiy Shcherbakov,21,Attacking Midfield,Shakhtar D.,0.0,in,Winter,1992,1992/1993
Careca,24,Attacking Midfield,Famalicão,0.0,in,Winter,1992,1992/1993
Tomislav Ivkovic,32,Goalkeeper,Estoril Praia,0.0,out,Winter,1992,1992/1993
Careca,24,Attacking Midfield,Cruzeiro,0.0,out,Winter,1992,1992/1993
Boncho Genchev,28,Attacking Midfield,Ipswich,0.0,out,Winter,1992,1992/1993
Luizinho,34,Centre-Back,Cruzeiro,0.0,out,Winter,1992,1992/1993
Paulo Sousa,22,Central Midfield,Benfica,0.0,in,Summer,1993,1993/1994
Costinha,19,Goalkeeper,Boavista,0.0,in,Summer,1993,1993/1994
Budimir Vujacic,29,Centre-Back,Partizan,0.0,in,Summer,1993,1993/1994
Pacheco,26,Left Winger,Benfica,0.0,in,Summer,1993,1993/1994
Zoran Lemajic,32,Goalkeeper,Boavista,0.0,in,Summer,1993,1993/1994
João Paulo,16,Centre-Forward,Sporting U19,0.0,in,Summer,1993,1993/1994
Renato,17,midfield,Sporting U19,0.0,in,Summer,1993,1993/1994
Paulo Pilar,21,Central Midfield,Louletano,0.0,in,Summer,1993,1993/1994
Bilro,22,Right-Back,Leiria,0.0,out,Summer,1993,1993/1994
Pedro Barny,26,Centre-Back,Boavista,0.0,out,Summer,1993,1993/1994
Luís Manuel,22,Defensive Midfield,Salgueiros,0.0,out,Summer,1993,1993/1994
Sérgio,27,Goalkeeper,Coimbra,0.0,out,Summer,1993,1993/1994
Paulo Pilar,21,Central Midfield,Portimonense,0.0,out,Summer,1993,1993/1994
Sergiy Shcherbakov,22,Attacking Midfield,Retired,0.0,out,Winter,1993,1993/1994
