player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Poejo,20,Defensive Midfield,Sporting CP,0.0,in,Summer,1994,1994/1995
Tahar El Khalej,26,Centre-Back,Kawkab Marrak.,0.0,in,Summer,1994,1994/1995
Lula,28,Centre-Back,Famalicão,0.0,in,Summer,1994,1994/1995
Bambo,19,Centre-Forward,Boavista,0.0,in,Summer,1994,1994/1995
Uche Okafor,26,Centre-Back,Hannover 96,0.0,in,Summer,1994,1994/1995
Nélson Bertolazzi,28,attack,Boavista,0.0,in,Summer,1994,1994/1995
Paulito,26,Right-Back,Nacional,0.0,in,Summer,1994,1994/1995
Moisés Guilherme,19,defence,Unknown,0.0,in,Summer,1994,1994/1995
Rui Guerreiro,19,Right-Back,Alverca,0.0,out,Summer,1994,1994/1995
Uche Okafor,27,Centre-Back,Ironi Ashdod,0.0,out,Winter,1994,1994/1995
João Armando,22,Centre-Back,Castelo Branco,0.0,in,Summer,1995,1995/1996
Maurício Cabedelo,23,Centre-Forward,Cruzeiro,0.0,in,Summer,1995,1995/1996
Hugo,22,Right Midfield,Farense,0.0,in,Summer,1995,1995/1996
Sérgio,26,Centre-Back,Paços Ferreira,0.0,in,Summer,1995,1995/1996
Miroslav Zitnjak,27,Goalkeeper,NK Osijek,0.0,in,Summer,1995,1995/1996
Manuel Cabral,NA,Left-Back,Beira-Mar,0.0,in,Summer,1995,1995/1996
Paulo Duarte,26,Centre-Back,Marítimo,0.0,in,Summer,1995,1995/1996
Álvaro Gregório,22,Left-Back,Belenenses,0.0,in,Summer,1995,1995/1996
Kwame Ayew,21,Centre-Forward,Lecce,0.0,in,Summer,1995,1995/1996
João Manuel,27,Central Midfield,Coimbra,0.0,in,Summer,1995,1995/1996
Porfírio,21,Centre-Forward,Sporting CP,0.0,in,Summer,1995,1995/1996
Poejo,21,Defensive Midfield,CF Estrela,0.0,out,Summer,1995,1995/1996
Hugo Barbeiro,19,midfield,Marinhense,0.0,out,Summer,1995,1995/1996
Nélson Bertolazzi,29,attack,Boavista,0.0,out,Summer,1995,1995/1996
Álvaro,34,Goalkeeper,Campomaiorense,0.0,out,Summer,1995,1995/1996
Telmo Pinto,24,Right Midfield,Paços Ferreira,0.0,out,Summer,1995,1995/1996
Bambo,20,Centre-Forward,CF Estrela,0.0,out,Summer,1995,1995/1996
Lula,29,Centre-Back,Belenenses,0.0,out,Summer,1995,1995/1996
Dinda,22,Attacking Midfield,Paços Ferreira,0.0,out,Summer,1995,1995/1996
Tilico,30,attack,León,0.0,in,Winter,1995,1995/1996
Morgado,23,Centre-Back,Portimonense,0.0,out,Winter,1995,1995/1996
Luís Vouzela,22,Central Midfield,Académico Viseu,0.0,in,Summer,1996,1996/1997
Stojan Belajic,27,defence,Austria Vienna,0.0,in,Summer,1996,1996/1997
Ádamo,25,Goalkeeper,Esposende,0.0,in,Summer,1996,1996/1997
Quinzinho,22,Centre-Forward,FC Porto,0.0,in,Summer,1996,1996/1997
Vasco Évora,17,Goalkeeper,Leiria U19,0.0,in,Summer,1996,1996/1997
Miguel  Xavier,18,Central Midfield,Leiria U19,0.0,in,Summer,1996,1996/1997
Hugo Carvalho,18,midfield,Leiria U19,0.0,in,Summer,1996,1996/1997
Poejo,22,Defensive Midfield,CF Estrela,0.0,in,Summer,1996,1996/1997
