player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mariano,21,Left-Back,Salgueiros,0.0,in,Summer,1997,1997/1998
Ricardo Nascimento,23,Attacking Midfield,Boavista,0.0,in,Summer,1997,1997/1998
Fernando Brassard,25,Goalkeeper,Benfica,0.0,in,Summer,1997,1997/1998
Quim Machado,30,midfield,Chaves,0.0,in,Summer,1997,1997/1998
Luizão,26,Centre-Back,Vit. Guimarães,0.0,in,Summer,1997,1997/1998
Bruno Novo,17,Right-Back,Varzim U19,0.0,in,Summer,1997,1997/1998
Morgado,27,Left-Back,Feirense,0.0,out,Summer,1997,1997/1998
Celestino da Silva,32,Centre-Back,Retired,0.0,out,Summer,1997,1997/1998
Lamine Conteh,21,Attacking Midfield,Boavista,0.0,in,Winter,1997,1997/1998
Marcos Severo,32,attack,Salgueiros,0.0,out,Winter,1997,1997/1998
Gérard Roland,20,Centre-Back,G. Bordeaux B,0.0,in,Summer,2001,2001/2002
Vítor Manuel,30,Attacking Midfield,Farense,0.0,in,Summer,2001,2001/2002
Mariano,25,Left-Back,Marítimo,0.0,in,Summer,2001,2001/2002
Henrique Hilário,25,Goalkeeper,FC Porto,0.0,in,Summer,2001,2001/2002
Sérgio Carvalho,24,Centre-Back,Boavista,0.0,in,Summer,2001,2001/2002
Olivier Pickeu,31,Centre-Forward,Le Mans UC 72,0.0,in,Summer,2001,2001/2002
Víctor Torres Mestre,30,Left-Back,Real Betis,0.0,in,Summer,2001,2001/2002
Paulo Sérgio,32,Centre-Back,Farense,0.0,in,Summer,2001,2001/2002
Rodolfo Correia,24,midfield,FC Porto,0.0,in,Summer,2001,2001/2002
Fumo,21,Left Winger,Sporting CP,0.0,in,Summer,2001,2001/2002
Bruno Novo,21,Right-Back,Levante,0.0,out,Summer,2001,2001/2002
Slobodan Sladojevic,23,midfield,Desportivo Aves,0.0,out,Summer,2001,2001/2002
Rui André,26,Left-Back,Vitória Setúbal,0.0,out,Summer,2001,2001/2002
Artur Jorge,30,Centre-Forward,Moreirense,0.0,out,Summer,2001,2001/2002
Marco Abreu,26,Left-Back,SC Covilhã,0.0,out,Summer,2001,2001/2002
Zé Pedro,19,Right-Back,CA Felgueiras,0.0,out,Summer,2001,2001/2002
Vinícius,14,Centre-Back,Fortaleza,0.0,out,Summer,2001,2001/2002
Vinicius,28,Centre-Forward,Bangu-RJ,0.0,in,Winter,2001,2001/2002
Quim Berto,30,Right-Back,Benfica,0.0,in,Winter,2001,2001/2002
Moisés,24,Central Midfield,União Lamas,0.0,out,Winter,2001,2001/2002
Zé António,25,Centre-Back,Alverca,0.0,in,Summer,2002,2002/2003
Milhazes,21,Left-Back,Caçadores,0.0,in,Summer,2002,2002/2003
Marcelo Pontiroli,30,Goalkeeper,Lanús,0.0,in,Summer,2002,2002/2003
Jorge Ribeiro,20,Left-Back,Benfica,0.0,in,Summer,2002,2002/2003
Quim Berto,30,Right-Back,Benfica,0.0,in,Summer,2002,2002/2003
Jorge Luís,26,Left-Back,Santa Cruz,0.0,in,Summer,2002,2002/2003
Paulo Ferreira,28,Left Winger,Farense,0.0,in,Summer,2002,2002/2003
Rodolfo Correia,25,midfield,FC Porto,0.0,in,Summer,2002,2002/2003
Marcão,33,Centre-Forward,Belenenses,0.0,in,Summer,2002,2002/2003
Rui Baião,21,Attacking Midfield,Benfica,0.0,in,Summer,2002,2002/2003
Fernando,21,Left Midfield,Anápolis-GO,0.0,in,Summer,2002,2002/2003
José Lemos,30,Centre-Back,Gil Vicente,0.0,in,Summer,2002,2002/2003
Paulo Vida,30,Centre-Forward,Campomaiorense,0.0,in,Summer,2002,2002/2003
Pêpa,21,Centre-Forward,Benfica,0.0,in,Summer,2002,2002/2003
João Paulo,22,Centre-Forward,Boavista,0.0,in,Summer,2002,2002/2003
Pedro Santos,18,Centre-Back,Varzim U19,0.0,in,Summer,2002,2002/2003
Vítor Manuel,31,Attacking Midfield,Desportivo Aves,0.0,out,Summer,2002,2002/2003
Gérard Roland,21,Centre-Back,Langon FC,0.0,out,Summer,2002,2002/2003
Víctor Torres Mestre,31,Left-Back,Sp. Mahonés,0.0,out,Summer,2002,2002/2003
Paulo Sérgio,33,Centre-Back,Desportivo Aves,0.0,out,Summer,2002,2002/2003
Vinicius,28,Centre-Forward,Fortaleza,0.0,out,Summer,2002,2002/2003
Olivier Pickeu,32,Centre-Forward,Stade Reims,0.0,out,Summer,2002,2002/2003
Dmitri Prokopenko,30,Centre-Forward,CF Estrela,0.0,out,Summer,2002,2002/2003
Medeiros,25,Centre-Back,Vit. Guimarães,0.0,out,Summer,2002,2002/2003
Quim Berto,30,Right-Back,Benfica,0.0,out,Summer,2002,2002/2003
Rodolfo Correia,25,midfield,FC Porto,0.0,out,Summer,2002,2002/2003
Henrique Hilário,26,Goalkeeper,FC Porto,0.0,out,Summer,2002,2002/2003
Fumo,22,Left Winger,Sporting CP,0.0,out,Summer,2002,2002/2003
Paulo Santos,30,Goalkeeper,FC Porto,0.0,in,Winter,2002,2002/2003
Marcelo Pontiroli,30,Goalkeeper,Belgrano,0.0,out,Winter,2002,2002/2003
Mendonça,20,Right Winger,Chaves,0.0,out,Winter,2002,2002/2003
