player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Dimas,23,Left-Back,CF Estrela,0.0,in,Summer,1992,1992/1993
Quim Berto,20,Right-Back,Castelo Branco,0.0,in,Summer,1992,1992/1993
Paulo Pereira,26,Right-Back,FC Porto,0.0,in,Summer,1992,1992/1993
João Oliveira Pinto,20,Right Winger,Sporting CP,0.0,in,Summer,1992,1992/1993
Dane Kuprešanin,25,Attacking Midfield,Famalicão,0.0,in,Summer,1992,1992/1993
José Lima,25,Left Winger,Sporting CP,0.0,in,Summer,1992,1992/1993
Tanta,27,defence,Famalicão,0.0,in,Summer,1992,1992/1993
Nuno Espírito Santo,18,Goalkeeper,Guimarães U19,0.0,in,Summer,1992,1992/1993
Fonseca,27,Left-Back,CF Estrela,0.0,out,Summer,1992,1992/1993
Soeiro,26,Centre-Back,Marítimo,0.0,out,Summer,1992,1992/1993
António Caetano,25,Left-Back,Boavista,0.0,out,Summer,1992,1992/1993
Melo,29,midfield,Paços Ferreira,0.0,out,Summer,1992,1992/1993
Jaime Alves,27,Right-Back,Boavista,0.0,out,Summer,1992,1992/1993
Carlos,25,Goalkeeper,CF Estrela,0.0,out,Summer,1992,1992/1993
Zlatko Zahovic,22,Attacking Midfield,Partizan,0.0,in,Summer,1993,1993/1994
Artur Jorge,22,Centre-Forward,Famalicão,0.0,in,Summer,1993,1993/1994
Samuel,26,Centre-Back,Benfica,0.0,in,Summer,1993,1993/1994
Fernando Brassard,21,Goalkeeper,Gil Vicente,0.0,in,Summer,1993,1993/1994
Agostinho,17,Left Winger,Guimarães U19,0.0,in,Summer,1993,1993/1994
Nuno Espírito Santo,19,Goalkeeper,Vila Real,0.0,out,Summer,1993,1993/1994
Paulo Pereira,27,Right-Back,FC Porto,0.0,out,Summer,1993,1993/1994
João Oliveira Pinto,21,Right Winger,Estoril Praia,0.0,out,Summer,1993,1993/1994
José Lima,26,Left Winger,Atlético CP,0.0,out,Summer,1993,1993/1994
Germano,27,Centre-Back,União Madeira,0.0,out,Summer,1993,1993/1994
Paulo Jorge,30,Right Winger,União Madeira,0.0,out,Summer,1993,1993/1994
Emerson Almeida,21,midfield,Criciúma EC,0.0,in,Winter,1993,1993/1994
José Carlos,27,Right-Back,CF Estrela,0.0,in,Summer,1994,1994/1995
Gilmar,27,Centre-Forward,Chaves,0.0,in,Summer,1994,1994/1995
Pedro Martins,23,Defensive Midfield,Feirense,0.0,in,Summer,1994,1994/1995
Vitor Silva,25,Centre-Back,Espinho,0.0,in,Summer,1994,1994/1995
Zé Carlos,32,Goalkeeper,Farense,0.0,in,Summer,1994,1994/1995
Walter,26,Right-Back,Coimbra,0.0,in,Summer,1994,1994/1995
Nuno Espírito Santo,20,Goalkeeper,Vila Real,0.0,in,Summer,1994,1994/1995
Paulo Bento,25,Defensive Midfield,Benfica,0.0,out,Summer,1994,1994/1995
Dimas,25,Left-Back,Benfica,0.0,out,Summer,1994,1994/1995
Artur Jorge,23,Centre-Forward,Espinho,0.0,out,Summer,1994,1994/1995
Fernando Brassard,22,Goalkeeper,Gil Vicente,0.0,out,Summer,1994,1994/1995
Taoufik Hichri,29,Centre-Back,CS Msaken,0.0,out,Summer,1994,1994/1995
Quim Machado,27,midfield,CF Estrela,0.0,out,Summer,1994,1994/1995
Basaúla Lemba,29,Attacking Midfield,Belenenses,0.0,out,Winter,1994,1994/1995
Ricardo Ramires,19,Right Midfield,Torreense,0.0,in,Summer,1995,1995/1996
Arley,23,defence,Cruzeiro,0.0,in,Summer,1995,1995/1996
Ricardo Lopes,26,Right Winger,CF Estrela,0.0,in,Summer,1995,1995/1996
Marco Freitas,22,Defensive Midfield,Nacional,0.0,in,Summer,1995,1995/1996
Edinho,27,attack,Chaves,0.0,in,Summer,1995,1995/1996
