player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Rui Gregório,24,Centre-Back,Belenenses,0.0,in,Summer,1993,1993/1994
Sérgio Araújo,29,attack,Ponte Preta,0.0,in,Summer,1993,1993/1994
Chiquinho Carlos,30,Attacking Midfield,SC Braga,0.0,in,Summer,1993,1993/1994
Rui Esteves,26,midfield,Torreense,0.0,in,Summer,1993,1993/1994
Rosario,28,attack,Unknown,0.0,in,Summer,1993,1993/1994
Clint Marcelle,24,midfield,Rio Ave FC,0.0,out,Summer,1993,1993/1994
Nuno Santos,20,Goalkeeper,Operário Lagoa,0.0,out,Summer,1993,1993/1994
Milorad Bajovic,29,midfield,Retired,0.0,out,Summer,1993,1993/1994
Filgueira,26,Centre-Back,Chaves,0.0,in,Winter,1993,1993/1994
Tomislav Ivkovic,33,Goalkeeper,Estoril Praia,0.0,in,Winter,1993,1993/1994
Goran Stevanovic,27,midfield,Farense,0.0,in,Summer,1994,1994/1995
Dino,33,attack,Beira-Mar,0.0,in,Summer,1994,1994/1995
Tó Sá,25,Right-Back,Amora FC,0.0,in,Summer,1994,1994/1995
Paulão,24,Right Winger,Estrela Clube,0.0,in,Summer,1994,1994/1995
Hernâni,30,Defensive Midfield,Benfica,0.0,in,Summer,1994,1994/1995
Michael Brundin,28,Centre-Back,GIF Sundsvall,0.0,in,Summer,1994,1994/1995
Silvino Louro,35,Goalkeeper,Benfica,0.0,in,Summer,1994,1994/1995
Bruno Ribeiro,18,Left Midfield,Setúbal U19,0.0,in,Summer,1994,1994/1995
Nuno Santos,21,Goalkeeper,Operário Lagoa,0.0,in,Summer,1994,1994/1995
Rasheed Yekini,30,Centre-Forward,Olympiacos,2720000.0,out,Summer,1994,1994/1995
Gbessay Sessay,26,Centre-Forward,Paços Ferreira,0.0,out,Summer,1994,1994/1995
Rui Gregório,25,Centre-Back,Tirsense,0.0,out,Summer,1994,1994/1995
Rui Esteves,27,midfield,Benfica,0.0,out,Summer,1994,1994/1995
Tomislav Ivkovic,33,Goalkeeper,Belenenses,0.0,out,Summer,1994,1994/1995
José Carlos,24,Goalkeeper,Paços Ferreira,0.0,out,Summer,1994,1994/1995
Chiquinho Conde,28,Centre-Forward,Sporting CP,0.0,out,Summer,1994,1994/1995
Mamede,20,Central Midfield,Juv. Évora,0.0,out,Summer,1994,1994/1995
Diamantino,34,Right Midfield,Retired,0.0,out,Summer,1994,1994/1995
Abel Silva,25,Right-Back,Benfica,0.0,in,Winter,1994,1994/1995
Jorge Andrade,31,Second Striker,Marítimo,0.0,in,Winter,1994,1994/1995
Pedro Henriques,20,Left-Back,Benfica,0.0,in,Winter,1994,1994/1995
Rosario,29,attack,Boavista,0.0,out,Winter,1994,1994/1995
Matias,32,Centre-Back,FC Porto,0.0,in,Summer,1996,1996/1997
Fernando Pires,27,Attacking Midfield,Marítimo,0.0,in,Summer,1996,1996/1997
Chipenda,27,Central Midfield,Belenenses,0.0,in,Summer,1996,1996/1997
Sylvain Sansone,28,Goalkeeper,Lus. Lourosa,0.0,in,Summer,1996,1996/1997
Nando Có,22,attack,Arrifanense,0.0,in,Summer,1996,1996/1997
Chiquinho Conde,30,Centre-Forward,Belenenses,0.0,in,Summer,1996,1996/1997
Kwame Ayew,22,Centre-Forward,Leiria,0.0,in,Summer,1996,1996/1997
Gaspar,21,Centre-Back,Tirsense,0.0,in,Summer,1996,1996/1997
Mário Loja,18,Left-Back,Setúbal U19,0.0,in,Summer,1996,1996/1997
Nuno Curto,17,attack,Setúbal U19,0.0,in,Summer,1996,1996/1997
Sérgio,18,Right Winger,Setúbal U19,0.0,in,Summer,1996,1996/1997
Tózé,18,Centre-Forward,Setúbal U19,0.0,in,Summer,1996,1996/1997
Frechaut,18,Right-Back,Setúbal U19,0.0,in,Summer,1996,1996/1997
Portela,20,Right-Back,Portimonense,0.0,out,Summer,1996,1996/1997
Hernâni,32,Defensive Midfield,Beja,0.0,out,Summer,1996,1996/1997
Toni Vidigal,21,Right Midfield,Estoril Praia,0.0,out,Summer,1996,1996/1997
Edmundo,32,Centre-Back,Beja,0.0,out,Summer,1996,1996/1997
Rui Manuel,29,midfield,Portimonense,0.0,out,Summer,1996,1996/1997
João de Deus,19,Right-Back,Beja,0.0,out,Summer,1996,1996/1997
Silvino Morais,30,Goalkeeper,Belenenses,0.0,out,Summer,1996,1996/1997
Eric Tinkler,25,Defensive Midfield,Cagliari Calcio,0.0,out,Summer,1996,1996/1997
Marco Tábuas,19,Goalkeeper,Beja,0.0,out,Summer,1996,1996/1997
Rasheed Yekini,33,Centre-Forward,Sporting Gijón,0.0,in,Winter,1996,1996/1997
Junaid Hartley,18,midfield,Wits University,0.0,in,Winter,1996,1996/1997
Sandro Mendes,19,Defensive Midfield,Hércules CF,0.0,out,Winter,1996,1996/1997
Chiquinho Conde,31,Centre-Forward,New England,0.0,out,Winter,1996,1996/1997
Matias,32,Centre-Back,Gil Vicente,0.0,out,Winter,1996,1996/1997
Toñito,20,Right Midfield,CD Tenerife B,0.0,in,Summer,1997,1997/1998
Filipe Cândido,17,Right Winger,Real Madrid B,0.0,in,Summer,1997,1997/1998
Amaral,27,Right Winger,Belenenses,0.0,in,Summer,1997,1997/1998
Nuno Afonso,22,Centre-Back,UD Salamanca,0.0,in,Summer,1997,1997/1998
Vlada Stosic,32,midfield,Atlante,0.0,in,Summer,1997,1997/1998
Velli Kasumov,28,Centre-Forward,Albacete,0.0,in,Summer,1997,1997/1998
Aurtis Whitley,20,Defensive Midfield,Rangers,0.0,in,Summer,1997,1997/1998
Paulo Filipe,18,Centre-Back,Setúbal U19,0.0,in,Summer,1997,1997/1998
Marco Tábuas,20,Goalkeeper,Beja,0.0,in,Summer,1997,1997/1998
Bruno Ribeiro,21,Left Midfield,Leeds,700000.0,out,Summer,1997,1997/1998
Fernando Pires,28,Attacking Midfield,Moreirense,0.0,out,Summer,1997,1997/1998
Tó Sá,28,Right-Back,Coimbra,0.0,out,Summer,1997,1997/1998
António Nogueira,33,Centre-Back,Unknown,0.0,out,Summer,1997,1997/1998
Sylvain Sansone,29,Goalkeeper,St. Beaucairois,0.0,out,Summer,1997,1997/1998
Nando Có,23,attack,Racing,0.0,out,Summer,1997,1997/1998
Rasheed Yekini,33,Centre-Forward,FC Zürich,0.0,out,Summer,1997,1997/1998
Paulo Sérgio,29,Centre-Forward,Feirense,0.0,out,Summer,1997,1997/1998
Kwame Ayew,23,Centre-Forward,Boavista,0.0,out,Summer,1997,1997/1998
Cândido Rego,26,Goalkeeper,Boavista,0.0,out,Summer,1997,1997/1998
Gaspar,22,Centre-Back,FC Porto,0.0,out,Summer,1997,1997/1998
Pedro Henriques,23,Left-Back,FC Porto,0.0,in,Winter,1997,1997/1998
Ricardo Silva,20,Right Winger,Olhanense,0.0,in,Winter,1997,1997/1998
Chiquinho Conde,32,Centre-Forward,Tampa Bay,0.0,in,Winter,1997,1997/1998
Jae-kwon Jung,27,Left Winger,Pusan Daewoo,0.0,in,Winter,1997,1997/1998
Pedro Mendes,18,Right Winger,Setúbal U19,0.0,in,Winter,1997,1997/1998
Jae-kwon Jung,27,Left Winger,Pusan Daewoo,0.0,out,Winter,1997,1997/1998
Maki,20,Centre-Forward,Penafiel,0.0,in,Summer,1998,1998/1999
Manuel do Carmo,23,midfield,Lusitano Évora,0.0,in,Summer,1998,1998/1999
