player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Léo Jabá,18,Right Winger,Corinthians,2000000.0,in,Summer,2017,2017/2018
Ismael Silva,22,Central Midfield,Kalmar FF,1000000.0,in,Summer,2017,2017/2018
Ravanelli,19,Attacking Midfield,Ponte Preta,800000.0,in,Summer,2017,2017/2018
Anton Shvets,24,Defensive Midfield,Villarreal CF B,0.0,in,Summer,2017,2017/2018
Philipe Sampaio,22,Centre-Back,Boavista,0.0,in,Summer,2017,2017/2018
Roland Gigolaev,27,Left Midfield,Amkar Perm,0.0,in,Summer,2017,2017/2018
Ayub Batsuev,20,Central Midfield,Terek II,0.0,in,Summer,2017,2017/2018
Apti Akhyadov,23,Right Winger,Terek II,0.0,in,Summer,2017,2017/2018
Khalid Kadyrov,23,Right Winger,Terek II,0.0,in,Summer,2017,2017/2018
Daler Kuzyaev,24,Central Midfield,Zenit S-Pb,4000000.0,out,Summer,2017,2017/2018
Gheorghe Grozav,26,Left Winger,Karabükspor,0.0,out,Summer,2017,2017/2018
Yaroslav Godzyur,32,Goalkeeper,Ural,0.0,out,Summer,2017,2017/2018
Igor Lebedenko,34,Centre-Forward,Ararat Moskau,0.0,out,Summer,2017,2017/2018
Reziuan Mirzov,24,Left Winger,Rostov,0.0,out,Summer,2017,2017/2018
Facundo Píriz,27,Defensive Midfield,Montpellier,0.0,out,Summer,2017,2017/2018
Gabriel Torje,27,Right Winger,Karabükspor,0.0,out,Summer,2017,2017/2018
Norbert Gyomber,24,Centre-Back,AS Roma,0.0,out,Summer,2017,2017/2018
Magomed Ozdoev,24,Central Midfield,Rubin Kazan,0.0,out,Summer,2017,2017/2018
Aleksandr Sheplyakov,21,Goalkeeper,CRFSO Smolensk,0.0,in,Winter,2017,2017/2018
Adlan Katsaev,29,Right Midfield,Anzhi,0.0,in,Winter,2017,2017/2018
Gabriel Torje,28,Right Winger,Karabükspor,0.0,in,Winter,2017,2017/2018
Gabriel Torje,28,Right Winger,FC Dinamo,0.0,out,Winter,2017,2017/2018
Idrissa Doumbia,20,Defensive Midfield,RSC Anderlecht,1250000.0,in,Summer,2018,2018/2019
Zoran Nizic,28,Centre-Back,Hajduk Split,800000.0,in,Summer,2018,2018/2019
Evgeniy Kharin,23,Left Midfield,FCI Levadia,0.0,in,Summer,2018,2018/2019
Mikhail Gashchenkov,26,Central Midfield,Amkar Perm,0.0,in,Summer,2018,2018/2019
Aleksandr Sheplyakov,21,Goalkeeper,Dnepr Smolensk,6000.0,in,Summer,2018,2018/2019
Magomed Musalov,24,Right-Back,Anzhi,0.0,in,Summer,2018,2018/2019
Idris Umaev,19,Centre-Forward,Akhmat II,0.0,in,Summer,2018,2018/2019
Facundo Píriz,28,Defensive Midfield,Montpellier,0.0,in,Summer,2018,2018/2019
Gabriel Torje,28,Right Winger,FC Dinamo,0.0,in,Summer,2018,2018/2019
Léo Jabá,19,Right Winger,PAOK Salonika,3500000.0,out,Summer,2018,2018/2019
