player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mikheil Kavelashvili,32,Centre-Forward,FC Aarau,0.0,in,Summer,2004,2004/2005
Mounir El Haimour,23,midfield,Yverdon Sport,0.0,in,Summer,2004,2004/2005
Erich Brabec,27,Centre-Back,Dinamo Moscow,0.0,in,Summer,2004,2004/2005
Albert Sarkisyan,29,Right Midfield,Arsenal Kyiv,0.0,in,Summer,2004,2004/2005
Zurab Tsiklauri,30,Centre-Forward,Элиста,0.0,in,Summer,2004,2004/2005
Miodrag Zec,21,Right Winger,Mogren,0.0,in,Summer,2004,2004/2005
Serghei Dadu,23,Centre-Forward,CSKA Moscow,500000.0,out,Summer,2004,2004/2005
Albert Doguzov,36,Defensive Midfield,Novorossijsk,0.0,out,Summer,2004,2004/2005
Emin Guliyev,27,Centre-Back,Neftchi Baku,0.0,out,Summer,2004,2004/2005
Cristian Dorin Tudor,21,Centre-Forward,FC Sheriff,0.0,out,Summer,2004,2004/2005
Giorgi Demetradze,28,Centre-Forward,Metalurg D.,2500000.0,in,Winter,2004,2004/2005
Justice Christopher,23,Defensive Midfield,Trelleborg,150000.0,in,Winter,2004,2004/2005
Ibra Kébé,26,Left-Back,Spartak Moscow,0.0,in,Winter,2004,2004/2005
Vladan Grujic,23,Defensive Midfield,1. FC Köln,0.0,in,Winter,2004,2004/2005
Iulian Tames,26,Central Midfield,FC Dinamo,0.0,in,Winter,2004,2004/2005
Vladimer Burduli,24,Right Midfield,FC Locomotive,0.0,in,Winter,2004,2004/2005
Sergey Narubin,23,Goalkeeper,Dinamo Bryansk,0.0,in,Winter,2004,2004/2005
Alberto Blanco,26,Central Midfield,FC Sheriff,0.0,in,Winter,2004,2004/2005
Rakhmatullo Fuzaylov,26,Right-Back,Shinnik,0.0,in,Winter,2004,2004/2005
Darius Zutautas,26,Centre-Back,FBK Kaunas,0.0,in,Winter,2004,2004/2005
Dzhambulad Bazaev,25,Right Winger,Saturn,0.0,in,Winter,2004,2004/2005
Davit Kvirkvelia,24,Left-Back,Dinamo Tbilisi,0.0,in,Winter,2004,2004/2005
