player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Anatoliy Didenko,21,Centre-Forward,FK Mykolaiv,0.0,in,Summer,2003,2003/2004
Ruslan Surodin,20,Defensive Midfield,Chernomorets N.,0.0,in,Summer,2003,2003/2004
Aleksandr Semenov,21,Centre-Forward,Shinnik II,0.0,in,Summer,2003,2003/2004
Ghenadie Olexici,25,Centre-Back,Zimbru Chisinau,0.0,in,Winter,2003,2003/2004
Andrey Lavrik,29,Defensive Midfield,Dinamo SPb,0.0,in,Winter,2003,2003/2004
Zahari Sirakov,26,Right-Back,Rodopa,0.0,in,Winter,2003,2003/2004
Vladimir Leonchenko,31,Central Midfield,Torpedo Moscow,0.0,in,Winter,2003,2003/2004
Oleksandr Shutov,28,Right Midfield,Tom Tomsk,0.0,in,Winter,2003,2003/2004
Vitali Bulyga,23,Centre-Forward,KS Samara,0.0,in,Winter,2003,2003/2004
Yuriy Kondratjev,22,attack,Energetik Uren,0.0,out,Winter,2003,2003/2004
Yuriy Khayrullin,31,attack,Novosibirsk,0.0,out,Winter,2003,2003/2004
Aleksey Filippov,29,Central Midfield,Luch Vladivostok,0.0,out,Winter,2003,2003/2004
Ivan Vasiljev,24,midfield,Ural,0.0,out,Winter,2003,2003/2004
Denis Pervushin,26,Left Midfield,Retired,0.0,out,Winter,2003,2003/2004
Igor Uralev,37,Goalkeeper,Retired,0.0,out,Winter,2003,2003/2004
Ruslan Surodin,21,Defensive Midfield,Chernomorets N.,0.0,out,Winter,2003,2003/2004
Aleksandr Semenov,21,Centre-Forward,Shinnik II,0.0,out,Winter,2003,2003/2004
Yuri Shelenkov,22,Centre-Back,Spartak Nalchik,0.0,out,Winter,2003,2003/2004
Noureddine Ziyati,29,Attacking Midfield,Rapid Bucharest,0.0,in,Summer,2004,2004/2005
Sergey Mitin,24,Central Midfield,Ural,0.0,out,Summer,2004,2004/2005
Branimir Subasic,22,Centre-Forward,Chornomorets,200000.0,in,Winter,2004,2004/2005
Dmitri Belorukov,21,Centre-Back,Anzhi,100000.0,in,Winter,2004,2004/2005
Erik Lincar,26,Defensive Midfield,Akratitos,0.0,in,Winter,2004,2004/2005
Maksim Aristarkhov,24,Centre-Forward,Arsenal Kyiv,0.0,in,Winter,2004,2004/2005
Albert Sarkisyan,29,Right Midfield,Alania,0.0,in,Winter,2004,2004/2005
Dmitri Makarov,22,Centre-Forward,Zenit S-Pb,0.0,in,Winter,2004,2004/2005
Ivan Levenets,24,Goalkeeper,Amkar II,0.0,in,Winter,2004,2004/2005
Sergey Mitin,24,Central Midfield,Ural,0.0,in,Winter,2004,2004/2005
Rustem Khuzin,32,Right-Back,Rubin Kazan,0.0,out,Winter,2004,2004/2005
Aleksandr Chistyi,32,Goalkeeper,Met-Kuz,0.0,out,Winter,2004,2004/2005
Sergey Mitin,24,Central Midfield,Met-Kuz,0.0,out,Winter,2004,2004/2005
Vitali Bulyga,24,Centre-Forward,KS Samara,0.0,out,Winter,2004,2004/2005
Evgeni Yordanov,27,Centre-Forward,CSKA Sofia,200000.0,in,Summer,2005,2005/2006
Branko Radovanovic,24,Centre-Forward,Zeleznik Belgr.,0.0,in,Summer,2005,2005/2006
Ildar Akhmetzyanov,21,Defensive Midfield,Neftekhimik,0.0,in,Summer,2005,2005/2006
Martin Kushev,31,Centre-Forward,Litex Lovech,0.0,in,Summer,2005,2005/2006
Branimir Subasic,23,Centre-Forward,Neftchi Baku,150000.0,out,Summer,2005,2005/2006
Sergey Savochkin,29,Defensive Midfield,Nosta,0.0,out,Summer,2005,2005/2006
Evgeniy Savin,21,Centre-Forward,Khimki,500000.0,in,Winter,2005,2005/2006
Vitali Grishin,25,Left Midfield,Khimki,450000.0,in,Winter,2005,2005/2006
Roman Vorobjov,21,Central Midfield,Met-Kuz,0.0,in,Winter,2005,2005/2006
Evgeniy Shcherbakov,19,Attacking Midfield,Dinamo Barnaul,0.0,in,Winter,2005,2005/2006
Pavel Alikin,21,Centre-Back,Amkar II,0.0,in,Winter,2005,2005/2006
Sergey Mitin,25,Central Midfield,Met-Kuz,0.0,in,Winter,2005,2005/2006
Branko Radovanovic,24,Centre-Forward,GS Kallithea,0.0,out,Winter,2005,2005/2006
Anatoliy Didenko,23,Centre-Forward,Metalist,0.0,out,Winter,2005,2005/2006
Vladimir Leonchenko,33,Central Midfield,Alania,0.0,out,Winter,2005,2005/2006
Maksim Aristarkhov,25,Centre-Forward,Terek Grozny,0.0,out,Winter,2005,2005/2006
Igor Bakhtin,32,Central Midfield,Ural,0.0,out,Winter,2005,2005/2006
Maksim Povorov,28,Right-Back,Ural,0.0,out,Winter,2005,2005/2006
Dmitri Pyatibratov,29,Centre-Back,Zvezda Irkutsk,0.0,out,Winter,2005,2005/2006
Sergey Mitin,25,Central Midfield,Salyut Belgorod,0.0,out,Winter,2005,2005/2006
Konstantin Genich,27,Central Midfield,Retired,0.0,out,Winter,2005,2005/2006
Dmitri Makarov,23,Centre-Forward,Zenit S-Pb,0.0,out,Winter,2005,2005/2006
Erik Lincar,27,Defensive Midfield,FC National,0.0,out,Summer,2006,2006/2007
Georgi Peev,27,Right Midfield,Dynamo 2 Kyiv,400000.0,in,Winter,2006,2006/2007
Tomislav Dujmovic,25,Central Midfield,Medjimurje,300000.0,in,Winter,2006,2006/2007
Marko Milovanovic,24,Centre-Back,SK Tavriya,300000.0,in,Winter,2006,2006/2007
Toni Soldevilla,28,Centre-Back,Apol. Limassol,150000.0,in,Winter,2006,2006/2007
Nikola Drincic,22,Defensive Midfield,Gaziantepspor,0.0,in,Winter,2006,2006/2007
Miklós Gaál,25,Left-Back,Hajduk Split,0.0,in,Winter,2006,2006/2007
Sergey Narubin,25,Goalkeeper,Dinamo Bryansk,0.0,in,Winter,2006,2006/2007
Noureddine Ziyati,32,Attacking Midfield,Al-Sailiya SC,0.0,out,Winter,2006,2006/2007
Roman Vorobjov,22,Central Midfield,Khimki,0.0,out,Winter,2006,2006/2007
Evgeni Yordanov,28,Centre-Forward,CSKA Sofia,0.0,out,Winter,2006,2006/2007
Oleksandr Shutov,31,Right Midfield,SK Tavriya,0.0,out,Winter,2006,2006/2007
Aleksey Stepanov,29,Goalkeeper,Shinnik,0.0,out,Winter,2006,2006/2007
Albert Sarkisyan,31,Right Midfield,Terek Grozny,0.0,out,Winter,2006,2006/2007
Ildar Akhmetzyanov,23,Defensive Midfield,Amkar II,0.0,out,Winter,2006,2006/2007
Evgeniy Shcherbakov,20,Attacking Midfield,Amkar II,0.0,out,Winter,2006,2006/2007
Predrag Sikimic,24,Centre-Forward,Vojvodina,125000.0,in,Summer,2007,2007/2008
Pavel Alikin,23,Centre-Back,Salyut Belgorod,0.0,out,Summer,2007,2007/2008
Vladimir Gabulov,24,Goalkeeper,Kuban Krasnodar,150000.0,in,Winter,2007,2007/2008
Nenad Injac,22,Centre-Forward,Borac Cacak,0.0,in,Winter,2007,2007/2008
Vyacheslav Krendelev,25,Left Midfield,Terek Grozny,0.0,in,Winter,2007,2007/2008
Mikhail Afanasjev,21,Right Midfield,MTZ-Ripo Minsk,0.0,in,Winter,2007,2007/2008
Ivan Starkov,21,Left Winger,Loko Moscow II,0.0,in,Winter,2007,2007/2008
Nikolay Zhilyaev,20,Right Winger,Loko Moscow II,0.0,in,Winter,2007,2007/2008
Artur Stepanyan,20,Centre-Back,S-UGP Anapa,0.0,in,Winter,2007,2007/2008
Pavel Alikin,23,Centre-Back,Salyut Belgorod,0.0,in,Winter,2007,2007/2008
Evgeniy Savin,23,Centre-Forward,KS Samara,1500000.0,out,Winter,2007,2007/2008
Andrey Kobenko,25,Left Midfield,Rubin Kazan,0.0,out,Winter,2007,2007/2008
Andrey Lavrik,33,Defensive Midfield,Torpedo Moscow,0.0,out,Winter,2007,2007/2008
