player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Maksim Votinov,25,Centre-Forward,Baltika,0.0,in,Summer,2014,2014/2015
Evgeniy Osipov,27,Centre-Back,Ufa,0.0,in,Summer,2014,2014/2015
Lukas Tesak,29,Left-Back,Torpedo Moscow,0.0,in,Summer,2014,2014/2015
Artur Maloyan,25,Centre-Forward,Shinnik,0.0,in,Summer,2014,2014/2015
Aleksandr Zotov,23,Central Midfield,Spartak Moscow,0.0,in,Summer,2014,2014/2015
Vitali Orlov,22,Central Midfield,FK Kaluga,0.0,in,Summer,2014,2014/2015
Sergey Ignatjev,28,Left Midfield,Irtysh,0.0,in,Summer,2014,2014/2015
Predrag Kascelan,24,Centre-Back,Khimik,0.0,out,Summer,2014,2014/2015
Dmitriy Shilov,23,Left-Back,Khimik,0.0,out,Summer,2014,2014/2015
Pavel Belyanin,22,Centre-Forward,Arsenal-2 Tula,0.0,out,Summer,2014,2014/2015
Aleksandr Kotenko,22,Central Midfield,Arsenal-2 Tula,0.0,out,Summer,2014,2014/2015
Vitali Orlov,22,Central Midfield,Arsenal-2 Tula,0.0,out,Summer,2014,2014/2015
Sergey Stepanov,19,Centre-Forward,Arsenal-2 Tula,0.0,out,Summer,2014,2014/2015
Pavel Sergeev,21,Attacking Midfield,Arsenal-2 Tula,0.0,out,Summer,2014,2014/2015
Anri Khagush,28,Right-Back,BATE Borisov,0.0,in,Winter,2014,2014/2015
Aleksey Skornyakov,21,Goalkeeper,Sokol Saratov,0.0,in,Winter,2014,2014/2015
Florin Costea,29,Left Winger,CFR Cluj,0.0,in,Winter,2014,2014/2015
Jan Mucha,32,Goalkeeper,KS Samara,0.0,in,Winter,2014,2014/2015
Vladimir Korytko,35,Attacking Midfield,Shinnik,0.0,in,Winter,2014,2014/2015
Maksim Votinov,26,Centre-Forward,Tosno,0.0,out,Winter,2014,2014/2015
Sergey Ignatjev,28,Left Midfield,Irtysh,0.0,out,Winter,2014,2014/2015
Aleksey Bazanov,28,Second Striker,Baltika,0.0,out,Winter,2014,2014/2015
Aleksandr Makarenko,28,Defensive Midfield,Baltika,0.0,out,Winter,2014,2014/2015
Aleksandr Stolyarenko,25,Centre-Back,Sokol Saratov,0.0,in,Summer,2016,2016/2017
Lukas Tesak,31,Left-Back,Kairat Almaty,0.0,in,Summer,2016,2016/2017
Ilya Maksimov,29,Central Midfield,Anzhi,0.0,in,Summer,2016,2016/2017
Roman Gerus,35,Goalkeeper,Amkar Perm,0.0,in,Summer,2016,2016/2017
Igor Gorbatenko,27,Attacking Midfield,KS Samara,0.0,in,Summer,2016,2016/2017
Khyzyr Appaev,26,Centre-Forward,Orenburg,0.0,in,Summer,2016,2016/2017
Aleksandr Sheshukov,33,Centre-Back,Loko Moscow,0.0,in,Summer,2016,2016/2017
Ruslan Mukhametshin,34,Centre-Forward,Mordovia,0.0,in,Summer,2016,2016/2017
Nikita Burmistrov,26,Right Winger,Krasnodar,0.0,in,Summer,2016,2016/2017
Oleg Vlasov,31,Attacking Midfield,Mordovia,0.0,in,Summer,2016,2016/2017
Aleksandr Gorbatyuk,31,Centre-Back,Sokol Saratov,0.0,in,Summer,2016,2016/2017
Jherson Vergara,22,Centre-Back,AC Milan,0.0,in,Summer,2016,2016/2017
Aleksandr Filtsov,26,Goalkeeper,Rubin Kazan,0.0,in,Summer,2016,2016/2017
Emmanuel Frimpong,24,Defensive Midfield,Without Club,0.0,in,Summer,2016,2016/2017
Mikhail Levashov,24,Goalkeeper,Arsenal-2 Tula,0.0,in,Summer,2016,2016/2017
Pavel Deobald,26,Attacking Midfield,Armavir,0.0,in,Summer,2016,2016/2017
Pavel Deobald,26,Attacking Midfield,Mordovia,0.0,out,Summer,2016,2016/2017
