player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Oleksandr Rolevych,30,defence,Temp Shepetivka,0.0,in,Summer,1995,1995/1996
Mihails Miholaps,20,Centre-Forward,Riga,0.0,out,Summer,1995,1995/1996
Renat Dubinskiy,16,Left-Back,Unknown,0.0,in,Winter,1995,1995/1996
Vasili Baranov,23,Right Midfield,Vedrich Rechitsa,0.0,in,Winter,1995,1995/1996
Vyacheslav Daev,23,Centre-Back,KS Samara,0.0,in,Winter,1995,1995/1996
Yuri Shukanov,24,Central Midfield,Dinamo Minsk,0.0,in,Winter,1995,1995/1996
Valeri Shantalosov,29,Goalkeeper,Lokomotiv NN,0.0,in,Winter,1995,1995/1996
Viktor Navochenko,25,midfield,Энергия-Текстиль,0.0,in,Winter,1995,1995/1996
Igor Orlov,15,Centre-Back,Baltika U19,0.0,in,Winter,1995,1995/1996
Igor Makarov,25,Centre-Forward,Unknown,0.0,out,Winter,1995,1995/1996
Vladislav Lemish,26,Left Winger,Stavropol,0.0,in,Summer,1996,1996/1997
Valeri Shushlyakov,29,Centre-Forward,Kuban Krasnodar,0.0,out,Summer,1996,1996/1997
Sergey Bulatov,24,Centre-Forward,KS Samara,0.0,out,Summer,1996,1996/1997
Oleksandr Martsun,23,Centre-Back,Kuban Krasnodar,0.0,out,Summer,1996,1996/1997
Oleksandr Rolevych,31,defence,Kuban Krasnodar,0.0,out,Summer,1996,1996/1997
Evgeni Losev,17,Centre-Forward,Loko Kaluga,0.0,out,Summer,1996,1996/1997
Andrey Klyashtornyi,28,Goalkeeper,Kuban Krasnodar,0.0,out,Summer,1996,1996/1997
Sergey Gerasimets,31,Second Striker,Bnei Yehuda,0.0,in,Winter,1996,1996/1997
Igors Troickis,27,Right-Back,Skonto,0.0,in,Winter,1996,1996/1997
Viktoras Olsanskis,27,Defensive Midfield,Zalgiris,0.0,in,Winter,1996,1996/1997
Andrey Dementjev,26,attack,Lada-Grad Dimit.,0.0,out,Winter,1996,1996/1997
Igor Orlov,16,Centre-Back,Dinamo Bryansk,0.0,out,Winter,1996,1996/1997
Renat Dubinskiy,17,Left-Back,Stavropol,0.0,out,Winter,1996,1996/1997
Sergey Bulatov,25,Centre-Forward,KS Samara,0.0,in,Summer,1997,1997/1998
Aleksandr Gorbachev,26,Centre-Back,Stavropol,0.0,in,Summer,1997,1997/1998
Andrey Fedkov,25,Centre-Forward,Kremin,0.0,in,Summer,1997,1997/1998
Orestas Buitkus,22,Defensive Midfield,FBK Kaunas,0.0,in,Summer,1997,1997/1998
Sergei Kazakov,17,Central Midfield,JK Trans Narva,0.0,in,Summer,1997,1997/1998
Sergey Vekhtev,26,Centre-Forward,B. Dortmund II,0.0,in,Summer,1997,1997/1998
Vytautas Apanavicius,24,Defensive Midfield,FBK Kaunas,0.0,in,Summer,1997,1997/1998
Sergey Gerasimets,31,Second Striker,Zenit S-Pb,0.0,out,Summer,1997,1997/1998
Yuri Shukanov,26,Central Midfield,КАМАЗ-Чаллы,0.0,out,Summer,1997,1997/1998
Vyacheslav Nikiforov,30,midfield,Kristall,0.0,out,Summer,1997,1997/1998
Aleksandr Sklyarov,25,midfield,Lada Dimitrovgrad,0.0,out,Summer,1997,1997/1998
Zurab Sanaia,29,Goalkeeper,Paniliakos,0.0,in,Winter,1997,1997/1998
Oleg Kastornyi,27,defence,M. Lipetsk,0.0,in,Winter,1997,1997/1998
Aleksandr Stepin,25,midfield,Факел-Воронеж,0.0,in,Winter,1997,1997/1998
Aleksandr Ovsyannikov,23,attack,Факел-Воронеж,0.0,in,Winter,1997,1997/1998
Oleksandr Martsun,25,Centre-Back,Kuban Krasnodar,0.0,in,Winter,1997,1997/1998
Aleksandr Sednev,24,Centre-Back,Transmash Mog,0.0,in,Winter,1997,1997/1998
Kostyantyn Vizyonok,21,attack,Sportacademclub,0.0,in,Winter,1997,1997/1998
Andrey Rumyantsev,28,midfield,Kuban Krasnodar,0.0,out,Winter,1997,1997/1998
Sergey Vekhtev,26,Centre-Forward,Lokomotiv-96,41000.0,out,Winter,1997,1997/1998
Andrey Malay,24,Left-Back,Торпедо-Лужники,0.0,out,Winter,1997,1997/1998
Valeri Shantalosov,31,Goalkeeper,Торпедо-Лужники,0.0,out,Winter,1997,1997/1998
Viktoras Olsanskis,28,Defensive Midfield,Anzhi,0.0,out,Winter,1997,1997/1998
Vladislav Lemish,27,Left Winger,FK Mozyr-ZLiN,0.0,out,Winter,1997,1997/1998
Aleksey Perminov,29,Left-Back,Tom Tomsk,0.0,out,Winter,1997,1997/1998
Vytautas Apanavicius,24,Defensive Midfield,Unknown,0.0,out,Winter,1997,1997/1998
