player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Evgeniy Titov,30,Right Winger,Ilves,0.0,in,Summer,1994,1994/1995
Igor Varlamov,22,Left-Back,Dynamo M II,0.0,in,Summer,1994,1994/1995
Roman Oreshchuk,18,Centre-Forward,CSKA Moscow II,0.0,in,Summer,1994,1994/1995
Vladimir But,16,Attacking Midfield,Bor. Dortmund,0.0,out,Summer,1994,1994/1995
Kirils Varaksins,19,Centre-Forward,КАМАЗ-Чаллы,0.0,out,Summer,1994,1994/1995
Marat Mulashev,26,Centre-Forward,Sur SC,0.0,out,Summer,1994,1994/1995
Armen Adamyan,26,Attacking Midfield,Unknown,0.0,out,Summer,1994,1994/1995
Egor Kiryakov,20,attack,Dynamo M II,0.0,in,Winter,1994,1994/1995
Vitaly Pinyaskin,22,midfield,Unknown,0.0,in,Winter,1994,1994/1995
Aleksandr Kudryashov,20,Centre-Back,Гекрис,0.0,in,Winter,1994,1994/1995
Maksim Olkhovik,21,attack,I. Smolensk,0.0,in,Winter,1994,1994/1995
Gisa Pshukov,23,Goalkeeper,I. Smolensk,0.0,in,Winter,1994,1994/1995
Marat Mulashev,25,Centre-Forward,Luch Vladivostok,0.0,in,Winter,1994,1994/1995
Sergiy Yarmolych,31,defence,Dynamo Lugansk,0.0,in,Winter,1994,1994/1995
Albert Fedosov,24,midfield,Факел-Воронеж,0.0,in,Winter,1994,1994/1995
Arsen Papikyan,23,defence,Stavropol,0.0,in,Winter,1994,1994/1995
Igor Abdrazakov,16,Centre-Forward,Chernomor N U19,0.0,in,Winter,1994,1994/1995
Armen Adamyan,27,Attacking Midfield,Unknown,0.0,in,Winter,1994,1994/1995
Roman Oreshchuk,19,Centre-Forward,CSKA Moscow II,0.0,out,Winter,1994,1994/1995
Aleksandr Kobenko,17,midfield,Druzhba Maikop,0.0,out,Winter,1994,1994/1995
Armen Adamyan,27,Attacking Midfield,Kristall,0.0,out,Winter,1994,1994/1995
Evgeniy Titov,30,Right Winger,Retired,0.0,out,Winter,1994,1994/1995
Vyacheslav Gerashchenko,22,defence,Torpedo-Kadino,0.0,in,Summer,1995,1995/1996
Andrey Sosnitskiy,32,defence,Uralmash,0.0,in,Summer,1995,1995/1996
Aleksandr Sednev,21,Centre-Back,Torpedo-Kadino,0.0,in,Summer,1995,1995/1996
Gennadiy Zhylkin,25,Goalkeeper,Nyva Vinnytsia,0.0,in,Summer,1995,1995/1996
Albert Shchukin,24,Goalkeeper,Chkalovets,0.0,in,Summer,1995,1995/1996
Aleksey Filippov,22,Central Midfield,Dinamo Moscow,0.0,in,Summer,1995,1995/1996
Vyacheslav Volkov,24,Centre-Back,Volga Tver,0.0,in,Summer,1995,1995/1996
