player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Pavel Rodnenok,28,Right-Back,Veres Rivne,0.0,in,Summer,1993,1993/1994
Vladimir Dolbonosov,23,midfield,Teltower FV,0.0,in,Summer,1993,1993/1994
Vladimir Bogdanavicius,28,midfield,Arsenal Tula,0.0,out,Summer,1993,1993/1994
Igor Kutepov,28,Goalkeeper,Dynamo Kyiv,0.0,in,Winter,1993,1993/1994
Aleksandr Gerasimov,23,Right Winger,Orekhovo O-Zuevo,0.0,in,Winter,1993,1993/1994
Dmitri Vlasov,20,Left-Back,Магнитка,0.0,in,Winter,1993,1993/1994
Nikolay Kovardaev,23,Centre-Forward,FK Interros,0.0,in,Winter,1993,1993/1994
Igor Kovalevich,25,Right-Back,Dnepr-Transmash,0.0,in,Winter,1993,1993/1994
Konstantin Fishman,16,midfield,FK Tyumen Youth,0.0,in,Winter,1993,1993/1994
Pavel Rodnenok,29,Right-Back,Ataka-Aura,0.0,out,Winter,1993,1993/1994
Evgeni Kiselnikov,31,Goalkeeper,Иртыш-1946,0.0,out,Winter,1993,1993/1994
Sergey Nikiforov,30,Left-Back,Retired,0.0,out,Winter,1993,1993/1994
Vyacheslav Khruslov,31,Centre-Back,Dynamo Kyiv,0.0,in,Summer,1994,1994/1995
Yuriy Gritsyna,23,Central Midfield,Dynamo Kyiv,0.0,in,Summer,1994,1994/1995
Anatoliy Bezsmertnyi,25,Centre-Back,Dynamo Kyiv,0.0,in,Summer,1994,1994/1995
Evgeni Zhelyakov,17,Goalkeeper,Unknown,0.0,in,Summer,1994,1994/1995
Vladimir Kniller,29,Centre-Back,Tobol Kurgan,0.0,out,Summer,1994,1994/1995
Sergey Petrukovich,20,midfield,Fomalgaut,0.0,out,Summer,1994,1994/1995
Oleksandr Pryzetko,23,Central Midfield,Dynamo Kyiv,0.0,in,Winter,1994,1994/1995
Vitaliy Ponomarenko,25,Left-Back,Dynamo Kyiv,0.0,in,Winter,1994,1994/1995
Sergey Krutov,24,Central Midfield,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Aleksey Savchenko,19,Central Midfield,Dinamo-D Moscow,0.0,in,Winter,1994,1994/1995
Maksim Layushkin,22,Centre-Back,Dinamo-D Moscow,0.0,in,Winter,1994,1994/1995
Ruslan Danilyuk,20,Centre-Back,FK Brest,0.0,in,Winter,1994,1994/1995
Dmitri Shirshakov,21,defence,CSKA Moscow,0.0,in,Winter,1994,1994/1995
Dmitri Vlasov,21,Left-Back,Lokomotiv NN,0.0,out,Winter,1994,1994/1995
Sergey Silkin,33,defence,Viktor-Avangard,0.0,out,Winter,1994,1994/1995
Aleksandr Reva,24,midfield,Kristall,0.0,out,Winter,1994,1994/1995
Aleksandr Yarkin,24,Right-Back,Irtysh Tobolsk,0.0,out,Winter,1994,1994/1995
