player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sergey Timofeev,27,Left-Back,Nyva Ternopil,0.0,in,Summer,1992,1992/1993
Velli Kasumov,23,Centre-Forward,Spartak Moscow,0.0,in,Summer,1992,1992/1993
Kakhaber Tskhadadze,23,Centre-Back,Spartak Moscow,0.0,in,Summer,1992,1992/1993
Platon Krivoshchekov,23,Centre-Forward,Chkalovets-FKMS,0.0,in,Summer,1992,1992/1993
Viktor Leonenko,22,Centre-Forward,Dynamo Kyiv,1000000.0,out,Summer,1992,1992/1993
Andrey Kobelev,23,Central Midfield,Real Betis,600000.0,out,Summer,1992,1992/1993
Sergey Kiryakov,22,Centre-Forward,Karlsruher SC,0.0,out,Summer,1992,1992/1993
Oleg Yelyshev,21,Right Midfield,Энергия-Текстиль,0.0,out,Summer,1992,1992/1993
Aleksey Yushkov,25,Centre-Back,Uralmash,0.0,out,Summer,1992,1992/1993
Viktor Losev,33,Right-Back,Career break,0.0,out,Summer,1992,1992/1993
Maksim Layushkin,20,Centre-Back,Dinamo-D Moscow,0.0,out,Summer,1992,1992/1993
Igor Varlamov,20,Left-Back,Dynamo M II,0.0,out,Summer,1992,1992/1993
Dmitri Kramarenko,18,Goalkeeper,Neftchi Baku,0.0,in,Winter,1992,1992/1993
Dmitriy Cheryshev,23,Centre-Forward,Lokomotiv NN,0.0,in,Winter,1992,1992/1993
Bakhva Tedeev,23,Central Midfield,Spartak V-kavkaz,0.0,in,Winter,1992,1992/1993
Yuriy Gudymenko,26,Centre-Forward,SK Tavriya,0.0,in,Winter,1992,1992/1993
Yuri Tishkov,21,Centre-Forward,Торпедо-Лужники,0.0,in,Winter,1992,1992/1993
Kirill Rybakov,23,Centre-Forward,Пресня,0.0,in,Winter,1992,1992/1993
Maksim Layushkin,20,Centre-Back,Dinamo-D Moscow,0.0,in,Winter,1992,1992/1993
Aleksey Selezov,21,defence,Dinamo-D Moscow,0.0,in,Winter,1992,1992/1993
Igor Varlamov,21,Left-Back,Dynamo M II,0.0,in,Winter,1992,1992/1993
Velli Kasumov,24,Centre-Forward,Real Betis,600000.0,out,Winter,1992,1992/1993
Yuriy Drozdov,20,Defensive Midfield,Loko Moscow,0.0,out,Winter,1992,1992/1993
Badri Spanderashvili,23,midfield,Stavropol,0.0,out,Winter,1992,1992/1993
Kakhaber Tskhadadze,24,Centre-Back,E. Frankfurt,0.0,out,Winter,1992,1992/1993
Vitali But,20,Left Midfield,Loko Moscow,0.0,out,Winter,1992,1992/1993
Yuri Kovtun,23,Left-Back,Rostselmash,0.0,in,Summer,1993,1993/1994
Igor Dobrovolski,25,Attacking Midfield,Marseille,0.0,in,Summer,1993,1993/1994
Andrey Chernyshov,25,Centre-Back,Spartak Moscow,0.0,in,Summer,1993,1993/1994
Sergey Krutov,24,Central Midfield,CSKA Moscow,0.0,in,Summer,1993,1993/1994
Nikolay Kovardaev,22,Centre-Forward,FK Interros,0.0,out,Summer,1993,1993/1994
Evgeni Smertin,25,Left Winger,Lokomotiv NN,0.0,out,Summer,1993,1993/1994
Sergey Derkach,26,Left Midfield,FC Basel,0.0,out,Summer,1993,1993/1994
Igor Sklyarov,26,Centre-Back,Career break,0.0,out,Summer,1993,1993/1994
Sergey Shulgin,30,defence,Пресня,0.0,in,Winter,1993,1993/1994
Denis Klyuev,20,Central Midfield,Пресня,0.0,in,Winter,1993,1993/1994
Aleksandr Borodkin,22,Centre-Back,Rostselmash,0.0,in,Winter,1993,1993/1994
Sergey Lapshin,18,Central Midfield,Trion-Volga Tver,0.0,in,Winter,1993,1993/1994
Aleksey Filippov,19,Central Midfield,FK Ivanovo,0.0,in,Winter,1993,1993/1994
Oleg Samatov,28,Right-Back,Loko Moscow,0.0,in,Winter,1993,1993/1994
Aleksandr Smirnov,25,Right Midfield,Loko Moscow,0.0,in,Winter,1993,1993/1994
Dmitri Karsakov,22,Right Midfield,CSKA Moscow,0.0,in,Winter,1993,1993/1994
Sergey Nekrasov,20,Left-Back,Dynamo M II,0.0,in,Winter,1993,1993/1994
Vladimir Kostyuk,21,Attacking Midfield,Terek Grozny,0.0,out,Winter,1993,1993/1994
Evgeni Dolgov,24,Left-Back,SY Liuyao,0.0,out,Winter,1993,1993/1994
Igor Gavrilin,21,Centre-Forward,FK Interros,0.0,out,Winter,1993,1993/1994
Yuriy Gudymenko,27,Centre-Forward,Lada-Togliat-VAZ,0.0,out,Winter,1993,1993/1994
Sargis Hovhannisyan,25,Right Midfield,Loko Moscow,0.0,out,Winter,1993,1993/1994
Bakhva Tedeev,24,Central Midfield,Spartak V-kavkaz,0.0,out,Winter,1993,1993/1994
Yuriy Kalitvintsev,25,Attacking Midfield,Lokomotiv NN,0.0,out,Winter,1993,1993/1994
Platon Krivoshchekov,24,Centre-Forward,Career break,0.0,out,Winter,1993,1993/1994
Aleksey Selezov,22,defence,Dinamo-D Moscow,0.0,out,Winter,1993,1993/1994
Aleksey Savchenko,18,Central Midfield,Dinamo-D Moscow,0.0,out,Winter,1993,1993/1994
Igor Varlamov,22,Left-Back,Dynamo M II,0.0,out,Winter,1993,1993/1994
Erik Yakhimovich,25,Centre-Back,Dinamo Minsk,0.0,in,Summer,1994,1994/1995
Andrey Ivanov,27,Centre-Back,Spartak Moscow,0.0,in,Summer,1994,1994/1995
Vagiz Khidiyatullin,35,Sweeper,Labège FC,0.0,in,Summer,1994,1994/1995
Sergey Derkach,27,Left Midfield,FC Basel,0.0,in,Summer,1994,1994/1995
Dmitri Karsakov,22,Right Midfield,Торпедо-Лужники,0.0,out,Summer,1994,1994/1995
Igor Dobrovolski,26,Attacking Midfield,Atlético Madrid,0.0,out,Summer,1994,1994/1995
Valeriy Kleimenov,28,Goalkeeper,Maccabi Herzliya,0.0,out,Summer,1994,1994/1995
Vladimir Semenov,22,midfield,CSKA Moscow,0.0,in,Winter,1994,1994/1995
Sergey Lemeshko,22,midfield,Zarya L-K.,0.0,in,Winter,1994,1994/1995
Ruslan Ishkinin,20,Central Midfield,Orekhovo O-Zuevo,0.0,in,Winter,1994,1994/1995
Andrey Gordeev,19,Centre-Back,SUO Moscow,0.0,in,Winter,1994,1994/1995
Yuri Kuznetsov,20,midfield,Angara Angarsk,0.0,in,Winter,1994,1994/1995
Aleksandr Grishin,23,Central Midfield,CSKA Moscow,0.0,in,Winter,1994,1994/1995
Valeriy Kleimenov,29,Goalkeeper,Maccabi Herzliya,0.0,in,Winter,1994,1994/1995
