player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Zurab Sanaia,24,Goalkeeper,Asmaral Kislovod,0.0,in,Summer,1992,1992/1993
Aleksandr Gorbachev,21,Centre-Back,Asmaral Kislovod,0.0,in,Summer,1992,1992/1993
Aleksandr Maslov,22,Centre-Forward,Nart Cherkessk,0.0,in,Summer,1992,1992/1993
Igor Povalyaev,29,defence,Loko Moscow,0.0,in,Summer,1992,1992/1993
Iqor Getman,21,Centre-Back,Neftchi Baku,0.0,in,Summer,1992,1992/1993
Marat Minibaev,25,defence,APK Azov,0.0,in,Summer,1992,1992/1993
Seyran Osipov,30,attack,Homenetmen,0.0,out,Summer,1992,1992/1993
Valeriy Shevyrev,17,midfield,Vektor,0.0,out,Summer,1992,1992/1993
Vyacheslav Lychkin,18,midfield,Nart Cherkessk,0.0,out,Summer,1992,1992/1993
Eduard Apalkov,22,defence,Asmaral Kislovod,0.0,out,Summer,1992,1992/1993
Aleksandr Kostin,22,midfield,Baltika,0.0,out,Summer,1992,1992/1993
Marat Minibaev,26,defence,Rostselmash,0.0,out,Summer,1992,1992/1993
Albert Borzenkov,19,Centre-Back,Zhemchuzhina B.,0.0,in,Winter,1992,1992/1993
Badri Spanderashvili,23,midfield,Dinamo Moscow,0.0,in,Winter,1992,1992/1993
Valeri Korneev,30,attack,KS Samara,0.0,in,Winter,1992,1992/1993
Dmitri Batynkov,22,attack,Dinamo-D Moscow,0.0,in,Winter,1992,1992/1993
Vladimir Benedskiy,22,Centre-Back,Beshtau,0.0,in,Winter,1992,1992/1993
Igor Povalyaev,30,defence,Unknown,0.0,out,Winter,1992,1992/1993
Badri Spanderashvili,23,midfield,Rostselmash,0.0,out,Winter,1992,1992/1993
Arkadi Krasavin,25,defence,Gekris Nv.,0.0,out,Winter,1992,1992/1993
Vladimir Sushiy,32,attack,Terek Grozny,0.0,out,Winter,1992,1992/1993
Mikhail Goncharov,20,Right-Back,Asmaral Kislovod,0.0,out,Winter,1992,1992/1993
Seyran Osipov,31,attack,Homenetmen,0.0,in,Summer,1993,1993/1994
Sergey Shestakov,31,defence,Legia Warszawa,0.0,in,Summer,1993,1993/1994
Sergey Maslov,18,Attacking Midfield,Mashuk-KMV,0.0,in,Summer,1993,1993/1994
Vladimir Sushiy,33,attack,Terek Grozny,0.0,in,Summer,1993,1993/1994
Aleksandr Maslov,23,Centre-Forward,Rostselmash,0.0,out,Summer,1993,1993/1994
Iqor Getman,22,Centre-Back,Anzhi,0.0,out,Summer,1993,1993/1994
Erast Osipyan,28,midfield,FK Interros,0.0,out,Summer,1993,1993/1994
Valeri Zazdravnykh,30,midfield,Lada-Togliat-VAZ,0.0,in,Winter,1993,1993/1994
Sergey Kozko,18,Goalkeeper,Unknown,0.0,in,Winter,1993,1993/1994
Aleksandr Bondar,26,Defensive Midfield,Terek Grozny,0.0,in,Winter,1993,1993/1994
Dmitri Kudinov,22,attack,Terek Grozny,0.0,in,Winter,1993,1993/1994
Mikhail Goncharov,21,Right-Back,Asmaral Kislovod,0.0,in,Winter,1993,1993/1994
Sergey Shestakov,32,defence,Lada-Togliat-VAZ,0.0,out,Winter,1993,1993/1994
Vladimir Sushiy,33,attack,Lokomotiv NN,0.0,out,Winter,1993,1993/1994
