player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nikola Moro,22,Defensive Midfield,Dinamo Zagreb,8500000.0,in,Summer,2020,2020/2021
Daniil Fomin,23,Defensive Midfield,Ufa,3500000.0,in,Summer,2020,2020/2021
Sly,29,Centre-Forward,Ufa,2000000.0,in,Summer,2020,2020/2021
Daniil Lesovoy,22,Left Winger,Arsenal Tula,1800000.0,in,Summer,2020,2020/2021
Ivan Budachev,19,Goalkeeper,Leningradets,165000.0,in,Summer,2020,2020/2021
Guillermo Varela,27,Right-Back,FC Copenhagen,0.0,in,Summer,2020,2020/2021
Vladislav Karapuzov,20,Right Winger,Dynamo M II,0.0,in,Summer,2020,2020/2021
Igor Shkolik,19,Central Midfield,Dynamo M II,0.0,in,Summer,2020,2020/2021
Miguel Cardoso,25,Right Winger,Tambov,0.0,in,Summer,2020,2020/2021
Nikolay Obolskiy,23,Centre-Forward,Nizhny Novgorod,0.0,in,Summer,2020,2020/2021
Vyacheslav Grulev,21,Left Winger,Nizhny Novgorod,0.0,in,Summer,2020,2020/2021
Danil Lipovoy,20,Left Midfield,Orenburg,0.0,in,Summer,2020,2020/2021
Fedor Černych,29,Right Winger,Orenburg,0.0,in,Summer,2020,2020/2021
Anton Terekhov,22,Right Winger,KS Samara,0.0,in,Summer,2020,2020/2021
Evgeniy Markov,26,Centre-Forward,Rubin Kazan,0.0,in,Summer,2020,2020/2021
Maximilian Philipp,26,Second Striker,VfL Wolfsburg,2000000.0,out,Summer,2020,2020/2021
Toni Sunjic,31,Centre-Back,BJ Guoan,350000.0,out,Summer,2020,2020/2021
Evgeniy Markov,26,Centre-Forward,Krasnodar,300000.0,out,Summer,2020,2020/2021
Nikolay Obolskiy,23,Centre-Forward,Barakaldo CF,0.0,out,Summer,2020,2020/2021
Joãozinho,31,Left Winger,Sochi,0.0,out,Summer,2020,2020/2021
Artur Yusupov,31,Central Midfield,Sochi,0.0,out,Summer,2020,2020/2021
Vladimir Rykov,32,Centre-Back,Ural,0.0,out,Summer,2020,2020/2021
Kirill Panchenko,30,Second Striker,Tambov,0.0,out,Summer,2020,2020/2021
Fedor Černych,29,Right Winger,Jagiellonia,0.0,out,Summer,2020,2020/2021
Miguel Cardoso,26,Right Winger,B SAD,0.0,out,Summer,2020,2020/2021
Anton Sosnin,30,Central Midfield,Without Club,0.0,out,Summer,2020,2020/2021
Grigori Morozov,26,Left-Back,Ufa,0.0,out,Summer,2020,2020/2021
Danil Lipovoy,20,Left Midfield,Khimki,0.0,out,Summer,2020,2020/2021
Oscar Hiljemark,28,Central Midfield,Genoa,0.0,out,Summer,2020,2020/2021
Sly,29,Centre-Forward,Ufa,0.0,out,Summer,2020,2020/2021
Arsen Zakharyan,17,Central Midfield,Dynamo 2,0.0,in,Winter,2020,2020/2021
Konstantin Tyukavin,18,Centre-Forward,Dynamo 2,0.0,in,Winter,2020,2020/2021
Danil Lipovoy,21,Left Midfield,Khimki,0.0,in,Winter,2020,2020/2021
Konstantin Rausch,30,Left-Back,Without Club,0.0,out,Winter,2020,2020/2021
Vladislav Karapuzov,21,Right Winger,Tambov,0.0,out,Winter,2020,2020/2021
Anton Terekhov,23,Right Winger,Tambov,0.0,out,Winter,2020,2020/2021
Denis Makarov,23,Right Midfield,Rubin Kazan,7500000.0,in,Summer,2021,2021/2022
Diego Laxalt,28,Left-Back,AC Milan,3500000.0,in,Summer,2021,2021/2022
Luka Gagnidze,18,Central Midfield,Dinamo Tbilisi,1500000.0,in,Summer,2021,2021/2022
Guillermo Varela,28,Right-Back,FC Copenhagen,1000000.0,in,Summer,2021,2021/2022
