player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Cristian Dorin Tudor,21,Centre-Forward,FC Sheriff,700000.0,in,Summer,2004,2004/2005
Mariusz Jop,25,Centre-Back,Wisla Kraków,200000.0,in,Summer,2004,2004/2005
Stanton Fredericks,26,Attacking Midfield,Kaizer Chiefs,0.0,in,Summer,2004,2004/2005
Stanislav Ivanov,23,Central Midfield,FC Sheriff,0.0,in,Summer,2004,2004/2005
Vladimirs Kolesnicenko,24,Attacking Midfield,Skonto,0.0,in,Summer,2004,2004/2005
Baba Adamu,24,Centre-Forward,Al-Nasr,0.0,in,Summer,2004,2004/2005
Narvik Sirkhaev,30,Attacking Midfield,Terek Grozny,325000.0,out,Summer,2004,2004/2005
Andrey Ostrovski,30,Centre-Back,Arsenal Kyiv,0.0,out,Summer,2004,2004/2005
Damian Gorawski,25,Right Winger,Wisla Kraków,1800000.0,in,Winter,2004,2004/2005
Dmitriy Kirichenko,27,Centre-Forward,CSKA Moscow,800000.0,in,Winter,2004,2004/2005
Yuri Zhevnov,23,Goalkeeper,BATE Borisov,450000.0,in,Winter,2004,2004/2005
Pompiliu Stoica,28,Left-Back,Steaua Bucharest,325000.0,in,Winter,2004,2004/2005
Oleg Kuzmin,23,Right-Back,Элиста,0.0,in,Winter,2004,2004/2005
Dmitri Godunok,28,Centre-Back,Tom Tomsk,0.0,in,Winter,2004,2004/2005
Sergey Kozko,29,Goalkeeper,Rubin Kazan,0.0,in,Winter,2004,2004/2005
Vedran Celiscak,22,Left-Back,Spartak Orel,0.0,in,Winter,2004,2004/2005
Vladimir Korytko,25,Attacking Midfield,Alania,0.0,in,Winter,2004,2004/2005
Sergey Yaskovich,32,Centre-Back,Tom Tomsk,0.0,out,Winter,2004,2004/2005
Munever Rizvic,31,Centre-Back,FK Buducnost,0.0,out,Winter,2004,2004/2005
Andris Vanins,24,Goalkeeper,Venta Kuldiga,0.0,out,Winter,2004,2004/2005
Amir Karic,31,Left-Back,AEL Limassol,0.0,out,Winter,2004,2004/2005
Vladimir Korytko,25,Attacking Midfield,Terek Grozny,0.0,out,Winter,2004,2004/2005
Vedran Celiscak,22,Left-Back,HSK Posusje,0.0,out,Winter,2004,2004/2005
Gustavo Pinto,25,Central Midfield,CS Emelec,0.0,out,Winter,2004,2004/2005
Vladimirs Kolesnicenko,24,Attacking Midfield,Venta Kuldiga,0.0,out,Winter,2004,2004/2005
Cristian Dorin Tudor,22,Centre-Forward,Alania,0.0,out,Winter,2004,2004/2005
Valeri Leonov,24,Right Midfield,Tom Tomsk,0.0,out,Winter,2004,2004/2005
Vladimirs Kolesnicenko,25,Attacking Midfield,Venta Kuldiga,0.0,in,Summer,2005,2005/2006
Baba Adamu,25,Centre-Forward,KS Samara,200000.0,out,Summer,2005,2005/2006
