player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ibrokhimkhalil Yuldoshev,20,Left-Back,Pakhtakor,250000.0,in,Summer,2021,2021/2022
Timur Suleymanov,21,Centre-Forward,Loko-Kazanka M.,172000.0,in,Summer,2021,2021/2022
Daniil Penchikov,23,Right-Back,Tom Tomsk,0.0,in,Summer,2021,2021/2022
Artur Nigmatullin,30,Goalkeeper,Arsenal Tula,0.0,in,Summer,2021,2021/2022
Ákos Kecskés,25,Centre-Back,FC Lugano,0.0,in,Summer,2021,2021/2022
Denis Tkachuk,31,Left Midfield,Orenburg,0.0,in,Summer,2021,2021/2022
Aleksey Kozlov,34,Right-Back,Rostov,0.0,in,Summer,2021,2021/2022
Andrey Sinitsyn,33,Goalkeeper,Akron Togliatti,0.0,in,Summer,2021,2021/2022
Pavel Mogilevets,28,Central Midfield,Khimki,0.0,in,Summer,2021,2021/2022
Lucas Masoero,26,Centre-Back,Lok. Plovdiv,0.0,in,Summer,2021,2021/2022
Bekim Balaj,30,Centre-Forward,Sturm Graz,0.0,in,Summer,2021,2021/2022
Petrus Boumal,28,Defensive Midfield,BB Erzurumspor,0.0,in,Summer,2021,2021/2022
Ivan Miladinovic,26,Centre-Back,Sochi,0.0,in,Summer,2021,2021/2022
Richlord Ennin,22,Centre-Forward,Spartaks,0.0,in,Summer,2021,2021/2022
Kirill Kosarev,20,Centre-Forward,Rubin Kazan,0.0,in,Summer,2021,2021/2022
Beka Kavtaradze,22,Centre-Forward,Rotor Volgograd,0.0,out,Summer,2021,2021/2022
Ivan Temnikov,32,Right-Back,Torpedo Moscow,0.0,out,Summer,2021,2021/2022
Ismail Ediev,33,Centre-Back,Kuban,0.0,out,Summer,2021,2021/2022
Mikhail Gashchenkov,29,Central Midfield,Akzhayik,0.0,out,Summer,2021,2021/2022
Sergey Zuykov,27,Right-Back,Tom Tomsk,0.0,out,Summer,2021,2021/2022
Artem Popov,28,Right Winger,Baltika,0.0,out,Summer,2021,2021/2022
Aleksandr Stavpets,32,Right Winger,Tom Tomsk,0.0,out,Summer,2021,2021/2022
Oleg Smirnov,30,Goalkeeper,Volgar,0.0,out,Summer,2021,2021/2022
Aleksey Shumskikh,31,Centre-Back,Torpedo Moscow,0.0,out,Summer,2021,2021/2022
Mukhammad Sultonov,28,Right Winger,Torpedo Moscow,25000.0,out,Summer,2021,2021/2022
Nikolay Sysuev,22,Goalkeeper,Without Club,0.0,out,Summer,2021,2021/2022
Kirill Malyarov,24,Right-Back,Without Club,0.0,out,Summer,2021,2021/2022
Pavel Komolov,32,Central Midfield,Retired,0.0,out,Summer,2021,2021/2022
Dmitri Yugaldin,18,Central Midfield,Irtysh Omsk,0.0,out,Summer,2021,2021/2022
Momo Yansane,23,Centre-Forward,Black Stars,0.0,out,Summer,2021,2021/2022
Leo Goglichidze,24,Left-Back,Krasnodar,0.0,out,Summer,2021,2021/2022
Timur Suleymanov,21,Centre-Forward,Loko-Kazanka M.,0.0,out,Summer,2021,2021/2022
Lars Olden Larsen,23,Left Winger,Mjøndalen,400000.0,in,Winter,2021,2021/2022
Sly,31,Centre-Forward,Dynamo Moscow,0.0,in,Winter,2021,2021/2022
Pavel Karasev,29,Defensive Midfield,BATE Borisov,0.0,in,Winter,2021,2021/2022
Aleksandr Shestyuk,19,Centre-Forward,Dynamo Brest,0.0,in,Winter,2021,2021/2022
Dmitri Stotskiy,32,Right-Back,Krasnodar,0.0,in,Winter,2021,2021/2022
Milson,22,Left Winger,Marítimo B,0.0,in,Winter,2021,2021/2022
Viktor Aleksandrov,20,Centre-Back,Rubin Kazan II,0.0,in,Winter,2021,2021/2022
Kirill Kravtsov,19,Defensive Midfield,Zenit S-Pb,0.0,in,Winter,2021,2021/2022
Nikita Goylo,23,Goalkeeper,Zenit 2 S-Pb,0.0,in,Winter,2021,2021/2022
Artem Galadzhan,23,Centre-Forward,Tom Tomsk,0.0,out,Winter,2021,2021/2022
Andrey Sinitsyn,33,Goalkeeper,Dinamo Makhach.,0.0,out,Winter,2021,2021/2022
Bekim Balaj,31,Centre-Forward,Boluspor,0.0,out,Winter,2021,2021/2022
Petrus Boumal,28,Defensive Midfield,Újpest FC,0.0,out,Winter,2021,2021/2022
Pavel Mogilevets,28,Central Midfield,Without Club,0.0,out,Winter,2021,2021/2022
Sly,31,Centre-Forward,Without Club,0.0,out,Winter,2021,2021/2022
Lars Olden Larsen,23,Left Winger,Häcken,0.0,out,Winter,2021,2021/2022
Aleksandr Shestyuk,19,Centre-Forward,RFS II,0.0,out,Winter,2021,2021/2022
Aleksandr Sapeta,32,Central Midfield,Kuban,0.0,out,Winter,2021,2021/2022
Kirill Kosarev,20,Centre-Forward,Rubin Kazan,0.0,out,Winter,2021,2021/2022
