player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
David Kobesov,22,Defensive Midfield,Alania Vl.,300000.0,in,Summer,2022,2022/2023
Mamadou Maiga,27,Defensive Midfield,Veles Moscow,250000.0,in,Summer,2022,2022/2023
Elmir Nabiullin,27,Left-Back,Khimki,0.0,in,Summer,2022,2022/2023
Vyacheslav Krotov,29,Centre-Forward,Ufa,0.0,in,Summer,2022,2022/2023
Edgar Sevikyan,20,Right Winger,Atl. Levante,0.0,in,Summer,2022,2022/2023
Ilya Agapov,21,Centre-Back,Spartak 2,0.0,in,Summer,2022,2022/2023
Daniil Kornyushin,20,Right-Back,Krasnodar 2,0.0,in,Summer,2022,2022/2023
Ilya Zhigulev,26,Central Midfield,Without Club,0.0,in,Summer,2022,2022/2023
Yaroslav Mikhailov,19,Attacking Midfield,Zenit 2 S-Pb,0.0,in,Summer,2022,2022/2023
Momo Yansane,25,Centre-Forward,FC Sheriff,0.0,in,Summer,2022,2022/2023
Konstantin Shiltsov,20,Attacking Midfield,Spartak Moscow,0.0,in,Summer,2022,2022/2023
Dmitri Rybchinskiy,23,Right Midfield,Loko Moscow,0.0,in,Summer,2022,2022/2023
Dmitri Yugaldin,19,Central Midfield,Irtysh Omsk,0.0,in,Summer,2022,2022/2023
Aleksandr Sapeta,33,Central Midfield,Kuban,0.0,in,Summer,2022,2022/2023
Pavel Karasev,30,Defensive Midfield,Rotor Volgograd,0.0,out,Summer,2022,2022/2023
Ákos Kecskés,26,Centre-Back,LASK,0.0,out,Summer,2022,2022/2023
Aleksandr Sapeta,33,Central Midfield,Volga Uljanovsk,0.0,out,Summer,2022,2022/2023
Aleksandr Shestyuk,20,Centre-Forward,Dynamo Brest,0.0,out,Summer,2022,2022/2023
Denis Tkachuk,33,Left Midfield,Kuban,0.0,out,Summer,2022,2022/2023
Igor Gorbunov,27,Left Midfield,Rubin Kazan,0.0,out,Summer,2022,2022/2023
Aleksey Kozlov,35,Right-Back,Without Club,0.0,out,Summer,2022,2022/2023
Dmitri Yugaldin,19,Central Midfield,Kuban,0.0,out,Summer,2022,2022/2023
Kirill Kravtsov,20,Defensive Midfield,Zenit S-Pb,0.0,out,Summer,2022,2022/2023
Richlord Ennin,23,Centre-Forward,Spartaks,0.0,out,Summer,2022,2022/2023
Ivan Miladinovic,27,Centre-Back,Sochi,0.0,out,Summer,2022,2022/2023
Viktor Aleksandrov,20,Centre-Back,Rubin Kazan,320k,in,Winter,2022,2022/2023
Ruslanbek Jiyanov,21,Centre-Forward,FC Olympic,300k,in,Winter,2022,2022/2023
Denis Glushakov,36,Central Midfield,Khimki,0.0,in,Winter,2022,2022/2023
Egor Gaganin,19,Defensive Midfield,Pari NN II,0.0,in,Winter,2022,2022/2023
Macky Bagnack,27,Centre-Back,Kairat Almaty,0.0,in,Winter,2022,2022/2023
Artem Sokolov,19,Attacking Midfield,KS Samara,0.0,in,Winter,2022,2022/2023
Vladislav Yakovlev,20,Centre-Forward,CSKA Moscow,0.0,in,Winter,2022,2022/2023
Dmitriy Yugaldin,20,Central Midfield,Kuban,0.0,in,Winter,2022,2022/2023
Ilya Agapov,21,Centre-Back,CSKA Moscow,1300000.0,out,Winter,2022,2022/2023
Milson,23,Attacking Midfield,Ankaragücü,100k,out,Winter,2022,2022/2023
Elmir Nabiullin,27,Left-Back,Rubin Kazan,0.0,out,Winter,2022,2022/2023
Egor Gaganin,19,Defensive Midfield,Rodina 2 Moscow,0.0,out,Winter,2022,2022/2023
Ruslanbek Jiyanov,21,Centre-Forward,FC Olympic,0.0,out,Winter,2022,2022/2023
Daniil Penchikov,24,Right-Back,Aktobe,0.0,out,Winter,2022,2022/2023
David Kobesov,23,Defensive Midfield,Khimki,0.0,out,Winter,2022,2022/2023
Dmitriy Yugaldin,20,Central Midfield,Irtysh Omsk,0.0,out,Winter,2022,2022/2023
Viktor Aleksandrov,20,Centre-Back,Rubin Kazan,0.0,out,Winter,2022,2022/2023
