player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marko Poletanovic,24,Defensive Midfield,KAA Gent,0.0,in,Summer,2017,2017/2018
Anderson Carvalho,27,Defensive Midfield,Boavista,0.0,in,Summer,2017,2017/2018
Aleksandr Gutor,28,Goalkeeper,Orenburg,0.0,in,Summer,2017,2017/2018
Mikhail Oparin,24,Goalkeeper,Enisey,0.0,in,Summer,2017,2017/2018
Nuno Rocha,25,Attacking Midfield,Univ. Craiova,0.0,in,Summer,2017,2017/2018
Yan Kazaev,25,Central Midfield,Khimki,0.0,in,Summer,2017,2017/2018
Aslan Dudiev,27,Right-Back,Anzhi,0.0,in,Summer,2017,2017/2018
Vladimir Bystrov,33,Right Midfield,Krasnodar,0.0,in,Summer,2017,2017/2018
Nikola Trujic,25,Left Winger,Vojvodina,0.0,in,Summer,2017,2017/2018
Vitaliy Shakhov,26,Centre-Back,Fakel Voronezh,0.0,in,Summer,2017,2017/2018
Aleksandr Karnitskiy,28,Defensive Midfield,Gomel,0.0,in,Summer,2017,2017/2018
David Yurchenko,31,Goalkeeper,Anzhi,0.0,in,Summer,2017,2017/2018
Georgi Melkadze,20,Second Striker,Spartak 2,0.0,in,Summer,2017,2017/2018
Reziuan Mirzov,24,Left Winger,Rostov,0.0,in,Summer,2017,2017/2018
Denis Kutin,23,Right-Back,Spartak 2,0.0,in,Summer,2017,2017/2018
Evgeniy Chernov,24,Left-Back,Zenit S-Pb,0.0,in,Summer,2017,2017/2018
Ante Vukusic,26,Centre-Forward,Without Club,0.0,in,Summer,2017,2017/2018
Aleksandr Troshechkin,21,Defensive Midfield,Rostov,0.0,in,Summer,2017,2017/2018
Denis Nikitin,20,Left-Back,Orenburg,0.0,in,Summer,2017,2017/2018
Stanislav Prychynenko,26,Defensive Midfield,Baltika,0.0,in,Summer,2017,2017/2018
Denis Kniga,25,Goalkeeper,Neftekhimik,0.0,in,Summer,2017,2017/2018
Nika Chkhapelia,23,Left Winger,Spartak Nalchik,0.0,in,Summer,2017,2017/2018
Aleksandr Gutor,28,Goalkeeper,Chornomorets,0.0,out,Summer,2017,2017/2018
Artem Milevskyi,32,Centre-Forward,Dynamo Brest,0.0,out,Summer,2017,2017/2018
Aleksandr Kutjin,31,Centre-Forward,Enisey,0.0,out,Summer,2017,2017/2018
Denis Kniga,25,Goalkeeper,Dinamo SPb,0.0,out,Summer,2017,2017/2018
Artur Nigmatullin,26,Goalkeeper,Amkar Perm,0.0,out,Summer,2017,2017/2018
Stanislav Prychynenko,26,Defensive Midfield,Baltika,0.0,out,Summer,2017,2017/2018
Aleksey Aravin,30,Right-Back,Sibir,0.0,out,Summer,2017,2017/2018
Konstantin Garbuz,29,Left-Back,Enisey,0.0,out,Summer,2017,2017/2018
Eduard Baychora,25,Goalkeeper,Khimki,0.0,out,Summer,2017,2017/2018
Arseni Logashov,25,Right-Back,Baltika,0.0,out,Summer,2017,2017/2018
Mladen Kascelan,34,Defensive Midfield,Tambov,0.0,out,Summer,2017,2017/2018
Grigori Chirkin,31,Defensive Midfield,Orenburg,0.0,out,Summer,2017,2017/2018
Nika Chkhapelia,23,Left Winger,Fakel Voronezh,0.0,out,Summer,2017,2017/2018
Ilnur Alshin,23,Right Winger,Avangard Kursk,0.0,out,Summer,2017,2017/2018
Denis Nikitin,20,Left-Back,Avangard Kursk,0.0,out,Summer,2017,2017/2018
Denis Nikitin,20,Left-Back,Orenburg,0.0,out,Summer,2017,2017/2018
Pavel Kireenko,23,Left Winger,Palanga,0.0,out,Summer,2017,2017/2018
Dmitri Bogaev,23,Right-Back,Palanga,0.0,out,Summer,2017,2017/2018
Aleksandr Makarov,21,Right Winger,CSKA Moscow II,0.0,out,Summer,2017,2017/2018
Aleksey Skvortsov,25,Right Winger,Tambov,0.0,in,Winter,2017,2017/2018
Nemanja Mijuskovic,25,Centre-Back,Taraz,0.0,in,Winter,2017,2017/2018
Pavel Pogrebnyak,34,Centre-Forward,Dinamo Moscow,0.0,in,Winter,2017,2017/2018
Ricardinho,28,Attacking Midfield,Red Star,0.0,in,Winter,2017,2017/2018
Timofey Margasov,25,Right-Back,Loko Moscow,0.0,in,Winter,2017,2017/2018
Ilya Zhigulev,21,Central Midfield,Krasnodar,0.0,in,Winter,2017,2017/2018
Aleksandr Makarov,21,Right Winger,CSKA Moscow,0.0,in,Winter,2017,2017/2018
Anton Zabolotnyi,26,Centre-Forward,Zenit S-Pb,1500000.0,out,Winter,2017,2017/2018
Evgeniy Markov,23,Centre-Forward,Dinamo Moscow,135000.0,out,Winter,2017,2017/2018
Ante Vukusic,26,Centre-Forward,Olimpia Grudz.,0.0,out,Winter,2017,2017/2018
Ruslan Abazov,24,Centre-Back,Rotor Volgograd,0.0,out,Winter,2017,2017/2018
Vitaliy Shakhov,26,Centre-Back,Baltika,0.0,out,Winter,2017,2017/2018
Yan Kazaev,26,Central Midfield,Tom Tomsk,0.0,out,Winter,2017,2017/2018
