player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Aleksandr Martynovich,22,Centre-Back,Dinamo Minsk,390000.0,in,Summer,2010,2010/2011
Spartak Gogniev,29,Centre-Forward,KamAZ,200000.0,in,Summer,2010,2010/2011
Evgeniy Shipitsin,25,Central Midfield,Salyut Belgorod,100000.0,in,Summer,2010,2010/2011
Ivan Novovic,21,Central Midfield,Zeta Golubovac,0.0,in,Summer,2010,2010/2011
Denys Dedechko,23,Centre-Back,Amkar Perm,0.0,in,Summer,2010,2010/2011
Vladimir Leshonok,25,Left Winger,Salyut Belgorod,0.0,in,Summer,2010,2010/2011
Anatoliy Shevchenko,23,Centre-Forward,Novolokinskaya,0.0,in,Summer,2010,2010/2011
Ivan Knezevic,25,Centre-Forward,Zeta Golubovac,0.0,in,Summer,2010,2010/2011
Ivan Novovic,22,Central Midfield,Zeta Golubovac,0.0,in,Summer,2010,2010/2011
Anatoli Romanovich,30,Centre-Back,Baltika,0.0,out,Summer,2010,2010/2011
Maksim Demenko,34,Central Midfield,Zhemchuzhina,0.0,out,Summer,2010,2010/2011
Aleksandar Mladenov,28,Attacking Midfield,Kaliakra,0.0,out,Summer,2010,2010/2011
Anton Alekseev,26,Goalkeeper,ACSMU Poli Iași,0.0,out,Summer,2010,2010/2011
Denis Dorozhkin,23,Centre-Forward,Rotor Volgograd,0.0,out,Summer,2010,2010/2011
Aleksey Arkhipov,27,Central Midfield,Shinnik,0.0,out,Summer,2010,2010/2011
Nikita Zhdankin,20,Attacking Midfield,Gazovik Orenburg,0.0,out,Summer,2010,2010/2011
Anatoliy Shevchenko,23,Centre-Forward,Torpedo Armavir,0.0,out,Summer,2010,2010/2011
Aleksandr Kulikov,22,Centre-Back,Rubin Kazan II,0.0,out,Summer,2010,2010/2011
Aleksandre Amisulashvili,28,Centre-Back,Kayserispor,3000000.0,in,Winter,2010,2010/2011
Yura Movsisyan,23,Centre-Forward,Randers FC,2000000.0,in,Winter,2010,2010/2011
Nikola Drincic,26,Defensive Midfield,Spartak Moscow,1600000.0,in,Winter,2010,2010/2011
Nemanja Tubic,26,Centre-Back,Karpaty,1200000.0,in,Winter,2010,2010/2011
Joãozinho,22,Left Winger,Levski Sofia,1000000.0,in,Winter,2010,2010/2011
Andrey Gorbanets,25,Attacking Midfield,Rubin Kazan,750000.0,in,Winter,2010,2010/2011
Igor Usminskiy,33,Goalkeeper,Amkar Perm,650000.0,in,Winter,2010,2010/2011
Ognjen Vranjes,21,Centre-Back,Red Star,80000.0,in,Winter,2010,2010/2011
Roman Vorobjov,26,Central Midfield,Saturn,0.0,in,Winter,2010,2010/2011
Aleksandr Kulchiy,37,Defensive Midfield,Rostov,0.0,in,Winter,2010,2010/2011
Dmitri Michkov,30,Defensive Midfield,Tom Tomsk,0.0,in,Winter,2010,2010/2011
Shamil Lakhiyalov,31,Second Striker,Terek Grozny,0.0,in,Winter,2010,2010/2011
Dusan Andjelkovic,28,Left-Back,Rostov,0.0,in,Winter,2010,2010/2011
Márcio Abreu,30,Central Midfield,Chern. Burgas,0.0,in,Winter,2010,2010/2011
Aleksandr Erokhin,21,Attacking Midfield,FC Sheriff,0.0,in,Winter,2010,2010/2011
Evgeniy Gorodov,25,Goalkeeper,Tom Tomsk II,0.0,in,Winter,2010,2010/2011
Anatoliy Shevchenko,23,Centre-Forward,Torpedo Armavir,0.0,in,Winter,2010,2010/2011
Nikita Zhdankin,21,Attacking Midfield,Gazovik Orenburg,0.0,in,Winter,2010,2010/2011
Aleksey Arkhipov,27,Central Midfield,Shinnik,0.0,in,Winter,2010,2010/2011
Denis Dorozhkin,23,Centre-Forward,Rotor Volgograd,0.0,in,Winter,2010,2010/2011
Nikolay Moskalenko,20,Goalkeeper,Druzhba Maikop,0.0,in,Winter,2010,2010/2011
Shamil Lakhiyalov,31,Second Striker,Anzhi,5000000.0,out,Winter,2010,2010/2011
Evgeniy Kaleshin,32,Left-Back,Chernomorets N.,0.0,out,Winter,2010,2010/2011
Sergey Miroshnichenko,28,Centre-Back,Khimki,0.0,out,Winter,2010,2010/2011
Nikolay Moskalenko,20,Goalkeeper,Druzhba Maikop,0.0,out,Winter,2010,2010/2011
Aleksandr Oleynik,29,Right Winger,Gazovik Orenburg,0.0,out,Winter,2010,2010/2011
Mikhail Bagaev,25,Right-Back,Spartak Nalchik,0.0,out,Winter,2010,2010/2011
Anatoliy Shevchenko,23,Centre-Forward,Torpedo Armavir,0.0,out,Winter,2010,2010/2011
Egor Tarakanov,23,Centre-Back,Chernomorets N.,0.0,out,Winter,2010,2010/2011
Aleksey Arkhipov,27,Central Midfield,Vityaz Podolsk,0.0,out,Winter,2010,2010/2011
Roman Surnev,29,Attacking Midfield,Metallurg-Enisey,0.0,out,Winter,2010,2010/2011
Nikita Zhdankin,21,Attacking Midfield,Gazovik Orenburg,0.0,out,Winter,2010,2010/2011
Vladimir Leshonok,26,Left Winger,Metallurg-Enisey,0.0,out,Winter,2010,2010/2011
Denis Dorozhkin,23,Centre-Forward,Chernomorets N.,0.0,out,Winter,2010,2010/2011
Ivan Knezevic,25,Centre-Forward,Zeta Golubovac,0.0,out,Winter,2010,2010/2011
Ivan Novovic,21,Central Midfield,Zeta Golubovac,0.0,out,Winter,2010,2010/2011
Sergey Tsukanov,24,Centre-Back,Torpedo Vlad.,0.0,out,Winter,2010,2010/2011
Aleksandr Yarkin,24,Centre-Forward,SKA-Energia,0.0,out,Winter,2010,2010/2011
Aleksandr Perov,32,Goalkeeper,Retired,0.0,out,Winter,2010,2010/2011
Azim Fatullaev,24,Defensive Midfield,Metallurg-Enisey,0.0,out,Winter,2010,2010/2011
Aleksey Botvinjev,29,Goalkeeper,Saturn,0.0,out,Winter,2010,2010/2011
Otar Martsvaladze,26,Second Striker,Volga NN,2600000.0,in,Summer,2011,2011/2012
Oleg Samsonov,23,Right Winger,KS Samara,1300000.0,in,Summer,2011,2011/2012
Rui Miguel,27,Attacking Midfield,Vit. Guimarães,1000000.0,in,Summer,2011,2011/2012
Fedor Kudryashov,24,Centre-Back,Spartak Moscow,0.0,in,Summer,2011,2011/2012
Denis Dorozhkin,24,Centre-Forward,Chernomorets N.,0.0,in,Summer,2011,2011/2012
Denys Dedechko,24,Centre-Back,Luch Vladivostok,0.0,out,Summer,2011,2011/2012
Ivan Knezevic,25,Centre-Forward,Zeta Golubovac,0.0,out,Summer,2011,2011/2012
Roman Vorobjov,27,Central Midfield,KS Samara,0.0,out,Summer,2011,2011/2012
Mikhail Komkov,26,Right Midfield,Kuban Krasnodar,0.0,out,Summer,2011,2011/2012
Ivan Novovic,22,Central Midfield,Zeta Golubovac,0.0,out,Summer,2011,2011/2012
Andrey Pazin,25,Central Midfield,Mordovia,0.0,out,Summer,2011,2011/2012
Dmitri Michkov,31,Defensive Midfield,Shinnik,0.0,out,Summer,2011,2011/2012
Artem Beketov,27,Defensive Midfield,Dinamo Bryansk,0.0,out,Summer,2011,2011/2012
Denis Dorozhkin,24,Centre-Forward,Torpedo Moscow,0.0,out,Summer,2011,2011/2012
Andrey Gorbanets,26,Attacking Midfield,Mordovia,0.0,out,Summer,2011,2011/2012
Igor Lambarskiy,19,Attacking Midfield,Ac. Chisinau,250000.0,in,Winter,2011,2011/2012
Nukri Revishvili,24,Goalkeeper,Anzhi,0.0,in,Winter,2011,2011/2012
Pavel Golyshev,24,Attacking Midfield,Tom Tomsk,0.0,in,Winter,2011,2011/2012
Spartak Gogniev,30,Centre-Forward,Ural,0.0,out,Winter,2011,2011/2012
Rui Miguel,28,Attacking Midfield,Astra Ploiesti,0.0,out,Winter,2011,2011/2012
Denis Pchelintsev,32,Goalkeeper,Baltika,0.0,out,Winter,2011,2011/2012
Fedor Kudryashov,24,Centre-Back,Spartak Moscow,0.0,out,Winter,2011,2011/2012
Vladislav Ignatjev,25,Right-Back,Loko Moscow,4000000.0,in,Summer,2012,2012/2013
Igor Smolnikov,23,Right-Back,Rostov,2500000.0,in,Summer,2012,2012/2013
Vladimir Koman,23,Attacking Midfield,Monaco,2000000.0,in,Summer,2012,2012/2013
Moussa Konaté,19,Centre-Forward,M. Tel Aviv,2000000.0,in,Summer,2012,2012/2013
Wanderson,26,Centre-Forward,GAIS,500000.0,in,Summer,2012,2012/2013
Andrey Sinitsyn,24,Goalkeeper,Enisey,370000.0,in,Summer,2012,2012/2013
Khyzyr Appaev,22,Centre-Forward,KS Samara,0.0,in,Summer,2012,2012/2013
Ruslan Nakhushev,27,Centre-Back,Loko Moscow,0.0,in,Summer,2012,2012/2013
Sergey Kislyak,24,Defensive Midfield,Rubin Kazan,0.0,in,Summer,2012,2012/2013
Aleksandr Yarkin,25,Centre-Forward,SKA-Energia,0.0,in,Summer,2012,2012/2013
Denis Pchelintsev,32,Goalkeeper,Baltika,0.0,in,Summer,2012,2012/2013
Andrey Gorbanets,26,Attacking Midfield,Mordovia,0.0,in,Summer,2012,2012/2013
Azim Fatullaev,26,Defensive Midfield,Enisey,0.0,in,Summer,2012,2012/2013
Sergey Tsukanov,26,Centre-Back,Torpedo Vlad.,0.0,in,Summer,2012,2012/2013
Igor Picusceac,29,Centre-Forward,Amkar Perm,500000.0,out,Summer,2012,2012/2013
Pavel Golyshev,25,Attacking Midfield,Tom Tomsk,200000.0,out,Summer,2012,2012/2013
Azim Fatullaev,26,Defensive Midfield,Enisey,0.0,out,Summer,2012,2012/2013
Andrey Gorbanets,26,Attacking Midfield,Tom Tomsk,0.0,out,Summer,2012,2012/2013
Aleksandr Kulchiy,38,Defensive Midfield,Sibir,0.0,out,Summer,2012,2012/2013
Vladimir Tatarchuk,24,Right Midfield,Spartak Nalchik,0.0,out,Summer,2012,2012/2013
Aleksandr Yarkin,25,Centre-Forward,Dinamo Barnaul,0.0,out,Summer,2012,2012/2013
Andrey Mikheev,25,Attacking Midfield,Ufa,0.0,out,Summer,2012,2012/2013
Sergey Tsukanov,26,Centre-Back,Salyut Belgorod,0.0,out,Summer,2012,2012/2013
Denis Pchelintsev,32,Goalkeeper,Rotor Volgograd,0.0,out,Summer,2012,2012/2013
Otar Martsvaladze,27,Second Striker,Without Club,0.0,out,Summer,2012,2012/2013
Mauricio Pereyra,22,Attacking Midfield,Lanús,2000000.0,in,Winter,2012,2012/2013
Wanderson,26,Centre-Forward,GAIS,1000000.0,in,Winter,2012,2012/2013
Isael,24,Right Winger,Nacional,500000.0,in,Winter,2012,2012/2013
Sergey Petrov,22,Right-Back,Zenit S-Pb,0.0,in,Winter,2012,2012/2013
Aleksandr Filtsov,22,Goalkeeper,Loko Moscow,0.0,in,Winter,2012,2012/2013
Adolphe Teikeu,22,Centre-Back,Metalurg Z.,0.0,in,Winter,2012,2012/2013
Yura Movsisyan,25,Centre-Forward,Spartak Moscow,7500000.0,out,Winter,2012,2012/2013
Ognjen Vranjes,23,Centre-Back,Alania,1500000.0,out,Winter,2012,2012/2013
Aleksandre Amisulashvili,30,Centre-Back,KS Samara,0.0,out,Winter,2012,2012/2013
Igor Usminskiy,35,Goalkeeper,Terek Grozny,0.0,out,Winter,2012,2012/2013
Aleksandr Erokhin,23,Attacking Midfield,SKA-Energia,0.0,out,Winter,2012,2012/2013
Khyzyr Appaev,22,Centre-Forward,Rotor Volgograd,0.0,out,Winter,2012,2012/2013
Sergey Kislyak,25,Defensive Midfield,Rubin Kazan,0.0,out,Winter,2012,2012/2013
Wanderson,26,Centre-Forward,GAIS,0.0,out,Winter,2012,2012/2013
Andreas Granqvist,28,Centre-Back,Genoa,5000000.0,in,Summer,2013,2013/2014
Artur Jedrzejczyk,25,Centre-Back,Legia Warszawa,2200000.0,in,Summer,2013,2013/2014
Aleksandr Filtsov,23,Goalkeeper,Loko Moscow,2000000.0,in,Summer,2013,2013/2014
Ricardo Laborde,25,Right Winger,Anorthosis,1700000.0,in,Summer,2013,2013/2014
Marcos Pizzelli,28,Attacking Midfield,Kuban Krasnodar,1700000.0,in,Summer,2013,2013/2014
Ari,27,Centre-Forward,Spartak Moscow,400000.0,in,Summer,2013,2013/2014
Yuriy Gazinskiy,23,Central Midfield,Torpedo Moscow,250000.0,in,Summer,2013,2013/2014
Gerard Gohou,24,Centre-Forward,K. Erciyesspor,0.0,in,Summer,2013,2013/2014
Vitali Kaleshin,32,Right-Back,Rubin Kazan,0.0,in,Summer,2013,2013/2014
Ruslan Bolov,19,Centre-Forward,Spartak Nalchik,0.0,in,Summer,2013,2013/2014
Pavel Mamaev,24,Central Midfield,CSKA Moscow,0.0,in,Summer,2013,2013/2014
Aleksandr Erokhin,23,Attacking Midfield,SKA-Energia,0.0,in,Summer,2013,2013/2014
Igor Smolnikov,25,Right-Back,Zenit S-Pb,6000000.0,out,Summer,2013,2013/2014
Evgeniy Gorodov,27,Goalkeeper,Terek Grozny,300000.0,out,Summer,2013,2013/2014
Vladimir Koman,24,Attacking Midfield,Ural,200000.0,out,Summer,2013,2013/2014
Nukri Revishvili,26,Goalkeeper,FC Dila,0.0,out,Summer,2013,2013/2014
Aleksandr Erokhin,23,Attacking Midfield,SKA-Energia,0.0,out,Summer,2013,2013/2014
Vladislav Ignatjev,26,Right-Back,Kuban Krasnodar,0.0,out,Summer,2013,2013/2014
Igor Lambarskiy,20,Attacking Midfield,Enisey,0.0,out,Summer,2013,2013/2014
Moussa Konaté,20,Centre-Forward,Genoa,0.0,out,Summer,2013,2013/2014
Nikola Drincic,28,Defensive Midfield,Without Club,0.0,out,Summer,2013,2013/2014
Adolphe Teikeu,23,Centre-Back,Metalurg Z.,0.0,out,Summer,2013,2013/2014
Aleksandr Filtsov,23,Goalkeeper,Loko Moscow,0.0,out,Summer,2013,2013/2014
Pavel Mamaev,25,Central Midfield,CSKA Moscow,5000000.0,in,Winter,2013,2013/2014
Ragnar Sigurdsson,27,Centre-Back,FC Copenhagen,4250000.0,in,Winter,2013,2013/2014
Aleksey Pomerko,23,Central Midfield,Shinnik,0.0,in,Winter,2013,2013/2014
Roman Shirokov,32,Central Midfield,Zenit S-Pb,0.0,in,Winter,2013,2013/2014
Ruslan Nakhushev,29,Centre-Back,Mordovia,0.0,out,Winter,2013,2013/2014
Ruslan Bolov,19,Centre-Forward,Spartak Nalchik,0.0,out,Winter,2013,2013/2014
Marcos Pizzelli,29,Attacking Midfield,Aktobe,0.0,out,Winter,2013,2013/2014
Pavel Mamaev,25,Central Midfield,CSKA Moscow,0.0,out,Winter,2013,2013/2014
Odil Akhmedov,26,Central Midfield,Anzhi,4000000.0,in,Summer,2014,2014/2015
Andriy Dykan,36,Goalkeeper,Spartak Moscow,0.0,in,Summer,2014,2014/2015
Ruslan Adzhindzhal,40,Central Midfield,KS Samara,0.0,in,Summer,2014,2014/2015
Vladimir Bystrov,30,Right Midfield,Zenit S-Pb,0.0,in,Summer,2014,2014/2015
Nikita Burmistrov,24,Right Winger,Anzhi,0.0,in,Summer,2014,2014/2015
Marat Izmailov,31,Central Midfield,FC Porto,0.0,in,Summer,2014,2014/2015
Ruslan Bolov,20,Centre-Forward,Spartak Nalchik,0.0,in,Summer,2014,2014/2015
Vladimir Koman,25,Attacking Midfield,Ural,0.0,in,Summer,2014,2014/2015
Moussa Konaté,21,Centre-Forward,Genoa,0.0,in,Summer,2014,2014/2015
Igor Lambarskiy,21,Attacking Midfield,Enisey,0.0,in,Summer,2014,2014/2015
Khyzyr Appaev,24,Centre-Forward,Rotor Volgograd,0.0,in,Summer,2014,2014/2015
Moussa Konaté,21,Centre-Forward,FC Sion,350000.0,out,Summer,2014,2014/2015
Nemanja Tubic,30,Centre-Back,BATE Borisov,0.0,out,Summer,2014,2014/2015
Isael,26,Right Winger,Kairat Almaty,0.0,out,Summer,2014,2014/2015
Oleg Samsonov,26,Right Winger,Tyumen,0.0,out,Summer,2014,2014/2015
Márcio Abreu,34,Central Midfield,Torpedo Moscow,0.0,out,Summer,2014,2014/2015
Khyzyr Appaev,24,Centre-Forward,Gazovik Orenburg,0.0,out,Summer,2014,2014/2015
Gerard Gohou,25,Centre-Forward,Kairat Almaty,0.0,out,Summer,2014,2014/2015
Igor Lambarskiy,21,Attacking Midfield,Ural,0.0,out,Summer,2014,2014/2015
Aleksandr Filtsov,24,Goalkeeper,Rubin Kazan,0.0,out,Summer,2014,2014/2015
Aleksey Pomerko,24,Central Midfield,KS Samara,0.0,out,Summer,2014,2014/2015
Ruslan Bolov,20,Centre-Forward,Volgar,0.0,out,Summer,2014,2014/2015
