player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gift Kampamba,23,Right Winger,Sundowns,400000.0,in,Summer,2002,2002/2003
Matthew Booth,25,Centre-Back,Sundowns,25000.0,in,Summer,2002,2002/2003
Aleksandr Maslov,32,Centre-Forward,FC Winterthur,0.0,in,Summer,2002,2002/2003
Dmitriy Chaley,24,Defensive Midfield,Ruzomberok,0.0,in,Summer,2002,2002/2003
Baba Adamu,22,Centre-Forward,Loko Moscow,400000.0,out,Summer,2002,2002/2003
Gennadi Tumilovich,30,Goalkeeper,Royal Antwerp,0.0,out,Summer,2002,2002/2003
Vladimir Korytko,23,Attacking Midfield,Saturn,0.0,out,Summer,2002,2002/2003
Aleksandr Chaika,26,midfield,Dinamo SPb,0.0,out,Summer,2002,2002/2003
Japhet Zwane,28,Left Winger,M. Swallows,650000.0,in,Winter,2002,2002/2003
Matthew Booth,25,Centre-Back,Sundowns,500000.0,in,Winter,2002,2002/2003
Essau Kanyenda,20,Centre-Forward,Jomo Cosmos,75000.0,in,Winter,2002,2002/2003
Vasili Brovin,20,Attacking Midfield,СДЮСШОР-Лада,50000.0,in,Winter,2002,2002/2003
Bertrand Ngapounou,20,Centre-Back,Sable FC de Batie,0.0,in,Winter,2002,2002/2003
Yuriy Maksymov,34,Central Midfield,Waldh. Mannheim,0.0,in,Winter,2002,2002/2003
Rowan Hendricks,23,Right Winger,Ajax Cape Town,0.0,in,Winter,2002,2002/2003
Maksim Demenko,26,Central Midfield,Spartak Moscow,0.0,out,Winter,2002,2002/2003
Sergey Erzrumyan,22,midfield,Kilikia Yerevan,0.0,out,Winter,2002,2002/2003
Oleksandr Malygin,23,Centre-Back,Terek Grozny,0.0,out,Winter,2002,2002/2003
Sergey Lushchan,29,Right Midfield,KS Samara,0.0,out,Winter,2002,2002/2003
Aleksey Zlydnev,22,Central Midfield,Элиста,0.0,out,Winter,2002,2002/2003
Aleksandr Shmarko,33,Centre-Back,Terek Grozny,0.0,out,Winter,2002,2002/2003
Arturas Fomenka,25,Centre-Forward,Volgar-Gazprom,0.0,out,Winter,2002,2002/2003
Dmitriy Chaley,24,Defensive Midfield,Torpedo-SKA,0.0,out,Winter,2002,2002/2003
Mikhail Kupriyanov,29,Right-Back,Факел-Воронеж,0.0,out,Winter,2002,2002/2003
Matthew Booth,25,Centre-Back,Sundowns,0.0,out,Winter,2002,2002/2003
Bennett Mnguni,29,Left Midfield,Loko Moscow,350000.0,in,Summer,2003,2003/2004
Mehmet Aksu,23,Centre-Forward,Besiktas,250000.0,in,Summer,2003,2003/2004
Aleksandrs Kolinko,28,Goalkeeper,Crystal Palace,0.0,in,Summer,2003,2003/2004
Tony David Coyle,26,Centre-Back,Wits University,0.0,in,Summer,2003,2003/2004
