player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Vyacheslav Lugovkin,28,midfield,Rostselmash,0.0,in,Summer,1996,1996/1997
Andrey Talalaev,24,Centre-Forward,Tom Tomsk,0.0,out,Summer,1996,1996/1997
Yuri Borovskoy,25,Centre-Back,Rostselmash,0.0,out,Summer,1996,1996/1997
Igor Kutepov,30,Goalkeeper,Dynamo Kyiv,0.0,out,Summer,1996,1996/1997
Yuri Borovskoy,25,Centre-Back,Rostselmash,0.0,in,Winter,1996,1996/1997
Ivan Pazemov,23,Right Winger,Торпедо-Лужники,0.0,in,Winter,1996,1996/1997
Sergey Lemeshko,24,midfield,Энергия Камышин,0.0,in,Winter,1996,1996/1997
Aleksandr Borodkin,25,Centre-Back,Торпедо-Лужники,0.0,in,Winter,1996,1996/1997
Sergey Kolotovkin,31,Centre-Back,Dinamo Moscow,0.0,in,Winter,1996,1996/1997
Andrey Seregin,20,Centre-Forward,Neman-Belkard,0.0,in,Winter,1996,1996/1997
Igor Kostyuk,21,Right Midfield,Dynamo Kyiv,0.0,in,Winter,1996,1996/1997
Sergey Dmitriev,32,Centre-Forward,Zenit S-Pb,0.0,in,Winter,1996,1996/1997
Aleksandr Pavlenko,20,midfield,Spartak II,0.0,in,Winter,1996,1996/1997
Aleksandr Burov,21,Right-Back,Spartak II,0.0,in,Winter,1996,1996/1997
Igor Kutepov,31,Goalkeeper,Dynamo Kyiv,0.0,in,Winter,1996,1996/1997
Evgeni Burdinskiy,24,midfield,Zvezda Irkutsk,0.0,out,Winter,1996,1996/1997
Nikolay Kovardaev,26,Centre-Forward,Элиста,0.0,out,Winter,1996,1996/1997
Aleksandr Gerasimov,26,Right Winger,Chernomorets N.,0.0,out,Winter,1996,1996/1997
Sergey Krutov,26,Central Midfield,Chernomorets N.,0.0,out,Winter,1996,1996/1997
Almir Kayumov,32,defence,Neftekhimik,0.0,out,Winter,1996,1996/1997
Mikhail Solovjev,28,Centre-Back,Torpedo-ZiL,0.0,out,Winter,1996,1996/1997
Vitaliy Ponomarenko,27,Left-Back,Элиста,0.0,out,Winter,1996,1996/1997
Vladimir Dolbonosov,26,midfield,Saturn REN-TV,0.0,out,Winter,1996,1996/1997
Sergey Podpaly,33,Centre-Back,Stavropol,0.0,in,Summer,1997,1997/1998
Valentin Egunov,21,Centre-Forward,Zenit S-Pb,0.0,in,Summer,1997,1997/1998
Aleksandr Tsarenko,29,Right Midfield,Ротор Камышин,0.0,in,Summer,1997,1997/1998
Viktor Goncharov,21,midfield,Spartak II,0.0,in,Summer,1997,1997/1998
Dmitri Bushmanov,18,Central Midfield,Tobol Kurgan,0.0,in,Summer,1997,1997/1998
Vladimir Dolbonosov,27,midfield,Saturn REN-TV,0.0,in,Summer,1997,1997/1998
Igor Kutepov,31,Goalkeeper,CSKA Moscow,0.0,out,Summer,1997,1997/1998
Sergey Zhukov,30,Central Midfield,Tom Tomsk,0.0,out,Summer,1997,1997/1998
Sergey Dmitriev,33,Centre-Forward,Spartak Moscow,0.0,out,Summer,1997,1997/1998
Oleksandr Pryzetko,26,Central Midfield,Торпедо-Лужники,0.0,out,Summer,1997,1997/1998
Igor Kostyuk,21,Right Midfield,Vorskla-Naftogaz,0.0,out,Summer,1997,1997/1998
Emilian Caras,29,defence,Unknown,0.0,out,Summer,1997,1997/1998
Andrey Seregin,20,Centre-Forward,FK Brest,0.0,out,Summer,1997,1997/1998
Konstantin Fishman,20,midfield,Rostselmash,0.0,in,Winter,1997,1997/1998
Igor B. Kachmazov,29,midfield,St. Petersburg,0.0,in,Winter,1997,1997/1998
Evgeni Maslov,31,Right-Back,Irtysh Tobolsk,0.0,in,Winter,1997,1997/1998
Emilian Caras,29,defence,Zimbru Chisinau,0.0,in,Winter,1997,1997/1998
Vyacheslav Lychkin,24,midfield,Kapaz PFK,0.0,in,Winter,1997,1997/1998
Sergey Lemeshko,25,midfield,Tom Tomsk,0.0,out,Winter,1997,1997/1998
Yuri Borovskoy,26,Centre-Back,Kuban Krasnodar,0.0,out,Winter,1997,1997/1998
Vyacheslav Lugovkin,29,midfield,Arsenal Tula,0.0,out,Winter,1997,1997/1998
Yuri Baturenko,33,Defensive Midfield,Sokol Saratov,0.0,out,Winter,1997,1997/1998
Evgeni Zhelyakov,21,Goalkeeper,Unknown,0.0,out,Winter,1997,1997/1998
Aleksey Savchenko,22,Central Midfield,Khimki,0.0,out,Winter,1997,1997/1998
Ivan Pazemov,24,Right Winger,Tom Tomsk,0.0,out,Winter,1997,1997/1998
Sergey Kolotovkin,32,Centre-Back,Rostselmash,0.0,out,Winter,1997,1997/1998
Aleksandr Tatarkin,31,Centre-Forward,Volgar-Gazprom,0.0,out,Winter,1997,1997/1998
Anatoliy Bezsmertnyi,28,Centre-Back,Rostselmash,0.0,out,Winter,1997,1997/1998
Vladimir Tatarchuk,31,Attacking Midfield,Lokomotiv NN,0.0,out,Winter,1997,1997/1998
Aleksandr Pavlenko,21,midfield,Spartak II,0.0,out,Winter,1997,1997/1998
Aleksandr Burov,21,Right-Back,Spartak II,0.0,out,Winter,1997,1997/1998
