player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Ilnur Alshin,28,Right Winger,Baltika,120000.0,in,Summer,2022,2022/2023
Matvey Ivakhnov,18,Centre-Forward,Krasava,0.0,in,Summer,2022,2022/2023
Georgi Gongadze,26,Centre-Forward,SKA Khabarovsk,0.0,in,Summer,2022,2022/2023
Daniil Chernyakov,21,Central Midfield,Loko-Kazanka M.,0.0,in,Summer,2022,2022/2023
Irakli Kvekveskiri,32,Defensive Midfield,SKA Khabarovsk,0.0,in,Summer,2022,2022/2023
Evgeniy Shlyakov,30,Right-Back,UTA Arad,0.0,in,Summer,2022,2022/2023
Sergey Bozhin,27,Centre-Back,KS Samara,0.0,in,Summer,2022,2022/2023
Igor Kalinin,26,Left-Back,Rostov,0.0,in,Summer,2022,2022/2023
Ilya Svinov,21,Goalkeeper,Spartak Moscow,0.0,in,Summer,2022,2022/2023
Evgeni Morozov,21,Centre-Back,Loko-Kazanka M.,0.0,in,Summer,2022,2022/2023
Ilya Mazurov,23,Left Winger,SKA Rostov,0.0,in,Summer,2022,2022/2023
Ilya Mazurov,23,Left Winger,Balashikha,0.0,out,Summer,2022,2022/2023
Andrey Razborov,27,Centre-Forward,Shinnik,0.0,out,Summer,2022,2022/2023
Nemanja Pejcinovic,34,Centre-Back,Without Club,0.0,out,Summer,2022,2022/2023
Vladimir Dyadyun,33,Centre-Forward,Without Club,0.0,out,Summer,2022,2022/2023
Dmitri Kortnev,33,Goalkeeper,Without Club,0.0,out,Summer,2022,2022/2023
Valeriy Tsarukyan,20,Attacking Midfield,Volgar,0.0,out,Summer,2022,2022/2023
Denis Faizullin,21,Right Winger,Loko-Kazanka M.,0.0,out,Summer,2022,2022/2023
Sergey Eshchenko,21,Goalkeeper,Krasnodar 2,0.0,out,Summer,2022,2022/2023
Andrey Nikitin,21,Left Winger,Loko Moscow,0.0,out,Summer,2022,2022/2023
Evgeniy Markov,28,Centre-Forward,Arsenal Tula,0.0,in,Winter,2022,2022/2023
Vyacheslav Yakimov,24,Defensive Midfield,Krasnodar,0.0,in,Winter,2022,2022/2023
Réda Rabeï,28,Central Midfield,Botev Plovdiv,0.0,in,Winter,2022,2022/2023
Mohamed Brahimi,24,Left Winger,Botev Plovdiv,0.0,in,Winter,2022,2022/2023
Evgeniy Shlyakov,31,Right-Back,Torpedo Moscow,0.0,out,Winter,2022,2022/2023
Oleg Dmitriev,27,Attacking Midfield,Rodina Moscow,0.0,out,Winter,2022,2022/2023
Alikhan Shavaev,30,Central Midfield,Rotor Volgograd,0.0,out,Winter,2022,2022/2023
Aslan Dashaev,33,Centre-Back,Volga Uljanovsk,0.0,out,Winter,2022,2022/2023
