player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Valeri Korneev,30,attack,Kuban Krasnodar,0.0,in,Summer,1992,1992/1993
Dmitri Ivanov,21,Centre-Forward,Торпедо-Лужники,0.0,in,Summer,1992,1992/1993
Rustyam Fakhrutdinov,28,attack,КАМАЗ-Чаллы,0.0,out,Summer,1992,1992/1993
Sergey Bodak,28,defence,Spartak V-kavkaz,0.0,out,Summer,1992,1992/1993
Rustyam Fakhrutdinov,29,attack,КАМАЗ-Чаллы,0.0,in,Winter,1992,1992/1993
Aleksandr Nenashkin,22,defence,Druzhba Y-O,0.0,in,Winter,1992,1992/1993
Gennadiy Remezov,27,attack,Irgiz Balakovo,0.0,in,Winter,1992,1992/1993
Garnik Avalyan,30,Centre-Forward,Torpedo Ryazan,0.0,in,Winter,1992,1992/1993
Nikolay Bulgakov,32,defence,I. Smolensk,0.0,in,Winter,1992,1992/1993
Giorgi Dzneladze,23,Right-Back,FC Alazani,0.0,in,Winter,1992,1992/1993
Igor Meda,25,midfield,Kuban Krasnodar,0.0,in,Winter,1992,1992/1993
Oleg Delov,29,attack,Torpedo-Kadino,0.0,in,Winter,1992,1992/1993
Valeri Korneev,30,attack,Stavropol,0.0,out,Winter,1992,1992/1993
Vasili Zhupikov,38,Centre-Back,Neftekhimik,0.0,out,Winter,1992,1992/1993
Dmitri Ivanov,22,Centre-Forward,Rotor Volgograd,0.0,out,Winter,1992,1992/1993
Giorgi Dzneladze,24,Right-Back,Sokol Saratov,0.0,out,Summer,1993,1993/1994
Yevgen Sonin,19,attack,APK Azov,0.0,in,Winter,1993,1993/1994
Igor Zakharov,27,Right-Back,Luch Vladivostok,0.0,in,Winter,1993,1993/1994
Vladimir Shcherbak,34,Sweeper,Кузбасс-Динамо,0.0,in,Winter,1993,1993/1994
Aleksandr Tsilyurik,28,midfield,Druzhba Y-O,0.0,in,Winter,1993,1993/1994
Yuriy Evlampiev,27,midfield,Факел-Воронеж,0.0,in,Winter,1993,1993/1994
Vitali Safronov,20,Attacking Midfield,Пресня,0.0,in,Winter,1993,1993/1994
Aleksandr Zhidkov,27,Central Midfield,Rotor Volgograd,0.0,in,Winter,1993,1993/1994
Aleksandr Marteshkin,23,Goalkeeper,Soligorsk,0.0,in,Winter,1993,1993/1994
Sergey Kuznetsov,27,Centre-Back,Rotor Volgograd,0.0,in,Winter,1993,1993/1994
Ravil Valiev,27,midfield,Lada-Togliat-VAZ,0.0,out,Winter,1993,1993/1994
Aleksandr Nenashkin,23,defence,Druzhba Y-O,0.0,out,Winter,1993,1993/1994
Evgeniy Kharlachev,19,Left Midfield,Loko Moscow,0.0,out,Winter,1993,1993/1994
Nikolay Bulgakov,33,defence,Baltika,0.0,out,Winter,1993,1993/1994
Viktor Gaus,29,Goalkeeper,Lada-Togliat-VAZ,0.0,out,Winter,1993,1993/1994
Vladimir Filippov,25,attack,Энергия-Текстиль,0.0,out,Winter,1993,1993/1994
Aleksandr Tsygankov,25,Right-Back,Энергия-Текстиль,0.0,out,Winter,1993,1993/1994
Andrey Rezantsev,28,Centre-Back,Гекрис,0.0,in,Summer,1994,1994/1995
Andriy Anishchenko,19,defence,SK Kherson,0.0,in,Summer,1994,1994/1995
Aleksandr Averyanov,24,Central Midfield,Ocean Nakhodka,0.0,in,Summer,1994,1994/1995
Vladimir Shcherbak,34,Sweeper,Кузбасс-Динамо,0.0,out,Summer,1994,1994/1995
Mikhail Volodin,25,Goalkeeper,Энергия-Текстиль,0.0,out,Summer,1994,1994/1995
Gennadiy Remezov,29,attack,H Rishon leZion,0.0,out,Summer,1994,1994/1995
Sergey Kuznetsov,28,Centre-Back,Shumen 2007,0.0,out,Summer,1994,1994/1995
Valeriy Sitalo,25,Goalkeeper,Tiszafüredi VSE,0.0,in,Winter,1994,1994/1995
Vyacheslav Daev,22,Centre-Back,Kristall,0.0,in,Winter,1994,1994/1995
Viktor Bulatov,22,Defensive Midfield,Stavropol,0.0,in,Winter,1994,1994/1995
Mamuka Minashvili,22,Centre-Forward,Iveria,0.0,in,Winter,1994,1994/1995
Sergey Chekmezov,29,Goalkeeper,Zhemchuzhina,0.0,in,Winter,1994,1994/1995
Aleksandr Gryazin,20,Attacking Midfield,M. Petah Tikva,0.0,in,Winter,1994,1994/1995
Vasili Slobodko,21,Goalkeeper,Dinamo Bryansk,0.0,in,Winter,1994,1994/1995
Sergey Shishkin,21,Right-Back,CSKA Moscow II,0.0,in,Winter,1994,1994/1995
Zurab Tsiklauri,20,Centre-Forward,KS Samara II,0.0,in,Winter,1994,1994/1995
Dinar Sharipov,28,Defensive Midfield,Lada-Togliat-VAZ,0.0,out,Winter,1994,1994/1995
Yuriy Evlampiev,28,midfield,SKD Samara,0.0,out,Winter,1994,1994/1995
Vitali Safronov,21,Attacking Midfield,Dinamo Moscow,0.0,out,Winter,1994,1994/1995
Fedor Gagloev,28,midfield,Lokomotiv NN,0.0,in,Summer,1995,1995/1996
Gennadiy Remezov,30,attack,Beitar Tel Aviv,0.0,in,Summer,1995,1995/1996
Andrey Khlebosolov,29,Centre-Forward,Belshina,0.0,in,Summer,1995,1995/1996
Aleksandr Oreshnikov,22,defence,MPKZ Mozyr,0.0,in,Summer,1995,1995/1996
Rustyam Fakhrutdinov,31,attack,Neftekhimik,0.0,out,Summer,1995,1995/1996
Igor Zakharov,29,Right-Back,Zenit S-Pb,0.0,out,Summer,1995,1995/1996
Yuri Shishkin,32,Goalkeeper,Chunnam Dragons,0.0,in,Winter,1995,1995/1996
Sergey Lagutko,25,attack,Smena-Saturn,0.0,in,Winter,1995,1995/1996
Vladislav Matvienko,27,Central Midfield,Stavropol,0.0,in,Winter,1995,1995/1996
Vasiliy Mazur,25,Sweeper,Kryvbas,0.0,in,Winter,1995,1995/1996
Aleksandr Tsygankov,27,Right-Back,Lada-Togliat-VAZ,0.0,in,Winter,1995,1995/1996
Yevgen Sonin,21,attack,SK Mykolaiv,0.0,out,Winter,1995,1995/1996
Fedor Gagloev,29,midfield,Энергия-Текстиль,0.0,out,Winter,1995,1995/1996
Gennadiy Remezov,30,attack,Факел-Воронеж,0.0,out,Winter,1995,1995/1996
Valeriy Sitalo,26,Goalkeeper,Luch Vladivostok,0.0,out,Winter,1995,1995/1996
Vyacheslav Daev,23,Centre-Back,Baltika,0.0,out,Winter,1995,1995/1996
Andrey Khlebosolov,30,Centre-Forward,Belshina,0.0,out,Winter,1995,1995/1996
Aleksandr Zhidkov,29,Central Midfield,M. Lipetsk,0.0,out,Winter,1995,1995/1996
Sergey Chekmezov,30,Goalkeeper,Chernomorets N.,0.0,out,Winter,1995,1995/1996
Aleksandr Gryazin,21,Attacking Midfield,Saturn REN-TV,0.0,out,Winter,1995,1995/1996
Oleg Delov,32,attack,Avangard Kursk,0.0,out,Winter,1995,1995/1996
Igor Meda,28,midfield,Without Club,0.0,out,Winter,1995,1995/1996
Sergey Bulatov,24,Centre-Forward,Baltika,0.0,in,Summer,1996,1996/1997
Vitali Safronov,23,Attacking Midfield,Dinamo Moscow,0.0,in,Summer,1996,1996/1997
Anas Makhlouf,23,attack,Al-Majd,0.0,in,Summer,1996,1996/1997
Roman Rusak,24,midfield,Bukovyna,0.0,in,Summer,1996,1996/1997
Sergey Lushchan,23,Right Midfield,Ocean Nakhodka,0.0,in,Winter,1996,1996/1997
Zurab Popkhadze,24,Centre-Back,Unknown,0.0,in,Winter,1996,1996/1997
Gela Inalishvili,30,Right-Back,Dinamo Tbilisi,0.0,in,Winter,1996,1996/1997
Andriy Anishchenko,21,defence,Metalist,0.0,out,Winter,1996,1996/1997
Aleksandr Marteshkin,26,Goalkeeper,Энергия Камышин,0.0,out,Winter,1996,1996/1997
Vladislav Matvienko,28,Central Midfield,Энергия Камышин,0.0,out,Winter,1996,1996/1997
Aleksandr Tsilyurik,31,midfield,Unknown,0.0,out,Winter,1996,1996/1997
Sergey Bulatov,25,Centre-Forward,Baltika,0.0,out,Summer,1997,1997/1998
Sergey Lagutko,27,attack,BATE Borisov,0.0,out,Summer,1997,1997/1998
Andriy Guzenko,25,midfield,Vorskla-Naftogaz,0.0,out,Summer,1997,1997/1998
Aleksandr Nikulin,18,Left Midfield,Unknown,0.0,in,Winter,1997,1997/1998
Yuri Getikov,26,midfield,Иртыш-1946,0.0,in,Winter,1997,1997/1998
Andriy Guzenko,24,midfield,Vorskla-Naftogaz,0.0,in,Winter,1997,1997/1998
Sergey Gribov,28,Centre-Back,Nosta,0.0,out,Winter,1997,1997/1998
