player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Valeri Zazdravnykh,30,midfield,Энергия-Текстиль,0.0,in,Summer,1993,1993/1994
Aleksey Sudarikov,22,midfield,Kaposvár,0.0,in,Summer,1993,1993/1994
Sergey Shestakov,32,defence,Stavropol,0.0,in,Winter,1993,1993/1994
Mikhail Nikitin,22,attack,Sokol Saratov,0.0,in,Winter,1993,1993/1994
Ravil Valiev,27,midfield,KS Samara,0.0,in,Winter,1993,1993/1994
Aleksandr Balakhnin,38,Goalkeeper,Without Club,0.0,in,Winter,1993,1993/1994
Iurie Scala,28,attack,Gagauzia Comrat,0.0,in,Winter,1993,1993/1994
Yuri Sobol,28,attack,Энергия-Текстиль,0.0,in,Winter,1993,1993/1994
Konstantin Pavlyuchenko,22,midfield,Dnipro,0.0,in,Winter,1993,1993/1994
Vyacheslav Dusmanov,20,Goalkeeper,Dinamo-D Moscow,0.0,in,Winter,1993,1993/1994
Erast Osipyan,28,midfield,FK Interros,0.0,in,Winter,1993,1993/1994
Oleg Solovjev,20,Central Midfield,Borysfen,0.0,in,Winter,1993,1993/1994
Viktor Gaus,29,Goalkeeper,KS Samara,0.0,in,Winter,1993,1993/1994
Almir Kayumov,29,defence,Daewoo Royals,0.0,in,Winter,1993,1993/1994
Evgen Dragunov,29,Centre-Back,SK Tavriya,0.0,in,Winter,1993,1993/1994
Yuriy Gudymenko,27,Centre-Forward,Dinamo Moscow,0.0,in,Winter,1993,1993/1994
Dmitri Gradilenko,24,Left-Back,FK Interros,0.0,in,Winter,1993,1993/1994
Aleksey Bakharev,17,Central Midfield,Lada Tog. U19,0.0,in,Winter,1993,1993/1994
Nikolay Golubkin,19,defence,Rostselmash,0.0,in,Winter,1993,1993/1994
Valeri Zazdravnykh,30,midfield,Stavropol,0.0,out,Winter,1993,1993/1994
Valeriy Sheremetov,29,Goalkeeper,Zvezda-Rusj Gor.,0.0,out,Winter,1993,1993/1994
Aleksey Bobrov,21,Right Winger,CSKA Moscow,0.0,out,Winter,1993,1993/1994
Yuri Bavykin,20,Left-Back,CSKA Moscow,0.0,out,Winter,1993,1993/1994
Aleksey Sudarikov,22,midfield,Unknown,0.0,out,Winter,1993,1993/1994
Aleksey Sudarikov,24,midfield,Unknown,0.0,in,Summer,1995,1995/1996
Aleksey Sudarikov,24,midfield,Lokomotiv NN,0.0,out,Summer,1995,1995/1996
Konstantin Pavlyuchenko,24,midfield,Энергия-Текстиль,0.0,out,Summer,1995,1995/1996
Vaso Sepashvili,26,Centre-Forward,FC Telavi,0.0,in,Winter,1995,1995/1996
Dmitri Filatov,18,defence,Unknown,0.0,in,Winter,1995,1995/1996
Maksim Buznikin,18,Centre-Forward,Izumrud,0.0,in,Winter,1995,1995/1996
Evgeni Kryachik,26,attack,Kolos Krasnodar,0.0,in,Winter,1995,1995/1996
Vladimir Filippov,27,attack,Энергия-Текстиль,0.0,in,Winter,1995,1995/1996
Andrey Miroshnichenko,27,midfield,Spartak Semey,0.0,in,Winter,1995,1995/1996
Vadim Gladyshev,19,attack,Lada Tog. U19,0.0,in,Winter,1995,1995/1996
Mikhail Nikitin,24,attack,Sokol Saratov,0.0,in,Winter,1995,1995/1996
Dinar Sharipov,29,Defensive Midfield,Neftekhimik,0.0,out,Winter,1995,1995/1996
Ravil Valiev,29,midfield,Neftekhimik,0.0,out,Winter,1995,1995/1996
Erast Osipyan,30,midfield,Orekhovo O-Zuevo,0.0,out,Winter,1995,1995/1996
Oleg Semin,21,Right Midfield,Lada Dimitrovgrad,0.0,out,Winter,1995,1995/1996
Aleksandr Tsygankov,27,Right-Back,KS Samara,0.0,out,Winter,1995,1995/1996
Almir Kayumov,31,defence,Din-Gaz Tyumen,0.0,out,Winter,1995,1995/1996
Andrey Prokhorov,30,defence,Факел-Воронеж,0.0,out,Winter,1995,1995/1996
