player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Yuri Petrov,18,Centre-Forward,Spartak Moscow,0.0,in,Summer,1992,1992/1993
Mikhail Maryushkin,25,Centre-Forward,Pirin GD,0.0,out,Summer,1992,1992/1993
Gennadi Semin,24,Left Winger,Факел-Воронеж,0.0,out,Summer,1992,1992/1993
Khasanbi Bidzhiev,26,Goalkeeper,H. Petah Tikva,0.0,out,Summer,1992,1992/1993
Aleksandr Rychkov,17,Attacking Midfield,Standard Liège,0.0,out,Summer,1992,1992/1993
Igor Povalyaev,29,defence,Stavropol,0.0,out,Summer,1992,1992/1993
Vasili Postnov,30,Defensive Midfield,Wydad AC,0.0,out,Summer,1992,1992/1993
Aleksandr Kuzmichev,21,Attacking Midfield,Feirense,0.0,out,Summer,1992,1992/1993
Oleg Tabunov,22,Left-Back,RoPS,0.0,out,Summer,1992,1992/1993
Andrey Semin,20,midfield,Avangard Kolomna,0.0,out,Summer,1992,1992/1993
Yuri Petrov,18,Centre-Forward,Spartak Moscow,0.0,out,Summer,1992,1992/1993
Yuriy Drozdov,20,Defensive Midfield,Dinamo Moscow,0.0,in,Winter,1992,1992/1993
Mikhail Maryushkin,25,Centre-Forward,Pele Moscow,0.0,in,Winter,1992,1992/1993
Sergey Aleksandrov,19,Goalkeeper,Nyva Ternopil,0.0,in,Winter,1992,1992/1993
Aleksey Kosolapov,21,Central Midfield,Din-Gaz Tyumen,0.0,in,Winter,1992,1992/1993
Oleg Garin,26,Centre-Forward,Ocean Nakhodka,0.0,in,Winter,1992,1992/1993
Vitali But,20,Left Midfield,Dinamo Moscow,0.0,in,Winter,1992,1992/1993
Vladimir Maminov,18,Central Midfield,Loko Moscow II,0.0,in,Winter,1992,1992/1993
Oleg Pashinin,18,Centre-Back,Loko Moscow II,0.0,in,Winter,1992,1992/1993
Pavel Nesterov,30,Centre-Back,Neftekhimik,0.0,out,Winter,1992,1992/1993
Rashid Rakhimov,28,Left Midfield,Real Valladolid,0.0,in,Summer,1993,1993/1994
Khasanbi Bidzhiev,27,Goalkeeper,Hapoel Tel Aviv,0.0,in,Summer,1993,1993/1994
Sergey Aleksandrov,19,Goalkeeper,Pirin GD,0.0,out,Summer,1993,1993/1994
Andrey Fedin,22,Central Midfield,FK Interros,0.0,out,Summer,1993,1993/1994
Mukhsin Mukhamadiev,26,Centre-Forward,Ankaragücü,0.0,out,Summer,1993,1993/1994
Valentin Kiselev,23,Centre-Forward,Arsenal Tula,0.0,out,Summer,1993,1993/1994
Vitali Nikulkin,22,Centre-Forward,Lokomotiv NN,0.0,out,Summer,1993,1993/1994
Vitali But,20,Left Midfield,Chernomorets N.,0.0,out,Summer,1993,1993/1994
Sergiy Perepadenko,21,Right Winger,Badajoz,0.0,in,Winter,1993,1993/1994
Vladimir Leonchenko,21,Central Midfield,Rostselmash,0.0,in,Winter,1993,1993/1994
Aleksandr Katasonov,21,Centre-Forward,Orekhovo O-Zuevo,0.0,in,Winter,1993,1993/1994
Evgeniy Kharlachev,19,Left Midfield,KS Samara,0.0,in,Winter,1993,1993/1994
Igor Chugaynov,23,Centre-Back,Торпедо-Лужники,0.0,in,Winter,1993,1993/1994
Sargis Hovhannisyan,25,Right Midfield,Dinamo Moscow,0.0,in,Winter,1993,1993/1994
Oleg Yelyshev,22,Right Midfield,Энергия-Текстиль,0.0,in,Winter,1993,1993/1994
Aleksandr Tatarkin,27,Centre-Forward,Rostselmash,0.0,in,Winter,1993,1993/1994
Aleksandr Shanin,23,Goalkeeper,Orekhovo O-Zuevo,0.0,in,Winter,1993,1993/1994
Mikhail Evseev,20,Right-Back,Gazovik Izhevsk,0.0,out,Winter,1993,1993/1994
Dmitri Alenichev,21,Central Midfield,Spartak Moscow,0.0,out,Winter,1993,1993/1994
Aleksandr Smirnov,25,Right Midfield,Dinamo Moscow,0.0,out,Winter,1993,1993/1994
Oleg Samatov,28,Right-Back,Dinamo Moscow,0.0,out,Winter,1993,1993/1994
Ravil Sabitov,25,Left-Back,KSV Waregem,0.0,out,Winter,1993,1993/1994
Andrey Solovtsov,25,Centre-Back,Shinnik,0.0,out,Winter,1993,1993/1994
Dmitri Gorkov,29,Right Midfield,ES Sahel,0.0,out,Winter,1993,1993/1994
Aleksandr Zhitkov,27,Centre-Back,Kuban Krasnodar,0.0,in,Summer,1994,1994/1995
Ansar Ayupov,22,Central Midfield,Пресня,0.0,in,Summer,1994,1994/1995
Dmitri Gorkov,29,Right Midfield,ES Sahel,0.0,in,Summer,1994,1994/1995
Yuri Petrov,19,Centre-Forward,RKC Waalwijk,0.0,out,Summer,1994,1994/1995
Sergey Podpaly,30,Centre-Back,Hapoel Haifa,0.0,out,Summer,1994,1994/1995
Rashid Rakhimov,29,Left Midfield,Spartak Moscow,0.0,out,Summer,1994,1994/1995
Vyacheslav Tsarev,23,Centre-Back,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Andrey Solomatin,19,Left-Back,TRASKO Moskau,0.0,in,Winter,1994,1994/1995
Aleksandr Smirnov,26,Right Midfield,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Evgeni Kuznetsov,33,Central Midfield,Skellefteå AIK,0.0,in,Winter,1994,1994/1995
Vitaliy Parakhnevich,25,Centre-Forward,Chornomorets,0.0,in,Winter,1994,1994/1995
Vladimir Leonchenko,22,Central Midfield,Торпедо-Лужники,0.0,out,Winter,1994,1994/1995
Dmitri Gorkov,30,Right Midfield,Gazovik-Gazprom,0.0,out,Winter,1994,1994/1995
Aleksandr Shanin,24,Goalkeeper,Orekhovo O-Zuevo,0.0,out,Winter,1994,1994/1995
Sergiy Perepadenko,22,Right Winger,Loko Moscow II,0.0,out,Winter,1994,1994/1995
Sergey Gurenko,22,Right-Back,Neman-Belkard,40000.0,in,Summer,1995,1995/1996
Sergey Zhukov,28,Central Midfield,1.FSV Mainz 05,0.0,in,Summer,1995,1995/1996
Aleksey Snigirev,27,attack,FK Tekhinvest-M,0.0,in,Summer,1995,1995/1996
Vitaliy Parakhnevich,26,Centre-Forward,Chonbuk Motors,88000.0,out,Summer,1995,1995/1996
Aleksandr Zhitkov,28,Centre-Back,Kuban Krasnodar,0.0,out,Summer,1995,1995/1996
Ansar Ayupov,23,Central Midfield,Twente FC,0.0,out,Summer,1995,1995/1996
Khakim Fuzaylov,30,Centre-Back,Arsenal Tula,0.0,out,Summer,1995,1995/1996
Zaza Janashia,19,Centre-Forward,FC Samtredia,0.0,in,Winter,1995,1995/1996
