player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Aleksandr Tsilyurik,27,midfield,Baltika,0.0,out,Summer,1992,1992/1993
Igor Yushchenko,23,midfield,Gekris Nv.,0.0,out,Summer,1992,1992/1993
Albert Shchukin,21,Goalkeeper,Unknown,0.0,out,Summer,1992,1992/1993
Vladimir Migurskiy,24,midfield,Torpedo-Kadino,0.0,out,Summer,1992,1992/1993
Vitaliy Papadopulo,29,attack,Panionios,0.0,out,Summer,1992,1992/1993
Oleg Tselovalnikov,23,Goalkeeper,Zakarpattia,0.0,out,Summer,1992,1992/1993
Albert Shchukin,20,Goalkeeper,D. Vologda,0.0,in,Winter,1992,1992/1993
Oleg Rydnyi,25,attack,Without Club,0.0,in,Winter,1992,1992/1993
Dmitriy Cheryshev,23,Centre-Forward,Dinamo Moscow,0.0,out,Winter,1992,1992/1993
Evgeni Smertin,25,Left Winger,Dinamo Moscow,0.0,in,Summer,1993,1993/1994
Vitali Nikulkin,22,Centre-Forward,Loko Moscow,0.0,in,Summer,1993,1993/1994
Yuriy Gulyaev,29,Right-Back,Unknown,0.0,out,Summer,1993,1993/1994
Igor Aslanyan,27,midfield,Torpedo Vlad.,0.0,out,Summer,1993,1993/1994
Albert Shchukin,22,Goalkeeper,Unknown,0.0,out,Summer,1993,1993/1994
Yuri Moiseev,33,Centre-Forward,Ocean Nakhodka,0.0,in,Winter,1993,1993/1994
Yuri Konovalov,23,Centre-Forward,Rotor Volgograd,0.0,in,Winter,1993,1993/1994
Yuriy Kalitvintsev,25,Attacking Midfield,Dinamo Moscow,0.0,in,Winter,1993,1993/1994
Igor Aslanyan,26,midfield,Торпедо-Лужники,0.0,in,Winter,1993,1993/1994
Albert Shchukin,21,Goalkeeper,Unknown,0.0,in,Winter,1993,1993/1994
Aleksey Arefjev,22,midfield,Торпедо-Лужники,0.0,in,Winter,1993,1993/1994
Vladimir Sushiy,33,attack,Stavropol,0.0,in,Winter,1993,1993/1994
Vladimir Kuraev,24,Centre-Back,Torpedo Arzamas,0.0,out,Winter,1993,1993/1994
Igor Gorelov,24,Centre-Back,Spartak V-kavkaz,0.0,out,Winter,1993,1993/1994
Andrey Rumyantsev,24,midfield,Baltika,0.0,out,Winter,1993,1993/1994
Andrey Lebedev,30,Defensive Midfield,Brage,0.0,out,Winter,1993,1993/1994
Aleksandr Shchukin,24,midfield,Without Club,0.0,out,Winter,1993,1993/1994
Gennadiy Maslyaev,35,defence,Retired,0.0,out,Winter,1993,1993/1994
Fedor Gagloev,27,midfield,Stavropol,0.0,in,Summer,1994,1994/1995
Dmitri Alekseev,21,Goalkeeper,K. Belorechensk,0.0,in,Summer,1994,1994/1995
Andrey Lebedev,31,Defensive Midfield,Unknown,0.0,in,Summer,1994,1994/1995
Oleg Rydnyi,27,attack,Stavropol,0.0,out,Summer,1994,1994/1995
Yuriy Kalitvintsev,26,Attacking Midfield,Dynamo Kyiv,0.0,out,Summer,1994,1994/1995
Sergiy Bozhko,21,Left Winger,Zhemchuzhina,0.0,in,Winter,1994,1994/1995
Dmitri Vlasov,21,Left-Back,Din-Gaz Tyumen,0.0,in,Winter,1994,1994/1995
Aleksandr Kuzmichev,23,Attacking Midfield,Торпедо-Лужники,0.0,in,Winter,1994,1994/1995
Sergey Timofeev,24,midfield,Торпедо-Лужники,0.0,in,Winter,1994,1994/1995
Zakir Dzhalilov,22,Goalkeeper,Shakhter K.,0.0,in,Winter,1994,1994/1995
Vladislav Kadyrov,24,Left Midfield,Neftchi Baku,0.0,in,Winter,1994,1994/1995
Konstantin Veselovskiy,20,attack,Spartak II,0.0,in,Winter,1994,1994/1995
Albert Shchukin,22,Goalkeeper,Unknown,0.0,in,Winter,1994,1994/1995
Maksim Putilin,27,Centre-Back,Торпедо-Лужники,0.0,in,Winter,1994,1994/1995
Marat Dzoblaev,28,midfield,Spartak V-kavkaz,0.0,in,Winter,1994,1994/1995
Oleg Stogov,29,midfield,Rotor Volgograd,0.0,in,Winter,1994,1994/1995
Mikhail Beschastnykh,20,Central Midfield,Spartak II,0.0,in,Winter,1994,1994/1995
Andrey Satsunkevich,28,Goalkeeper,Торпедо-Лужники,0.0,in,Winter,1994,1994/1995
Ivan Getsko,26,Centre-Forward,Maccabi Haifa,0.0,in,Winter,1994,1994/1995
Artur Kuznetsov,21,Left Midfield,Zhemchuzhina,0.0,in,Winter,1994,1994/1995
