player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Umed Alidodov,21,midfield,Pamir,0.0,in,Summer,1992,1992/1993
Andrey Semenov,35,Goalkeeper,Selenga Ulan-Ude,0.0,in,Summer,1992,1992/1993
Andrey Rezantsev,27,Centre-Back,Neftchi,0.0,in,Winter,1992,1992/1993
Yuri Moiseev,32,Centre-Forward,Shinnik,0.0,in,Winter,1992,1992/1993
Aleksey Poddubskiy,20,Defensive Midfield,CSKA Moscow,0.0,in,Winter,1992,1992/1993
Dmitry Gulenkov,24,Goalkeeper,SK Tavriya,0.0,in,Winter,1992,1992/1993
Yuri Shishkin,29,Goalkeeper,Career break,0.0,in,Winter,1992,1992/1993
Oleg Garin,26,Centre-Forward,Loko Moscow,0.0,out,Winter,1992,1992/1993
Andrey Semenov,35,Goalkeeper,Звезда-Юнис-Сиб,0.0,out,Winter,1992,1992/1993
Yuri Novoseltsev,28,defence,Without Club,0.0,out,Winter,1992,1992/1993
