player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nikita Chicherin,29,Right-Back,KS Samara,0.0,in,Summer,2020,2020/2021
Maksim Volodko,27,Left-Back,Arsenal Tula,0.0,in,Summer,2020,2020/2021
Aleksandr Karapetyan,32,Centre-Forward,Sochi,0.0,in,Summer,2020,2020/2021
Vitaliy Balashov,29,Left Winger,Olimpik Donetsk,0.0,in,Summer,2020,2020/2021
Kirill Panchenko,30,Second Striker,Dynamo Moscow,0.0,in,Summer,2020,2020/2021
Sergey Ryzhikov,39,Goalkeeper,KS Samara,0.0,in,Summer,2020,2020/2021
Amur Kalmykov,26,Centre-Forward,Armavir,0.0,in,Summer,2020,2020/2021
Mohammed Rabiu,30,Defensive Midfield,Paris FC,0.0,in,Summer,2020,2020/2021
Zurab Gigashvili,18,Centre-Back,Armavir,0.0,in,Summer,2020,2020/2021
Aleksey Gritsaenko,25,Centre-Back,Krasnodar,0.0,in,Summer,2020,2020/2021
Varazdat Haroyan,28,Centre-Back,Ural,0.0,in,Summer,2020,2020/2021
Vitaliy Shakhov,29,Centre-Back,Orenburg,0.0,in,Summer,2020,2020/2021
Sebastien Thill,26,Attacking Midfield,Pr. Niederkorn,0.0,in,Summer,2020,2020/2021
Vladimir Kabakhidze,20,Central Midfield,FK Tambov II,0.0,in,Summer,2020,2020/2021
German Onugkha,24,Centre-Forward,Krasnodar 2,0.0,in,Summer,2020,2020/2021
Jasurbek Jaloliddinov,18,Attacking Midfield,Loko Moscow,0.0,in,Summer,2020,2020/2021
Aleksandr Golovnya,21,Centre-Back,Rodina Moscow,0.0,in,Summer,2020,2020/2021
Andrey Yakovlev,25,Left-Back,Zvezda S-Pb,0.0,in,Summer,2020,2020/2021
Vladimir Sugrobov,23,Goalkeeper,Pyunik Yerevan,0.0,in,Summer,2020,2020/2021
Artem Arkhipov,23,Centre-Forward,Gorodeya,0.0,in,Summer,2020,2020/2021
Vagiz Galiulin,32,Right Midfield,Neftekhimik,0.0,in,Summer,2020,2020/2021
Vladimir Obukhov,28,Centre-Forward,Rostov,700000.0,out,Summer,2020,2020/2021
Kirill Panchenko,30,Second Striker,Arsenal Tula,300000.0,out,Summer,2020,2020/2021
Nikita Salamatov,26,Central Midfield,Irtysh Omsk,0.0,out,Summer,2020,2020/2021
Khasan Mamtov,36,Centre-Forward,Kuban,0.0,out,Summer,2020,2020/2021
Vagiz Galiulin,32,Right Midfield,Neftekhimik,0.0,out,Summer,2020,2020/2021
Vladimir Sugrobov,23,Goalkeeper,SKA Khabarovsk,0.0,out,Summer,2020,2020/2021
Andrey Yakovlev,25,Left-Back,Leningradets,0.0,out,Summer,2020,2020/2021
Ishkhan Geloyan,28,Left Winger,Baltika,0.0,out,Summer,2020,2020/2021
Amur Kalmykov,26,Centre-Forward,Torpedo Moscow,22000.0,out,Summer,2020,2020/2021
Giorgi Shelia,31,Goalkeeper,Akhmat Grozny,0.0,out,Summer,2020,2020/2021
Sulley Muniru,27,Central Midfield,Without Club,0.0,out,Summer,2020,2020/2021
Vitaliy Balashov,29,Left Winger,Without Club,0.0,out,Summer,2020,2020/2021
Evgeniy Ragulkin,20,Right Winger,Without Club,0.0,out,Summer,2020,2020/2021
Artem Fedchuk,25,Centre-Forward,Nizhny Novgorod,0.0,out,Summer,2020,2020/2021
Artem Arkhipov,23,Centre-Forward,Soligorsk,0.0,out,Summer,2020,2020/2021
Aleksandr Golovnya,21,Centre-Back,Rodina Moscow,0.0,out,Summer,2020,2020/2021
Aleksandr Filin,24,Centre-Back,Khimki,0.0,out,Summer,2020,2020/2021
Miguel Cardoso,25,Right Winger,Dynamo Moscow,0.0,out,Summer,2020,2020/2021
Igor Yurganov,26,Centre-Back,Sochi,0.0,out,Summer,2020,2020/2021
Aleksey Gritsaenko,25,Centre-Back,Krasnodar,0.0,out,Summer,2020,2020/2021
Georgi Melkadze,23,Second Striker,Spartak Moscow,0.0,out,Summer,2020,2020/2021
Khetag Khosonov,21,Defensive Midfield,CSKA Moscow,0.0,out,Summer,2020,2020/2021
Said Aliev,22,Centre-Forward,Veles Moscow,0.0,in,Winter,2020,2020/2021
Nikita Drozdov,28,Defensive Midfield,Fakel Voronezh,0.0,in,Winter,2020,2020/2021
Catalin Carp,27,Defensive Midfield,Ufa,0.0,in,Winter,2020,2020/2021
Aleksandr Erkin,31,Attacking Midfield,Noah Jurmala,0.0,in,Winter,2020,2020/2021
Dmitriy German,32,Left Midfield,Noah Jurmala,0.0,in,Winter,2020,2020/2021
Azer Aliev,26,Right Midfield,Ufa,0.0,in,Winter,2020,2020/2021
Rodion Syamuk,31,Goalkeeper,Torpedo Zhodino,0.0,in,Winter,2020,2020/2021
Moris Nusuyev,23,Centre-Back,FC Merani,0.0,in,Winter,2020,2020/2021
