player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Marat Minibaev,26,defence,Stavropol,0.0,in,Summer,1992,1992/1993
Oleksandr Usatyi,27,Centre-Forward,Unknown,0.0,out,Summer,1992,1992/1993
Andrey Fedkov,20,Centre-Forward,Kremin,0.0,out,Summer,1992,1992/1993
Aleksey Sereda,27,Right Midfield,Lada-Togliat-VAZ,0.0,out,Summer,1992,1992/1993
Sergey Balakhnin,32,midfield,Kajaanin Haka,0.0,out,Summer,1992,1992/1993
Badri Spanderashvili,23,midfield,Stavropol,0.0,in,Winter,1992,1992/1993
Vyacheslav Lugovkin,24,midfield,Shinnik,0.0,in,Winter,1992,1992/1993
Vladimir Leonchenko,20,Central Midfield,Dinamo-D Moscow,0.0,in,Winter,1992,1992/1993
Sergey Andreev,36,Centre-Forward,Mjällby AIF,0.0,in,Winter,1992,1992/1993
Aleksandr Borodkin,21,Centre-Back,Dinamo-D Moscow,0.0,in,Winter,1992,1992/1993
Vitali Ermilov,22,Centre-Forward,Shakhter Shakht,0.0,in,Winter,1992,1992/1993
Sergey Balakhnin,33,midfield,Kajaanin Haka,0.0,in,Winter,1992,1992/1993
Yuriy Chumak,30,Goalkeeper,Kremin,0.0,out,Winter,1992,1992/1993
Yuri Klyuchnikov,29,Centre-Back,Kajaanin Haka,0.0,out,Winter,1992,1992/1993
Sergey Balakhnin,33,midfield,Kajaanin Haka,0.0,out,Winter,1992,1992/1993
Evgeniy Kornyukhin,27,Goalkeeper,Vympel Rybinsk,0.0,in,Summer,1994,1994/1995
Mikhail Kupriyanov,20,Right-Back,CSKA Moscow,0.0,in,Summer,1994,1994/1995
Aleksey Bobrov,22,Right Winger,CSKA Moscow,0.0,in,Summer,1994,1994/1995
Vitaliy Papadopulo,31,attack,PS Kalamata,0.0,in,Summer,1994,1994/1995
Grigori Ivanov,23,Centre-Forward,Avtodor Vl.,0.0,in,Winter,1994,1994/1995
Oleksandr Shutov,19,Right Midfield,SK Tavriya,0.0,in,Winter,1994,1994/1995
Akaki Devadze,23,Goalkeeper,Kolkheti Poti,0.0,in,Winter,1994,1994/1995
Aleksandr Eshchenko,24,Left-Back,Rotor Volgograd,0.0,in,Winter,1994,1994/1995
Dmitri Ananko,21,Centre-Back,Spartak II,0.0,in,Winter,1994,1994/1995
Nikolay Golubkin,20,defence,Lada-Togliat-VAZ,0.0,in,Winter,1994,1994/1995
Evgeniy Kornyukhin,27,Goalkeeper,Zenit S-Pb,0.0,out,Winter,1994,1994/1995
Mikhail Kupriyanov,21,Right-Back,Anzhi,0.0,out,Winter,1994,1994/1995
Aleksey Bobrov,22,Right Winger,Lada-Grad Dimit.,0.0,out,Winter,1994,1994/1995
Vitali Ermilov,24,Centre-Forward,Torpedo Taganr.,0.0,out,Winter,1994,1994/1995
Marat Minibaev,28,defence,Arsenal Tula,0.0,out,Winter,1994,1994/1995
Sergey Filippov,27,defence,Torpedo Ryazan,0.0,out,Winter,1994,1994/1995
Roman Oreshchuk,19,Centre-Forward,CSKA Moscow II,0.0,in,Summer,1995,1995/1996
Aleksandr Vladimirov,18,Goalkeeper,CSKA Moscow II,0.0,in,Summer,1995,1995/1996
Gocha Gujabidze,23,Centre-Back,FC Samtredia,0.0,in,Summer,1995,1995/1996
Sergey Nechay,26,Centre-Back,Rotor Volgograd,0.0,in,Summer,1995,1995/1996
Sergey Lemeshko,22,midfield,Dinamo Moscow,0.0,in,Summer,1995,1995/1996
Andrey Timoshenko,25,midfield,Unknown,0.0,out,Summer,1995,1995/1996
Aleksandr Eshchenko,25,Left-Back,Rotor Volgograd,0.0,out,Summer,1995,1995/1996
Oleg Sanko,24,Attacking Midfield,Taganrog,0.0,out,Summer,1995,1995/1996
Yuri Klyuchnikov,32,Centre-Back,Volgodonsk,0.0,out,Summer,1995,1995/1996
Dmitri Ananko,21,Centre-Back,Spartak II,0.0,out,Summer,1995,1995/1996
Konstantin Fishman,18,midfield,Din-Gaz Tyumen,0.0,in,Winter,1995,1995/1996
Volodymyr Matsigura,20,Left-Back,Borysfen,0.0,in,Winter,1995,1995/1996
Vladyslav Prudius,22,Attacking Midfield,CSKA-Borysfen,0.0,in,Winter,1995,1995/1996
Aleksandr Bondar,28,Defensive Midfield,Rotor Volgograd,0.0,in,Winter,1995,1995/1996
Aleksey Gerasimenko,25,Centre-Forward,Kuban Krasnodar,0.0,in,Winter,1995,1995/1996
Andrey Kovalenko,25,midfield,Kolos Krasnodar,0.0,in,Winter,1995,1995/1996
Yuri Antonovich,28,Right-Back,CSKA Moscow,0.0,in,Winter,1995,1995/1996
Andrey Kozlov,22,Centre-Back,SKA Rostov,0.0,in,Winter,1995,1995/1996
