player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Yuri Konovalov,22,Centre-Forward,Зенит,0.0,in,Summer,1992,1992/1993
Vladimir Niederhaus,24,Centre-Forward,Kairat Almaty,0.0,in,Summer,1992,1992/1993
Aleksandr Eshchenko,22,Left-Back,Dynamo Kyiv,0.0,in,Summer,1992,1992/1993
Sergey Zhunenko,22,Centre-Back,Zorya-Mals,0.0,in,Summer,1992,1992/1993
Aleksey Perminov,24,Left-Back,Uralmash,0.0,in,Summer,1992,1992/1993
Igor Ledyakhov,24,Central Midfield,Spartak Moscow,0.0,out,Summer,1992,1992/1993
Sergey Neyman,24,defence,Avangard Kolomna,0.0,out,Summer,1992,1992/1993
Sergey Sukhov,26,Centre-Forward,Avangard Kolomna,0.0,out,Summer,1992,1992/1993
Andrey Fedorovskiy,28,Centre-Back,KPT-85,0.0,out,Summer,1992,1992/1993
Sergey Vinogradov,20,Centre-Back,Rotor Vg. II,0.0,out,Summer,1992,1992/1993
Aleksandr Nikitin,31,Centre-Forward,Unknown,0.0,in,Winter,1992,1992/1993
Sergey Vinogradov,20,Centre-Back,Torpedo Volzhsky,0.0,in,Winter,1992,1992/1993
Valeriy Esipov,21,Right Winger,Dynamo Kyiv,0.0,in,Winter,1992,1992/1993
Andrey Kovalenko,22,midfield,Kuban Krasnodar,0.0,in,Winter,1992,1992/1993
Andrey Manannikov,27,Goalkeeper,Zenit S-Pb,0.0,in,Winter,1992,1992/1993
Aleksey Gerasimenko,22,Centre-Forward,Kuban Krasnodar,0.0,in,Winter,1992,1992/1993
Andrey Miroshnichenko,24,midfield,Aktobe,0.0,in,Winter,1992,1992/1993
Evgeni Shkilov,26,Centre-Forward,Amur,0.0,in,Winter,1992,1992/1993
Sergey Nechay,24,Centre-Back,Torpedo Taganr.,0.0,in,Winter,1992,1992/1993
Aleksandr Zverev,20,defence,E. Chaikovskiy,0.0,in,Winter,1992,1992/1993
Dmitri Ivanov,22,Centre-Forward,KS Samara,0.0,in,Winter,1992,1992/1993
Anatoli Sedykh,22,midfield,Unknown,0.0,out,Winter,1992,1992/1993
Oleg Nechaev,22,Centre-Forward,Rubin Kazan,0.0,in,Summer,1993,1993/1994
Aleksandr Troynin,21,midfield,Torpedo Volzhsky,0.0,out,Summer,1993,1993/1994
Andrey Miroshnichenko,24,midfield,Aktobe,0.0,out,Summer,1993,1993/1994
Evgeni Shkilov,28,Centre-Forward,Hapoel Haifa,0.0,out,Summer,1993,1993/1994
Aleksandr Zverev,21,defence,E. Chaikovskiy,0.0,out,Summer,1993,1993/1994
Aleksandr Troynin,21,midfield,Torpedo Volzhsky,0.0,in,Winter,1993,1993/1994
Rustem Khuzin,21,Right-Back,Rubin Kazan,0.0,in,Winter,1993,1993/1994
Igor Avdeev,20,Centre-Back,Taraz,0.0,in,Winter,1993,1993/1994
Andrey Samorukov,23,Goalkeeper,Энергия-Текстиль,0.0,in,Winter,1993,1993/1994
Aleksandr Berketov,18,Centre-Back,Rotor Vg. II,0.0,in,Winter,1993,1993/1994
Yuri Konovalov,23,Centre-Forward,Lokomotiv NN,0.0,out,Winter,1993,1993/1994
Andrey Kovalenko,23,midfield,Kolos Krasnodar,0.0,out,Winter,1993,1993/1994
Andrey Manannikov,28,Goalkeeper,Unknown,0.0,out,Winter,1993,1993/1994
Aleksandr Zhidkov,27,Central Midfield,KS Samara,0.0,out,Winter,1993,1993/1994
Aleksey Gerasimenko,23,Centre-Forward,Kuban Krasnodar,0.0,out,Winter,1993,1993/1994
Sergey Kuznetsov,27,Centre-Back,KS Samara,0.0,out,Winter,1993,1993/1994
Aleksandr Eshchenko,23,Left-Back,Belenenses,0.0,out,Winter,1993,1993/1994
Aleksey Perminov,25,Left-Back,Baltika,0.0,out,Winter,1993,1993/1994
Aleksandr Nikitin,32,Centre-Forward,Retired,0.0,out,Winter,1993,1993/1994
Aleksandr Eshchenko,24,Left-Back,Belenenses,0.0,in,Summer,1994,1994/1995
Kostyantyn Kulik,24,midfield,Chornomorets,0.0,in,Winter,1994,1994/1995
Evgeni Chumachenko,19,Centre-Back,Torpedo Volzhsky,0.0,in,Winter,1994,1994/1995
Igor Korniets,27,midfield,Chornomorets,0.0,in,Winter,1994,1994/1995
Sergey Ilyushin,19,Right Winger,Torpedo Volzhsky,0.0,in,Winter,1994,1994/1995
Aleksandr Bondar,27,Defensive Midfield,Stavropol,0.0,in,Winter,1994,1994/1995
Andrey Krivov,18,Right Winger,Rotor Vg. II,0.0,in,Winter,1994,1994/1995
Dmitri Ivanov,24,Centre-Forward,T. Volzhskiy,0.0,out,Winter,1994,1994/1995
Rustem Khuzin,22,Right-Back,Lada-Grad Dimit.,0.0,out,Winter,1994,1994/1995
Oleg Stogov,29,midfield,Lokomotiv NN,0.0,out,Winter,1994,1994/1995
Aleksandr Eshchenko,24,Left-Back,Rostselmash,0.0,out,Winter,1994,1994/1995
Aleksandr Zernov,20,Centre-Forward,FK Ivanovo,0.0,in,Summer,1995,1995/1996
Aleksandr Eshchenko,25,Left-Back,Rostselmash,0.0,in,Summer,1995,1995/1996
Sergey Nechay,26,Centre-Back,Rostselmash,0.0,out,Summer,1995,1995/1996
Andrey Chichkin,18,Goalkeeper,Kolos Krasnodar,0.0,in,Winter,1995,1995/1996
Albert Borzenkov,22,Centre-Back,Stavropol,0.0,in,Winter,1995,1995/1996
Maksym Tyshchenko,21,Left Midfield,Stavropol,0.0,in,Winter,1995,1995/1996
Ayrat Karimov,24,Goalkeeper,Torpedo Taganr.,0.0,in,Winter,1995,1995/1996
Gennadiy Orbu,25,Left Winger,Shakhtar D.,0.0,in,Winter,1995,1995/1996
Emil Tsatskin,20,attack,Torpedo Taganr.,0.0,in,Winter,1995,1995/1996
