player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Nikolai Ryndyuk,24,Centre-Forward,Gaziantepspor,0.0,in,Summer,2002,2002/2003
Leandro Samarone,31,Centre-Back,KS Samara,0.0,in,Summer,2002,2002/2003
Oleg Nechaev,31,Centre-Forward,Amkar Perm,0.0,in,Summer,2002,2002/2003
Anatoliy Oprya,24,Defensive Midfield,Kristall,0.0,in,Summer,2002,2002/2003
Andrey Kovalenko,32,midfield,Kuban Krasnodar,0.0,in,Summer,2002,2002/2003
Oleksandr Svystunov,28,midfield,Chernomorets N.,0.0,in,Summer,2002,2002/2003
Milorad Mrdak,31,Centre-Back,Smederevo,0.0,in,Summer,2002,2002/2003
Sergey Gunko,29,midfield,Kristall,0.0,in,Summer,2002,2002/2003
Sergey Bulatov,30,Centre-Forward,Terek Grozny,0.0,out,Summer,2002,2002/2003
David Rajaud,28,midfield,Châtellerault,0.0,out,Summer,2002,2002/2003
Oleksandr Granovskyi,26,Right-Back,Kryvbas,0.0,out,Summer,2002,2002/2003
Andrey Kozlov,28,Centre-Back,Факел-Воронеж,0.0,out,Summer,2002,2002/2003
Sergiy Yakovenko,27,Right Midfield,Baltika,0.0,out,Summer,2002,2002/2003
Oleg Salnikov,26,defence,Пикалево,0.0,out,Summer,2002,2002/2003
Tomas Cizek,24,Attacking Midfield,Sparta Prague,500000.0,in,Winter,2002,2002/2003
MacBeth Sibaya,25,Defensive Midfield,Rosenborg,500000.0,in,Winter,2002,2002/2003
Roni,25,Centre-Forward,Fluminense,300000.0,in,Winter,2002,2002/2003
Calisto,27,Left-Back,EC Vitória,250000.0,in,Winter,2002,2002/2003
Jiri Novotny,32,Centre-Back,Sparta Prague,0.0,in,Winter,2002,2002/2003
Vladimir Bayramow,22,Centre-Forward,Met. Krasnoyarsk,0.0,in,Winter,2002,2002/2003
Mindaugas Kalonas,19,Attacking Midfield,SC Braga,0.0,in,Winter,2002,2002/2003
Mohamed Moustapha Mané,18,Centre-Forward,Unknown,0.0,in,Winter,2002,2002/2003
Dmitri Michkov,22,Defensive Midfield,Servette FC,0.0,in,Winter,2002,2002/2003
Vitaliy Kakunin,23,Centre-Forward,Met-Kuz,0.0,out,Winter,2002,2002/2003
Nikolai Ryndyuk,24,Centre-Forward,Dinamo Minsk,0.0,out,Winter,2002,2002/2003
Gennadi Semin,35,Left Winger,Salyut Belgorod,0.0,out,Winter,2002,2002/2003
Viktor Gaus,38,Goalkeeper,Dinamo Ufa,0.0,out,Winter,2002,2002/2003
Milorad Mrdak,31,Centre-Back,Smederevo,0.0,out,Winter,2002,2002/2003
Oleksandr Svystunov,29,midfield,Volgar-Gazprom,0.0,out,Winter,2002,2002/2003
Andrey Kovalenko,32,midfield,Terek Grozny,0.0,out,Winter,2002,2002/2003
Aleksandr Grishin,31,Central Midfield,Salyut Belgorod,0.0,out,Winter,2002,2002/2003
Anatoliy Oprya,25,Defensive Midfield,Chornomorets,0.0,out,Winter,2002,2002/2003
Aleksandr Lipko,27,Centre-Back,Terek Grozny,0.0,out,Winter,2002,2002/2003
Valeriy Klimov,28,Right Winger,Arsenal Tula,0.0,out,Winter,2002,2002/2003
Aleksandr Gryazin,28,Attacking Midfield,Career break,0.0,out,Winter,2002,2002/2003
Sergey Gunko,29,midfield,Kristall,0.0,out,Winter,2002,2002/2003
Aloisio Chulapa,28,Centre-Forward,Paris SG,700000.0,in,Summer,2003,2003/2004
Ebou Sillah,23,Left Winger,Club Brugge,0.0,in,Summer,2003,2003/2004
Pap Magep Kebe,23,Centre-Back,ASC Jaraaf,0.0,in,Summer,2003,2003/2004
Leandro Samarone,32,Centre-Back,Terek Grozny,0.0,out,Summer,2003,2003/2004
Vladimir Bayramow,22,Centre-Forward,Terek Grozny,0.0,out,Summer,2003,2003/2004
Gizo Jeladze,28,Right Midfield,Sokol Saratov,0.0,out,Summer,2003,2003/2004
Alejandro Domínguez,22,Attacking Midfield,River Plate,1500000.0,in,Winter,2003,2003/2004
Richard Dostalek,29,Central Midfield,Slavia Prague,1250000.0,in,Winter,2003,2003/2004
Andrés Scotti,28,Centre-Back,Nacional,350000.0,in,Winter,2003,2003/2004
Adam Petrous,26,Centre-Back,Slavia Prague,350000.0,in,Winter,2003,2003/2004
Carlos Castro,25,Left-Back,LD Alajuelense,0.0,in,Winter,2003,2003/2004
Ansar Ayupov,31,Central Midfield,Chernomorets N.,0.0,in,Winter,2003,2003/2004
Valeriy Chizhov,28,Goalkeeper,Saturn,0.0,in,Winter,2003,2003/2004
