player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Maksim Tishkin,27,Right-Back,Baltika,0.0,in,Summer,2017,2017/2018
Giorgi Navalovski,31,Left-Back,Neftchi Baku,0.0,in,Summer,2017,2017/2018
Miroslav Markovic,27,Centre-Forward,Bohemians 1905,0.0,in,Summer,2017,2017/2018
Vitaliy Fedotov,25,Central Midfield,Riga,0.0,in,Summer,2017,2017/2018
Dmytro Gryshko,31,Centre-Back,Olimpik Donetsk,0.0,in,Summer,2017,2017/2018
Anton Zemlyanukhin,28,Left Midfield,Sukhothai FC,0.0,in,Summer,2017,2017/2018
Ventsislav Hristov,28,Centre-Forward,Neftochimik,0.0,in,Summer,2017,2017/2018
Georgi Gabulov,28,Central Midfield,Orenburg,0.0,in,Summer,2017,2017/2018
Evgeniy Balyajkin,29,Defensive Midfield,Tom Tomsk,0.0,in,Summer,2017,2017/2018
Konstantin Savichev,23,Right Midfield,Spartak 2,0.0,in,Summer,2017,2017/2018
Pavel Karasev,25,Defensive Midfield,Anzhi,0.0,in,Summer,2017,2017/2018
Aleksandr Putsko,24,Centre-Back,Ufa,0.0,in,Summer,2017,2017/2018
Alejandro Barbaro,25,Left Winger,Without Club,0.0,in,Summer,2017,2017/2018
Manvel Agaronyan,19,Centre-Forward,Smena,0.0,in,Summer,2017,2017/2018
Nikolay Radchenko,21,Centre-Back,Tyumen,0.0,in,Summer,2017,2017/2018
Anton Kobyalko,31,Centre-Forward,Baltika,0.0,out,Summer,2017,2017/2018
Igor Udalyi,32,Centre-Back,Anzhi,0.0,out,Summer,2017,2017/2018
Pavel Karasev,24,Defensive Midfield,Anzhi,0.0,out,Summer,2017,2017/2018
Artur Rylov,28,Right Midfield,Rotor Volgograd,0.0,out,Summer,2017,2017/2018
Vasili Pletin,24,Left Midfield,Smena,0.0,out,Summer,2017,2017/2018
David Ozmanov,22,Right-Back,Sokol Saratov,0.0,out,Summer,2017,2017/2018
Tomas Mikuckis,34,Centre-Back,Tom Tomsk,0.0,out,Summer,2017,2017/2018
Andrey Kireev,31,Defensive Midfield,Rotor Volgograd,0.0,out,Summer,2017,2017/2018
Andrey Ivanov,28,Left-Back,Torpedo Moscow,0.0,out,Summer,2017,2017/2018
Aleksandr Verulidze,20,Right Winger,Fakel Voronezh,0.0,out,Summer,2017,2017/2018
Eduard Bulia,26,Centre-Forward,Shinnik,0.0,out,Summer,2017,2017/2018
Juan Lescano,24,Centre-Forward,Anzhi,0.0,out,Summer,2017,2017/2018
Nikolay Radchenko,21,Centre-Back,Nosta,0.0,out,Summer,2017,2017/2018
Nikita Dyachenko,21,Centre-Forward,SKA II,0.0,out,Summer,2017,2017/2018
Anton Zemlyanukhin,28,Left Midfield,Without Club,0.0,out,Summer,2017,2017/2018
Manvel Agaronyan,19,Centre-Forward,SKA II,0.0,out,Summer,2017,2017/2018
Anton Kupchin,27,Left-Back,Without Club,0.0,out,Summer,2017,2017/2018
Maksim Astafjev,34,Right Winger,Mordovia,0.0,out,Summer,2017,2017/2018
Lukasz Sekulski,27,Centre-Forward,Jagiellonia,100000.0,in,Winter,2017,2017/2018
Artem Samsonov,23,Defensive Midfield,Spartak 2,0.0,in,Winter,2017,2017/2018
Sergey Makarov,21,Defensive Midfield,Anorthosis,0.0,in,Winter,2017,2017/2018
Maksim Kanunnikov,26,Centre-Forward,Rubin Kazan,0.0,in,Winter,2017,2017/2018
Dmitriy Kabutov,25,Right Winger,Volgar,0.0,in,Winter,2017,2017/2018
Maksim Karpov,22,Centre-Back,Zenit 2 S-Pb,0.0,in,Winter,2017,2017/2018
Dmitri Bogaev,24,Right-Back,Zenit 2 S-Pb,0.0,in,Winter,2017,2017/2018
Nemanja Tubic,33,Centre-Back,Without Club,0.0,in,Winter,2017,2017/2018
Dele Adeleye,29,Centre-Back,Without Club,0.0,in,Winter,2017,2017/2018
Kirill Kolesnichenko,17,Left Winger,Chertanovo,0.0,in,Winter,2017,2017/2018
Georgi Makhatadze,19,Central Midfield,Rubin Kazan,0.0,in,Winter,2017,2017/2018
Denys Dedechko,30,Centre-Back,FK Mariupol,0.0,out,Winter,2017,2017/2018
Georgi Gabulov,29,Central Midfield,Rustavi,0.0,out,Winter,2017,2017/2018
Aleksey Druzin,31,Central Midfield,Rotor Volgograd,0.0,out,Winter,2017,2017/2018
Ventsislav Hristov,29,Centre-Forward,Vereya,0.0,out,Winter,2017,2017/2018
Maksim Tishkin,28,Right-Back,Baltika,0.0,out,Winter,2017,2017/2018
