player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Evgeni Smertin,29,Left Winger,Shinnik,0.0,in,Summer,1998,1998/1999
Valeriy Kleimenov,32,Goalkeeper,SH Shenhua,0.0,in,Summer,1998,1998/1999
Andrey Seregin,21,Centre-Forward,Chornomorets,0.0,in,Summer,1998,1998/1999
Mikhail Zubchuk,30,Centre-Forward,Lada-Togliat-VAZ,0.0,in,Summer,1998,1998/1999
Igor Menshchikov,27,Defensive Midfield,M. Lipetsk,0.0,in,Summer,1998,1998/1999
Robert Evdokimov,28,Attacking Midfield,КАМАЗ-Чаллы,0.0,in,Summer,1998,1998/1999
Oleg Solovjev,24,Central Midfield,Unknown,0.0,in,Summer,1998,1998/1999
Andrey Kozlov,24,Centre-Back,Lokomotiv NN,0.0,out,Summer,1998,1998/1999
Aleksey Medvedev,21,Centre-Forward,Spartak-Orekhovo,0.0,in,Winter,1998,1998/1999
Vladimir Kuraev,29,Centre-Back,Kuban Krasnodar,0.0,in,Winter,1998,1998/1999
Dmitri Chesnokov,25,attack,Titan Moskau,0.0,in,Winter,1998,1998/1999
Dmitriy Sokolov,17,Centre-Back,Torpedo-ZiL U19,0.0,in,Winter,1998,1998/1999
Oleg Morozov,32,Right Midfield,Факел-Воронеж,0.0,in,Winter,1998,1998/1999
Aleksey Morozov,32,Right-Back,Факел-Воронеж,0.0,in,Winter,1998,1998/1999
Ilya Kazakov,20,Goalkeeper,Spartak Shuya,0.0,in,Winter,1998,1998/1999
Valeriy Kleimenov,33,Goalkeeper,Shinnik,0.0,out,Winter,1998,1998/1999
Robert Evdokimov,28,Attacking Midfield,KS Samara,0.0,out,Winter,1998,1998/1999
Andrey Ryabov,29,Right Midfield,Stavropol,0.0,out,Winter,1998,1998/1999
Guram Adzhoev,37,Attacking Midfield,Unknown,0.0,out,Winter,1998,1998/1999
Sergey Loginov,35,midfield,Spartak-Orekhovo,0.0,out,Winter,1998,1998/1999
Andrey Seregin,22,Centre-Forward,Sp.-Chukotka,0.0,out,Winter,1998,1998/1999
Oleg Samatov,33,Right-Back,FK Mozyr-ZLiN,0.0,out,Winter,1998,1998/1999
Sergey Derkach,32,Left Midfield,Zvezda Serpukho,0.0,out,Winter,1998,1998/1999
Aleksandr Kiryanov,23,attack,Career break,0.0,out,Winter,1998,1998/1999
Sergey Baburin,42,Goalkeeper,Retired,0.0,out,Winter,1998,1998/1999
Roman Sviridov,20,midfield,Without Club,0.0,out,Winter,1998,1998/1999
Andrian Sosnovschi,22,Centre-Back,Spartak II,75000.0,in,Summer,1999,1999/2000
Sergey Puponov,18,Centre-Forward,Fabus Br.,0.0,in,Summer,1999,1999/2000
Andrey Samorukov,29,Goalkeeper,Dinamo Moscow,0.0,in,Summer,1999,1999/2000
Maksim Buznikin,22,Centre-Forward,Spartak Moscow,0.0,in,Summer,1999,1999/2000
Efim Lomkov,21,midfield,Spartak-Orekhovo,0.0,out,Summer,1999,1999/2000
Sergey Varfolomeev,31,midfield,Kristall,0.0,out,Summer,1999,1999/2000
Sergey Bodak,35,defence,Retired,0.0,out,Summer,1999,1999/2000
Dmitriy Sokolov,18,Centre-Back,Saturn II,0.0,out,Summer,1999,1999/2000
Sergey Piskarev,27,defence,Kolomna,0.0,out,Summer,1999,1999/2000
Andrey Ospeshinski,20,Centre-Forward,Smena Moskau,0.0,in,Winter,1999,1999/2000
Valeriy Zhabko,32,Left-Back,Sokol Saratov,0.0,in,Winter,1999,1999/2000
Vladimir Popov,21,defence,Titan Moskau,0.0,in,Winter,1999,1999/2000
Andrey Makhaev,17,attack,Chertanovo,0.0,in,Winter,1999,1999/2000
Viktor Navochenko,29,midfield,CSKA Moscow,0.0,in,Winter,1999,1999/2000
Andrey Movsesyan,24,Centre-Forward,Lokomotiv NN,0.0,in,Winter,1999,1999/2000
Sergey Piskarev,27,defence,Kolomna,0.0,in,Winter,1999,1999/2000
Vitali Veselov,26,Centre-Forward,Torpedo-ZiL,0.0,in,Winter,1999,1999/2000
Vladimir Baksheev,29,midfield,Nosta,0.0,out,Winter,1999,1999/2000
Dmitri Chesnokov,26,attack,Vityaz Podolsk,0.0,out,Winter,1999,1999/2000
Sergey Piskarev,27,defence,Kolomna,0.0,out,Winter,1999,1999/2000
Oleg Glebov,27,attack,D. Vologda,0.0,out,Winter,1999,1999/2000
Igor Gusev,24,Goalkeeper,Vityaz Podolsk,0.0,out,Winter,1999,1999/2000
Mikhail Zubchuk,31,Centre-Forward,Факел-Воронеж,0.0,out,Winter,1999,1999/2000
Aleksandr Zhidkov,33,Central Midfield,Sokol Saratov,0.0,out,Winter,1999,1999/2000
Nikolay Kulishenko,28,defence,Retired,0.0,out,Winter,1999,1999/2000
Maksim Buznikin,22,Centre-Forward,Spartak Moscow,0.0,out,Winter,1999,1999/2000
Serghei Rogaciov,23,Centre-Forward,FC Sheriff,0.0,in,Summer,2000,2000/2001
