player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mindaugas Kalonas,18,Attacking Midfield,Dinamo Moscow,0.0,in,Summer,2002,2002/2003
Vladimir Korytko,23,Attacking Midfield,Rostov,0.0,in,Summer,2002,2002/2003
Roman Tseryuta,19,Central Midfield,Krasnodar-2000,0.0,in,Summer,2002,2002/2003
Konstantin Kovalenko,27,Centre-Forward,Chernomorets N.,0.0,in,Summer,2002,2002/2003
Shamil Lakhiyalov,22,Second Striker,Dinamo Makhach.,0.0,in,Summer,2002,2002/2003
Valeri Kechinov,27,Second Striker,Shinnik,0.0,out,Summer,2002,2002/2003
Shamil Lakhiyalov,22,Second Striker,Dinamo Makhach.,0.0,out,Summer,2002,2002/2003
Nicolás Pavlovich,24,Centre-Forward,Racing Club,1500000.0,in,Winter,2002,2002/2003
Antônio Géder,24,Centre-Back,Vasco da Gama,625000.0,in,Winter,2002,2002/2003
Milan Lesnjak,27,Centre-Back,Club Brugge,500000.0,in,Winter,2002,2002/2003
Dzhambulad Bazaev,23,Right Winger,Spartak V-kavkaz,0.0,in,Winter,2002,2002/2003
Andrey Malay,29,Left-Back,Torpedo Moscow,0.0,in,Winter,2002,2002/2003
Evgeniy Kornyukhin,35,Goalkeeper,Shinnik,0.0,in,Winter,2002,2002/2003
Da Silva,26,Centre-Forward,Coritiba FC,0.0,in,Winter,2002,2002/2003
Dmitri Lyapkin,26,Left-Back,Sokol Saratov,0.0,out,Winter,2002,2002/2003
Vladimir Kuraev,33,Centre-Back,Svetotekhnika,0.0,out,Winter,2002,2002/2003
Andrey Movsesyan,27,Centre-Forward,Torpedo-ZiL,0.0,out,Winter,2002,2002/2003
Aleksey Meleshin,26,Right Winger,Dinamo SPb,0.0,out,Winter,2002,2002/2003
Mindaugas Kalonas,18,Attacking Midfield,SC Braga,0.0,out,Winter,2002,2002/2003
Vladimir Korytko,23,Attacking Midfield,Torpedo-ZiL,0.0,out,Winter,2002,2002/2003
Konstantin Kovalenko,27,Centre-Forward,Spartak Nalchik,0.0,out,Winter,2002,2002/2003
Aleksandr Pomazun,31,Goalkeeper,Sokol Saratov,0.0,out,Winter,2002,2002/2003
Régis,27,Centre-Back,São Paulo,750000.0,in,Summer,2003,2003/2004
Jean,23,Centre-Back,São Paulo,700000.0,in,Summer,2003,2003/2004
Javier Delgado,27,Left Midfield,CA Colon,0.0,in,Summer,2003,2003/2004
Samir Duro,25,Defensive Midfield,NK Maribor,0.0,in,Summer,2003,2003/2004
Martín Hidalgo,28,Left-Back,CA Colon,0.0,in,Summer,2003,2003/2004
