player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Gennadiy Bliznyuk,28,Centre-Forward,FSV Frankfurt,0.0,in,Summer,2009,2009/2010
Nikolay Lipatkin,23,Central Midfield,MVD Rossii,0.0,in,Summer,2009,2009/2010
Mantas Savenas,26,Central Midfield,Nosta,0.0,in,Summer,2009,2009/2010
Aleksandr Dovbnya,22,Goalkeeper,Without Club,0.0,in,Summer,2009,2009/2010
Aleksandr Mineev,22,Left Midfield,SKA-Energia,0.0,out,Summer,2009,2009/2010
Aleksandr Vasiljev,28,Defensive Midfield,Luch Vladivostok,0.0,out,Summer,2009,2009/2010
Igor Shestakov,24,Defensive Midfield,Chernomorets N.,0.0,out,Summer,2009,2009/2010
Aleksey Zhitnikov,24,Right-Back,Vityaz Podolsk,0.0,out,Summer,2009,2009/2010
Roman Belyaev,21,Right Winger,Chita,0.0,out,Summer,2009,2009/2010
Andrey Kuznetsov,21,Right-Back,Loko Moscow II,0.0,out,Summer,2009,2009/2010
Maksim Astafjev,27,Right Winger,Rostov,0.0,in,Winter,2009,2009/2010
Wojciech Kowalewski,32,Goalkeeper,Iraklis,0.0,in,Winter,2009,2009/2010
Nikola Valentic,26,Right-Back,Alania,0.0,in,Winter,2009,2009/2010
Aleksandr Antipenko,27,Centre-Forward,Khimki,0.0,in,Winter,2009,2009/2010
Tomas Cizek,31,Attacking Midfield,FK Jablonec,0.0,in,Winter,2009,2009/2010
Arunas Klimavicius,27,Centre-Back,Ural,0.0,in,Winter,2009,2009/2010
Igor Shevchenko,24,Right Winger,Terek Grozny,0.0,in,Winter,2009,2009/2010
Timur Bagautdinov,23,Goalkeeper,Soyuz-Gazprom,0.0,in,Winter,2009,2009/2010
Ivan Nagibin,23,Central Midfield,Chita,0.0,in,Winter,2009,2009/2010
Aleksey Solosin,22,Goalkeeper,Tom Tomsk,0.0,in,Winter,2009,2009/2010
Aleksey Vasiljev,22,Left Winger,Nosta,0.0,in,Winter,2009,2009/2010
Egor Filipenko,21,Centre-Back,Spartak Moscow,0.0,in,Winter,2009,2009/2010
Vitali Sidorov,19,Attacking Midfield,LFK Sibir,0.0,in,Winter,2009,2009/2010
Roman Belyaev,21,Right Winger,Chita,0.0,in,Winter,2009,2009/2010
Aleksey Zhitnikov,25,Right-Back,Vityaz Podolsk,0.0,in,Winter,2009,2009/2010
Igor Shestakov,25,Defensive Midfield,Chernomorets N.,0.0,in,Winter,2009,2009/2010
Evgeni Polyakov,21,Centre-Forward,Kuzbass,0.0,in,Winter,2009,2009/2010
Artem Kabanov,25,Defensive Midfield,Chkalovets-O,0.0,out,Winter,2009,2009/2010
Sergey Chepchugov,24,Goalkeeper,CSKA Moscow,0.0,out,Winter,2009,2009/2010
Goran Stankovski,33,Second Striker,Diyarbakirspor,0.0,out,Winter,2009,2009/2010
Nenad Eric,27,Goalkeeper,Kairat Almaty,0.0,out,Winter,2009,2009/2010
Aleksandr Dovbnya,22,Goalkeeper,FK Novgorod,0.0,out,Winter,2009,2009/2010
Kirill Akilov,20,Central Midfield,Khimki,0.0,out,Winter,2009,2009/2010
Igor Shestakov,25,Defensive Midfield,Rotor Volgograd,0.0,out,Winter,2009,2009/2010
Aleksey Zhitnikov,25,Right-Back,Rotor Volgograd,0.0,out,Winter,2009,2009/2010
Timur Bagautdinov,23,Goalkeeper,Tyumen,0.0,out,Winter,2009,2009/2010
Mantas Savenas,27,Central Midfield,Sibir II,0.0,out,Winter,2009,2009/2010
Denis Laktionov,32,Left Winger,Career break,0.0,out,Winter,2009,2009/2010
Eduard Krug,18,Attacking Midfield,Sibir II,0.0,out,Winter,2009,2009/2010
Semen Semenenko,28,Right-Back,Career break,0.0,out,Winter,2009,2009/2010
Aleksey Vasiljev,22,Left Winger,Nosta,0.0,out,Winter,2009,2009/2010
Sergey Shumilin,19,Centre-Forward,CSKA Moscow II,0.0,out,Winter,2009,2009/2010
