player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andrey Kopylov,27,midfield,Shinnik,0.0,in,Summer,2000,2000/2001
Andrey Knyazev,25,attack,Torpedo Moscow,0.0,in,Summer,2000,2000/2001
Oleg Tereshchenko,28,defence,Элиста,0.0,in,Summer,2000,2000/2001
Vyacheslav Tsarev,29,Centre-Back,Khimki,0.0,out,Summer,2000,2000/2001
Vladimir Tatarchuk,34,Attacking Midfield,Met. Krasnoyarsk,0.0,out,Summer,2000,2000/2001
Aleksandr Nikulin,21,Goalkeeper,Torpedo NN,0.0,out,Summer,2000,2000/2001
Dmitri Shirshakov,27,defence,Shinnik,0.0,in,Winter,2000,2000/2001
Sergey Yuminov,30,Centre-Forward,Факел-Воронеж,0.0,in,Winter,2000,2000/2001
Oleksandr Koval,26,Centre-Back,Levski Sofia,0.0,in,Winter,2000,2000/2001
Maksim Nizovtsev,28,Left Midfield,Baltika,0.0,in,Winter,2000,2000/2001
Gennadiy Orbu,30,Left Winger,Vorskla-Naftogaz,0.0,in,Winter,2000,2000/2001
Evgeniy Plotnikov,28,Goalkeeper,Amkar Perm,0.0,in,Winter,2000,2000/2001
Ruslan Baltiev,22,Attacking Midfield,Yesil-Bogatyr,0.0,in,Winter,2000,2000/2001
Aleksey Ivanov,19,Right Midfield,Salyut Saratov,0.0,in,Winter,2000,2000/2001
Aleksandr Nikulin,21,Goalkeeper,Torpedo NN,0.0,in,Winter,2000,2000/2001
Andrey Knyazev,26,attack,M. Lipetsk,0.0,out,Winter,2000,2000/2001
Dmitry Lagutin,29,defence,Spartak Orel,0.0,out,Winter,2000,2000/2001
Andrey Dementjev,30,attack,Кузбасс-Динамо,0.0,out,Winter,2000,2000/2001
Andrey Kopylov,28,midfield,Stavropol,0.0,out,Winter,2000,2000/2001
Vadim Sokolov,29,Left Winger,Rubin Kazan,0.0,out,Winter,2000,2000/2001
Platon Zakharchuk,28,Goalkeeper,Loko Moscow,0.0,out,Winter,2000,2000/2001
Ravil Monasipov,33,midfield,Iskra E.,0.0,out,Winter,2000,2000/2001
Andrey Danilov,26,Central Midfield,Met. Krasnoyarsk,0.0,out,Winter,2000,2000/2001
Dmitri Bugakov,21,Centre-Back,Spartak Moscow,0.0,out,Winter,2000,2000/2001
Dmitri Tyapushkin,36,Goalkeeper,Retired,0.0,out,Winter,2000,2000/2001
Albert Borzenkov,27,Centre-Back,Rotor Volgograd,0.0,out,Winter,2000,2000/2001
Oleg Veretennikov,31,Second Striker,Lierse SK,0.0,in,Summer,2001,2001/2002
Srdjan Pecelj,26,Centre-Back,Paniliakos,0.0,in,Summer,2001,2001/2002
Andrey Smetanin,32,Goalkeeper,Spartak Moscow,0.0,in,Summer,2001,2001/2002
Aleksey Kosolapov,30,Central Midfield,Loko Moscow II,0.0,in,Summer,2001,2001/2002
Dmitri Bugakov,22,Centre-Back,Spartak Moscow,0.0,in,Summer,2001,2001/2002
Paata Jincharadze,26,Central Midfield,Torpedo Kutaisi,0.0,in,Summer,2001,2001/2002
Senad Repuh,28,Right Midfield,FK Sarajevo,0.0,in,Summer,2001,2001/2002
Dmitri Shirshakov,27,defence,Energia Shatura,0.0,out,Summer,2001,2001/2002
Zurab Sanaia,33,Goalkeeper,Факел-Воронеж,0.0,out,Summer,2001,2001/2002
Aleksandr Nikulin,22,Goalkeeper,Iskra E.,0.0,out,Summer,2001,2001/2002
Oleksandr Koval,27,Centre-Back,Stal Alchevsk,0.0,out,Summer,2001,2001/2002
Oleg Tereshchenko,29,defence,Факел-Воронеж,0.0,out,Summer,2001,2001/2002
Sergey Zozulya,24,attack,Sodovik,0.0,out,Summer,2001,2001/2002
Aleksandr Cherkes,25,Right-Back,Факел-Воронеж,65000.0,in,Winter,2001,2001/2002
Sergiu Epureanu,25,Central Midfield,Zimbru Chisinau,0.0,in,Winter,2001,2001/2002
Vladyslav Duyun,24,Defensive Midfield,Lokomotiv NN,0.0,in,Winter,2001,2001/2002
Ramiz Mamedov,29,Left-Back,Loko Moscow II,0.0,in,Winter,2001,2001/2002
Dmitri Kuznetsov,36,Right Midfield,Torpedo-ZiL,0.0,out,Winter,2001,2001/2002
Aleksey Ivanov,20,Right Midfield,Факел-Воронеж,0.0,out,Winter,2001,2001/2002
Paata Jincharadze,27,Central Midfield,L. Chita,0.0,out,Winter,2001,2001/2002
Maksim Nizovtsev,29,Left Midfield,Chernomorets N.,0.0,out,Winter,2001,2001/2002
Sergey Yuminov,31,Centre-Forward,Retired,0.0,out,Winter,2001,2001/2002
