player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Cristian Dorin Tudor,20,Centre-Forward,FC Sheriff,350000.0,in,Summer,2003,2003/2004
Serghei Dadu,22,Centre-Forward,FC Sheriff,300000.0,in,Summer,2003,2003/2004
Yuriy Drozdov,31,Defensive Midfield,Loko Moscow,0.0,in,Summer,2003,2003/2004
Nerijus Barasa,25,Right-Back,KS Samara,0.0,in,Summer,2003,2003/2004
Nikolay Tsygan,18,Goalkeeper,FK Mykolaiv,0.0,in,Summer,2003,2003/2004
Viktor Onopko,33,Centre-Back,Rayo Vallecano,0.0,in,Summer,2003,2003/2004
Mirdzhalol Kasymov,32,Attacking Midfield,Pakhtakor,0.0,in,Summer,2003,2003/2004
Dmitri Vyazmikin,30,Centre-Forward,Элиста,0.0,in,Summer,2003,2003/2004
Vasili Baranov,30,Right Midfield,Spartak Moscow,0.0,in,Summer,2003,2003/2004
Alan Kusov,21,Left Midfield,CSKA Moscow,0.0,in,Summer,2003,2003/2004
Ilya Blyznyuk,29,Goalkeeper,Rostov,0.0,in,Summer,2003,2003/2004
Vladimir Shunejko,29,Defensive Midfield,KS Samara,0.0,in,Summer,2003,2003/2004
Zurab Menteshashvili,23,Central Midfield,Skonto,125000.0,out,Summer,2003,2003/2004
Oleksandr Stepanov,20,Centre-Forward,Met-Kuz,0.0,out,Summer,2003,2003/2004
Vitali Chochiev,23,Left Midfield,KamAZ,0.0,out,Summer,2003,2003/2004
Bakhtiyar Ashurmatov,27,Centre-Back,Tor-Met Moscow,0.0,out,Summer,2003,2003/2004
Yuri Petrov,28,Centre-Forward,Volyn Lutsk,0.0,out,Summer,2003,2003/2004
Eduard Gikaev,23,Defensive Midfield,KamAZ,0.0,out,Summer,2003,2003/2004
Mihails Miholaps,28,Centre-Forward,Skonto,0.0,out,Summer,2003,2003/2004
Olegs Blagonadezdins,30,Right-Back,Skonto,0.0,out,Summer,2003,2003/2004
Vitali Daraselia,25,Attacking Midfield,Dinamo Tbilisi,55000.0,in,Winter,2003,2003/2004
Ivan Vukomanovic,26,Defensive Midfield,Red Star,0.0,in,Winter,2003,2003/2004
Igor Yanovski,29,Defensive Midfield,CSKA Moscow,0.0,in,Winter,2003,2003/2004
Khalid Fouhami,31,Goalkeeper,Coimbra,0.0,in,Winter,2003,2003/2004
Dmitri A. Smirnov,23,Central Midfield,Chernomorets N.,0.0,in,Winter,2003,2003/2004
Stevan Bates,22,Centre-Back,Zeleznik Belgr.,0.0,in,Winter,2003,2003/2004
Marat Tsallagov,21,Right-Back,Элиста,0.0,in,Winter,2003,2003/2004
Dejan Radic,23,Goalkeeper,Rad,0.0,in,Winter,2003,2003/2004
Levan Gvazava,23,Attacking Midfield,Zimbru Chisinau,0.0,in,Winter,2003,2003/2004
Karen Oganyan,21,Centre-Forward,Tor-Met Moscow,0.0,in,Winter,2003,2003/2004
Vladimir Korytko,24,Attacking Midfield,Tor-Met Moscow,0.0,in,Winter,2003,2003/2004
Alan Kusov,22,Left Midfield,CSKA Moscow,0.0,in,Winter,2003,2003/2004
Vladimir Gabulov,20,Goalkeeper,CSKA Moscow,400000.0,out,Winter,2003,2003/2004
Georgi Botsiev,27,Attacking Midfield,Nika Moskau,0.0,out,Winter,2003,2003/2004
Viktor Onopko,34,Centre-Back,Saturn,0.0,out,Winter,2003,2003/2004
Vadim Khinchagov,22,Right Midfield,Ekibastuzets,0.0,out,Winter,2003,2003/2004
Dmitri Vyazmikin,31,Centre-Forward,Torpedo Vlad.,0.0,out,Winter,2003,2003/2004
Elbrus Zuraev,21,Right-Back,KamAZ,0.0,out,Winter,2003,2003/2004
Robert Bitarov,27,Left Winger,Unknown,0.0,out,Winter,2003,2003/2004
Dmitri Goncharov,28,Goalkeeper,Kuban Krasnodar,0.0,out,Winter,2003,2003/2004
Vasili Baranov,31,Right Midfield,Career break,0.0,out,Winter,2003,2003/2004
Ruslan Dzutsev,19,Centre-Forward,Retired,0.0,out,Winter,2003,2003/2004
Ilya Blyznyuk,30,Goalkeeper,Rostov,0.0,out,Winter,2003,2003/2004
Vladimir Shunejko,29,Defensive Midfield,KS Samara,0.0,out,Winter,2003,2003/2004
Alan Kusov,22,Left Midfield,CSKA Moscow,0.0,out,Winter,2003,2003/2004
