player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mikhail Rusyaev,27,Centre-Forward,VfB Oldenburg,0.0,in,Summer,1992,1992/1993
Igor Ledyakhov,24,Central Midfield,Rotor Volgograd,0.0,in,Summer,1992,1992/1993
Nikolay Pisarev,23,Centre-Forward,FC Winterthur,0.0,in,Summer,1992,1992/1993
Andrey Tikhonov,21,Attacking Midfield,Titan Moskau,0.0,in,Summer,1992,1992/1993
Gennadiy Perepadenko,28,Right Winger,Tzafririm Holon,0.0,in,Summer,1992,1992/1993
Yuri Petrov,18,Centre-Forward,Loko Moscow,0.0,in,Summer,1992,1992/1993
Vladimir Baksheev,22,midfield,Tobol Kostanay,0.0,in,Summer,1992,1992/1993
Gennadiy Perepadenko,28,Right Winger,Badajoz,0.0,out,Summer,1992,1992/1993
Oleg Kuzhlev,25,Right Midfield,ES Sahel,0.0,out,Summer,1992,1992/1993
Aleksandr Shibaev,30,defence,Din-Gaz Tyumen,0.0,out,Summer,1992,1992/1993
Kakhaber Tskhadadze,23,Centre-Back,Dinamo Moscow,0.0,out,Summer,1992,1992/1993
Evgeni Bushmanov,20,Centre-Back,CSKA Moscow,0.0,out,Summer,1992,1992/1993
Velli Kasumov,23,Centre-Forward,Dinamo Moscow,0.0,out,Summer,1992,1992/1993
Rashid Rakhimov,27,Left Midfield,Real Valladolid,0.0,out,Summer,1992,1992/1993
Yuri Petrov,18,Centre-Forward,Loko Moscow,0.0,out,Summer,1992,1992/1993
Vladimir Baksheev,22,midfield,Tobol Kostanay,0.0,out,Summer,1992,1992/1993
Aleksandr Bondar,25,Defensive Midfield,Terek Grozny,0.0,out,Summer,1992,1992/1993
Yuriy Nikiforov,22,Centre-Back,Chornomorets,0.0,in,Winter,1992,1992/1993
Ilya Tsymbalar,23,Central Midfield,Chornomorets,0.0,in,Winter,1992,1992/1993
Andrey Gashkin,22,Right Midfield,Orekhovo O-Zuevo,0.0,in,Winter,1992,1992/1993
Aleksandr Bondar,25,Defensive Midfield,Terek Grozny,0.0,in,Winter,1992,1992/1993
Fedor Cherenkov,33,Attacking Midfield,Career break,0.0,in,Winter,1992,1992/1993
Sergey Chudin,19,Centre-Back,Spartak II,0.0,in,Winter,1992,1992/1993
Mikhail Rusyaev,28,Centre-Forward,Wuppertaler SV,0.0,out,Winter,1992,1992/1993
Oleg Ivanov,25,Central Midfield,TPV,0.0,out,Winter,1992,1992/1993
Aleksandr Tatarkin,26,Centre-Forward,NK Istra,0.0,out,Winter,1992,1992/1993
Igor Kozlov,22,Attacking Midfield,FK Interros,0.0,out,Winter,1992,1992/1993
Sergey Rodionov,30,Centre-Forward,AS Red Star 93,0.0,in,Summer,1993,1993/1994
Aleksandr Pomazun,21,Goalkeeper,Metalist,0.0,in,Summer,1993,1993/1994
Sergiy Pogodin,25,Attacking Midfield,Roda JC,0.0,in,Summer,1993,1993/1994
Dmitri Radchenko,22,Centre-Forward,Racing,1200000.0,out,Summer,1993,1993/1994
Dmitriy Popov,26,Right-Back,Racing,300000.0,out,Summer,1993,1993/1994
Stanislav Cherchesov,29,Goalkeeper,Dynamo Dresden,0.0,out,Summer,1993,1993/1994
Andrey Gashkin,22,Right Midfield,Nyva Ternopil,0.0,out,Summer,1993,1993/1994
Andrey Chernyshov,25,Centre-Back,Dinamo Moscow,0.0,out,Summer,1993,1993/1994
Yuriy Sak,26,Defensive Midfield,Chornomorets,0.0,in,Winter,1993,1993/1994
Dmitri Alenichev,21,Central Midfield,Loko Moscow,0.0,in,Winter,1993,1993/1994
Valeri Masalitin,27,Centre-Forward,CSKA Moscow,0.0,in,Winter,1993,1993/1994
Andrey Gashkin,23,Right Midfield,Nyva Ternopil,0.0,in,Winter,1993,1993/1994
Vladislav Ternavski,24,Centre-Back,Nyva Ternopil,0.0,in,Winter,1993,1993/1994
Andrey Konovalov,19,Central Midfield,Spartak II,0.0,in,Winter,1993,1993/1994
Valeri Kechinov,19,Second Striker,Spartak II,0.0,in,Winter,1993,1993/1994
Vladimir Baksheev,23,midfield,FK Interros,0.0,out,Winter,1993,1993/1994
Fedor Cherenkov,34,Attacking Midfield,Retired,0.0,out,Winter,1993,1993/1994
Mukhsin Mukhamadiev,27,Centre-Forward,Ankaragücü,0.0,in,Summer,1994,1994/1995
Dmitri Tyapushkin,29,Goalkeeper,Nyva Ternopil,0.0,in,Summer,1994,1994/1995
Oleg Naduda,23,Central Midfield,Nyva Vinnytsia,0.0,in,Summer,1994,1994/1995
Rashid Rakhimov,29,Left Midfield,Loko Moscow,0.0,in,Summer,1994,1994/1995
Igor Ledyakhov,26,Central Midfield,Sporting Gijón,1200000.0,out,Summer,1994,1994/1995
Vladimir Beschastnykh,20,Centre-Forward,Werder Bremen,800000.0,out,Summer,1994,1994/1995
Valeriy Karpin,25,Right Midfield,Real Sociedad,750000.0,out,Summer,1994,1994/1995
Yuriy Sak,27,Defensive Midfield,Chornomorets,0.0,out,Summer,1994,1994/1995
Gintaras Stauce,24,Goalkeeper,Galatasaray,0.0,out,Summer,1994,1994/1995
Aleksandr Pomazun,22,Goalkeeper,Baltika,0.0,out,Summer,1994,1994/1995
Andrey Ivanov,27,Centre-Back,Dinamo Moscow,0.0,out,Summer,1994,1994/1995
Andrey Gashkin,23,Right Midfield,Nyva Ternopil,0.0,out,Summer,1994,1994/1995
Sergiy Pogodin,26,Attacking Midfield,Shakhtar D.,0.0,out,Summer,1994,1994/1995
Ruslan Nigmatullin,20,Goalkeeper,КАМАЗ-Чаллы,0.0,in,Winter,1994,1994/1995
Andrey Ivanov,27,Centre-Back,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Sergiy Nagornyak,23,Central Midfield,Nyva Vinnytsia,0.0,in,Winter,1994,1994/1995
