player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mario Juric,28,Right Winger,Shinnik,0.0,in,Summer,2005,2005/2006
Stanislav Dyachenko,20,Right-Back,Volyn Lutsk II,0.0,in,Summer,2005,2005/2006
Roman Kontsedalov,19,Central Midfield,Loko Moscow II,0.0,in,Summer,2005,2005/2006
Sultan Khuranov,21,Centre-Back,Mashuk-KMV,0.0,in,Summer,2005,2005/2006
Marat Dzakhmishev,25,Central Midfield,S-UGP Anapa,0.0,out,Summer,2005,2005/2006
Anton Klimenko,20,defence,T. Volzhskiy,0.0,out,Summer,2005,2005/2006
Marat Shogenov,20,Central Midfield,Torpedo Volzhsky,0.0,out,Summer,2005,2005/2006
Vladimir Kuzmichev,25,Left Winger,CSKA Moscow,0.0,out,Summer,2005,2005/2006
Miodrag Dzudovic,26,Centre-Back,Volyn Lutsk,100000.0,in,Winter,2005,2005/2006
Erik Korchagin,26,Centre-Forward,Shinnik,0.0,in,Winter,2005,2005/2006
Levan Gvazava,25,Attacking Midfield,Dinamo Batumi,0.0,in,Winter,2005,2005/2006
Aleksandr Zarutskiy,36,defence,SK Tavriya,0.0,in,Winter,2005,2005/2006
Gogita Gogua,22,Defensive Midfield,Khimki,0.0,in,Winter,2005,2005/2006
Dmitri Michkov,25,Defensive Midfield,Rubin Kazan,0.0,in,Winter,2005,2005/2006
Andriy Poroshyn,27,Centre-Forward,Loko Moscow II,0.0,in,Winter,2005,2005/2006
Vitali Lanko,28,Centre-Forward,Met-Kuz,0.0,in,Winter,2005,2005/2006
Denis Evsikov,24,Left-Back,Terek Grozny,0.0,in,Winter,2005,2005/2006
Sergey Serdyukov,24,Centre-Forward,Dinamo Makhach.,0.0,in,Winter,2005,2005/2006
Ngasanya Ilongo,21,Defensive Midfield,Loko Moscow,0.0,in,Winter,2005,2005/2006
Jefthon,23,Centre-Back,Kuban Krasnodar,0.0,in,Winter,2005,2005/2006
Aslan Mashukov,21,Defensive Midfield,Spartak N. II,0.0,in,Winter,2005,2005/2006
