player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Sergey Bodak,28,defence,KS Samara,0.0,in,Summer,1992,1992/1993
Georgi Takhokhov,21,Centre-Forward,Pamir,0.0,in,Summer,1992,1992/1993
Grigori Ivanov,20,Centre-Forward,Metalurg Z.,0.0,in,Summer,1992,1992/1993
Grigori Ivanov,20,Centre-Forward,Avtodor Vl.,0.0,out,Summer,1992,1992/1993
Stanislav Tskhovrebov,23,Right Winger,Slo. Bratislava,0.0,out,Summer,1992,1992/1993
Igor Shkvyrin,29,Centre-Forward,Hapoel Tel Aviv,0.0,out,Summer,1992,1992/1993
Sergey Pimenov,23,Right Winger,Факел-Воронеж,0.0,in,Winter,1992,1992/1993
Igor Yanovski,18,Defensive Midfield,Avtodor Vl.,0.0,in,Winter,1992,1992/1993
Roman Meleshko,21,midfield,Dinamo Minsk,0.0,in,Winter,1992,1992/1993
Aleksandr Mozgovoy,26,defence,Dnepr-Transmash,0.0,in,Winter,1992,1992/1993
Vladimir Konovalov,19,attack,Vedrich Rechitsa,0.0,in,Winter,1992,1992/1993
Aleksandr Kostin,23,midfield,Baltika,0.0,in,Winter,1992,1992/1993
Mikhail Markhel,26,Centre-Forward,Nyíregyháza,0.0,in,Winter,1992,1992/1993
Evgeniy Saprykin,22,attack,Спартак,0.0,in,Winter,1992,1992/1993
Ruslan Suanov,17,Second Striker,Alania II,0.0,in,Winter,1992,1992/1993
Mikhail Muravjev,26,Centre-Forward,Shinnik,0.0,out,Winter,1992,1992/1993
Igor A. Kachmazov,30,attack,Avtodor Vl.,0.0,out,Winter,1992,1992/1993
Georgi Takhokhov,22,Centre-Forward,Avtodor Vl.,0.0,out,Winter,1992,1992/1993
Boris Dobashin,26,Centre-Back,Inter Bratislava,0.0,out,Winter,1992,1992/1993
Sergey Bodak,28,defence,Avangard Kolomna,0.0,out,Winter,1992,1992/1993
Sergey Kozhanov,28,defence,SK Odessa,0.0,out,Winter,1992,1992/1993
Bakhva Tedeev,23,Central Midfield,Dinamo Moscow,0.0,out,Winter,1992,1992/1993
Mirdzhalol Kasymov,22,Attacking Midfield,Pakhtakor,0.0,out,Winter,1992,1992/1993
Andrey Sosnitskiy,30,defence,Uralmash,0.0,out,Summer,1993,1993/1994
Aleksandr Mozgovoy,26,defence,Loko Vitebsk,0.0,out,Summer,1993,1993/1994
Kazimir Gudiev,22,Goalkeeper,I. Vladikavkaz,0.0,out,Summer,1993,1993/1994
Igor Gorelov,24,Centre-Back,Lokomotiv NN,0.0,in,Winter,1993,1993/1994
Alan Agaev,16,Right-Back,Avtodor Vl.,0.0,in,Winter,1993,1993/1994
Mirdzhalol Kasymov,23,Attacking Midfield,Pakhtakor,0.0,in,Winter,1993,1993/1994
Bakhva Tedeev,24,Central Midfield,Dinamo Moscow,0.0,in,Winter,1993,1993/1994
Arif Asadov,23,Right-Back,Neftchi Baku,0.0,in,Winter,1993,1993/1994
Kazimir Gudiev,21,Goalkeeper,I. Vladikavkaz,0.0,in,Winter,1993,1993/1994
Georgi Bazaev,15,Left Midfield,DYuSSh Spartak,0.0,in,Winter,1993,1993/1994
Georgi Botsiev,17,Attacking Midfield,Alania II,0.0,in,Winter,1993,1993/1994
Sergey Pimenov,24,Right Winger,Энергия-Текстиль,0.0,out,Winter,1993,1993/1994
Aleksandr Kostin,24,midfield,Spartak Nalchik,0.0,out,Winter,1993,1993/1994
Vladimir Konovalov,20,attack,MPKZ Mozyr,0.0,out,Winter,1993,1993/1994
Roman Meleshko,22,midfield,MPKZ Mozyr,0.0,out,Winter,1993,1993/1994
Evgeniy Saprykin,23,attack,Metalurg Z.,0.0,out,Winter,1993,1993/1994
Vladimir Lebed,20,Centre-Forward,SK Kherson,0.0,in,Summer,1994,1994/1995
Oleg Kornienko,21,Centre-Back,Avtodor Vl.,0.0,in,Summer,1994,1994/1995
Aslan Datdeev,20,Centre-Back,Avtodor Vl.,0.0,in,Summer,1994,1994/1995
Georgi Botsiev,17,Attacking Midfield,Avtodor Vl.,0.0,out,Summer,1994,1994/1995
Omari Tetradze,25,Right-Back,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Sergey Timofeev,29,Left-Back,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Robert Bitarov,18,Left Winger,Avtodor Vl.,0.0,in,Winter,1994,1994/1995
Soso Grishikashvili,21,Goalkeeper,Metalurgi R.,0.0,in,Winter,1994,1994/1995
Murtaz Shelia,25,Centre-Back,Dinamo Tbilisi,0.0,in,Winter,1994,1994/1995
Sergey Derkach,28,Left Midfield,Dinamo Moscow,0.0,in,Winter,1994,1994/1995
Mikheil Kavelashvili,23,Centre-Forward,Dinamo Tbilisi,0.0,in,Winter,1994,1994/1995
Shamil Isaev,30,Attacking Midfield,Spartak Nalchik,0.0,in,Winter,1994,1994/1995
Sergey Gazdanov,25,defence,Элиста,0.0,out,Winter,1994,1994/1995
Ruslan Suanov,19,Second Striker,Zhemchuzhina,0.0,out,Winter,1994,1994/1995
Vladimir Lebed,21,Centre-Forward,CSKA Moscow,0.0,out,Winter,1994,1994/1995
Mikhail Markhel,28,Centre-Forward,Торпедо-Лужники,0.0,out,Winter,1994,1994/1995
Arif Asadov,24,Right-Back,Neftchi Baku,0.0,out,Winter,1994,1994/1995
Marat Dzoblaev,28,midfield,Lokomotiv NN,0.0,out,Winter,1994,1994/1995
Gennadi Denisov,34,Left-Back,Navbahor,0.0,out,Winter,1994,1994/1995
Shamil Isaev,29,Attacking Midfield,Spartak Nalchik,0.0,out,Winter,1994,1994/1995
Sergey Gorlukovich,33,Centre-Back,KFC Uerdingen,0.0,in,Summer,1995,1995/1996
Anatoli Kanishchev,23,Centre-Forward,Torpedo Arzamas,0.0,in,Summer,1995,1995/1996
Zaza Revishvili,26,Central Midfield,Dinamo Tbilisi,0.0,in,Summer,1995,1995/1996
Georgi Botsiev,18,Attacking Midfield,Avtodor Vl.,0.0,in,Summer,1995,1995/1996
Igor B. Kachmazov,26,midfield,St. Petersburg,0.0,out,Summer,1995,1995/1996
