player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Roman Adamov,22,Centre-Forward,Rostov,350000.0,in,Summer,2004,2004/2005
Narvik Sirkhaev,30,Attacking Midfield,FC Moscow,325000.0,in,Summer,2004,2004/2005
Konstantin Golovskoy,29,Central Midfield,Levski Sofia,0.0,in,Summer,2004,2004/2005
Denis Evsikov,23,Left-Back,Loko Moscow,0.0,in,Summer,2004,2004/2005
Sergiy Datsenko,26,Right-Back,Rostov,0.0,in,Summer,2004,2004/2005
Ruslan Adzhindzhal,30,Central Midfield,Элиста,0.0,in,Summer,2004,2004/2005
Vladimir Shipilov,31,Central Midfield,Sokol Saratov,0.0,in,Summer,2004,2004/2005
Yevgen Lysytsyn,23,Right Midfield,Without Club,0.0,in,Summer,2004,2004/2005
Rizvan Sadaev,24,midfield,Mashuk-KMV,0.0,out,Summer,2004,2004/2005
Aleksandr Shirko,28,Centre-Forward,Shinnik,200000.0,in,Winter,2004,2004/2005
Gennadi Nizhegorodov,27,Centre-Back,Loko Moscow,0.0,in,Winter,2004,2004/2005
Roman Sharonov,28,Centre-Back,Rubin Kazan,0.0,in,Winter,2004,2004/2005
Tamer Tuna,28,Right Midfield,Samsunspor,0.0,in,Winter,2004,2004/2005
Vladimir Korytko,25,Attacking Midfield,FC Moscow,0.0,in,Winter,2004,2004/2005
Dmitri Goncharov,29,Goalkeeper,Kuban Krasnodar,0.0,in,Winter,2004,2004/2005
Sergey Grishin,31,Right Midfield,Shinnik,0.0,in,Winter,2004,2004/2005
Ruslan Nigmatullin,30,Goalkeeper,Loko Moscow,0.0,in,Winter,2004,2004/2005
Rizvan Sadaev,25,midfield,Mashuk-KMV,0.0,in,Winter,2004,2004/2005
Ivo Trenchev,32,Centre-Back,Lok. Sofia,0.0,out,Winter,2004,2004/2005
Nikola Malbasa,27,Left-Back,AEK Athens,0.0,out,Winter,2004,2004/2005
Konstantin Golovskoy,29,Central Midfield,FC Zhenis,0.0,out,Winter,2004,2004/2005
Anton Kocherga,27,midfield,St. Petersburg,0.0,out,Winter,2004,2004/2005
Vladimir Shipilov,32,Central Midfield,Sokol Saratov,0.0,out,Winter,2004,2004/2005
Sergey Grishin,31,Right Midfield,Anzhi,0.0,out,Winter,2004,2004/2005
Beslan Gublia,28,Centre-Back,Met-Kuz,0.0,out,Winter,2004,2004/2005
Magomed Adiev,27,Centre-Forward,Kryvbas,0.0,out,Winter,2004,2004/2005
Aleksey Osipov,29,Central Midfield,Aktobe,0.0,out,Winter,2004,2004/2005
Sergey Krashchenko,34,Goalkeeper,Spartak Nalchik,0.0,out,Winter,2004,2004/2005
Vladimir Skokov,32,Left Midfield,Fakel Voronezh,0.0,out,Winter,2004,2004/2005
Ramzan Tsutsulaev,32,Goalkeeper,Retired,0.0,out,Winter,2004,2004/2005
Igor Kiselev,25,Centre-Forward,Kuban Krasnodar,0.0,out,Winter,2004,2004/2005
Jean Blaise Bouli,26,Right Winger,Dinamo Bryansk,200000.0,in,Summer,2007,2007/2008
Shamil Lakhiyalov,27,Second Striker,Anzhi,0.0,in,Summer,2007,2007/2008
Anatoli Romanovich,27,Centre-Back,Shinnik,0.0,in,Summer,2007,2007/2008
Shamil Asildarov,24,Centre-Forward,Kuban Krasnodar,0.0,in,Summer,2007,2007/2008
Ognjen Koroman,28,Right Winger,Red Star,1050000.0,out,Summer,2007,2007/2008
Valentin Iliev,27,Centre-Back,CSKA Sofia,750000.0,in,Winter,2007,2007/2008
Marko Dinjar,21,Left-Back,NK Osijek,600000.0,in,Winter,2007,2007/2008
Ilion Lika,27,Goalkeeper,KF Elbasani,500000.0,in,Winter,2007,2007/2008
David Lopes,25,Centre-Back,NK Osijek,400000.0,in,Winter,2007,2007/2008
Sergey Serdyukov,26,Centre-Forward,Tom Tomsk,350000.0,in,Winter,2007,2007/2008
Guy Stephane Essamé,23,Central Midfield,Boavista,0.0,in,Winter,2007,2007/2008
Artem Voronkin,21,Defensive Midfield,Avangard Kursk,0.0,in,Winter,2007,2007/2008
Vladimir Kuzmichev,28,Left Winger,Kuban Krasnodar,0.0,in,Winter,2007,2007/2008
Yuri Mamaev,23,Central Midfield,Shinnik,0.0,in,Winter,2007,2007/2008
Goran Dimovski,25,Right-Back,Makedonija,0.0,in,Winter,2007,2007/2008
Dmitri Dolgov,20,Right-Back,Nistru Otaci,0.0,in,Winter,2007,2007/2008
Stefan Sicaci,19,Goalkeeper,FC Sheriff,0.0,in,Winter,2007,2007/2008
Radoslav Zabavnik,27,Left-Back,Sparta Prague,0.0,in,Winter,2007,2007/2008
Rade Petrovic,25,Defensive Midfield,Borac Cacak,0.0,in,Winter,2007,2007/2008
Igor Dudnyk,22,Right-Back,Zaporizhya II,0.0,in,Winter,2007,2007/2008
Viktor Zemchenkov,21,Centre-Forward,Torpedo Moscow,0.0,in,Winter,2007,2007/2008
Dejan Martinovic,24,Defensive Midfield,Siroki Brijeg,0.0,out,Winter,2007,2007/2008
Maksym Levitsky,35,Goalkeeper,Rostov,0.0,out,Winter,2007,2007/2008
Andrey Movsesyan,32,Centre-Forward,Sportacademclub,0.0,out,Winter,2007,2007/2008
Atanas Bornosuzov,28,Central Midfield,Aris Limassol,0.0,out,Winter,2007,2007/2008
Albert Sarkisyan,32,Right Midfield,Nika Moskau,0.0,out,Winter,2007,2007/2008
Andrey Fedkov,36,Centre-Forward,Sheksna,0.0,out,Winter,2007,2007/2008
Sergey Stepanenko,26,Goalkeeper,Kairat Almaty,0.0,out,Winter,2007,2007/2008
Sergey Kurdyukov,25,Centre-Back,Avangard P.,0.0,out,Winter,2007,2007/2008
Taras Shelest,27,Central Midfield,SKA-Energia,0.0,out,Winter,2007,2007/2008
Denis Zubko,33,Centre-Forward,Kuban Krasnodar,0.0,out,Winter,2007,2007/2008
Hamlet Siukaev,26,Right Winger,Baltika,0.0,out,Winter,2007,2007/2008
Murad Ramazanov,28,Central Midfield,Anzhi,0.0,out,Winter,2007,2007/2008
Jerry-Christian Tchuisse,32,Right-Back,Vityaz Podolsk,0.0,out,Winter,2007,2007/2008
