player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andrey Demkin,28,Centre-Forward,Dinamo Moscow,0.0,in,Summer,2004,2004/2005
Sergey Losev,20,Goalkeeper,Zenit II,0.0,in,Summer,2004,2004/2005
Mikhail Vanev,22,Defensive Midfield,Unknown,0.0,in,Summer,2004,2004/2005
Pavel Dyakonov,31,Goalkeeper,Элиста,0.0,in,Summer,2004,2004/2005
Jevgeni Novikov,24,Defensive Midfield,Zirka,0.0,in,Summer,2004,2004/2005
Aleksey Vereshchak,28,Central Midfield,Met-Kuz,0.0,out,Summer,2004,2004/2005
Sergey Perednya,32,Centre-Forward,Lukoil,0.0,out,Summer,2004,2004/2005
Viktor Sebelev,32,Right Winger,Lukoil Chelyab.,0.0,out,Summer,2004,2004/2005
Viktor Isaychenko,28,Centre-Back,Met-Kuz,0.0,out,Summer,2004,2004/2005
Ilya Blyznyuk,31,Goalkeeper,Rostov,0.0,in,Winter,2004,2004/2005
Albert Borzenkov,31,Centre-Back,Sokol Saratov,0.0,in,Winter,2004,2004/2005
Sergey Yaskovich,32,Centre-Back,FC Moscow,0.0,in,Winter,2004,2004/2005
Konstantin Skrylnikov,25,Left Midfield,Rotor Volgograd,0.0,in,Winter,2004,2004/2005
Sergei Pareiko,27,Goalkeeper,Rotor Volgograd,0.0,in,Winter,2004,2004/2005
Pavel Mogilevskiy,24,Right-Back,Rotor Volgograd,0.0,in,Winter,2004,2004/2005
Vladimir Mazov,23,Defensive Midfield,Arsenal Tula,0.0,in,Winter,2004,2004/2005
Valeriu Catinsus,26,Centre-Back,Arsenal Tula,0.0,in,Winter,2004,2004/2005
Valeriy Klimov,30,Right Winger,Arsenal Tula,0.0,in,Winter,2004,2004/2005
Aleksandr Shvetsov,24,Defensive Midfield,Khimki,0.0,in,Winter,2004,2004/2005
Aleksey Medvedev,27,Centre-Forward,Saturn,0.0,in,Winter,2004,2004/2005
Valeri Leonov,24,Right Midfield,FC Moscow,0.0,in,Winter,2004,2004/2005
Stanislav Kuznetsov,17,midfield,Tom Tomsk U19,0.0,in,Winter,2004,2004/2005
Aleksandr Russkikh,21,Central Midfield,Tom Tomsk II,0.0,in,Winter,2004,2004/2005
Viktor Isaychenko,28,Centre-Back,Met-Kuz,0.0,in,Winter,2004,2004/2005
Aleksandr Surovtsev,32,Goalkeeper,Sodovik,0.0,out,Winter,2004,2004/2005
Dmitri Godunok,28,Centre-Back,FC Moscow,0.0,out,Winter,2004,2004/2005
Evgeniy Savin,20,Centre-Forward,Anzhi,0.0,out,Winter,2004,2004/2005
Andrey Silyutin,28,Central Midfield,Aktobe,0.0,out,Winter,2004,2004/2005
Aleksey Kozlov,29,Centre-Back,Anzhi,0.0,out,Winter,2004,2004/2005
Viktor Isaychenko,28,Centre-Back,Spartak NN,0.0,out,Winter,2004,2004/2005
Aleksandr Studzinskiy,27,Centre-Forward,Kuban Krasnodar,0.0,out,Winter,2004,2004/2005
