player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Héctor Bracamonte,25,Centre-Forward,Boca Juniors,800000.0,in,Summer,2003,2003/2004
Vladimirs Kolesnicenko,23,Attacking Midfield,Skonto,400000.0,in,Summer,2003,2003/2004
Rolandas Dziaukstas,25,Centre-Back,Saturn,0.0,in,Summer,2003,2003/2004
Sargis Hovsepyan,30,Right-Back,Zenit S-Pb,0.0,in,Summer,2003,2003/2004
Bakhtiyar Ashurmatov,27,Centre-Back,Spartak-Alania,0.0,in,Summer,2003,2003/2004
Dmitri Ananko,29,Centre-Back,AC Ajaccio,0.0,in,Summer,2003,2003/2004
Vyacheslav Shevchenko,18,Centre-Forward,Borysfen,0.0,in,Summer,2003,2003/2004
Jonas Wallerstedt,25,Centre-Forward,GIF Sundsvall,0.0,out,Summer,2003,2003/2004
Baba Adamu,23,Centre-Forward,Dinamo Minsk,0.0,out,Summer,2003,2003/2004
Boris Gorovoy,29,Defensive Midfield,Volgar-Gazprom,0.0,out,Summer,2003,2003/2004
Aleksey Triputen,20,Defensive Midfield,CSKA Moscow,0.0,out,Summer,2003,2003/2004
Narvik Sirkhaev,29,Attacking Midfield,Loko Moscow,400000.0,in,Winter,2003,2003/2004
Budun Budunov,28,Centre-Forward,Anzhi,200000.0,in,Winter,2003,2003/2004
Amir Karic,30,Left-Back,Ipswich,0.0,in,Winter,2003,2003/2004
Andrey Ostrovski,30,Centre-Back,Arsenal Kyiv,0.0,in,Winter,2003,2003/2004
Andrey Nikolaev,21,Centre-Forward,Zenit S-Pb,0.0,in,Winter,2003,2003/2004
Aleksandr Filimonov,30,Goalkeeper,Элиста,0.0,in,Winter,2003,2003/2004
Andris Vanins,23,Goalkeeper,Ventspils,0.0,in,Winter,2003,2003/2004
Ruslan Baltiev,25,Attacking Midfield,Dinamo Moscow,0.0,in,Winter,2003,2003/2004
Aleksey Meleshin,27,Right Winger,Dinamo SPb,0.0,in,Winter,2003,2003/2004
Sergey Yaskovich,32,Centre-Back,Tom Tomsk,0.0,in,Winter,2003,2003/2004
Jerry-Christian Tchuisse,28,Right-Back,Chernomorets N.,0.0,in,Winter,2003,2003/2004
Radu Rebeja,30,Defensive Midfield,Saturn,0.0,in,Winter,2003,2003/2004
Gustavo Pinto,24,Central Midfield,Torpedo Moscow,0.0,in,Winter,2003,2003/2004
Kirill Orlov,20,Right-Back,FC Moscow II,0.0,in,Winter,2003,2003/2004
Baba Adamu,24,Centre-Forward,Dinamo Minsk,0.0,in,Winter,2003,2003/2004
Boris Gorovoy,29,Defensive Midfield,Volgar-Gazprom,0.0,in,Winter,2003,2003/2004
Oleg Kornaukhov,28,Left-Back,Kuban Krasnodar,80000.0,out,Winter,2003,2003/2004
Andrey Khodykin,17,Centre-Back,Smena Moskau,0.0,out,Winter,2003,2003/2004
Sargis Hovsepyan,31,Right-Back,Pyunik Yerevan,0.0,out,Winter,2003,2003/2004
Miro Katic,29,midfield,Medjimurje,0.0,out,Winter,2003,2003/2004
Dmitri Khlestov,32,Right-Back,Sokol Saratov,0.0,out,Winter,2003,2003/2004
Andrey Novosadov,31,Goalkeeper,Fakel Voronezh,0.0,out,Winter,2003,2003/2004
Boris Gorovoy,29,Defensive Midfield,Metalurg Z.,0.0,out,Winter,2003,2003/2004
Aleksandar Komadina,28,Centre-Back,Khimki,0.0,out,Winter,2003,2003/2004
Bakhtiyar Ashurmatov,27,Centre-Back,Pakhtakor,0.0,out,Winter,2003,2003/2004
Aleksandr Rekhviashvili,29,Right Midfield,Ventspils,0.0,out,Winter,2003,2003/2004
Dmitri N. Smirnov,23,Centre-Back,Fakel Voronezh,0.0,out,Winter,2003,2003/2004
Roman Slavnov,21,Right Midfield,Sodovik,0.0,out,Winter,2003,2003/2004
Roman Monarev,23,Centre-Forward,Arsenal Kyiv,0.0,out,Winter,2003,2003/2004
Vladimir Kazakov,33,Central Midfield,Элиста,0.0,out,Winter,2003,2003/2004
Karen Oganyan,21,Centre-Forward,Spartak-Alania,0.0,out,Winter,2003,2003/2004
Baba Adamu,24,Centre-Forward,Al-Nasr,0.0,out,Winter,2003,2003/2004
Vladimirs Kolesnicenko,23,Attacking Midfield,Skonto,0.0,out,Winter,2003,2003/2004
Vedran Celiscak,21,Left-Back,Spartak Orel,0.0,out,Winter,2003,2003/2004
Vladimir Korytko,24,Attacking Midfield,Spartak-Alania,0.0,out,Winter,2003,2003/2004
Dmitri Ananko,30,Centre-Back,Career break,0.0,out,Winter,2003,2003/2004
Vyacheslav Shevchenko,18,Centre-Forward,Without Club,0.0,out,Winter,2003,2003/2004
Oleksandr Lavrentsov,30,Goalkeeper,KS Samara,0.0,out,Winter,2003,2003/2004
