player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Andriy Sapuga,21,Right-Back,Karpaty,0.0,in,Summer,1998,1998/1999
Dmitri Gradilenko,28,Left-Back,Rostselmash,0.0,in,Summer,1998,1998/1999
Mukhsin Mukhamadiev,31,Centre-Forward,Austria Vienna,0.0,in,Summer,1998,1998/1999
Artur Mkrtchyan,24,Centre-Back,Pyunik Yerevan,0.0,in,Summer,1998,1998/1999
Lasha Monaselidze,21,Left Midfield,FC Telavi,0.0,in,Summer,1998,1998/1999
Vadim Evseev,22,Right-Back,Spartak Moscow,0.0,in,Summer,1998,1998/1999
Leandro Samarone,27,Centre-Back,Spartak Moscow,0.0,out,Summer,1998,1998/1999
Evgeni Bushmanov,26,Centre-Back,Spartak Moscow,0.0,out,Summer,1998,1998/1999
Andrey Chernyshov,30,Centre-Back,DSV Leoben,0.0,out,Summer,1998,1998/1999
Rustam Mustafin,21,Centre-Back,Torpedo Vlad.,0.0,out,Summer,1998,1998/1999
Giorgi Ghudushauri,25,attack,FC Locomotive,0.0,out,Summer,1998,1998/1999
Vladimir Leonchenko,26,Central Midfield,Shinnik,0.0,in,Winter,1998,1998/1999
Viktor Brovchenko,22,midfield,Budapesti VSC,0.0,in,Winter,1998,1998/1999
Aleksandr Averyanov,29,Central Midfield,KS Samara,0.0,in,Winter,1998,1998/1999
Yuriy Moroz,28,Left-Back,Spartak V-kavkaz,0.0,in,Winter,1998,1998/1999
Evgeni Durnev,26,Right Midfield,Элиста,0.0,in,Winter,1998,1998/1999
Evgeniy Kornyukhin,31,Goalkeeper,Shinnik,0.0,in,Winter,1998,1998/1999
Vitali Litvinov,28,Centre-Back,Элиста,0.0,in,Winter,1998,1998/1999
Aleksandr Lukhvich,28,Centre-Back,Элиста,0.0,in,Winter,1998,1998/1999
Vyacheslav Daev,26,Centre-Back,Baltika,0.0,in,Winter,1998,1998/1999
Vladimir Kazakov,28,Central Midfield,Shinnik,0.0,in,Winter,1998,1998/1999
Nikolay Barkalov,24,midfield,Khimki,0.0,out,Winter,1998,1998/1999
Lasha Monaselidze,21,Left Midfield,Torpedo Vlad.,0.0,out,Winter,1998,1998/1999
Valeri Glushakov,39,Centre-Back,Nika Moskau,0.0,out,Winter,1998,1998/1999
Valeri Shantalosov,32,Goalkeeper,Lokomotiv NN,0.0,out,Winter,1998,1998/1999
Artur Mkrtchyan,25,Centre-Back,KS Samara,0.0,out,Winter,1998,1998/1999
Mukhsin Mukhamadiev,32,Centre-Forward,FK Buxoro,0.0,out,Winter,1998,1998/1999
Dmitri Gradilenko,29,Left-Back,Zhemchuzhina,0.0,out,Winter,1998,1998/1999
Augustine Eguavoen,33,Centre-Back,Sliema Wander.,0.0,out,Winter,1998,1998/1999
Arsen Avakov,27,Centre-Forward,Lokomotiv NN,0.0,out,Winter,1998,1998/1999
Oleksandr Pryzetko,27,Central Midfield,Arsenal Tula,0.0,out,Winter,1998,1998/1999
Sergiy Krukovets,25,Centre-Back,Lokomotiv NN,0.0,out,Winter,1998,1998/1999
Denis Mashkarin,25,Centre-Back,Moskabelmet M.,0.0,out,Winter,1998,1998/1999
Viktor Bulatov,26,Defensive Midfield,Spartak Moscow,0.0,out,Winter,1998,1998/1999
Aleksandr Sayun,24,defence,Элиста,0.0,out,Winter,1998,1998/1999
Vadim Evseev,22,Right-Back,Spartak Moscow,0.0,out,Winter,1998,1998/1999
Pavlo Shkapenko,26,Attacking Midfield,Элиста,0.0,in,Summer,1999,1999/2000
Mihai Dragus,26,Centre-Forward,Arges Dacia Pit.,0.0,in,Summer,1999,1999/2000
Andrey Knyazev,24,attack,Rubin Kazan,0.0,in,Summer,1999,1999/2000
Aleksandr Sayun,24,defence,Элиста,0.0,in,Summer,1999,1999/2000
Sergiy Skachenko,26,Centre-Forward,FC Metz,0.0,out,Summer,1999,1999/2000
Aleksey Snigirev,31,attack,Pskov-747,0.0,out,Summer,1999,1999/2000
Viktor Brovchenko,22,midfield,FK Vinnytsya,0.0,out,Summer,1999,1999/2000
Aleksandr Sayun,24,defence,Lokomotiv NN,0.0,out,Summer,1999,1999/2000
Valdas Trakys,20,Centre-Forward,Zalgiris,0.0,in,Winter,1999,1999/2000
Konstantin Zyryanov,22,Central Midfield,Amkar Perm,0.0,in,Winter,1999,1999/2000
Marat Makhmutov,24,Right-Back,Shinnik,0.0,in,Winter,1999,1999/2000
Dmitri Vyazmikin,27,Centre-Forward,Lokomotiv NN,0.0,in,Winter,1999,1999/2000
Arsen Avakov,28,Centre-Forward,Lokomotiv NN,0.0,in,Winter,1999,1999/2000
Rimantas Žvingilas,26,attack,KRC Harelbeke,0.0,in,Winter,1999,1999/2000
Aleksandr Ignatjev,27,Right Midfield,Элиста,0.0,in,Winter,1999,1999/2000
Egor Shaykov,19,attack,S.Stchelkovo,0.0,out,Winter,1999,1999/2000
Aleksandr Averyanov,30,Central Midfield,Элиста,0.0,out,Winter,1999,1999/2000
Mihai Dragus,26,Centre-Forward,Lokomotiv NN,0.0,out,Winter,1999,1999/2000
Yuriy Yakovenko,28,attack,Desna,0.0,out,Winter,1999,1999/2000
Vyacheslav Kamoltsev,28,Centre-Forward,Kocaelispor,0.0,out,Winter,1999,1999/2000
Sergey Kormiltsev,26,Central Midfield,Dynamo Kyiv,800000.0,in,Summer,2000,2000/2001
Johann Duveau,22,Left Winger,Marítimo,0.0,in,Summer,2000,2000/2001
Vyacheslav Kamoltsev,28,Centre-Forward,Kocaelispor,0.0,in,Summer,2000,2000/2001
Aleksandr Ignatjev,28,Right Midfield,Lokomotiv NN,0.0,out,Summer,2000,2000/2001
Andrey Knyazev,25,attack,Sokol Saratov,0.0,out,Summer,2000,2000/2001
Andriy Sapuga,23,Right-Back,Lokomotiv NN,0.0,out,Summer,2000,2000/2001
Roman Berezovskiy,26,Goalkeeper,Zenit S-Pb,0.0,in,Winter,2000,2000/2001
Aleksandr Familtsev,25,Centre-Back,Yesil-Bogatyr,0.0,in,Winter,2000,2000/2001
Alexandru Curtianu,26,Attacking Midfield,Zimbru Chisinau,0.0,in,Winter,2000,2000/2001
Vitali Volkov,19,Left-Back,Torpedo II,0.0,in,Winter,2000,2000/2001
Maksim Aristarkhov,20,Centre-Forward,Torpedo II,0.0,in,Winter,2000,2000/2001
Andriy Sapuga,24,Right-Back,Lokomotiv NN,0.0,in,Winter,2000,2000/2001
Vladimir Kazakov,30,Central Midfield,Элиста,0.0,out,Winter,2000,2000/2001
Marat Makhmutov,25,Right-Back,Shinnik,0.0,out,Winter,2000,2000/2001
Sergey Burchenkov,23,Centre-Back,Элиста,0.0,out,Winter,2000,2000/2001
Arsen Avakov,29,Centre-Forward,Элиста,0.0,out,Winter,2000,2000/2001
Evgeniy Kornyukhin,33,Goalkeeper,Shinnik,0.0,out,Winter,2000,2000/2001
Radislav Orlovskiy,30,Left Midfield,Факел-Воронеж,0.0,out,Winter,2000,2000/2001
Evgeni Durnev,28,Right Midfield,Lotto-MKM Moskau,0.0,out,Winter,2000,2000/2001
Aleksandr Shirko,24,Centre-Forward,Spartak Moscow,450000.0,in,Summer,2001,2001/2002
Nikola Jolovic,22,Centre-Back,FK Zemun,250000.0,in,Summer,2001,2001/2002
Beslan Adzhindzhal,27,Central Midfield,Torpedo-ZiL,0.0,in,Summer,2001,2001/2002
Edik Sajaia,20,Centre-Back,WIT Georgia,0.0,in,Summer,2001,2001/2002
Leonid Lagun,23,Left Midfield,BATE Borisov,0.0,in,Summer,2001,2001/2002
Jovica Lakic,26,midfield,FK Obilic,0.0,in,Summer,2001,2001/2002
Sergiy Seleznyov,26,defence,Kryvbas,0.0,in,Summer,2001,2001/2002
Valdas Trakys,23,Centre-Forward,Hafnarfjördur,0.0,out,Summer,2001,2001/2002
Valdas Trakys,22,Centre-Forward,Khimki,0.0,out,Summer,2001,2001/2002
Andriy Sapuga,24,Right-Back,Gazovik-Gazprom,0.0,out,Summer,2001,2001/2002
Vitali Litvinov,30,Centre-Back,Torpedo-ZiL,0.0,out,Summer,2001,2001/2002
Yuriy Moroz,30,Left-Back,Lokomotiv NN,0.0,out,Summer,2001,2001/2002
Pavlo Shkapenko,28,Attacking Midfield,Shinnik,0.0,out,Summer,2001,2001/2002
Sergey Budylin,22,Left-Back,Neftekhimik,0.0,in,Winter,2001,2001/2002
Aleksey Sherstnev,26,Centre-Forward,Anzhi,0.0,in,Winter,2001,2001/2002
