player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Mikheil Jishkariani,30,Centre-Forward,FC Locomotive,0.0,in,Summer,2000,2000/2001
Vladimirs Babicevs,32,Defensive Midfield,PFK/Daugava,0.0,in,Summer,2000,2000/2001
Aleksey Arifullin,29,Right-Back,Lokomotiv 2,0.0,in,Summer,2000,2000/2001
Aleksey Berezutski,18,Centre-Back,Torpedo-ZiL U19,0.0,in,Summer,2000,2000/2001
Sergey Korovushkin,21,Centre-Forward,Lokomotiv NN,0.0,out,Summer,2000,2000/2001
Aleksandr Eshchenko,30,Left-Back,Zhemchuzhina,0.0,out,Summer,2000,2000/2001
Aleksandr Studzinskiy,24,Centre-Forward,Kristall,0.0,out,Summer,2000,2000/2001
Edis Kurtic,24,Centre-Forward,Unknown,0.0,in,Winter,2000,2000/2001
Aleksandr Gryazin,26,Attacking Midfield,Saturn REN-TV,0.0,in,Winter,2000,2000/2001
Saulius Mikalajunas,28,Right Winger,Элиста,0.0,in,Winter,2000,2000/2001
Sergey Shustikov,30,Defensive Midfield,CA Osasuna,0.0,in,Winter,2000,2000/2001
Munever Rizvic,27,Centre-Back,FK Buducnost,0.0,in,Winter,2000,2000/2001
Maksym Biletskyi,20,Left Midfield,CSKA Moscow II,0.0,in,Winter,2000,2000/2001
Ignas Dedura,22,Centre-Back,FBK Kaunas,0.0,in,Winter,2000,2000/2001
Aleksey Triputen,18,Defensive Midfield,Torpedo-ZiL II,0.0,in,Winter,2000,2000/2001
Igor Piyuk,18,Centre-Forward,Torpedo-ZiL II,0.0,in,Winter,2000,2000/2001
Dmitri A. Smirnov,20,Central Midfield,Torpedo-ZiL II,0.0,in,Winter,2000,2000/2001
Dmitri N. Smirnov,20,Centre-Back,Torpedo-ZiL II,0.0,in,Winter,2000,2000/2001
Aleksandr Studzinskiy,24,Centre-Forward,Kristall,0.0,in,Winter,2000,2000/2001
Vladimirs Babicevs,32,Defensive Midfield,Riga,0.0,out,Winter,2000,2000/2001
Konstantin Veselovskiy,26,attack,Energia Shatura,0.0,out,Winter,2000,2000/2001
Aleksey Bobrov,27,midfield,Unknown,0.0,out,Winter,2000,2000/2001
Aleksey Gushchin,29,Right-Back,Volgar-Gazprom,0.0,out,Winter,2000,2000/2001
Aleksandr Smirnov,32,Right Midfield,Met. Krasnoyarsk,0.0,out,Winter,2000,2000/2001
Oleg Sergeev,32,Centre-Forward,Baltika,0.0,out,Winter,2000,2000/2001
Alexandru Popovici,23,Centre-Forward,Seongnam Ilhwa,0.0,out,Winter,2000,2000/2001
Sergey Podpaly,37,Centre-Back,Gomel,0.0,out,Winter,2000,2000/2001
Aleksey Berezutski,18,Centre-Back,Chernomorets N.,0.0,out,Winter,2000,2000/2001
Mikheil Jishkariani,31,Centre-Forward,Without Club,0.0,out,Winter,2000,2000/2001
Aleksey Arifullin,30,Right-Back,Lokomotiv 2,0.0,out,Winter,2000,2000/2001
Andrey Liforenko,26,defence,CSKA Moscow,0.0,in,Summer,2001,2001/2002
Sergey Stepanov,25,Central Midfield,Pskov-747,0.0,in,Summer,2001,2001/2002
Nikolay Pisarev,32,Centre-Forward,Spartak Moscow,0.0,in,Summer,2001,2001/2002
Ulugbek Bakaev,22,Centre-Forward,CSKA Moscow,0.0,in,Summer,2001,2001/2002
Andrey Novosadov,29,Goalkeeper,CSKA Moscow,0.0,in,Summer,2001,2001/2002
Vitali Litvinov,30,Centre-Back,Torpedo Moscow,0.0,in,Summer,2001,2001/2002
Tadas Graziunas,23,Centre-Back,Rostselmash,0.0,in,Summer,2001,2001/2002
Konstantin Kaynov,24,Central Midfield,CSKA Moscow,0.0,in,Summer,2001,2001/2002
Ivan Danshin,19,Left Winger,CSKA Moscow II,0.0,in,Summer,2001,2001/2002
Roman Shirokov,19,Central Midfield,CSKA Moscow II,0.0,in,Summer,2001,2001/2002
Aleksey Berezutski,19,Centre-Back,Chernomorets N.,0.0,in,Summer,2001,2001/2002
Aleksey Berezutski,19,Centre-Back,CSKA Moscow,60000.0,out,Summer,2001,2001/2002
Ruslan Adzhindzhal,27,Central Midfield,Элиста,0.0,out,Summer,2001,2001/2002
Beslan Adzhindzhal,27,Central Midfield,Torpedo Moscow,0.0,out,Summer,2001,2001/2002
Eduard Demin,27,Centre-Back,Volgar-Gazprom,0.0,out,Summer,2001,2001/2002
Aleksandr Pomazun,29,Goalkeeper,Saturn REN-TV,0.0,out,Summer,2001,2001/2002
Aleksandr Studzinskiy,25,Centre-Forward,Volgar-Gazprom,0.0,out,Summer,2001,2001/2002
Aleksandr Gryazin,26,Attacking Midfield,M. Lipetsk,0.0,out,Summer,2001,2001/2002
Konstantin Kamnev,29,Right Midfield,Met. Krasnoyarsk,0.0,out,Summer,2001,2001/2002
Ignas Dedura,23,Centre-Back,FBK Kaunas,0.0,out,Summer,2001,2001/2002
Oleg Kornaukhov,26,Left-Back,CSKA Moscow,100000.0,in,Winter,2001,2001/2002
Dmitri Kuznetsov,36,Right Midfield,Sokol Saratov,0.0,in,Winter,2001,2001/2002
