player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Artur Sarkisov,26,Centre-Forward,Loko Moscow,300000.0,in,Summer,2013,2013/2014
Vladimir Koman,24,Attacking Midfield,Krasnodar,200000.0,in,Summer,2013,2013/2014
Aleksey Solosin,25,Goalkeeper,SKA-Energia,0.0,in,Summer,2013,2013/2014
Aleksandr Belozerov,31,Centre-Back,Volga NN,0.0,in,Summer,2013,2013/2014
Toto Tamuz,25,Centre-Forward,Hapoel Tel Aviv,0.0,in,Summer,2013,2013/2014
Yuri Kirillov,23,Defensive Midfield,Dinamo Moscow,0.0,in,Summer,2013,2013/2014
Andrey Gorbanets,27,Attacking Midfield,Tom Tomsk,0.0,in,Summer,2013,2013/2014
Sölvi Ottesen,29,Centre-Back,FC Copenhagen,0.0,in,Summer,2013,2013/2014
Lasha Gvalia,21,Central Midfield,FC Dila,0.0,in,Summer,2013,2013/2014
Aleksandr Erokhin,23,Attacking Midfield,SKA-Energia,0.0,in,Summer,2013,2013/2014
Aleksandr Sapeta,24,Central Midfield,Dinamo Moscow,0.0,in,Summer,2013,2013/2014
Evgeniy Pomazan,24,Goalkeeper,Anzhi,0.0,in,Summer,2013,2013/2014
Serder Serderov,19,Left Winger,Anzhi,0.0,in,Summer,2013,2013/2014
Grigori Lyubimov,20,Goalkeeper,Octane,0.0,in,Summer,2013,2013/2014
Maksim Volkov,25,Central Midfield,Baltika,0.0,in,Summer,2013,2013/2014
Aleksandr Kotlyarov,29,Goalkeeper,Luch Vladivostok,0.0,out,Summer,2013,2013/2014
Maksim Volkov,25,Central Midfield,Sokol Saratov,0.0,out,Summer,2013,2013/2014
Konstantin Skrylnikov,33,Left Midfield,Fakel Voronezh,0.0,out,Summer,2013,2013/2014
Ivan Drannikov,26,Left-Back,Neftekhimik,0.0,out,Summer,2013,2013/2014
Grigori Lyubimov,20,Goalkeeper,Unknown,0.0,out,Summer,2013,2013/2014
Dmitri Ryzhov,23,Centre-Forward,Enisey,0.0,out,Summer,2013,2013/2014
Aleksandr Marenich,24,Left Winger,Spartak 2,0.0,out,Summer,2013,2013/2014
Aleksey Revyakin,31,Centre-Back,Fakel Voronezh,0.0,out,Summer,2013,2013/2014
Dmitri Yashin,31,Goalkeeper,Shinnik,0.0,out,Summer,2013,2013/2014
Maksim Semakin,29,Central Midfield,Ufa,0.0,out,Summer,2013,2013/2014
Mikhail Biryukov,26,Centre-Forward,SKVO,0.0,out,Summer,2013,2013/2014
Anton Kobyalko,27,Centre-Forward,Gazovik Orenburg,0.0,out,Summer,2013,2013/2014
Ivan Melnik,21,Defensive Midfield,Dinamo SPb,0.0,out,Summer,2013,2013/2014
Adessoye Oyewole,30,Centre-Back,Gazovik Orenburg,0.0,out,Summer,2013,2013/2014
Branimir Petrovic,31,Central Midfield,Without Club,0.0,out,Summer,2013,2013/2014
Dmitri Arapov,20,Goalkeeper,Ural II,0.0,out,Summer,2013,2013/2014
Artem Solovey,22,Right Midfield,Without Club,0.0,out,Summer,2013,2013/2014
Denis Matyugin,21,Centre-Forward,Ural II,0.0,out,Summer,2013,2013/2014
Evgeniy Pomazan,24,Goalkeeper,Anzhi,0.0,out,Summer,2013,2013/2014
Serder Serderov,19,Left Winger,Anzhi,0.0,out,Summer,2013,2013/2014
Maksim Astafjev,30,Right Winger,Sibir,0.0,out,Summer,2013,2013/2014
Denis Dorozhkin,26,Centre-Forward,Spartak Nalchik,100000.0,in,Winter,2013,2013/2014
Artem Fidler,30,Defensive Midfield,Kuban Krasnodar,0.0,in,Winter,2013,2013/2014
Nikolay Zabolotnyi,23,Goalkeeper,Spartak Moscow,0.0,in,Winter,2013,2013/2014
Vladimir Khozin,24,Centre-Back,Alania,0.0,in,Winter,2013,2013/2014
Alan Bagaev,22,Centre-Back,Alania-D Vladik.,0.0,in,Winter,2013,2013/2014
Aleksandr Stavpets,24,Right Winger,Rotor Volgograd,0.0,in,Winter,2013,2013/2014
Arsen Goshokov,22,Centre-Forward,Spartak Nalchik,0.0,in,Winter,2013,2013/2014
Anatoli Gerk,29,Attacking Midfield,Tambov,0.0,out,Winter,2013,2013/2014
Nikolay Safronidi,30,Left Midfield,Ufa,0.0,out,Winter,2013,2013/2014
Toto Tamuz,25,Centre-Forward,Petrolul,0.0,out,Winter,2013,2013/2014
Milan Vjestica,34,Centre-Back,Dinamo SPb,0.0,out,Winter,2013,2013/2014
Yuri Kirillov,23,Defensive Midfield,Atlantas,0.0,out,Winter,2013,2013/2014
Aleksey Solosin,26,Goalkeeper,Khimki,0.0,out,Winter,2013,2013/2014
Artur Sarkisov,27,Centre-Forward,Volga NN,0.0,out,Winter,2013,2013/2014
Semen Pomogaev,20,Central Midfield,Dinamo SPb,0.0,out,Winter,2013,2013/2014
Kantemir Berkhamov,25,Central Midfield,Without Club,0.0,out,Winter,2013,2013/2014
Vyacheslav Podberezkin,22,Attacking Midfield,Loko Moscow II,0.0,in,Summer,2014,2014/2015
Kostyantyn Yaroshenko,27,Attacking Midfield,FK Sevastopol,0.0,in,Summer,2014,2014/2015
Arsen Oganesyan,24,Left Midfield,FK Kaluga,0.0,in,Summer,2014,2014/2015
Aleksandr Sapeta,25,Central Midfield,Dinamo Moscow,0.0,in,Summer,2014,2014/2015
Markus Berger,29,Centre-Back,IK Start,0.0,in,Summer,2014,2014/2015
Pablo Fontanello,29,Centre-Back,Stabæk Fotball,0.0,in,Summer,2014,2014/2015
Igor Lambarskiy,21,Attacking Midfield,Krasnodar,0.0,in,Summer,2014,2014/2015
Aleksandr Erokhin,24,Attacking Midfield,SKA-Energia,0.0,in,Summer,2014,2014/2015
Georgi Nurov,22,Right Winger,Rubin Kazan II,0.0,in,Summer,2014,2014/2015
