player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Igor Stasevich,24,Right Midfield,BATE Borisov,100000.0,in,Summer,2010,2010/2011
Mihaita Plesan,27,Central Midfield,Steaua Bucharest,100000.0,in,Summer,2010,2010/2011
Petar Jelic,23,Centre-Forward,OFK Beograd,0.0,in,Summer,2010,2010/2011
Aleksandr Salugin,21,Centre-Forward,KS Samara,0.0,in,Summer,2010,2010/2011
Aleksandr Shulenin,30,Attacking Midfield,Sibir,0.0,in,Summer,2010,2010/2011
Vitali Volkov,29,Left-Back,Tom Tomsk,0.0,in,Summer,2010,2010/2011
Giorgi Navalovski,24,Left-Back,Anzhi,0.0,in,Summer,2010,2010/2011
Gocha Khojava,25,Attacking Midfield,Anzhi,0.0,in,Summer,2010,2010/2011
Aleksey Katulskiy,32,Centre-Back,Shinnik,0.0,out,Summer,2010,2010/2011
Vladimir Rykov,22,Centre-Back,KamAZ,0.0,out,Summer,2010,2010/2011
Evgeni Kuznetsov,26,Right Midfield,Baltika,0.0,out,Summer,2010,2010/2011
Stanislav Prokofjev,23,Centre-Forward,Mordovia,0.0,out,Summer,2010,2010/2011
Marat Khayrullin,26,Attacking Midfield,Aktobe,0.0,out,Summer,2010,2010/2011
Alli Ndri,26,Right-Back,Shinnik,0.0,out,Summer,2010,2010/2011
Oleg Smirnov,19,Goalkeeper,Khimik,0.0,out,Summer,2010,2010/2011
Sergiy Pylypchuk,25,Left Winger,Shinnik,0.0,out,Summer,2010,2010/2011
Dmitri Aydov,28,Centre-Back,FK Novgorod,0.0,out,Summer,2010,2010/2011
Mikhail Mysin,31,Centre-Forward,Rotor Volgograd,0.0,out,Summer,2010,2010/2011
Oleg Trifonov,29,Left Midfield,Rotor Volgograd,0.0,out,Summer,2010,2010/2011
Anton Vlasov,21,Centre-Back,CSKA Moscow II,0.0,out,Summer,2010,2010/2011
Marc Crosas,23,Defensive Midfield,Celtic,350000.0,in,Winter,2010,2010/2011
Mate Vatsadze,22,Centre-Forward,Dinamo Tbilisi,120000.0,in,Winter,2010,2010/2011
Aleksandr Belozerov,29,Centre-Back,KS Samara,0.0,in,Winter,2010,2010/2011
Mikhail Kerzhakov,23,Goalkeeper,Zenit II,0.0,in,Winter,2010,2010/2011
Ilya Abaev,29,Goalkeeper,Anzhi,0.0,in,Winter,2010,2010/2011
Ruslan Adzhindzhal,36,Central Midfield,KS Samara,0.0,in,Winter,2010,2010/2011
Gia Grigalava,21,Centre-Back,SKA Rostov,0.0,in,Winter,2010,2010/2011
Shota Bibilov,20,Right Winger,Alania,0.0,in,Winter,2010,2010/2011
Pavel Pashin,17,Centre-Back,Master-Saturn,0.0,in,Winter,2010,2010/2011
Mersudin Ahmetovic,23,Centre-Forward,Rostov,0.0,in,Winter,2010,2010/2011
Miklós Gaál,29,Left-Back,Amkar Perm,0.0,in,Winter,2010,2010/2011
Leílton,28,Left-Back,KS Samara,0.0,in,Winter,2010,2010/2011
Aleksey Aravin,24,Right-Back,Sibir,0.0,in,Winter,2010,2010/2011
Gogita Gogua,27,Defensive Midfield,Spartak Nalchik,0.0,in,Winter,2010,2010/2011
Maksim Zyuzin,24,Defensive Midfield,FK Novgorod,0.0,in,Winter,2010,2010/2011
Lasha Salukvadze,29,Centre-Back,Rubin Kazan,0.0,in,Winter,2010,2010/2011
Gocha Khojava,25,Attacking Midfield,Anzhi,0.0,in,Winter,2010,2010/2011
Otar Martsvaladze,26,Second Striker,Anzhi,0.0,in,Winter,2010,2010/2011
Maksim Burchenko,27,Right Midfield,Luch Vladivostok,0.0,in,Winter,2010,2010/2011
Sergey Bendz,27,Centre-Back,FK Novgorod,0.0,in,Winter,2010,2010/2011
Mikhail Levashov,19,Goalkeeper,Volga NN II,0.0,in,Winter,2010,2010/2011
Marat Khayrullin,26,Attacking Midfield,Aktobe,0.0,in,Winter,2010,2010/2011
Oleg Trifonov,29,Left Midfield,Rotor Volgograd,0.0,in,Winter,2010,2010/2011
Evgeni Malakhov,28,Left Midfield,M-O Oskol,0.0,in,Winter,2010,2010/2011
Mikhail Mysin,31,Centre-Forward,Rotor Volgograd,0.0,in,Winter,2010,2010/2011
Dmitri Aydov,28,Centre-Back,FK Novgorod,0.0,in,Winter,2010,2010/2011
Sergiy Pylypchuk,26,Left Winger,Shinnik,0.0,in,Winter,2010,2010/2011
