player_name,age,position,club_involved,fee,transfer_movement,transfer_period,year,season
Roman Berezovskiy,20,Goalkeeper,Smena-Saturn,0.0,in,Summer,1995,1995/1996
Igor Zakharov,29,Right-Back,KS Samara,0.0,in,Summer,1995,1995/1996
Oleg Eremin,27,Centre-Forward,Smena-Saturn,0.0,in,Summer,1995,1995/1996
Andrey Bryukhanov,24,Centre-Back,Gazovik-Gazprom,0.0,in,Summer,1995,1995/1996
Mykhaylo Savytskyi,25,Goalkeeper,Zvezda Irkutsk,0.0,out,Summer,1995,1995/1996
Artem Dorofeev,23,attack,Smena-Saturn,0.0,out,Summer,1995,1995/1996
Sergiy Popov,24,Centre-Back,Shakhtar D.,25000.0,in,Winter,1995,1995/1996
Andrey Kondrashov,23,Centre-Back,Luch Vladivostok,0.0,in,Winter,1995,1995/1996
Boris Matveev,25,Second Striker,Smena-Saturn,0.0,in,Winter,1995,1995/1996
Igor Danilov,30,Centre-Forward,St. Petersburg,0.0,in,Winter,1995,1995/1996
Valentin Egunov,19,Centre-Forward,Zenit 2 S-Pb,0.0,in,Winter,1995,1995/1996
Evgeni Zezin,19,Attacking Midfield,Smena-Saturn,0.0,in,Winter,1995,1995/1996
Aleksandr Panov,20,Centre-Forward,D. Vologda,0.0,in,Winter,1995,1995/1996
Vladislav Baskov,20,Right Midfield,SH Shenhua,0.0,out,Winter,1995,1995/1996
Igor Zakharov,29,Right-Back,Gazovik-Gazprom,0.0,out,Winter,1995,1995/1996
Evgeniy Kornyukhin,28,Goalkeeper,Энергия-Текстиль,0.0,out,Winter,1995,1995/1996
Andrey Pletnev,24,Attacking Midfield,Gazovik-Gazprom,0.0,out,Winter,1995,1995/1996
Evgeni Zezin,19,Attacking Midfield,Arsenal Tula,0.0,out,Winter,1995,1995/1996
Mikhail Trofimov,20,Centre-Back,Smena-Zenit,0.0,out,Winter,1995,1995/1996
Yuri Mamontjev,22,Central Midfield,Karelia,0.0,out,Winter,1995,1995/1996
Aleksandr Panov,20,Centre-Forward,FC Baokang,0.0,out,Winter,1995,1995/1996
